,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrS_stat,kPyrO2,kPyrDrain,kAldPyr,kAldS_N,kAldS_stat,kAldO2,kAldRed,kAcAld,kAcStress,kAcAssim,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim,qgas_threshold_fraction
gammaF0,11.868574676536829,-8.383487271573012,-17.881708362947187,-1.6202161860369444,-94.38104730932683,-6.765805000305759,0.8930343972850413,-10.922161091330185,-0.3877070145890692,130.39047720153337,5.964990764495291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_N,32.79788159995204,-279.5665644025487,-31.978235348953746,-4.350059606938247,115.02549706614433,52.24520495972115,-30.279166719652746,-32.992838677836986,-3.6150482191076296,0.0,0.0,193.92768633293807,10.22618924695934,178.992916166364,-220.91614356116628,118.80511262903859,43.92010222811073,114.11350227636083,206.50192875013147,-0.45089910023799296,-588.2538352093471,51.565759217196536,-0.0005651354759576284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_stat,-1.2502552593297773,-12.169614902714116,-0.5167144196984323,0.023818590895691737,3.8608906853688545,1.2990334000145969,-1.0496342930829858,-0.8914646276440072,0.13654230977093887,0.0,0.0,10.22618924695934,0.7750412510378146,13.064193557790901,-17.7474967214768,7.4917629802555386,1.6909249510446038,6.78681753152938,12.124767642818522,-0.0305298474546091,-36.80304584254787,1.7391099001611714,-1.8145637301440356e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrO2,-17.17426811672667,-216.93240230095174,-10.706831025894637,0.13934226008568884,71.95414525409483,26.097232330708408,-19.722340367453718,-17.992561498935135,2.1369623807903304,0.0,0.0,178.992916166364,13.064193557790901,221.09716234678407,-298.6573325091848,127.59637016719793,30.77511628946825,116.30951824532133,208.11779147947257,-0.516252433512367,-627.0626348439615,32.49738072751744,-0.0003421485015374831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrDrain,60.122247894721085,228.92409960002428,-1.4428890606971514,-4.139271591321849,-72.63948535079743,-25.225548433347175,22.706281010717625,21.881553136720832,-8.691790586902437,0.0,0.0,-220.91614356116628,-17.7474967214768,-298.6573325091848,418.38996619186213,-153.52545764974934,-32.42807119346422,-136.94928473080037,-245.0078081348942,0.6349165732078274,750.8489000253711,-31.131385920985764,0.0003229819632425126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldPyr,346.91357144412336,-593.8944871815515,-65.06281094143114,-20.7999321064241,91.13758416625117,-17.990576785894447,1.487154894983929,43.91598473281233,-45.35843212029488,0.0,0.0,118.80511262903859,7.4917629802555386,127.59637016719793,-153.52545764974934,438.25557725973505,157.85124075022864,416.6735915644571,754.3668611575656,-1.6823056420933746,-2166.4576192647432,178.0600885002417,-0.0019601717907108828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_N,205.90026354758658,-406.28602062848734,-73.18565584987941,-13.306268680353131,222.29946321115895,121.19537633199462,-57.97365949040676,-84.0047985614338,-21.56313782700191,0.0,0.0,43.92010222811073,1.6909249510446038,30.77511628946825,-32.42807119346422,157.85124075022864,221.2452926860063,178.5385547223819,358.1088387979931,-0.4244110642929827,-788.7263165415728,215.71001261517927,-0.0026642759545916395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_stat,348.943208942943,-610.8060014416249,-75.55686950217702,-21.692037100316497,134.13452676713356,24.631466782391236,-13.733222482192229,6.653130302183108,-42.70697723090304,0.0,0.0,114.11350227636083,6.78681753152938,116.30951824532133,-136.94928473080037,416.6735915644571,178.5385547223819,417.50620702047263,754.3514298709379,-1.5040330996790006,-2086.8577900538717,222.96102450398604,-0.002452005170834718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldO2,648.3276471796238,-1145.3575154327589,-146.78195578951824,-40.365326790673166,279.72735840677205,65.08890986077591,-35.97283908376827,-2.8509128011437213,-79.6006639899781,0.0,0.0,206.50192875013147,12.124767642818522,208.11779147947257,-245.0078081348942,754.3668611575656,358.1088387979931,754.3514298709379,1374.5307999037345,-2.712999559411834,-3762.0730694569907,428.35671993959556,-0.004788065602114453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldRed,-1.2163526512428482,2.0074179137689043,0.17413184239998003,0.06994265234466228,-0.08057586064366093,0.28702659493238775,-0.09059954051151226,-0.349327097553891,0.1726260581016378,0.0,0.0,-0.45089910023799296,-0.0305298474546091,-0.516252433512367,0.6349165732078274,-1.6823056420933746,-0.4244110642929827,-1.5040330996790006,-2.712999559411834,0.006909821472503241,8.220303450953434,-0.3996490310065024,4.2985385484360865e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAld,59.713144002103036,1443.7894369774488,342.3379250216293,86.93116168047237,-343.0711198569732,122.50043410324778,-19.71139999828608,-255.8363776966931,71.8559571981409,0.0,0.0,-588.2538352093471,-36.80304584254787,-627.0626348439615,750.8489000253711,-2166.4576192647432,-788.7263165415728,-2086.8577900538717,-3762.0730694569907,8.220303450953434,14307.353777995777,858.6846837791603,-0.011219549467642125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcStress,1084.1641342685725,-1198.0568932730566,-101.05307999502247,-30.190652131722995,328.4039582952027,188.94936188542545,-75.56693472553007,-140.0244386996544,-109.83076512401315,0.0,0.0,51.565759217196536,1.7391099001611714,32.49738072751744,-31.131385920985764,178.0600885002417,215.71001261517927,222.96102450398604,428.35671993959556,-0.3996490310065024,858.6846837791603,1210.1066797059912,-0.01319449050738427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAssim,-0.013674691872029623,0.014327136275004463,0.0007353785139723977,0.00023814210908052266,-0.0036825021672683643,-0.0021629970233597914,0.000928382111442445,0.0017702253595989802,0.001037442262315655,0.0,0.0,-0.0005651354759576284,-1.8145637301440356e-05,-0.0003421485015374831,0.0003229819632425126,-0.0019601717907108828,-0.0026642759545916395,-0.002452005170834718,-0.004788065602114453,4.2985385484360865e-06,-0.011219549467642125,-0.01319449050738427,1.7861177026189464e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_EA_growth,171.1514761461732,-306.7198183866408,-25.003059612799774,-5.648243908526974,296.4743485759861,119.16369873267591,-65.84744919241781,-147.71229927320388,0.8288472040165065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.021623782274,70.58834338634018,0.0,0.0,0.0,0.0,47.520039287188396,0.0,0.0,0.02784606331086845,34.674921473873255,-207.61159944646136
