,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrS_stat,kPyrO2,kPyrDrain,kAldPyr,kAldS_N,kAldS_stat,kAldO2,kAldRed,kAcAld,kAcStress,kAcAssim,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim,qgas_threshold_fraction
gammaF0,16.600616332936355,-13.891391536307038,-23.84167270276194,-2.4553585933725026,-56.82494304022851,-1.8834241808626462,0.21163497118944485,-18.129886603617628,-0.14062261398432171,107.26442668433293,4.428013030601632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_N,31.681827399130235,-162.16719395019422,-37.88858757042428,-6.234844257601251,110.27232783738327,73.05619604397437,-31.86315019052728,-47.27411306609682,-0.4927136511445024,0.0,0.0,126.46097233277668,7.353749276215838,132.9536595749552,-144.09820034272454,64.32520378800895,25.42355315049293,76.36387797576293,138.02462750726198,-0.20982920564667984,-378.27401353401336,31.77903081892852,-0.00022413555613997387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_stat,-0.3958993254849723,-7.8056585427116465,-2.1939469165327403,-0.4042427100201894,5.5510776104210295,3.9275353795904486,-1.5768394665085752,-2.364371337377118,0.010846165487313948,0.0,0.0,7.353749276215838,0.6864160031215163,11.914523826264471,-14.190702675186472,4.400903768022909,0.958110187608995,5.080692670112704,8.836496243751613,-0.015688587765133145,-25.677571490249008,1.2118721386385034,-7.972814841540942e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrO2,-0.1160156444695204,-147.10924555270788,-40.58758967558815,-7.463248004117383,102.62198414913065,72.51650662970337,-29.138883370870765,-43.841379034645044,0.016979239734575657,0.0,0.0,132.9536595749552,11.914523826264471,207.77194103040804,-245.00768447140516,80.18038534170779,18.47356154541674,92.81418740153207,162.0422882355943,-0.28340096453518815,-468.6707200181777,23.4386353263995,-0.00015542066554891928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrDrain,17.744101032099557,143.21241299870897,41.84947504110081,7.753218773507518,-105.7448327995181,-75.10237967724454,30.052921010647495,44.864854996851214,-0.47213421814963574,0.0,0.0,-144.09820034272454,-14.190702675186472,-245.00768447140516,295.59532003626214,-85.96938456820509,-17.4349346211171,-98.87939255382537,-171.10710126751073,0.30996794103105285,500.83468444296176,-21.47391088663029,0.00014004353326445683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldPyr,237.07644418826266,-365.88481593325054,-75.79190451204379,-17.64725633681074,156.51018376989805,137.05135203517847,-42.41790958766417,-90.37536621391934,-5.073744520042099,0.0,0.0,64.32520378800895,4.400903768022909,80.18038534170779,-85.96938456820509,281.5527800079932,104.36820475414095,332.1149772825172,596.165658173588,-0.9365050256545988,-1651.645308272929,126.95116167638975,-0.0008961372091965712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_N,142.82452715784564,-250.5899393557309,-38.55183765130908,-4.610101331380417,175.47940742216173,110.36329473669845,-53.11556900518916,-88.21524695161852,-1.9521163785030218,0.0,0.0,25.42355315049293,0.958110187608995,18.47356154541674,-17.4349346211171,104.36820475414095,160.61689904378798,130.8698644869363,269.42964040335613,-0.251962068824532,-600.7710812064817,135.86366275371094,-0.0011410460564499185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_stat,281.9875567127503,-442.04759273495745,-93.8578539178061,-21.070967892764052,201.50857604795428,173.80750610193604,-55.5934136834875,-117.74920715175654,-5.854788171509818,0.0,0.0,76.36387797576293,5.080692670112704,92.81418740153207,-98.87939255382537,332.1149772825172,130.8698644869363,394.29844855290816,712.6790308414472,-1.0827774783516946,-1957.4109432885411,161.73329424450236,-0.0011427792529150938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldO2,524.3017249780182,-829.9532098967281,-176.8892529183734,-37.61540776702944,410.08514864417543,342.6339401023053,-115.54430691366251,-240.19674463819683,-10.291565044217016,0.0,0.0,138.02462750726198,8.836496243751613,162.0422882355943,-171.10710126751073,596.165658173588,269.42964040335613,712.6790308414472,1304.1414280922565,-1.8885887628946234,-3516.7639198154834,330.3575495278227,-0.002367709045752043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldRed,-0.7437225638740982,1.104236559109048,0.21129876698644817,0.05714088040618982,-0.34766294754769983,-0.33402870954895636,0.08419087307178137,0.18856134323404167,0.018079078682098307,0.0,0.0,-0.20982920564667984,-0.015688587765133145,-0.28340096453518815,0.30996794103105285,-0.9365050256545988,-0.251962068824532,-1.0827774783516946,-1.8885887628946234,0.0033318725251885815,5.438254246459711,-0.28963479895384325,1.991995111118717e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAld,203.492612535035,761.0273905985961,733.8065008416609,155.90997013654527,-976.9635884841786,-852.9179018013558,238.33940568123742,437.0877096925099,11.200137787212595,0.0,0.0,-378.27401353401336,-25.677571490249008,-468.6707200181777,500.83468444296176,-1651.645308272929,-600.7710812064817,-1957.4109432885411,-3516.7639198154834,5.438254246459711,12888.571061792494,677.9747455015001,-0.006049056724841198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcStress,845.7698072336835,-879.8991584041578,70.18709019398672,15.853996288094791,175.7772822242414,125.0004527183588,-67.02493593612375,-163.46474663452884,-11.615636585037867,0.0,0.0,31.77903081892852,1.2118721386385034,23.4386353263995,-21.47391088663029,126.95116167638975,135.86366275371094,161.73329424450236,330.3575495278227,-0.28963479895384325,677.9747455015001,838.0504964436052,-0.005935047997266397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAssim,-0.006954681001153292,0.00687219614522191,-0.0005883835334500171,-0.00012719340675855067,-0.0013772270204190852,-0.0009396272733699761,0.0005215917159185091,0.0012344960222190008,6.514834960505116e-05,0.0,0.0,-0.00022413555613997387,-7.972814841540942e-06,-0.00015542066554891928,0.00014004353326445683,-0.0008961372091965712,-0.0011410460564499185,-0.0011427792529150938,-0.002367709045752043,1.991995111118717e-06,-0.006049056724841198,-0.005935047997266397,6.062868218356365e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_EA_growth,94.97881620653935,-201.09214274365746,-26.836286673284064,-3.0682475560915776,194.11793722030225,105.78375769519317,-57.55837906264783,-85.782906639108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.76052146731914,80.44873405609438,0.0,0.0,0.0,0.0,15.792958841587586,0.0,0.0,0.030635593784944962,41.21642382085887,-86.09135687662766
k_EA_stationary,38.94856590349343,-84.71321618352283,-12.232447276190905,-1.3397192506066669,74.84259706382461,41.600289375167115,-22.21286832929971,-34.277784988300475,-3.506048467648942e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.44873405609438,36.757562336988606,0.0,0.0,0.0,0.0,4.939954388199563,0.0,0.0,0.014243932990011466,19.925526913337634,-28.042505813657716
k_IAA_growth,47.482322342956174,-33.828450336340026,-25.073775766409828,-2.8885112225872676,99.21850864224034,54.80081086711064,-29.055113699162806,-40.44181420063018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.93103965683547,78.97046923587611,0.0,0.0,0.0,9.79969491250857,0.0,0.0,0.0,-30.891473750481598
k_IAA_stationary,58.90472926968265,-47.056296604145864,-28.589878232236476,-3.3158980701107,114.12235464296411,63.52201646634572,-33.35216891127547,-49.25650072167532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.97046923587611,98.93342244754254,0.0,0.0,0.0,16.568040596781064,0.0,0.0,0.0,-53.31483241303381
k_EO_growth,36.320090110289115,-115.0343766195895,-45.38411828186918,-6.930215108341526,111.36902123377811,74.56856558966868,-31.681495554649647,-51.20844755877428,-0.2192911331652875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.08742832223811,100.4943147555558,0.0,0.0,-1.8318861858230264,0.0,0.0,3.3610581998760183
k_EO_stationary,32.85673583530525,-109.95776010269391,-50.172664794533034,-8.022514106387385,101.76429876836507,74.31011542360024,-28.68000687472423,-49.610598449761206,-0.3251009502473848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.4943147555558,120.41042851121273,0.0,0.0,-9.200149633704587,0.0,0.0,23.41874260851408
alpha_EA_loss,16.152358319308387,-20.852249195716333,10.355257422404561,0.9684151909308579,17.82241386230046,7.7805083973675595,-5.2465618729676935,-11.842784329263392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.792958841587586,4.939954388199563,0.0,0.0,0.0,0.0,12.084777781054417,0.0,0.0,0.0019313499890973125,2.5417713318291066,-65.86219604978201
alpha_IAA_loss,19.4051084955037,-16.83094825725541,5.99199824546363,0.5579194422934417,21.98994272190789,11.238292415647468,-6.436614856885159,-14.46807894181419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.79969491250857,16.568040596781064,0.0,0.0,0.0,28.29897203641909,0.0,0.0,0.0,-86.16853117693594
alpha_EO_loss,3.6975986660942506,1.2386634464369506,7.676238672669671,0.7023689743055008,0.5533182423409961,-2.8847760925863764,0.17689743520559997,-0.49864878111120703,0.028400568334674074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8318861858230264,-9.200149633704587,0.0,0.0,12.427571779816313,0.0,0.0,-30.294780520588297
k_EA_XE,0.015081991321523916,-0.032489134346975916,-0.004653669877042886,-0.0005078179421573846,0.028658189785158585,0.015950067594645016,-0.008507740158122841,-0.013197915735866126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030635593784944962,0.014243932990011466,0.0,0.0,0.0,0.0,0.0019313499890973125,0.0,0.0,5.541616271522941e-06,0.0077766036754316255,-0.011022247748536542
k_EA_XE_Nlim,20.771602097069454,-44.814623392167434,-6.480730337760052,-0.7024610985538408,38.98454267479003,21.77377469092787,-11.575753008863021,-18.07998603264387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.21642382085887,19.925526913337634,0.0,0.0,0.0,0.0,2.5417713318291066,0.0,0.0,0.0077766036754316255,10.974748980690627,-14.642852098174638
qgas_threshold_fraction,-203.44256640063867,193.9157979562865,-166.84899954674597,-14.426692745876394,-194.49503756975923,-72.15708242527914,55.29108997928366,139.38967008097785,-0.07638987822501661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.09135687662766,-28.042505813657716,-30.891473750481598,-53.31483241303381,3.3610581998760183,23.41874260851408,-65.86219604978201,-86.16853117693594,-30.294780520588297,-0.011022247748536542,-14.642852098174638,963.9661841164191
