species,pool,n,rmse,mae,bias,median_obs,median_pred,relative_rmse_to_median,relative_bias_to_median,co2_mode,partition_mode,mode,aroma_wsse,aroma_n_residuals
isoamyl_acetate,condensate,44,0.6854606084395625,0.4284454141350651,-0.3802032805670846,0.4795121642665957,0.1387245753676808,1.4294957657392504,-0.7928960074424763,threshold,water_ethanol_GF_as_glucose,threshold,5282.593048441163,366
isoamyl_acetate,retained,44,1.8990917737168311,1.406011059198608,-0.7109417274673953,5.20307736132758,4.895363421246218,0.3649939529694543,-0.1366387001568619,threshold,water_ethanol_GF_as_glucose,threshold,5282.593048441163,366
isoamyl_acetate,total,52,2.1407875039690265,1.4363995963446463,-0.9232765452599444,5.258392259104463,4.464759029099,0.4071182594380313,-0.1755815275403559,threshold,water_ethanol_GF_as_glucose,threshold,5282.593048441163,366
ethyl_acetate,condensate,17,0.0503092597204383,0.0410948202008765,0.0380814136855825,0.0124728124917586,0.0557411217026171,4.03351367253215,3.0531537061704865,lag_threshold,water_ethanol_GF_as_glucose,lag_threshold,5378.448932466519,366
ethyl_acetate,retained,17,2.8660380420613274,2.03230747752734,-1.613786186755667,8.2939076996105,7.121655223166123,0.3455594330035675,-0.194574891016867,lag_threshold,water_ethanol_GF_as_glucose,lag_threshold,5378.448932466519,366
ethyl_acetate,total,52,2.3981124415805586,1.593706810742191,-1.0142732315355545,7.589930803008623,6.368439403165261,0.3159597239845658,-0.133634055152848,lag_threshold,water_ethanol_GF_as_glucose,lag_threshold,5378.448932466519,366
ethyl_octanoate,condensate,44,0.0138827185836355,0.0090113605497406,-0.0066151648545294,0.0123860937979568,0.0058639181626255,1.1208310553828984,-0.5340799902242501,lag_threshold,water_ethanol_GF_as_glucose,lag_threshold,5378.448932466519,366
ethyl_octanoate,retained,44,0.0216789162927572,0.0155201514173651,-0.00502186541983,0.0345240197951251,0.0374631767464501,0.6279371991270379,-0.1454600434604989,lag_threshold,water_ethanol_GF_as_glucose,lag_threshold,5378.448932466519,366
ethyl_octanoate,total,52,0.0259089118329628,0.016796301403679,-0.009846717924458,0.0446677583333333,0.0418788726706603,0.5800360886619275,-0.2204435210510641,lag_threshold,water_ethanol_GF_as_glucose,lag_threshold,5378.448932466519,366
isoamyl_acetate,condensate,44,0.6841751268839451,0.4275638040159403,-0.3793737264877782,0.4795121642665957,0.1421688728481867,1.4268149545911464,-0.7911660115401301,lag_threshold,water_ethanol_GF_as_glucose,lag_threshold,5378.448932466519,366
isoamyl_acetate,retained,44,1.9016151843468436,1.4073421455450348,-0.711550020780093,5.20307736132758,4.886524669523911,0.365478937230647,-0.1367556104525301,lag_threshold,water_ethanol_GF_as_glucose,lag_threshold,5378.448932466519,366
isoamyl_acetate,total,52,2.142296687495718,1.4361984946887925,-0.9230893246112756,5.258392259104463,4.460571810417042,0.4074052641825098,-0.175545923378581,lag_threshold,water_ethanol_GF_as_glucose,lag_threshold,5378.448932466519,366
