fit,medium,batch,state,n,sse,wsse,rmse,weighted_rmse,mean_bias
base_mixed_full17_l2,natural,LAB006,X,14,6.825929427471918,406.2560415022141,0.6982595417726603,5.386862600691572,-0.5136282543733689
base_mixed_full17_l2,natural,LAB006,Xd,14,0.27271116000000006,65.59332210407757,0.13956850852333624,2.164540896621821,-0.03724285714285715
base_mixed_full17_l2,natural,LAB006,N,15,0.037445162646463546,257.5779899069887,0.04996342838948207,4.143895026879813,0.005295895014224355
base_mixed_full17_l2,natural,LAB006,G,15,4392.109144135858,702.7374630617371,17.11161232250555,6.844644929002221,13.89337633489568
base_mixed_full17_l2,natural,LAB006,F,15,2630.1059478607926,420.8169516577268,13.241616084302278,5.296646433720912,11.279497441904455
base_mixed_full17_l2,natural,LAB006,E,5,1090.8306092067078,271.8317409091758,14.770447584326671,7.373353930324731,-11.674958477540171
base_mixed_full17_l2,natural,LAB006,Gly,15,19.679515655267164,160.64910738993606,1.1454115899322586,3.2726045426635957,-0.7723678193125242
base_mixed_full17_l2,natural,LAB007,X,13,0.7953600138569669,123.80013293476955,0.247349023704277,3.0859499588989494,-0.0250147590370301
base_mixed_full17_l2,natural,LAB007,Xd,13,0.09562859620570797,26.56349894602999,0.08576739393252855,1.4294565655421425,-0.03130776955730368
base_mixed_full17_l2,natural,LAB007,N,13,0.010242912887668968,68.28999057848543,0.0280698481644368,2.29195903068642,-0.021667527096486578
base_mixed_full17_l2,natural,LAB007,G,13,69.06275736201874,11.050041177923,2.304890408908494,0.9219561635633976,1.02329189173134
base_mixed_full17_l2,natural,LAB007,F,13,542.9376243782942,86.8700199005271,6.4625407267176405,2.5850162906870566,2.0522206990093417
base_mixed_full17_l2,natural,LAB007,E,6,138.36598206069448,33.730617801143616,4.802186690468806,2.3710271262733236,-3.644020012768119
base_mixed_full17_l2,natural,LAB007,Gly,13,3.9335687356506104,32.11076518898457,0.550074731681671,1.57164209051906,-0.39350768431449323
base_mixed_full17_l2,natural,LAB008,X,13,2.04705361525002,375.73065653511395,0.3968194333844299,5.376091349206109,-0.13601358625475665
base_mixed_full17_l2,natural,LAB008,Xd,13,0.09295631177654155,25.821197715705992,0.08456054352517152,1.409342392086192,-0.030092903058143165
base_mixed_full17_l2,natural,LAB008,N,13,0.006763550169250955,46.085371130610056,0.02280949560911817,1.882824619689382,-0.003963221191557383
base_mixed_full17_l2,natural,LAB008,G,13,483.4714006999493,77.35542411199188,6.098369269415386,2.4393477077661543,4.439326225829213
base_mixed_full17_l2,natural,LAB008,F,13,1229.5112003947572,196.72179206316116,9.725111035137365,3.8900444140549464,6.963537729801713
base_mixed_full17_l2,natural,LAB008,E,6,535.2429476888176,131.0018229585406,9.444954099842745,4.672647767567845,-8.278291113820393
base_mixed_full17_l2,natural,LAB008,Gly,13,8.213031603455399,67.04515594657468,0.7948406518317124,2.27097329094775,-0.6312131012247298
base_mixed_full17_l2,natural,LAB009,X,12,2.668977942564335,670.9103079716455,0.47160876640180044,7.4772449693032295,-0.0011187976435759195
