policy,species,capture_interval,start_h,end_h,duration_h,capture_stage_1_c,capture_stage_2_c,maximum_capture_interval_h,maximum_capture_interval_policy,within_approved_duration,captured_mass_mean_ug,captured_mass_min_ug,captured_mass_max_ug,cumulative_mass_start_mean_ug,cumulative_mass_end_mean_ug,mass_conservation_max_abs_error_ug,maximum_trap_loading,maximum_trap_loading_policy,trap_loading_constraint_satisfied,vessel_change_required
refined_2_A,ethyl_octanoate,6,56.0,72.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,8.323101489434862,3.8140189057407117,64.58272894519996,12.140681334950404,20.463782824385266,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False
refined_2_A,ethyl_octanoate,7,72.0,80.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,3.695019747031248,1.6323403590068892,25.63126023611133,20.463782824385266,24.158802571416516,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False
refined_2_A,ethyl_octanoate,8,80.0,96.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,5.863896743558005,2.6582526972920313,37.89439120906249,24.158802571416516,30.02269931497452,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False
refined_2_A,ethyl_octanoate,9,96.0,104.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,2.1719842916388035,1.0436726515324963,13.33107019446885,30.02269931497452,32.194683606613324,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False
refined_2_A,isoamyl_acetate,1,0.0,24.0,24.0,0.0,-40.0,,unbounded_by_hardware,True,1.0147391946715105,0.029388945159263394,13.896013448503085,0.0,1.0147391946715105,2.842170943040401e-14,,not_applicable_for_sampling_nozzle,True,False
refined_2_A,isoamyl_acetate,2,24.0,28.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,1.4377112539492374,0.01929876870369855,22.335317500605953,1.0147391946715105,2.452450448620748,2.842170943040401e-14,,not_applicable_for_sampling_nozzle,True,False
refined_2_A,isoamyl_acetate,3,28.0,32.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,4.192053515633475,0.04545502808546259,63.09340843310562,2.452450448620748,6.644503964254222,2.842170943040401e-14,,not_applicable_for_sampling_nozzle,True,False
refined_2_A,isoamyl_acetate,4,32.0,48.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,43.32634676062467,1.6231681929770958,301.66846284661636,6.644503964254222,49.9708507248789,2.842170943040401e-14,,not_applicable_for_sampling_nozzle,True,False
refined_2_A,isoamyl_acetate,5,48.0,56.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,29.809017535651254,7.873714526323504,128.69706688679054,49.9708507248789,79.77986826053015,2.842170943040401e-14,,not_applicable_for_sampling_nozzle,True,False
refined_2_A,isoamyl_acetate,6,56.0,72.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,62.384682784602276,31.55811162334834,219.56320103834338,79.77986826053015,142.1645510451324,2.842170943040401e-14,,not_applicable_for_sampling_nozzle,True,False
refined_2_A,isoamyl_acetate,7,72.0,80.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,28.435343363551077,13.826233241560189,89.08199291016308,142.1645510451324,170.5998944086835,2.842170943040401e-14,,not_applicable_for_sampling_nozzle,True,False
refined_2_A,isoamyl_acetate,8,80.0,96.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,45.9196495039068,22.36926133138965,135.91127241867662,170.5998944086835,216.51954391259028,2.842170943040401e-14,,not_applicable_for_sampling_nozzle,True,False
refined_2_A,isoamyl_acetate,9,96.0,104.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,17.229237572472435,8.691419634506161,48.37326873194104,216.51954391259028,233.74878148506272,2.842170943040401e-14,,not_applicable_for_sampling_nozzle,True,False
refined_2_B,ethyl_acetate,1,0.0,24.0,24.0,0.0,-40.0,,unbounded_by_hardware,True,419.0592487825919,0.07512665150727849,4735.170326913449,0.0,419.0592487825919,1.8189894035458565e-12,,not_applicable_for_sampling_nozzle,True,False
refined_2_B,ethyl_acetate,2,24.0,28.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,346.75170110898335,0.028802452713637017,5357.835493866372,419.0592487825919,765.8109498915753,1.8189894035458565e-12,,not_applicable_for_sampling_nozzle,True,False
refined_2_B,ethyl_acetate,3,28.0,32.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,762.1699828041404,0.047388607041350284,12930.590066343419,765.8109498915753,1527.9809326957156,1.8189894035458565e-12,,not_applicable_for_sampling_nozzle,True,False
refined_2_B,ethyl_acetate,4,32.0,48.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,4813.394810816781,0.5123113204086494,69343.3732660878,1527.9809326957156,6341.375743512495,1.8189894035458565e-12,,not_applicable_for_sampling_nozzle,True,False
refined_2_B,ethyl_acetate,5,48.0,56.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,2487.8104216633465,0.7595985085442293,32722.462663932223,6341.375743512495,8829.18616517584,1.8189894035458565e-12,,not_applicable_for_sampling_nozzle,True,False
refined_2_B,ethyl_acetate,6,56.0,72.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,5467.665634861512,2.0730920570791507,68137.6218741346,8829.18616517584,14296.851800037353,1.8189894035458565e-12,,not_applicable_for_sampling_nozzle,True,False
refined_2_B,ethyl_acetate,7,72.0,80.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,2540.5010152299983,1.0483988218688012,31764.19589639496,14296.851800037353,16837.352815267353,1.8189894035458565e-12,,not_applicable_for_sampling_nozzle,True,False
refined_2_B,ethyl_acetate,8,80.0,96.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,3971.6430269389202,1.7119133371520547,50869.75569970711,16837.352815267353,20808.995842206274,1.8189894035458565e-12,,not_applicable_for_sampling_nozzle,True,False
refined_2_B,ethyl_acetate,9,96.0,104.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,1469.579654517337,0.6498212229337668,18927.524823876214,20808.995842206274,22278.57549672361,1.8189894035458565e-12,,not_applicable_for_sampling_nozzle,True,False
refined_2_B,ethyl_octanoate,1,0.0,24.0,24.0,0.0,-40.0,,unbounded_by_hardware,True,0.3363677094212516,0.05347993340820645,3.186890119157656,0.0,0.3363677094212516,7.105427357601002e-15,,not_applicable_for_sampling_nozzle,True,False
refined_2_B,ethyl_octanoate,2,24.0,28.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,0.26153121564199,0.020783223175751216,4.354462637034201,0.3363677094212516,0.5978989250632416,7.105427357601002e-15,,not_applicable_for_sampling_nozzle,True,False
refined_2_B,ethyl_octanoate,3,28.0,32.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,0.5865013033097632,0.03640020137355625,11.40341110185131,0.5978989250632416,1.184400228373005,7.105427357601002e-15,,not_applicable_for_sampling_nozzle,True,False
refined_2_B,ethyl_octanoate,4,32.0,48.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,5.315430713934351,0.48198710503412584,78.51633004623329,1.184400228373005,6.499830942307355,7.105427357601002e-15,,not_applicable_for_sampling_nozzle,True,False
refined_2_B,ethyl_octanoate,5,48.0,56.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,3.41295247611026,0.9262650238090291,34.88059987784155,6.499830942307355,9.912783418417614,7.105427357601002e-15,,not_applicable_for_sampling_nozzle,True,False
refined_2_B,ethyl_octanoate,6,56.0,72.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,8.66144402124415,3.877916445905468,73.03351055958476,9.912783418417614,18.57422743966176,7.105427357601002e-15,,not_applicable_for_sampling_nozzle,True,False
refined_2_B,ethyl_octanoate,7,72.0,80.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,4.320103238585044,1.8052042907797397,32.358166618927726,18.57422743966176,22.894330678246806,7.105427357601002e-15,,not_applicable_for_sampling_nozzle,True,False
refined_2_B,ethyl_octanoate,8,80.0,96.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,6.835118445588095,2.938988782909277,47.38974286980769,22.894330678246806,29.729449123834904,7.105427357601002e-15,,not_applicable_for_sampling_nozzle,True,False
refined_2_B,ethyl_octanoate,9,96.0,104.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,2.5121005135793464,1.154331452827451,16.499930747031954,29.729449123834904,32.24154963741425,7.105427357601002e-15,,not_applicable_for_sampling_nozzle,True,False
refined_2_B,isoamyl_acetate,1,0.0,24.0,24.0,0.0,-40.0,,unbounded_by_hardware,True,1.026851308482482,0.029608597164786657,14.079465718251189,0.0,1.026851308482482,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False
refined_2_B,isoamyl_acetate,2,24.0,28.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,1.2705107695673339,0.016903351698777498,19.667009775193808,1.026851308482482,2.2973620780498156,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False
refined_2_B,isoamyl_acetate,3,28.0,32.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,3.1968517889768586,0.03452471231928137,49.13601101863983,2.2973620780498156,5.494213867026675,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False
refined_2_B,isoamyl_acetate,4,32.0,48.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,34.648295740463524,0.8259446724037931,264.4796026708012,5.494213867026675,40.1425096074902,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False
refined_2_B,isoamyl_acetate,5,48.0,56.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,24.550622083274824,2.629957797595206,113.42916037129379,40.1425096074902,64.69313169076503,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False
refined_2_B,isoamyl_acetate,6,56.0,72.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,63.73649594934715,32.52160953279103,234.83785042426956,64.69313169076503,128.4296276401122,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False
refined_2_B,isoamyl_acetate,7,72.0,80.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,32.3935952756759,15.017899315175143,105.09175917854895,128.4296276401122,160.82322291578808,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False
refined_2_B,isoamyl_acetate,8,80.0,96.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,52.24036936025411,24.2988294303901,158.17331472477952,160.82322291578808,213.0635922760422,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False
refined_2_B,isoamyl_acetate,9,96.0,104.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,19.46574518662116,9.447691252844635,55.58004155853973,213.0635922760422,232.52933746266336,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False
