batch,state,t,mu0,qN,qXG,qXF,betaG0,betaF0,qEG,qEF
25086,F,198.0,-51.37674023585953,517.0508342708104,-1.522652944153299,-2.411359489040095,8.434151955538134,6.54742114793019,-8.147617351209629,-17.162699695912025
25086,F,216.0,-37.59694896253731,355.6620836488656,-1.0525284974999922,-1.5898182133959256,6.21960490209844,5.008026437133202,-6.065020494728791,-13.138066866331451
25086,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25086,E,12.0,16.03523336217689,-3.9539814190814897,0.009387391997317517,-0.0029223719314662405,6.161891121761897,2.884760118954858,0.012605165611773146,-0.0018238621925571893
25086,E,24.0,60.75243340964782,-187.4934222397308,0.06611302648236637,-0.020959706350238534,17.036116963742472,8.199084755703982,0.09744617592213213,-0.014674612114780241
25086,E,30.0,90.06957462313274,-437.02216194445776,0.12670220962002976,-0.04696364179607371,24.113887421323007,11.987169163175,0.19093388695734284,-0.034455967380444374
25086,E,48.0,151.0049841869519,-1253.0765826213221,0.26838574901544004,-0.15407541988003604,42.88670228846124,23.428596142794603,0.5066205659729877,-0.16451258721817122
25086,E,54.0,167.16499245509377,-1472.490789566096,0.27022686820002206,-0.19230044895519088,47.82218536077342,26.923809564307756,0.5228262494390462,-0.23301230184549576
25086,E,72.0,204.87326959364327,-1981.5876115733026,0.15904425628669458,-0.30200088984314943,59.403966436426366,36.0508347412997,0.05745935951909359,-0.49159529574915733
25086,E,102.0,239.10144961670184,-2454.7671426293377,-1.3397646829870495,-0.6399104377263392,75.19366760937828,53.85105770026762,-8.294812371099834,-1.6170307033768279
25086,E,120.0,231.9459286302563,-2393.008705185812,-3.364158118322141,-0.9772971292365762,83.06591045062513,65.91834444333071,-19.955799222308865,-3.0351745277095548
25086,E,126.0,224.90475483437453,-2318.8667871248185,-4.226335798931448,-1.13317894100659,85.47144734096695,70.24356770887744,-24.615438233575077,-3.762206869680541
25086,E,144.0,198.32174156872097,-2043.023418477596,-6.653655122228824,-1.6978411949878947,91.19290784435232,82.89040425480574,-38.018065876509105,-6.739837133958457
25086,E,150.0,188.87121259387357,-1946.9249268721128,-7.315128139238674,-1.936571516701373,92.61533990710178,86.98672622412866,-42.16582055827113,-8.148102007061391
25086,E,168.0,161.59707113049944,-1661.383436576505,-8.743705932657537,-2.8086853249995203,95.72922829351391,98.04646789384402,-52.94549824672567,-13.857565809699663
25086,E,174.0,152.287292233365,-1557.9928913368128,-9.104107031755875,-3.179123343991624,96.65113909477179,101.43744849672863,-56.09654833192683,-16.439899162354656
25086,E,192.0,121.53714376736417,-1201.4394484480883,-10.123599499588368,-4.5920282807568995,100.1292608041815,111.05121962658531,-64.6669468333436,-26.240284676395362
25086,E,198.0,106.63513495528804,-1032.6849387797631,-10.624275858195617,-5.391099834982445,102.37201416378534,114.92674255850561,-68.0366519448482,-31.31871938269625
25086,E,216.0,71.83930344211652,-643.7602018391849,-11.804132032252088,-7.27487538823049,107.98809680437192,123.39499307066488,-75.53127546162995,-42.85599529908355
25150,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25150,X,6.0,5.827729146426835,-0.7412282705618345,0.0,0.0,1.4051119850126968e-15,0.0,1.029246268649105e-15,0.0
25150,X,24.0,23.45515205571857,-253.98609284876844,8.881784197001252e-13,8.881784197001252e-13,-1.2364985468111732e-13,-1.1593820247042006e-13,9.469065671571767e-14,-8.58490035724521e-15
25150,X,30.0,41.607532583388036,-416.0487732568464,-8.881784197001252e-13,-8.881784197001252e-13,-1.0903669003698527e-12,-1.0975483167199767e-12,8.316309850684769e-13,-1.716980071449042e-14
25150,X,48.0,37.56475787907752,-452.9254009897047,-1.7763568394002505e-12,-8.881784197001252e-13,0.0,-7.729213498028006e-15,4.11698507459642e-15,0.0
25150,X,54.0,37.56466737463624,-452.9256089839415,0.0,0.0,5.620447940050787e-15,3.7842229286345115e-11,-2.0156758925224073e-11,-4.292450178622605e-15
25150,X,72.0,37.564665435606585,-452.9256123608702,0.0,-8.881784197001252e-13,5.620447940050787e-14,5.959223606979592e-12,-3.2194823283344007e-12,0.0
25150,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25150,N,6.0,-12.904935620330736,-283.88783282329,-2.099085063323245e-12,2.099085063323245e-12,0.0,0.0,9.729916517142849e-15,0.0
25150,N,24.0,-10.615829010674547,-67.22302513768545,3.2798204114425705e-14,1.4759191851491567e-13,7.896204100408919e-13,7.58504958739805e-13,-5.999861802328789e-13,1.2522245153629176e-14
25150,N,30.0,-41.66926380728939,-89.14580987607289,-1.311928164577028e-12,-2.6238563291540564e-13,7.141348158414249e-12,7.165196042974249e-12,-5.452401968293923e-12,1.1793101764936843e-13
25150,N,48.0,-0.0007679657494086315,-0.0007576371200318552,-7.00645229495178e-18,-2.0018435128433658e-18,7.00908792341065e-17,7.06757164277332e-17,-5.359649448682508e-17,1.151283108313353e-18
25150,N,54.0,-1.59784053907558e-05,-1.2779034156552031e-05,-1.2511521955271036e-19,1.2511521955271036e-19,-3.459890003762034e-19,-2.4723741193633325e-10,1.3169159601792092e-10,1.8139964941912075e-21
