batch,state,t,mu0,qN,betaG0,betaF0,qEG,qEF,iG
25026,E,60.0,623.8853550249873,-2002.7750512433047,42.92558249151875,31.14646094030572,-4.158799214798816,-0.40368224813008013,-195.19433970789362
25026,E,84.0,478.2102111385517,-2709.077171800497,60.111443050289914,54.92985350053417,-28.669555382808937,-1.6633163855001212,-236.64530681879134
25026,E,90.0,403.1707864298876,-2403.3339882192454,63.73292222985375,62.14429588274228,-37.726793866970056,-2.2850409383808277,-243.31370396613968
25026,E,108.0,270.2147930328787,-1832.7918543265587,68.54254077945285,80.85522907637547,-54.18303428579565,-5.035170380284284,-239.41748080583898
25026,E,114.0,253.75725374045274,-1788.7637911761124,68.68786207962387,85.93204204254626,-56.18678998256429,-6.387497238822672,-231.04595258619588
25026,E,132.0,224.67158076662724,-1717.1164422495801,68.18542862586509,98.29971064567675,-58.101742698616604,-11.922787221403416,-197.11430106151528
25026,E,138.0,213.51845583949026,-1660.0163850561398,68.13606146004099,101.84931572981057,-58.33434751496777,-14.483884627871534,-183.43230931413302
25086,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25086,X,12.0,4.199433347392919,-0.3145362535458986,-4.710147230356202e-12,6.447955709353728e-12,4.13964216444787e-12,-2.220230429206287e-12,-7.230568267232566e-11
25086,X,24.0,12.325325803335213,-2.634602393095466,-7.943851576725455e-11,1.0821410425924798e-10,6.964041346759131e-11,-3.723583948668851e-11,-1.2130087660252843e-09
25086,X,30.0,19.34297389124373,-4.171132016944934,-5.052648245702569e-10,6.94674455386732e-10,4.4506880795958357e-10,-2.3915384907450456e-10,-7.795031189067789e-09
25086,X,48.0,55.25123795080197,-34.3451918715534,-4.4541554999348956e-09,5.65650569269267e-09,3.754509248789445e-09,-1.9397343583465618e-09,-6.29721029207494e-08
25086,X,54.0,60.60985519231618,-124.91778963703072,-6.727333066897298e-09,7.192922869858202e-09,3.3191082551860916e-09,-2.4793779520936437e-09,-8.066029697077059e-08
25086,X,72.0,36.831075728302174,-404.7055341372375,-4.905415272186876e-09,-8.049549641474639e-09,2.5889617016690683e-09,3.303368800099074e-09,8.945165448421486e-08
25086,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25086,N,12.0,-0.08745747009497501,-3.2143537059439646,4.3184363840434003e-13,-5.914936698849077e-13,-3.7948829427565425e-13,2.0343412305227406e-13,6.627629901016224e-12
25086,N,24.0,-0.3971472634088906,-7.735026915266596,7.282159855319438e-12,-9.920169738226587e-12,-6.383899704640915e-12,3.4132852862797797e-12,1.1119755335696158e-10
25086,N,30.0,-0.723637837796682,-11.03020004048187,4.631749577970935e-11,-6.368171534680088e-11,-4.07991448836321e-11,2.1922745497162808e-11,7.145640761952289e-10
25086,N,48.0,-2.6035655126587605,-23.556494726037883,4.083101020205982e-10,-5.185296646178312e-10,-3.441742069037175e-10,1.778149084895577e-10,5.772618722511495e-09
25086,N,54.0,-2.566321465200347,-21.36402588211082,6.166911868976655e-10,-6.593717854267524e-10,-3.0426059403885713e-10,2.272828952468733e-10,7.394065445215512e-09
25086,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25086,G,12.0,-17.26673736887602,1.0356489174555108,0.1870326473151035,0.10529497984618806,-4.206185878686672,-0.0003631777062400314,-0.9737945446080849
25086,G,24.0,-70.04526284199834,10.556248552362543,0.8678686715671758,0.49765400180048924,-9.907973439388938,-0.0021750298445999514,-4.5003658431028475
25086,G,30.0,-115.75471422270466,20.613037753432288,1.475209075059259,0.8536850859179909,-13.454822924440103,-0.004358627243817006,-7.629958470375779
25086,G,48.0,-348.61808802766836,128.06176312627343,4.810304538159409,2.9191577502982136,-26.95223004539903,-0.02475153507976235,-24.45914988218126
25086,G,54.0,-431.27891303320956,341.7949276224423,6.400529095498109,3.967965430628129,-32.01193780780464,-0.040264807939835855,-32.23919887749334
25086,G,72.0,-468.65284206861753,1758.7886514144245,10.53940686466437,6.935551564325872,-42.426791229260665,-0.10454695126881841,-51.56220188950345
25086,G,102.0,-266.70270602058594,1623.7336448857702,8.176174673081384,6.006223174611006,-28.802373179405844,-0.14694613278817378,-37.26940908943283
25086,G,120.0,-93.47820218446113,604.8477695603831,3.116853888655981,2.478470807621675,-11.51150145813788,-0.0724838247591532,-13.131547338181178
25086,G,126.0,-59.76255443551741,391.1799876747387,2.0299822201681303,1.6491063656980187,-7.734003998029348,-0.0516525818725122,-8.340286041573494
25086,G,144.0,-13.963758450787155,94.5567361667555,0.501956306763931,0.4348432818383105,-2.079808531652292,-0.0169937616852563,-1.9313889212458801
25086,G,150.0,-8.493990010676683,58.164094343469344,0.3111989452339664,0.2752307067556283,-1.319774577743035,-0.011665067826279818,-1.1737785795909916
25086,G,168.0,-1.9316498975250482,13.629037827118157,0.07483272967058671,0.07019722181309666,-0.33856868609159857,-0.0038522187992357207,-0.2661543363873441
25086,G,174.0,-1.187706362159064,8.452151004030936,0.04681755883300003,0.044711654533788,-0.21642942469981233,-0.0026906876975853855,-0.16318200608951416
25086,G,192.0,-0.28439767049288034,2.068457387615154,0.011780734752315298,0.011812986530507639,-0.0581965768436845,-0.0009592310793480634,-0.03839940310858644
25086,G,198.0,-0.18304902188688874,1.3388761839211456,0.007685187972419291,0.007808080046440304,-0.03876483359141192,-0.0007446168578946873,-0.024263436957102074
25086,G,216.0,-0.04916283400702428,0.3651837763467241,0.0021954963052774864,0.002328186236543595,-0.011775209947209738,-0.00031869721215516106,-0.006257992172621946
25086,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25086,F,12.0,-7.380584309268909,0.46972705794635905,0.05923816054771673,0.03335133507381397,-0.022814367483426534,-2.3921328497964516,42.528333777069165
25086,F,24.0,-28.83420033459984,4.652420873003868,0.28549649473884126,0.16369552644154997,-0.1228385529810102,-5.766880175635096,99.73033648980739
25086,F,30.0,-48.679003233621,8.959216791332176,0.5044537338853378,0.29193783999171147,-0.23220164458822581,-8.004304015354336,134.85101859363903
25086,F,48.0,-165.49994400861593,66.06135384751597,1.9218212250464821,1.1664070651963063,-1.1261060958050286,-17.622835841756856,266.55968090815554
25086,F,54.0,-215.59395356588254,198.4498699778012,2.7588547696646017,1.710606790293438,-1.7667028195167336,-21.982122038660254,315.5287533271153
25086,F,72.0,-287.1309663403166,1156.5370036520292,5.885039689637255,3.8693306745372644,-4.6900181619474495,-34.946333452938134,428.9552362737608
25086,F,102.0,-419.9151242078433,2686.5110690480888,12.144633330334424,8.910518814374935,-11.372368330041265,-56.7606005924586,482.62003088601836
25086,F,120.0,-478.7890378350817,3436.710004634896,16.20322698905448,12.985123463354359,-15.182518545690714,-68.38865842073974,466.700191627812
25086,F,126.0,-494.80644695962053,3657.6220609768498,17.514986391026877,14.396381129713353,-16.287044306234087,-71.97782697154659,458.16827404790155
25086,F,144.0,-531.8320698960795,4204.7735644075165,21.01681593527909,18.59837088596902,-19.08995613675126,-81.17563496027539,429.87930181340016
25086,F,150.0,-540.7706167245238,4352.79517517037,22.048230528436722,19.98383795656769,-19.88406216018792,-83.72779552579054,419.3512145702544
25086,F,168.0,-556.4279144305932,4677.187571130365,24.637818388513196,23.896780648342936,-21.83426172779352,-89.44479394599868,385.58780849023475
25086,F,174.0,-557.379469338118,4741.238389836381,25.29770986671043,25.066657951989693,-22.3150365046529,-90.5955123043233,373.0620492519859
25086,F,192.0,-544.5749489916417,4770.896892107803,26.474979527319316,27.876474046985717,-23.103341126921016,-91.16609085199977,330.79396770836706
