profiled_theta,theta_value,theta_hat,objective,lr_stat,success,status,error,estimated_betaG0,estimated_betaF0,estimated_Kn0,estimated_Kg0,estimated_Kf0,estimated_Kig0,estimated_Kie0,estimated_Kd0,estimated_Yxn,estimated_Yxg,estimated_Yxf,estimated_Yeg,estimated_Yef,estimated_mu0,lr_stat_rebased
Kg0,2.5009875,0.001,3698.589991753092,44.98848621090201,True,optimal,,2.0,1.0079107414925883,0.8479620217730758,,0.06348088119740182,46.46374622722356,8.509116340101475,0.0013472815557285223,7.848767071394161,10.0,0.07393208317710476,0.8139773322326196,0.7625074200739386,1.0,44.98848621090201
Kg0,3.75098125,0.001,3705.7320048584193,59.27251242155671,True,optimal,,2.0,1.0002113873985983,0.8478460984553512,,0.05153611649902299,49.848845067735496,8.735115318851404,0.0014842769572798108,7.876887207658571,10.0,0.07664948807878348,0.8047045651523792,0.7644478572853526,1.0,59.27251242155671
Kg0,5.000975,0.001,3715.267817345583,78.34413739588399,True,optimal,,2.0,0.975358592828745,0.8491745302622427,,0.05311096967808207,53.32035660348199,9.042956414646223,0.0014891616835353157,7.868726257207525,10.0,0.0778380458548022,0.8004658132168546,0.7680282305900024,1.0,78.34413739588399
Kg0,6.25096875,0.001,3724.240011711292,96.28852612730225,True,optimal,,2.0,0.9576772307198912,0.8501802858967035,,0.05533607980604408,56.723391755612006,9.32654474980534,0.0014988290050789422,7.864194928439904,10.0,0.0790665394296383,0.7947015332205952,0.7740347731914226,1.0,96.28852612730225
Kg0,7.500962500000001,0.001,3731.9304421984475,111.66938710161321,True,optimal,,2.0,0.9545353410269772,0.850601640533531,,0.053454669412803545,60.06007560040368,9.546639190066456,0.0015522304015585557,7.867529091861152,10.0,0.08084931202422918,0.7847648841325822,0.7832133166140849,1.0,111.66938710161321
Kg0,8.75095625,0.001,3739.7391828013633,127.28686830744482,True,optimal,,2.0,0.9463484017653665,0.8510037472121802,,0.056515737799020395,63.45855361102872,9.780264441767649,0.0015720800806745035,7.870265489533427,10.0,0.08226574962616225,0.776948452808537,0.7916119185712117,1.0,127.28686830744482
Kg0,10.00095,0.001,3745.437728017351,138.68395873942063,True,optimal,,2.0,0.9581245810405494,0.8502466451027823,,0.054146388258185685,66.80467673423355,9.90019235164103,0.0016672177614101297,7.894557321459027,10.0,0.08487641698109788,0.7635238095518008,0.8027404009469378,1.0,138.68395873942063
Kf0,0.001,0.0772367913955493,3676.1901831101836,0.18886892508544406,True,optimal,,2.0,1.0579251317859992,0.8421287670455028,0.001,,41.82149565916831,7.7189486900143045,0.0013316985599235056,7.885387008776365,3.117051764895362,0.07286678554827604,0.8370290319795597,0.7320591382815775,1.0,0.18886892508544406
Kf0,0.0772367913955493,0.0772367913955493,3676.714823961289,1.2381506272959086,True,optimal,,2.0,1.0629649701511572,0.8420080832206368,0.001,,41.60589483723599,7.7146510603485465,0.0013405075792243103,7.888482989747031,3.0463711254410186,0.07286513909197234,0.8370324699204423,0.7340876370027625,1.0,1.2381506272959086
Kf0,1.2605233489244436,0.0772367913955493,3674.5345593715624,-3.122378552156988,True,optimal,,2.0,1.2021000365480923,0.8377630695052605,0.001,,37.18549924808644,7.516842777203169,0.0014292195099648692,7.964458330707172,1.8031003097429639,0.08519694169278043,0.8308971383124915,0.6722248111635108,1.0,-3.122378552156988
Kf0,2.5200466978488874,0.0772367913955493,3679.2414958246836,6.291494354085444,True,optimal,,2.0,1.2742638132109927,0.8378887416400711,0.001,,33.534160499822974,7.5530657790380005,0.0013652388619767853,7.947741852820298,1.5319930773278412,0.0921556692615541,0.8360530110342008,0.6349982270747514,1.0,6.291494354085444
Kf0,3.779570046773331,0.0772367913955493,3684.3486618806905,16.50582646609928,True,optimal,,2.0,1.3361020634750476,0.8381224146335363,0.001,,30.355871945105463,7.6122693418681,0.0013122727492320331,7.933602954496314,1.3059547571558974,0.09750431913314775,0.8436584745525124,0.6069572279043685,1.0,16.50582646609928
Kf0,5.039093395697775,0.0772367913955493,3689.4360971875844,26.680697079887068,True,optimal,,2.0,1.3907927524066512,0.838390657889351,0.001,,27.58609857798263,7.6841790646019525,0.0012690715641582961,7.921879160721754,1.1156475616331403,0.10145702717167751,0.8529671698652743,0.5840946696313436,1.0,26.680697079887068
