,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
gammaF0,3.5881297572754445,-1.486441289688226,-2.3612354566342404,-0.6379857175858556,-14.22852535137177,-0.3187613424509574,0.19677347139626788,-2.0096385998982327,0.0,21.630168556245543,0.32358754816486673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_N,-18.697309936154472,-145.04905401883184,-42.717957678993855,-16.620199999314888,146.02080159062567,83.01186643939226,-23.34064945206357,-39.423086011501425,0.0,0.0,0.0,234.28583062022986,60.7248205630252,-63.57586525378457,4.253388367689598,-0.26105834597137406,0.007387526282886087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrO2,-12.746714045287856,-37.39223957082367,-11.557075095120759,-4.590373344754468,37.9703841231283,21.63899677285854,-5.965676255737912,-10.414016541876492,0.0,0.0,0.0,60.7248205630252,17.707275587849175,-23.619436815963894,1.1785635808459125,-0.07580055569041033,0.001770114642724298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrDrain,34.07920891110463,29.90804233041111,13.234702847817196,5.52253888820998,-40.31606857789121,-23.00806962298519,6.108308907735519,11.015710093881232,0.0,0.0,0.0,-63.57586525378457,-23.619436815963894,46.55864635495054,-1.5004898577703192,0.10380780997911743,-0.0016296182530540447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_N,130.63726567605218,-1239.7733828971727,-295.2358668681249,-111.16835506077226,1054.9545417208415,601.9068179815193,-170.9424172004354,-301.6336829282201,0.0,0.0,0.0,4.253388367689598,1.1785635808459125,-1.5004898577703192,1728.2589512023712,-83.44106261820427,5.013538994081331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAld,2.200940426949598,60.4466548150267,16.325887349613318,6.656255773538016,-51.63505978659276,-29.458779573335562,7.9612385299422765,14.255082713577815,0.0,0.0,0.0,-0.26105834597137406,-0.07580055569041033,0.10380780997911743,-83.44106261820427,4.930644763418196,6.629225636777185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcStress,197.53056037751315,-164.34037011314325,54.367502668935714,36.524008676049725,-24.04251322577804,-10.33951348737347,-6.54691698213223,-22.50442078666953,0.0,0.0,0.0,0.007387526282886087,0.001770114642724298,-0.0016296182530540447,5.013538994081331,6.629225636777185,220.09112945465287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_EA_growth,82.85081376270838,18.090623441383304,-31.787689337152145,-16.92295869457002,59.672165514330736,48.45390868453667,-7.090778161679275,-30.76216392462451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.973920712391646,209.9630245714618,0.0,0.0,0.0,0.0,-11.756758290871263,0.0,0.0
k_EA_stationary,302.41668099973805,113.41207882519106,-124.47968965078417,-80.66717348631973,163.99210015072552,177.4833470335758,-13.714327579894919,-111.26346112910286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.9630245714618,1359.9918699380169,0.0,0.0,0.0,0.0,-81.76300637691327,0.0,0.0
k_IAA_growth,64.68781297032746,22.22190777691492,-22.324287673644516,-12.24495761914898,39.72025050143898,34.031333515136666,-4.546790734385229,-22.487576342556594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.890014045325827,165.48696526488266,0.0,0.0,0.0,-9.608223354238337,0.0
k_IAA_stationary,339.76720778430655,185.23442085532844,-119.0016045443872,-82.52927504367729,134.22530908300564,171.82128856663152,-8.766704566229432,-114.11103943739873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.48696526488266,1541.9022759723134,0.0,0.0,0.0,-97.26747234310456,0.0
k_EO_growth,67.37113999136056,21.796057341002662,-22.655756179555357,-12.626468355761022,41.741091391682225,35.65009225807985,-4.939201837365585,-23.672423079809555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.564976260940497,171.41462920070325,0.0,0.0,-11.822111082516145
k_EO_stationary,333.53475398820353,171.81709920716423,-109.00320704538055,-79.45021718933243,130.3313405726114,168.7647068880686,-9.825216030509647,-114.13923729967578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.41462920070325,1513.0972052553993,0.0,0.0,-113.52463917046572
alpha_EA_loss,-14.736106941703772,-7.447859798682628,6.281598871658143,4.5904181298743065,-6.887718575836717,-8.679688227130054,0.38135124360211087,5.143712018279973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.756758290871263,-81.76300637691327,0.0,0.0,0.0,0.0,5.5958124122046415,0.0,0.0
alpha_IAA_loss,-16.900290622724853,-12.192657467971346,5.886874152649093,4.861475781851994,-4.669826819996743,-8.307888609442209,0.001949822511928951,5.235864328770346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.608223354238337,-97.26747234310456,0.0,0.0,0.0,7.138968244398846,0.0
alpha_EO_loss,-20.099441151753147,-13.34939912352134,6.301831979160133,5.687718556456962,-5.5981646537434875,-9.98517086904214,0.1379436770463767,6.455420722587089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.822111082516145,-113.52463917046572,0.0,0.0,10.249829473342754
