mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAldRed,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim
14.880971363083994,-12.192551571685595,17.479644811175564,4.708522236849544,-4.825460422271877,-0.30392388685673843,-1.5192798675120578,-8.67729534483539,-0.02211302390000558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.951427649182024,-11.606615738821423,17.333718518138564,4.800657877282122,-5.964997150891893,-0.46842652617915537,-1.4281917358656582,-8.360117629783792,-0.05880511310281111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.035389469172811,-8.456901624636059,19.652324969286155,5.621756282182427,-11.756898002179188,-3.131508552042528,-0.7069481615791184,-6.480194862381122,-0.21763278717495949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.225530176393585,-5.9327055373157025,21.308577583126926,6.073958820581277,-14.640684643605772,-5.777864709426655,-0.030570581876659952,-4.828640240407111,-0.21914670486816168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5495856580883083,-2.5968267598370427,24.48990306366775,6.440911489827175,-20.688314041681277,-7.147577026598597,0.2567150093805953,-2.671152506213273,-0.22951476655211633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8596084147731875,-1.9423792287278112,25.896963503672264,6.645520736057633,-22.707371890533743,-7.353748508057861,0.25400239893444143,-2.274307000670697,-0.22290557076711792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.344131569286609e-14,-6.344131569286609e-14,0.0,0.0,0.0,0.0,-6.344131569286609e-14,0.0,0.0,0.0,-6.344131569286609e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22544500194277006,-0.0012063484382235368,-0.18196283601389085,-0.006476373510491684,-0.005459190676024295,-1.664756522912203e-05,-0.011028970559553986,-0.1304571999166837,0.0,1.0235164585266714,0.028075925730700058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1321972407468137,-0.8559729131833338,-1.1375860875121213,-0.08685373125600915,-0.13281704788699056,-0.0004182734396951382,-0.01908166082361662,-0.8641334431810477,0.0,4.23157548991604,0.13068109754384993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4968480865603104,-1.30268352713665,-1.429295943179576,-0.11660571289758836,-0.20661712516265585,-0.0006905633164966396,-0.016892400117440864,-1.0939089720145012,0.0,5.019624819349788,0.15883237886082924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
