,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAldRed,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim
gammaF0,11.869770897831831,-8.381025717838646,-17.880529031377307,-1.6212896671199455,-94.39164755029933,-6.766084708260981,0.8919435882010863,-10.921354006739433,-0.3877120077542683,130.38504443627258,5.964742231010827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_N,-63.462555477849556,-135.37026305273895,-15.892780671872801,1.199219289454966,97.59684212782574,60.33070210127951,-32.88412751810445,-46.50001979730658,8.758847750671157,0.0,0.0,179.42431152981072,142.43426673111108,-180.72737880950478,0.4693743837854856,-0.0008724446585771729,-0.6059237492475575,0.019529203557170187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrO2,-95.55526243281675,-76.77642547927157,-1.3204925278351212,4.353101364254683,68.31245213874745,46.90556270917792,-26.37868514125209,-41.62525878002284,12.851048745344713,0.0,0.0,142.43426673111108,156.48474905828667,-218.76625191836226,0.33380215383820666,-0.0007013576079890154,-0.46489123822476686,0.009720124281480908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrDrain,147.2242502483834,75.45373267533085,-8.16761605064831,-8.382715113622226,-79.4316561809018,-58.31518345611576,33.79686194560169,56.155232264507106,-20.92707830954162,0.0,0.0,-180.72737880950478,-218.76625191836226,317.1984002136333,-0.37288877578753765,0.0008155633272471142,0.5303057836082289,-0.009147354110622145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_N,-175.2209533823389,-1332.6515523059027,-228.802139475171,-23.909023510029904,862.1909734002681,498.33042938760315,-256.9453061813969,-345.52094690722134,0.856109315820182,0.0,0.0,0.4693743837854856,0.33380215383820666,-0.37288877578753765,1426.9577065731528,-1.738656435952887,-1372.3037574994023,93.03396141784356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldRed,0.20910260538291994,1.7047649226302735,0.2781265407094153,0.026590748667728176,-1.0279606940529775,-0.6132403002302357,0.3098198910803571,0.4355948804033595,-0.012621952616087813,0.0,0.0,-0.0008724446585771729,-0.0007013576079890154,0.0008155633272471142,-1.738656435952887,0.0035605000347757472,2.3581565542461984,-0.053927187613477735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAld,466.41484493298583,1076.9320848649895,241.07602035292115,22.467189677703196,-803.1437432686648,-480.61012090648853,242.630704832058,329.09167992068336,-34.42233928966961,0.0,0.0,-0.6059237492475575,-0.46489123822476686,0.5303057836082289,-1372.3037574994023,2.3581565542461984,1819.750658325931,321.3462459833228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcStress,811.8574540742355,-829.7954398846517,27.146247569380243,-4.802804107167539,110.12405112148093,42.7421331398464,-23.730543498077875,-53.843656296718216,-96.60254166319048,0.0,0.0,0.019529203557170187,0.009720124281480908,-0.009147354110622145,93.03396141784356,-0.053927187613477735,321.3462459833228,1210.056372203041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_EA_growth,0.083873440609159,-0.023097013890149745,0.038376168432946535,0.012717885301019263,-0.024184114615505667,0.0044027488424984015,-0.00582541878542204,-0.01702598102337625,-0.000533473048390837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.120561885002018e-05,0.02530439138213255,0.0,0.0,0.0,0.0,0.02656854989112538,0.0,0.0,3.0001188554856827e-05,0.09766871063807522
k_EA_stationary,27.334032915377403,-9.46960683490326,12.823268070778326,4.3586655094690006,-9.252118937100608,1.2419128526833634,-1.8150739390555517,-5.219874089215394,-0.19357077379361656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02530439138213255,8.180996637523123,0.0,0.0,0.0,0.0,8.853147864651733,0.0,0.0,0.009808804905975889,32.77753506803059
k_IAA_growth,45.56731363060624,-34.20989435498551,-18.472960662890426,-0.8635994905902593,86.48340136049319,48.87140432624011,-26.279659309590542,-38.609665026451374,1.3805065841367707e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.07637103663224,60.7914379305092,0.0,0.0,0.0,22.240930664083482,0.0,0.0,0.0
k_IAA_stationary,40.8168587164421,-34.313180416843075,-13.875493153873325,-0.10755831387798453,68.87367524457876,39.696835192571655,-21.158812362264324,-33.911612612413734,1.9721522630525295e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.7914379305092,53.4316228326456,0.0,0.0,0.0,26.099365245472285,0.0,0.0,0.0
k_EO_growth,31.03962476700268,-219.54770432681798,-35.2809684163788,2.824299064798101,119.84626416797117,90.30625780610097,-46.65710517749845,-59.890742961181196,-0.7908827204226305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.58274824296154,174.06801545103082,0.0,0.0,89.63388440258906,0.0,0.0
k_EO_stationary,26.73903691261313,-175.47671008096555,-43.3036746594946,-5.568176082581412,113.10368791877973,72.61479753027427,-32.3234829276689,-49.263217358345024,-0.6093313022371106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.06801545103082,175.96763914525192,0.0,0.0,12.819787264565424,0.0,0.0
alpha_EA_loss,27.884445399077237,-12.659588861239184,25.17138701674576,9.990089170664115,-31.802172350201747,-1.9417873297723487,-1.6190870651551421,-3.9576941975461954,-0.5127699805078337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02656854989112538,8.853147864651733,0.0,0.0,0.0,0.0,23.21845217794222,0.0,0.0,0.010998264262764972,37.28980761277557
alpha_IAA_loss,29.814318238303443,-27.17638395864657,5.903614747293195,3.4110320685232645,25.88699158824546,17.400203327989512,-9.833774504195503,-24.099724608002756,5.9164567891575885e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.240930664083482,26.099365245472285,0.0,0.0,0.0,50.41149512754597,0.0,0.0,0.0
alpha_EO_loss,-9.729047925490526,-52.252221719735275,39.912232769047336,23.020197357234185,-48.21979947117197,7.33824314540526,-16.150893941756284,-1.5664966389162203,-0.627383229950202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.63388440258906,12.819787264565424,0.0,0.0,195.29141345754775,0.0,0.0
k_EA_XE,0.03271153955887998,-0.011609715164077657,0.01571315190823235,0.005392704171574877,-0.011849164175021683,0.0013774801391145983,-0.002156968892999967,-0.0061636975320347905,-0.00024283715022264344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0001188554856827e-05,0.009808804905975889,0.0,0.0,0.0,0.0,0.010998264262764972,0.0,0.0,1.1784195737810039e-05,0.03946053029749097
k_EA_XE_Nlim,109.35409281359208,-40.157136231168096,53.08289241861617,18.325269432773485,-41.14229372521628,4.389822365978428,-7.1520581017396525,-20.347675355879645,-0.8338809172473434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09766871063807522,32.77753506803059,0.0,0.0,0.0,0.0,37.28980761277557,0.0,0.0,0.03946053029749097,132.67482282861366
