,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAldRed,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim
gammaF0,11.659075146849968,-8.649013078241296,-17.188287193431382,-1.496954634286225,-102.40329996367235,-8.065120070186186,1.0591991595920156,-10.189048104318516,-0.2704082959959683,138.4233019157662,6.385628299058354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_N,-39.27500016885739,-57.05611944878306,-8.09823841610861,1.4534940028829904,69.85960205035306,51.67083684929288,-25.514896727809703,-31.360577481735948,7.581170829441274,0.0,0.0,141.62617178558028,125.33485821714183,-159.37266270345677,0.388455343056345,-0.0008394356307442673,-0.5516512813667631,0.01935469535579683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrO2,-79.66000302231761,-9.632328646607041,5.12776337671852,4.9661726377971265,52.52837467462523,44.331030670624294,-22.83011576593092,-32.81248899287611,12.634780924954738,0.0,0.0,125.33485821714183,155.74497899112973,-217.5696125574286,0.3122213143387804,-0.0007693771197093092,-0.4803702002546134,0.010662079288097627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrDrain,127.26226483659946,-12.684204312815798,-16.763817490881355,-9.314885928037736,-59.575451120293124,-54.891476893862055,29.338892415569465,45.06477390987488,-20.56634960111078,0.0,0.0,-159.37266270345677,-217.5696125574286,315.5459674776348,-0.3513503525153929,0.0008995122003172988,0.5507180263358951,-0.010203319170557192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_N,-18.048407907032143,-739.3111873818831,-166.72231863863672,-20.167739916529143,645.9584991701098,439.2766763191702,-203.2990856280352,-230.22969721678987,-0.14680664455365244,0.0,0.0,0.388455343056345,0.3122213143387804,-0.3513503525153929,1153.1343108431406,-1.6251990988765384,-1217.14111125877,91.0245157868081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldRed,-0.007144177043542088,1.0772629980977835,0.2355190597524089,0.027030518916876193,-0.8899149278862684,-0.6238478737804511,0.282373160607487,0.3413268110967299,-0.010845996202182996,0.0,0.0,-0.0008394356307442673,-0.0007693771197093092,0.0008995122003172988,-1.6251990988765384,0.003894465611050466,2.4295475242151725,-0.05948357549118896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAld,310.9347300305406,511.04034579928896,194.21951529940117,22.1816137342704,-661.5203583689135,-464.81862357651164,210.0830609257012,245.308656074621,-33.84449752162098,0.0,0.0,-0.5516512813667631,-0.4803702002546134,0.5507180263358951,-1217.14111125877,2.4295475242151725,1779.0834823129353,338.74360912571035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcStress,924.1323206258745,-939.0751650730213,24.067000830922417,-1.9904506537994076,93.00458356161482,43.10116519712882,-22.397364192792153,-37.00766221370658,-106.42130177718896,0.0,0.0,0.01935469535579683,0.010662079288097627,-0.010203319170557192,91.0245157868081,-0.05948357549118896,338.74360912571035,1380.830963972735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_EA_growth,0.07954176145061123,-0.04875164503785187,0.047321540490201555,0.015531913399463144,-0.030023617309707054,-0.005296831456029983,-0.003885117793072154,-0.013085437102894216,-0.0004735140483252386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.721611143450451e-05,0.03134542874016607,0.0,0.0,0.0,0.0,0.02558793132330064,0.0,0.0,3.160898540635965e-05,0.10496539680854475
k_EA_stationary,33.66463566923737,-22.14917436658296,19.035454594110558,6.234402281221161,-12.440786892872708,-2.176423779885092,-1.520835293327617,-5.053962658239456,-0.19748996104920524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03134542874016607,13.013823632364357,0.0,0.0,0.0,0.0,9.494479274045048,0.0,0.0,0.01340388442073374,45.501587144022
k_IAA_growth,43.93083971215664,-38.16430403106893,-5.654743533916695,1.4391524346360882,60.392140136957394,42.644620080064485,-21.045454992879115,-31.90160046161208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.79923204977157,53.96670453099227,0.0,0.0,0.0,42.68117690827994,0.0,0.0,0.0
k_IAA_stationary,52.841303213224045,-49.670281164022796,-1.2078557090574096,3.2679774101011017,59.53527773921307,44.623117440200396,-22.042428298010265,-39.295959962505925,1.9721522630525295e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.96670453099227,61.37666542880028,0.0,0.0,0.0,66.15034047542123,0.0,0.0,0.0
k_EO_growth,52.22121956601517,-155.42258414186648,-19.123085511243254,2.9914348650680913,94.51744155827271,89.1651392606879,-42.42387486293562,-50.81596703604504,-0.4209845067194825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.89187067705438,171.31516868818542,0.0,0.0,99.13241329871951,0.0,0.0
k_EO_stationary,44.98617589477359,-134.34374550720432,-36.71504897379909,-4.782411249943433,102.8171386928144,77.14328762813744,-32.22490678593497,-43.18940496378233,-0.3825588382979704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.31516868818542,194.17473527317364,0.0,0.0,19.41050335853731,0.0,0.0
alpha_EA_loss,19.135206374035512,-11.72629101755876,29.142078084874854,10.201154426375075,-33.14806331673876,-10.846977565659168,0.46939861037785335,-0.41260361317859895,-0.37386990466937875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02558793132330064,9.494479274045048,0.0,0.0,0.0,0.0,20.84505437115928,0.0,0.0,0.009964928954755592,34.00219686151495
alpha_IAA_loss,64.76405667823637,-65.76435106265656,10.9579339335624,6.853422513766804,51.77758179810269,43.02615912604111,-21.716451238014045,-49.54969590005745,5.9164567891575885e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.68117690827994,66.15034047542123,0.0,0.0,0.0,107.34524090336946,0.0,0.0,0.0
alpha_EO_loss,11.185516310205116,-57.373401854610634,46.94015074542769,19.943242376713062,-35.054507518047686,23.599352276434587,-21.368558379147466,-16.264721900704664,-0.3218028196106744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.13241329871951,19.41050335853731,0.0,0.0,208.23251943763262,0.0,0.0
k_EA_XE,0.034296909003284845,-0.022789362313412418,0.02026687648715004,0.006724314018457973,-0.014227526931012448,-0.002889928234527345,-0.0013974771634712763,-0.004738396231219532,-0.00022038376747822154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.160898540635965e-05,0.01340388442073374,0.0,0.0,0.0,0.0,0.009964928954755592,0.0,0.0,1.3932199944289496e-05,0.04715678880638726
k_EA_XE_Nlim,118.47197852931473,-79.44083027641696,67.39145530551556,21.947918244075442,-45.69401085808306,-8.155417628254362,-5.184784532874044,-17.29881894559263,-0.7036344524379389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10496539680854475,45.501587144022,0.0,0.0,0.0,0.0,34.00219686151495,0.0,0.0,0.04715678880638726,162.1589775451572
