,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAldRed,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim
gammaF0,14.291446164734882,-11.773088655560311,-24.62765728468502,-2.571899136462889,-97.93467011717726,-7.801878555178582,1.0898074151550023,-11.265611389166136,-1.1223908531885116,144.26107034475737,6.835486586402628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_N,-8.986354721630969,-80.46029146140098,2.1713686200721596,3.6784482811408683,49.334550657617136,42.76156140058337,-20.25811170992569,-21.921217413316327,9.379622073339908,0.0,0.0,112.94949942772317,113.9923089031317,-128.8130810122366,0.2545886077670659,-0.00045076379167431743,-0.39860340269070205,0.01347495371744331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrO2,-34.54533812649672,-56.641279626878095,21.70803724214709,9.960027102461185,38.46380169646218,40.13758194506681,-21.301384892879412,-28.549575463092555,18.618940207547407,0.0,0.0,113.9923089031317,167.68728689268124,-202.40811032205917,0.20646908974144307,-0.00042263208196711944,-0.35890763985728286,0.007888857170623795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrDrain,46.95389290220142,56.195284825803604,-31.88759888287689,-13.591743074391276,-39.14629558230913,-44.14111153559409,24.381087712913985,34.506333930789516,-24.380229531804243,0.0,0.0,-128.8130810122366,-202.40811032205917,247.6871466575946,-0.2131132025919067,0.00044813261371936603,0.37715299465280916,-0.00743062510364792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_N,-91.62086485610249,-576.6935374603456,-54.36689940794153,3.6687331670064154,426.5494030000576,339.71663178914,-151.70915927575504,-146.71238051003203,20.209628338063936,0.0,0.0,0.2545886077670659,0.20646908974144307,-0.2131132025919067,858.9518824278421,-1.0141706286454806,-977.9284214508551,65.29514445819774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldRed,0.14816254675270432,0.6314502272072668,-0.01092540013126132,-0.028603290067977218,-0.459888136239718,-0.3902881896108641,0.18247990795092928,0.20029019935731956,-0.057299839055492185,0.0,0.0,-0.00045076379167431743,-0.00042263208196711944,0.00044813261371936603,-1.0141706286454806,0.0019375128205027597,1.6670926270667907,-0.04500990457877109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAld,348.92225022218213,415.84385064177667,-34.934817096723634,-37.80098090344853,-420.0551555903066,-370.73948609234685,176.54448449256802,202.47054817824682,-94.66042701953012,0.0,0.0,-0.39860340269070205,-0.35890763985728286,0.37715299465280916,-977.9284214508551,1.6670926270667907,1604.38695804999,274.88083663540294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcStress,570.5878413036412,-597.7747161598379,-156.54004888690434,-55.18740701755694,148.30363418200085,55.72994808372449,-6.456614930812588,40.55142338672292,-152.43638833054683,0.0,0.0,0.01347495371744331,0.007888857170623795,-0.00743062510364792,65.29514445819774,-0.04500990457877109,274.88083663540294,990.469914134973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_EA_growth,0.07240412064678813,-0.0494833673913116,0.02034734839474904,0.006639610158076806,0.007106294365913851,0.012396651762835942,-0.006528566274158111,-0.018676699453135794,-3.3444241483253712e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.427621964897153e-05,0.027516744045695256,0.0,0.0,0.0,0.0,0.014105585591732278,0.0,0.0,2.190707826325403e-05,0.07732795906614229
k_EA_stationary,39.25262409094565,-28.91973010008288,9.1132924339799,2.8580077240665207,4.592109638629413,6.774328667950009,-3.266947516470845,-9.19142542750692,-0.002126115767762925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027516744045695256,14.708483573541667,0.0,0.0,0.0,0.0,4.628871324283524,0.0,0.0,0.012236828307914348,44.31689318889597
k_IAA_growth,43.60445639234031,-39.88946527419284,-6.635570311870699,0.6282707693144027,56.01923193557021,45.09951111233918,-19.767173114378515,-24.18062844021597,-3.944304526105059e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.65776198515118,59.35516431517689,0.0,0.0,0.0,32.3586048769535,0.0,0.0,0.0
k_IAA_stationary,58.397304471950534,-54.531344455733155,-5.797603549061151,1.693319190569642,68.75284622621965,56.51449500502748,-24.897829123033226,-32.918028008934826,-5.9164567891575885e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.35516431517689,76.66664430262045,0.0,0.0,0.0,50.70201587544544,0.0,0.0,0.0
k_EO_growth,53.04500727821424,-160.92260716712659,-8.779609535495425,5.441419018733066,73.51000582010407,89.40249728819718,-39.81048005845019,-39.581369267204295,-1.6619586012751224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.92234932143177,171.47306396479095,0.0,0.0,138.96313209851962,0.0,0.0
k_EO_stationary,46.65823089169069,-148.43872716470642,-31.247970665629595,-2.756028961632743,94.80763543568021,79.89562288968514,-32.33391485178064,-34.67288414100228,-1.5515406004097396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.47306396479095,220.74329553555197,0.0,0.0,51.139487160624135,0.0,0.0
alpha_EA_loss,14.133590864233742,-9.915674195770132,7.445378814136073,2.8227794665166384,-1.5785763261754548,1.896588459790776,-1.4523059965981582,-5.4284586700647495,-0.0010561874624036135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014105585591732278,4.628871324283524,0.0,0.0,0.0,0.0,8.681390026543923,0.0,0.0,0.003464810449577485,11.697727407911382
alpha_IAA_loss,52.78436734126691,-51.31867435084021,13.618145867938093,6.192712438979602,37.51430863662939,35.0077255223563,-16.87872417380483,-32.05766505063418,3.944304526105059e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.3586048769535,50.70201587544544,0.0,0.0,0.0,83.74149596244662,0.0,0.0,0.0
alpha_EO_loss,28.75035473326602,-102.89672183883376,46.28120038987062,21.191242403004996,-22.796087488216685,52.92949897577702,-31.377679945371057,-24.558773073610993,-1.8289695254583884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.96313209851962,51.139487160624135,0.0,0.0,268.001894981194,0.0,0.0
k_EA_XE,0.03280655558174273,-0.02451242591374288,0.007354561096482023,0.0022863755428302675,0.003912879007147751,0.005660145206118839,-0.0026845933503613128,-0.007554666024569597,-1.8706932007563359e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.190707826325403e-05,0.012236828307914348,0.0,0.0,0.0,0.0,0.003464810449577485,0.0,0.0,1.0277282343730632e-05,0.037388197299235926
k_EA_XE_Nlim,119.01054656217087,-89.5533232775416,26.123037516040277,8.078491052996519,14.395864221545128,20.544335658014955,-9.655382460843157,-27.13473354927641,-0.0069022245025864145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07732795906614229,44.31689318889597,0.0,0.0,0.0,0.0,11.697727407911382,0.0,0.0,0.037388197299235926,136.33817282941877
