model,start,success,status,message,nfev,initial_objective_wsse,final_objective_wsse,data_wsse,n_data_residuals,n_parameters,wsse_per_data_residual,active_bound_count
ea_ethanol_nlimited,1,True,2,`ftol` termination condition is satisfied.,17,43275.37439771092,7374.459463093246,7369.893799446703,261,11,28.237140994048673,2
ea_ethanol_nlimited,2,True,2,`ftol` termination condition is satisfied.,19,200773.46384090628,7374.457145190795,7369.891522324867,261,11,28.237132269443933,2
ea_ethanol_nlimited,3,True,2,`ftol` termination condition is satisfied.,23,52999.10676189583,7374.4593889402695,7369.893712985877,261,11,28.237140662781137,2
ea_ethanol_nlimited,4,True,2,`ftol` termination condition is satisfied.,26,2422862.325686481,7701.303062978899,7696.891319890242,261,11,29.490005057050734,2
ea_ethanol_nlimited,5,True,2,`ftol` termination condition is satisfied.,22,5361471.6939955745,7374.402174771487,7369.836459480551,261,11,28.236921300691765,2
ea_ethanol_nlimited,6,True,2,`ftol` termination condition is satisfied.,20,146686.73624413638,7374.45126395389,7369.885509884227,261,11,28.2371092332729,2
ea_ethanol_nlimited,7,True,2,`ftol` termination condition is satisfied.,9,20742.16895425588,7701.270923841101,7696.860071090896,261,11,29.489885329850175,2
ea_redox_acetaldehyde,0,True,2,`ftol` termination condition is satisfied.,20,9449.827380856075,7701.3029483824,7696.892020485491,261,11,29.490007741323723,2
ea_redox_acetaldehyde,1,True,2,`ftol` termination condition is satisfied.,23,40340704.30605164,7701.317715564357,7696.906839585794,261,11,29.490064519485802,2
ea_redox_acetaldehyde,2,True,2,`ftol` termination condition is satisfied.,11,17112.8956987879,7701.311176246602,7696.900266580314,261,11,29.49003933555676,2
ea_redox_acetaldehyde,3,True,2,`ftol` termination condition is satisfied.,21,38771929.29271568,7701.286906040815,7696.875950614671,261,11,29.489946170937436,2
ea_redox_acetaldehyde,4,True,2,`ftol` termination condition is satisfied.,28,3158642.331160446,7701.328392924994,7696.9175344847035,261,11,29.490105496109976,2
ea_redox_acetaldehyde,5,True,2,`ftol` termination condition is satisfied.,22,18261692.23576337,7701.314934926015,7696.90405234038,261,11,29.490053840384597,2
ea_redox_acetaldehyde,6,True,2,`ftol` termination condition is satisfied.,25,21797078.640821315,7701.28899324025,7696.878014368594,261,11,29.48995407804059,2
ea_redox_acetaldehyde,7,True,2,`ftol` termination condition is satisfied.,11,45614.26055221312,7498.7872196483,7493.343816960221,261,11,28.7101295668974,2
ea_combined_parsimonious,0,True,2,`ftol` termination condition is satisfied.,21,9451.15788153657,8253.27895283587,8249.32264596522,261,12,31.606600176111954,2
ea_combined_parsimonious,1,True,2,`ftol` termination condition is satisfied.,27,1211499.0856061056,7701.48678468459,7697.076219746696,261,12,29.490713485619523,2
ea_combined_parsimonious,2,True,2,`ftol` termination condition is satisfied.,24,58194625.95908016,7701.4861583384245,7697.075594471149,261,12,29.490711089927775,2
ea_combined_parsimonious,3,True,2,`ftol` termination condition is satisfied.,10,12382.166001076332,7495.744118685883,7490.274055249643,261,12,28.69836802777641,3
ea_combined_parsimonious,4,True,2,`ftol` termination condition is satisfied.,21,49462.84155830051,7499.153988295044,7493.711872044613,261,12,28.711539739634535,2
ea_combined_parsimonious,5,True,2,`ftol` termination condition is satisfied.,20,95952086.96025638,8253.231245537048,8249.275229506142,261,12,31.60641850385495,2
ea_combined_parsimonious,6,True,2,`ftol` termination condition is satisfied.,25,951024.9734445433,7701.491973566017,7697.081376272953,261,12,29.490733242425108,2
ea_combined_parsimonious,7,True,2,`ftol` termination condition is satisfied.,41,8109910.927226161,7701.484002389592,7697.0734355383265,261,12,29.490702818154507,2
