,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAldRed,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim
gammaF0,13.674679858142747,-9.819896987898575,-19.13979944740047,-1.8060567933204046,-91.52138821493847,-6.214775217610904,0.8229553965804848,-12.400783165050441,-0.3415101220186142,130.80725894434397,5.921219121816593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_N,-67.94503228919174,-160.49613549086533,-23.23651141701027,-0.6587658666718469,109.14477291705096,66.54610959409423,-35.63005437141766,-46.25285130210953,6.590235448303849,0.0,0.0,193.59951109924194,146.0477235741309,-185.0691328879431,0.49094051180143594,-0.0008903652041741333,-0.6319251660198474,0.02067030447013478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrO2,-101.43064790639966,-87.09850304511171,-8.450630230849217,2.2077361320924545,75.54375635453115,49.16234570112491,-27.298025221926128,-38.42433751763596,9.849350932783727,0.0,0.0,146.0477235741309,158.94679465380236,-222.822929760519,0.3330459414303536,-0.0006964592935821138,-0.46909340345847156,0.00974187123036691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrDrain,155.51975077383824,88.24423670088592,3.096343611082834,-4.981138906959259,-90.40890766901514,-61.36372775907206,34.94548251195934,51.26984019976212,-16.125020376929733,0.0,0.0,-185.0691328879431,-222.822929760519,323.31892906503595,-0.37569640102244833,0.0008197539070821074,0.5415733345464624,-0.009341734946797482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_N,-239.37283152709432,-1469.6718581246932,-235.565295203806,-24.800735331591262,914.3782337543122,531.1375196267795,-277.15402462766536,-350.5925048139425,0.3233645567984591,0.0,0.0,0.49094051180143594,0.3330459414303536,-0.37569640102244833,1517.2762004407616,-1.7437012638591534,-1412.987798822025,97.04517984857567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldRed,0.29130401432242997,1.7586443242390093,0.265144081543346,0.02545889600959074,-1.0389188099472875,-0.6096139434894943,0.3183019147608135,0.41057217942797897,-0.009714270648890265,0.0,0.0,-0.0008903652041741333,-0.0006964592935821138,0.0008197539070821074,-1.7437012638591534,0.0035374086492162664,2.383546333007395,-0.05461250286598029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAld,548.9448535267666,1149.918825068619,254.75197058576248,27.020847859315616,-840.0592193681575,-493.84229290439646,254.43117880243364,313.2853252339702,-26.663449822288236,0.0,0.0,-0.6319251660198474,-0.46909340345847156,0.5415733345464624,-1412.987798822025,2.383546333007395,1874.3976948919033,325.61659891790197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcStress,830.6917371923777,-841.7627105009655,82.23344014643543,10.881561644171466,81.80561212877045,37.32921923096205,-27.36240523921549,-72.43330463894416,-74.6474379179366,0.0,0.0,0.02067030447013478,0.00974187123036691,-0.009341734946797482,97.04517984857567,-0.05461250286598029,325.61659891790197,1208.1091943669774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_EA_growth,0.09699407573900178,-0.024898965685670255,0.03729740940758907,0.011851004086314858,-0.01815184550513154,0.007914227801984934,-0.0069453847338004655,-0.02110896766691847,-0.00031046144789269087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010334237260108407,0.026558604073495966,0.0,0.0,0.0,0.0,0.025330254902526973,0.0,0.0,3.199033022805487e-05,0.10363812404082896
k_EA_stationary,29.948925746337252,-10.199671678136474,11.444258667920362,3.699950063378244,-6.2752177133487095,2.3815409007061743,-2.067121161225879,-6.260258764375962,-0.10208439296932348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026558604073495966,8.08799609655216,0.0,0.0,0.0,0.0,7.482816558293968,0.0,0.0,0.009884895384168438,33.14558378324204
k_IAA_growth,32.009009059010495,-21.180770905908325,-5.109202532082538,0.5178360988053281,51.96557000122642,31.089382950097267,-17.070231690071534,-26.203134828762686,-1.9721522630525295e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.68591119508774,33.81161310190963,0.0,0.0,0.0,29.122063567364577,0.0,0.0,0.0
k_IAA_stationary,25.431188134079953,-19.67204389864181,-0.9452446952160924,1.0759862276373726,33.57210836460928,20.939111228964556,-11.585472751446234,-20.717112032242124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.81161310190963,24.968223979241756,0.0,0.0,0.0,30.280888180065272,0.0,0.0,0.0
k_EO_growth,38.03859752513858,-245.4654845026625,-39.44030246167574,0.9074120445537686,137.42312693144353,104.24229336220495,-52.454610786988454,-69.13447838182398,-0.6885297974070457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81502787562022,173.8304599354339,0.0,0.0,90.6334131499697,0.0,0.0
k_EO_stationary,29.503195698254284,-185.2613894525822,-46.74969755390732,-6.726243180134746,121.44324888434903,79.82488666647814,-34.809021389920645,-52.773214961207835,-0.5396897149956502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.8304599354339,173.07007168739494,0.0,0.0,7.273045030326017,0.0,0.0
alpha_EA_loss,26.452656502381146,-11.889431331838123,20.993015009471172,8.14417626628427,-24.97455419813487,0.4819462094612831,-1.9804112262545028,-5.679070490456146,-0.27667098845305427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025330254902526973,7.482816558293968,0.0,0.0,0.0,0.0,19.952371519091862,0.0,0.0,0.009508768893287558,32.04297338209795
alpha_IAA_loss,36.49128167813998,-32.947165696084625,6.845746315606542,2.9878184681753392,32.02113695496463,21.74613760102742,-12.456128802515536,-29.245386201919004,1.9721522630525295e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.122063567364577,30.280888180065272,0.0,0.0,0.0,58.947435699815344,0.0,0.0,0.0
alpha_EO_loss,-3.723732605465843,-57.84041335433619,40.91520165300285,20.036144563980926,-38.297963361767295,11.405838951915534,-17.63566573550468,-8.370532276040251,-0.470931415425026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.6334131499697,7.273045030326017,0.0,0.0,192.67261835542763,0.0,0.0
k_EA_XE,0.03656583474127358,-0.012828788369345975,0.014267567867892433,0.004671121281590736,-0.008303437097074155,0.002862981406824639,-0.002520097958045018,-0.0076075299045166075,-0.00013162381083962102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.199033022805487e-05,0.009884895384168438,0.0,0.0,0.0,0.0,0.009508768893287558,0.0,0.0,1.2112037465982626e-05,0.04068914206257403
k_EA_XE_Nlim,123.37621991669664,-45.08506755245982,50.458827869191495,16.262475125809875,-32.68355751466833,8.916711856038315,-8.405177148905835,-25.34375180961298,-0.4518330648068978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10363812404082896,33.14558378324204,0.0,0.0,0.0,0.0,32.04297338209795,0.0,0.0,0.04068914206257403,140.11474376885946
