independent_seed,iteration,best_search_objective,best_search_robust_score,leader_eight_member_objective,leader_eight_member_robust_score,improvement,still_improving
20260747,18,-18.51422861688722,18.51422861688722,-18.30837769053234,18.30837769053234,0.05629477601236843,True
20260747,19,-18.52475686312847,18.52475686312847,,,0.010528246241250372,True
20260747,20,-18.540824482346004,18.540824482346004,-18.33358666947952,18.33358666947952,0.016067619217533746,True
20260761,0,-16.64991988328243,16.64991988328243,-17.333986300595786,17.333986300595786,0.0,False
20260761,1,-17.27224991775188,17.27224991775188,,,0.6223300344694493,True
20260761,2,-17.27224991775188,17.27224991775188,-17.659175045015697,17.659175045015697,0.0,False
20260761,3,-17.443783273160413,17.443783273160413,,,0.17153335540853476,True
20260761,4,-17.555279425563363,17.555279425563363,-18.006421684095884,18.006421684095884,0.11149615240294963,True
20260761,5,-17.555279425563363,17.555279425563363,,,0.0,False
20260761,6,-17.660365221386773,17.660365221386773,-18.08427507286744,18.08427507286744,0.10508579582340971,True
20260761,7,-18.04203279109787,18.04203279109787,,,0.38166756971109805,True
20260761,8,-18.04203279109787,18.04203279109787,-18.172173893295657,18.172173893295657,0.0,False
20260761,9,-18.142547875879476,18.142547875879476,,,0.10051508478160542,True
20260761,10,-18.142547875879476,18.142547875879476,-18.19988479022716,18.19988479022716,0.0,False
20260761,11,-18.180423982969362,18.180423982969362,,,0.03787610708988609,True
20260761,12,-18.180423982969362,18.180423982969362,-18.311667783029574,18.311667783029574,0.0,False
20260761,13,-18.18702762239152,18.18702762239152,,,0.006603639422156249,True
20260761,14,-18.18702762239152,18.18702762239152,-18.293645304035206,18.293645304035206,0.0,False
20260761,15,-18.18702762239152,18.18702762239152,,,0.0,False
20260761,16,-18.196661315043002,18.196661315043002,-18.304243869247774,18.304243869247774,0.009633692651483727,True
20260761,17,-18.196661315043002,18.196661315043002,,,0.0,False
20260761,18,-18.196661315043002,18.196661315043002,-18.301480994509085,18.301480994509085,0.0,False
20260761,19,-18.196661315043002,18.196661315043002,,,0.0,False
20260761,20,-18.203525097561606,18.203525097561606,-18.316349105965756,18.316349105965756,0.006863782518603756,True
20260779,0,-17.127866642712185,17.127866642712185,-17.472907959882864,17.472907959882864,0.0,False
20260779,1,-17.311802466248988,17.311802466248988,,,0.18393582353680316,True
20260779,2,-17.311802466248988,17.311802466248988,-17.315388447611006,17.315388447611006,0.0,False
20260779,3,-17.45836591912489,17.45836591912489,,,0.14656345287590256,True
20260779,4,-17.60887247612091,17.60887247612091,-17.75295871441704,17.75295871441704,0.1505065569960209,True
20260779,5,-17.64750683572528,17.64750683572528,,,0.03863435960436945,True
20260779,6,-17.866589399123814,17.866589399123814,-18.05806215831559,18.05806215831559,0.21908256339853338,True
20260779,7,-17.866595956640634,17.866595956640634,,,6.557516819327702e-06,False
20260779,8,-18.0529863323233,18.0529863323233,-18.049041346726654,18.049041346726654,0.1863903756826666,True
20260779,9,-18.108380293093127,18.108380293093127,,,0.05539396076982683,True
20260779,10,-18.270532278085632,18.270532278085632,-18.135935531871844,18.135935531871844,0.16215198499250505,True
20260779,11,-18.457108422003742,18.457108422003742,,,0.18657614391810995,True
20260779,12,-18.50628195640409,18.50628195640409,-18.32565825357786,18.32565825357786,0.04917353440034944,True
20260779,13,-18.514513155948574,18.514513155948574,,,0.008231199544482593,True
20260779,14,-18.514513155948574,18.514513155948574,-18.30081551300552,18.30081551300552,0.0,False
20260779,15,-18.532567880384345,18.532567880384345,,,0.018054724435771163,True
20260779,16,-18.532567880384345,18.532567880384345,-18.311134473820516,18.311134473820516,0.0,False
20260779,17,-18.53721204204658,18.53721204204658,,,0.0046441616622345805,True
20260779,18,-18.539365720638088,18.539365720638088,-18.33012294961059,18.33012294961059,0.002153678591508168,True
20260779,19,-18.539365720638088,18.539365720638088,,,0.0,False
20260779,20,-18.54025294995631,18.54025294995631,-18.31356300368472,18.31356300368472,0.0008872293182236035,True
