sample_id,acetaldehyde_mg_l,acetic_acid_g_l,ammonia_mg_l,glucose_g_l,glycerol_g_l,pan_mg_l,pyruvic_acid_mg_l,sugar_total_g_l,process,sample_number,sample_datetime_oculyze,t_h_schedule_reference,sample_datetime_schedule,sample_datetime_session,sample_datetime,time_source,t_h,fructose_g_l,yan_calc_mg_l,ammonia_mg_l_raw,ammonia_mg_l_below_zero,ammonia_mg_l_censored,pan_mg_l_raw,pan_mg_l_below_zero,pan_mg_l_censored,yan_calc_mg_l_raw,yan_calc_mg_l_below_zero,yan_calc_mg_l_censored,yan_for_model_mg_l,nitrogen_any_negative_raw,nitrogen_severe_negative_raw,nitrogen_qc_class,ethanol_percent_vv_rep1,ethanol_percent_vv_rep2,ethanol_percent_vv_rep1_num,ethanol_percent_vv_rep2_num,ethanol_percent_vv_final_calc,ethanol_g_l_manual_num,ethanol_g_l_from_percent_vv,ethanol_g_l_for_model_manual,ethanol_pending,ethanol_status,ethanol_sample_type,sample_volume_ml,ethanol_measurement_datetime,ethanol_method,operator,qc_flag,notes,reactor_volume_before_sample_ml,reactor_volume_after_sample_ml,cumulative_sample_volume_removed_ml,yan_for_model_physical_mg_l,nitrogen_physical_qc_flag,nitrogen_positive_rebound_before_N_pulse,nitrogen_manual_zero_between_50h_and_N_pulse,nitrogen_next_N_pulse_t_h,nitrogen_previous_N_pulse_t_h,nitrogen_has_conflicting_y15_export
DOE-LAB002-20,81.0,0.43,8.0,13.69,5.5,-1.0,,68.03,F2,20,2026-06-25 16:00:00,240.5,2026-06-25 16:00:00,2026-06-24 13:04:00,2026-06-25 16:00:00,oculyze_sample_id,240.5,54.34,7.0,8.0,False,8.0,-1.0,True,0.0,7.0,False,8.0,8.0,True,False,negative_raw_censored_to_zero,TBD,,,,,,,,True,pending_TBD,ethanol_50mL,50.0,,,,,,1410.0,1360.0,640.0,8.0,ok,False,False,,72.5,False
DOE-LAB002-21,87.0,0.49,8.0,10.66,5.53,-1.0,,55.13,F2,21,2026-06-26 12:00:00,260.5,2026-06-26 12:00:00,2026-06-26 10:17:00,2026-06-26 12:00:00,oculyze_sample_id,260.5,44.47,7.0,8.0,False,8.0,-1.0,True,0.0,7.0,False,8.0,8.0,True,False,negative_raw_censored_to_zero,TBD,,,,,,,,True,pending_TBD,ethanol_50mL,50.0,,,,,,1360.0,1310.0,690.0,8.0,ok,False,False,,72.5,False
DOE-LAB002-22,35.0,1.17,-2.0,1.97,6.05,6.0,56.0,26.8,F2,22,,,,2026-07-01 15:18:00,2026-07-01 15:18:00,y15_session_filename,383.8,24.830000000000002,4.0,-2.0,True,0.0,6.0,False,6.0,4.0,False,6.0,6.0,True,False,negative_raw_censored_to_zero,TBD,,,,,,,,True,pending_TBD,ethanol_50mL,50.0,,,,,,1310.0,1260.0,740.0,6.0,ok,False,False,,72.5,False
DOE-LAB003-1,22.0,0.01,147.0,30.13,0.63,42.0,5.0,162.42,F3,1,2026-06-15 15:30:00,0.0,2026-06-15 15:30:00,2026-06-15 16:36:00,2026-06-15 15:30:00,oculyze_sample_id,0.0,132.29,189.0,147.0,False,147.0,42.0,False,42.0,189.0,False,189.0,189.0,False,False,ok_raw_nonnegative,0.37,,0.37,,0.37,,2.9193,2.9193,False,measured,ethanol_50mL,50.0,,,,,,2000.0,1950.0,50.0,189.0,ok,False,False,24.5,,False
DOE-LAB003-2,47.0,0.21,125.0,27.86,1.08,37.0,23.0,148.94,F3,2,2026-06-16 08:30:00,17.0,2026-06-16 08:30:00,2026-06-16 09:10:00,2026-06-16 08:30:00,oculyze_sample_id,17.0,121.08,162.0,125.0,False,125.0,37.0,False,37.0,162.0,False,162.0,162.0,False,False,conflicting_y15_export,0.68,,0.68,,0.68,,5.365200000000001,5.365200000000001,False,measured,ethanol_50mL,50.0,,,,,,1950.0,1900.0,100.0,162.0,ok,False,False,24.5,,True
DOE-LAB003-3,53.0,0.25,112.0,27.99,1.17,35.0,34.0,169.43,F3,3,2026-06-16 12:00:00,20.5,2026-06-16 12:00:00,2026-06-16 09:10:00,2026-06-16 12:00:00,oculyze_sample_id,20.5,141.44,147.0,112.0,False,112.0,35.0,False,35.0,147.0,False,147.0,147.0,False,False,conflicting_y15_export,,,,,,,,,False,not_measured,small_5mL,5.0,,,,,,1900.0,1895.0,105.0,147.0,ok,False,False,24.5,,True
DOE-LAB003-4,54.0,0.25,101.0,26.01,1.17,31.0,42.0,168.36,F3,4,2026-06-16 14:30:00,23.0,2026-06-16 14:30:00,2026-06-16 09:10:00,2026-06-16 14:30:00,oculyze_sample_id,23.0,142.35000000000002,132.0,101.0,False,101.0,31.0,False,31.0,132.0,False,132.0,132.0,False,False,ok_raw_nonnegative,,,,,,,,,False,not_measured,small_5mL,5.0,,,,,,1895.0,1890.0,110.0,132.0,ok,False,False,24.5,,False
DOE-LAB003-5,61.0,,96.0,26.96,1.45,28.0,50.0,169.38,F3,5,,25.0,2026-06-16 16:30:00,2026-06-16 09:10:00,2026-06-16 16:30:00,inferred_lot_sample_sequence,25.0,142.42,124.0,96.0,False,96.0,28.0,False,28.0,124.0,False,124.0,124.0,False,False,ok_raw_nonnegative,0.99,,0.99,,0.99,,7.811100000000001,7.811100000000001,False,measured,ethanol_50mL,50.0,,,,,,1890.0,1840.0,160.0,124.0,ok,False,False,,24.5,False
DOE-LAB003-6,225.0,0.55,48.0,19.87,2.67,7.0,88.0,144.38,F3,6,2026-06-17 10:00:00,42.5,2026-06-17 10:00:00,2026-06-17 10:33:00,2026-06-17 10:00:00,oculyze_sample_id,42.5,124.50999999999999,55.0,48.0,False,48.0,7.0,False,7.0,55.0,False,55.0,55.0,False,False,ok_raw_nonnegative,2.01,,2.01,,2.01,,15.8589,15.8589,False,measured,ethanol_50mL,50.0,,,,,,1840.0,1790.0,210.0,55.0,ok,False,False,,24.5,False
DOE-LAB003-7,,0.5,34.0,20.11,2.68,9.0,91.0,,F3,7,2026-06-17 12:30:00,45.0,2026-06-17 12:30:00,2026-06-17 10:33:00,2026-06-17 12:30:00,oculyze_sample_id,45.0,,43.0,34.0,False,34.0,9.0,False,9.0,43.0,False,43.0,43.0,False,False,ok_raw_nonnegative,2.52,,2.52,,2.52,,19.882800000000003,19.882800000000003,False,measured,ethanol_50mL,50.0,,,,,,1790.0,1740.0,260.0,43.0,ok,False,False,,24.5,False
DOE-LAB003-8,230.0,0.48,15.0,20.97,2.83,20.0,93.0,138.58,F3,8,2026-06-17 16:00:00,48.5,2026-06-17 16:00:00,2026-06-17 10:33:00,2026-06-17 16:00:00,oculyze_sample_id,48.5,117.61000000000001,35.0,15.0,False,15.0,20.0,False,20.0,35.0,False,35.0,35.0,False,False,ok_raw_nonnegative,,,,,,,,,False,not_measured,small_5mL,5.0,,,,,,1740.0,1735.0,265.0,35.0,ok,False,False,,24.5,False
