sample_id,analyte,station,value_raw,unit,analysis_datetime_raw,source_file,session_datetime,value,analysis_datetime,source_kind,process,analyte_canonical,analyte_priority,is_numeric
DOE-LAB001-18,PYRUVIC ACID,ST1,25,mg/L,23-06-2026 16:39:05,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,25.0,2026-06-23 16:39:05,EXP,F1,pyruvic_acid_mg_l,0,True
DOE-LAB001-18,ACETALDEHID-1000,ST1,58,mg/L,23-06-2026 16:41:29,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,58.0,2026-06-23 16:41:29,EXP,F1,acetaldehyde_mg_l,0,True
DOE-LAB001-18,ACETIC ACID,ST1,"0,88",g/L,23-06-2026 16:41:53,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,0.88,2026-06-23 16:41:53,EXP,F1,acetic_acid_g_l,0,True
DOE-LAB001-18,GLYCEROL,ST1,"7,23",g/L,23-06-2026 16:41:55,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,7.23,2026-06-23 16:41:55,EXP,F1,glycerol_g_l,0,True
DOE-LAB002-18,GLUCOSE-320,ST1,"19,77",g/L,23-06-2026 16:45:29,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,19.77,2026-06-23 16:45:29,EXP,F2,glucose_g_l,0,True
DOE-LAB002-18,GLU-FRU-320,ST1,"71,77",g/L,23-06-2026 16:46:17,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,71.77,2026-06-23 16:46:17,EXP,F2,sugar_total_g_l,0,True
DOE-LAB002-18,PYRUVIC ACID,ST1,81,mg/L,23-06-2026 16:46:41,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,81.0,2026-06-23 16:46:41,EXP,F2,pyruvic_acid_mg_l,0,True
DOE-LAB002-18,ACETALDEHID-1000,ST1,80,mg/L,23-06-2026 16:49:06,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,80.0,2026-06-23 16:49:06,EXP,F2,acetaldehyde_mg_l,0,True
DOE-LAB002-18,ACETIC ACID,ST1,"0,39",g/L,23-06-2026 16:49:30,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,0.39,2026-06-23 16:49:30,EXP,F2,acetic_acid_g_l,0,True
DOE-LAB002-18,GLYCEROL,ST1,"4,90",g/L,23-06-2026 16:49:30,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,4.9,2026-06-23 16:49:30,EXP,F2,glycerol_g_l,0,True
