sample_id,analyte_canonical,n_distinct_values,values,analytes,files,process
DOE-LAB001-12,acetaldehyde_mg_l,2.0,125.0; 128.0,ACETALDEHID-1000,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-19 10-18).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-19 10-18)_1.txt,F1
DOE-LAB001-2,glucose_g_l,2.0,97.54; 97.62,GLUCOSE-320,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F1
DOE-LAB001-2,glycerol_g_l,2.0,1.2; 1.3,GLYCEROL,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F1
DOE-LAB001-2,pan_mg_l,2.0,59.0; 74.0,PAN,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F1
DOE-LAB001-2,pyruvic_acid_mg_l,2.0,39.0; 41.0,PYRUVIC ACID,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F1
DOE-LAB001-2,sugar_total_g_l,2.0,228.78; 229.83,GLU-FRU-320,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F1
DOE-LAB001-3,acetaldehyde_mg_l,2.0,61.0; 76.0,ACETALDEHID-1000,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F1
DOE-LAB001-3,acetic_acid_g_l,2.0,0.27; 0.31,ACETIC ACID,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F1
DOE-LAB001-3,ammonia_mg_l,2.0,206.0; 207.0,AMMONIA,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F1
DOE-LAB001-3,glucose_g_l,2.0,93.4; 93.48,GLUCOSE-320,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F1
DOE-LAB001-3,glycerol_g_l,2.0,1.59; 1.7,GLYCEROL,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F1
DOE-LAB001-3,pan_mg_l,2.0,48.0; 63.0,PAN,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F1
DOE-LAB001-3,pyruvic_acid_mg_l,2.0,51.0; 53.0,PYRUVIC ACID,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F1
DOE-LAB001-3,sugar_total_g_l,2.0,216.32; 217.23,GLU-FRU-320,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F1
DOE-LAB002-12,acetaldehyde_mg_l,2.0,56.0; 59.0,ACETALDEHID-1000,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-19 10-18).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-19 10-18)_1.txt,F2
DOE-LAB002-12,acetic_acid_g_l,2.0,0.29; 0.32,ACETIC ACID,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-19 10-18).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-19 10-18)_1.txt,F2
DOE-LAB002-12,ammonia_mg_l,2.0,-5.0; -1.0,AMMONIA,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-19 10-18).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-19 10-18)_1.txt,F2
DOE-LAB002-12,glucose_g_l,2.0,47.72; 48.98,GLUCOSE-320,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-19 10-18).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-19 10-18)_1.txt,F2
DOE-LAB002-12,glycerol_g_l,2.0,3.2; 3.23,GLYCEROL,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-19 10-18).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-19 10-18)_1.txt,F2
DOE-LAB002-12,pan_mg_l,2.0,-29.0; 10.0,PAN,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-19 10-18).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-19 10-18)_1.txt,F2
DOE-LAB002-12,pyruvic_acid_mg_l,2.0,49.0; 58.0,PYRUVIC ACID,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-19 10-18).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-19 10-18)_1.txt,F2
DOE-LAB002-12,sugar_total_g_l,2.0,111.2; 111.33,GLU-FRU-320,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-19 10-18).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-19 10-18)_1.txt,F2
DOE-LAB002-2,acetaldehyde_mg_l,2.0,31.0; 45.0,ACETALDEHID-1000,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F2
DOE-LAB002-2,acetic_acid_g_l,2.0,0.16; 0.2,ACETIC ACID,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F2
DOE-LAB002-2,ammonia_mg_l,2.0,-4.0; -3.0,AMMONIA,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F2
DOE-LAB002-2,glucose_g_l,2.0,55.23; 55.31,GLUCOSE-320,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F2
DOE-LAB002-2,glycerol_g_l,2.0,1.27; 1.38,GLYCEROL,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F2
DOE-LAB002-2,pan_mg_l,2.0,-4.0; 10.0,PAN,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F2
DOE-LAB002-2,pyruvic_acid_mg_l,2.0,20.0; 22.0,PYRUVIC ACID,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F2
DOE-LAB002-2,sugar_total_g_l,2.0,131.24; 131.31,GLU-FRU-320,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F2
DOE-LAB002-3,acetaldehyde_mg_l,2.0,31.0; 46.0,ACETALDEHID-1000,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F2
DOE-LAB002-3,acetic_acid_g_l,2.0,0.16; 0.21,ACETIC ACID,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F2
DOE-LAB002-3,glucose_g_l,2.0,52.25; 52.33,GLUCOSE-320,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F2
DOE-LAB002-3,glycerol_g_l,2.0,1.47; 1.58,GLYCEROL,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F2
DOE-LAB002-3,pan_mg_l,2.0,-5.0; 9.0,PAN,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F2
DOE-LAB002-3,pyruvic_acid_mg_l,2.0,43.0; 45.0,PYRUVIC ACID,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F2
DOE-LAB002-3,sugar_total_g_l,2.0,129.17; 129.27,GLU-FRU-320,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F2
DOE-LAB003-12,acetaldehyde_mg_l,2.0,90.0; 93.0,ACETALDEHID-1000,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-19 10-18).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-19 10-18)_1.txt,F3
DOE-LAB003-12,acetic_acid_g_l,2.0,0.58; 0.6,ACETIC ACID,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-19 10-18).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-19 10-18)_1.txt,F3
DOE-LAB003-12,ammonia_mg_l,2.0,-5.0; -1.0,AMMONIA,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-19 10-18).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-19 10-18)_1.txt,F3
DOE-LAB003-12,glucose_g_l,2.0,26.16; 27.41,GLUCOSE-320,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-19 10-18).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-19 10-18)_1.txt,F3
DOE-LAB003-12,glycerol_g_l,2.0,5.04; 5.07,GLYCEROL,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-19 10-18).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-19 10-18)_1.txt,F3
DOE-LAB003-12,pan_mg_l,2.0,-26.0; 14.0,PAN,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-19 10-18).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-19 10-18)_1.txt,F3
DOE-LAB003-12,pyruvic_acid_mg_l,2.0,76.0; 85.0,PYRUVIC ACID,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-19 10-18).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-19 10-18)_1.txt,F3
DOE-LAB003-12,sugar_total_g_l,2.0,105.78; 105.91,GLU-FRU-320,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-19 10-18).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-19 10-18)_1.txt,F3
DOE-LAB003-2,acetaldehyde_mg_l,2.0,32.0; 47.0,ACETALDEHID-1000,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F3
DOE-LAB003-2,acetic_acid_g_l,2.0,0.17; 0.21,ACETIC ACID,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F3
DOE-LAB003-2,ammonia_mg_l,2.0,124.0; 125.0,AMMONIA,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F3
DOE-LAB003-2,glucose_g_l,2.0,27.86; 27.93,GLUCOSE-320,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F3
DOE-LAB003-2,glycerol_g_l,2.0,1.08; 1.19,GLYCEROL,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F3
DOE-LAB003-2,pan_mg_l,2.0,22.0; 37.0,PAN,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F3
DOE-LAB003-2,pyruvic_acid_mg_l,2.0,21.0; 23.0,PYRUVIC ACID,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F3
DOE-LAB003-2,sugar_total_g_l,2.0,148.81; 148.94,GLU-FRU-320,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F3
DOE-LAB003-3,acetaldehyde_mg_l,2.0,38.0; 53.0,ACETALDEHID-1000,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F3
DOE-LAB003-3,acetic_acid_g_l,2.0,0.21; 0.25,ACETIC ACID,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F3
DOE-LAB003-3,glucose_g_l,2.0,27.99; 28.07,GLUCOSE-320,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F3
DOE-LAB003-3,glycerol_g_l,2.0,1.17; 1.28,GLYCEROL,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F3
DOE-LAB003-3,pan_mg_l,2.0,20.0; 35.0,PAN,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F3
DOE-LAB003-3,pyruvic_acid_mg_l,2.0,32.0; 34.0,PYRUVIC ACID,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F3
DOE-LAB003-3,sugar_total_g_l,2.0,169.07; 169.43,GLU-FRU-320,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt; fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\ONLINE(26-06-16 09-10)_1.txt,F3
