fit,medium,batch,state,n,sse,wsse,rmse,weighted_rmse,mean_bias
mixed_reduced11,natural,LAB005,G,13,65.32702501222195,10.45232400195551,2.241685921392852,0.8966743685571407,-0.059917901287518845
mixed_reduced11,natural,LAB005,F,13,1341.5152492461636,214.64243987938622,10.158419203362469,4.063367681344987,8.985974205709958
mixed_reduced11,natural,LAB005,E,5,101.27152436118337,23.72465568224899,4.500478293719088,2.1782862843184314,-2.3742267880113657
mixed_reduced11,natural,LAB005,Gly,13,44.58901982250921,270.85662825716423,1.852005562014185,4.5645509363519094,-0.7147233499695704
mixed_reduced11,natural,LAB006,X,14,5.939216026461194,333.7220972363868,0.6513291918652192,4.882344995977027,-0.48327498348215464
mixed_reduced11,natural,LAB006,Xd,14,0.27271116000000006,65.59332210407757,0.13956850852333624,2.164540896621821,-0.03724285714285715
mixed_reduced11,natural,LAB006,N,15,0.0187969264832666,129.11180928556425,0.0353995541245617,2.933846272791223,-0.005962252020962058
mixed_reduced11,natural,LAB006,G,15,3874.036703881325,619.845872621012,16.070753361062085,6.428301344424835,13.460539255535625
mixed_reduced11,natural,LAB006,F,15,2124.1402569734087,339.8624411157454,11.899972708577694,4.759989083431077,10.182522825587272
mixed_reduced11,natural,LAB006,E,5,1054.5978442500725,262.1708671211792,14.523070228089324,7.241144483038288,-11.725841202278422
mixed_reduced11,natural,LAB006,Gly,15,15.523012849808046,126.71847224333102,1.0172843866493462,2.9065268189981324,-0.6643335739237666
mixed_reduced11,natural,LAB007,X,13,0.8793195707025234,128.85685160426823,0.2600768482143637,3.148343295770116,-0.030765815071707264
mixed_reduced11,natural,LAB007,Xd,13,0.1186710300000001,32.964175000000026,0.0955433973084,1.59238995514,-0.034038461538461615
mixed_reduced11,natural,LAB007,N,13,0.015664107725925906,97.16428106253262,0.03471212127676386,2.733893828653312,-0.026406015761621358
mixed_reduced11,natural,LAB007,G,13,213.59605867363797,34.17536938778208,4.0534511285839265,1.6213804514335703,2.275100116860595
mixed_reduced11,natural,LAB007,F,13,710.7441414832967,113.71906263732748,7.39409401265266,2.9576376050610635,2.5693267610798194
mixed_reduced11,natural,LAB007,E,6,257.2218648019243,62.510448195857364,6.547542348112055,3.2277558818229877,-4.890004177755394
mixed_reduced11,natural,LAB007,Gly,13,3.73303037613021,30.473717356164983,0.5358695576157009,1.5310558789020023,-0.3879917388075146
mixed_reduced11,natural,LAB008,X,13,1.781600967113317,332.5152372878782,0.3701975529895976,5.057479132531407,-0.11438206904387477
mixed_reduced11,natural,LAB008,Xd,13,0.10529496,29.248600000000003,0.08999784612807302,1.4999641021345504,-0.03161538461538462
mixed_reduced11,natural,LAB008,N,13,0.0058507130210005654,39.71455990947102,0.02121449617052628,1.7478461450832525,-0.014960791898066936
mixed_reduced11,natural,LAB008,G,13,614.3003399689743,98.2880543950359,6.874145205427779,2.7496580821711114,5.118563414562333
mixed_reduced11,natural,LAB008,F,13,1274.8713352025134,203.97941363240216,9.902879671328373,3.9611518685313487,6.9116246275541835
mixed_reduced11,natural,LAB008,E,6,675.8982215356698,164.50615343113202,10.613656466518892,5.2361906228213275,-9.159157634049135
mixed_reduced11,natural,LAB008,Gly,13,7.307653931847744,59.65431781100199,0.7497514424972782,2.142146978563652,-0.5958840115174093
mixed_reduced11,natural,LAB009,X,12,2.5761832001573826,680.9322924727146,0.4633378177382551,7.532885085148953,0.03786275181097933
