,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrS_stat,kPyrO2,kPyrDrain,kAldPyr,kAldS_N,kAldS_stat,kAldO2,kAldRed,kAcAld,kAcStress,kAcAssim,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim,kCO2_release_h,CO2sat_scale
kAldPyr,98.83639773047425,-180.6159176388993,-15.17273684144915,-2.9976964389016016,42.970165993744146,-12.265180814294274,-0.901598267842854,15.172692768846968,-14.393668882783706,0.0,0.0,47.770138207546275,4.827574812356027,69.65781692359467,-72.42639658373383,241.23265470562416,80.53220307438893,307.3373638016044,1112.2512815434136,-0.791983913047147,-1560.908785664173,125.5533535913554,-0.00047028749751493003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_N,110.91480514964778,-184.2504563789355,-42.05332205746289,-8.234204224560134,119.56200264917038,85.20204963095779,-33.52823200219915,-37.63144284647995,-9.456073665008983,0.0,0.0,17.562573291168857,1.0280045891231262,14.591827867930057,-13.750262547243274,80.53220307438893,106.84215157781061,138.1154816411432,435.0629584785213,-0.2064592605062381,-482.40721944697265,118.04641751574117,-0.0005309891114947693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_stat,166.75013464373797,-293.32864650583025,-51.82040424786085,-10.874218797473532,132.37025414786643,56.672330434104126,-24.42642889518439,-21.772187046178438,-20.987091238663915,0.0,0.0,62.695087126432,5.692368800945719,81.31104676891579,-82.66508372228938,307.3373638016044,138.1154816411432,431.9044293963709,1483.5736247954985,-0.9422442601947447,-1989.1206460793906,221.464921097277,-0.0008427120710699515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldO2,524.6937571515267,-940.8452191572912,-120.77103978439465,-24.58532337420115,325.55897455250044,59.91869631311495,-42.26260765651935,3.244996190342423,-70.40455286466918,0.0,0.0,223.19795210472697,21.50816721437143,308.9269585928658,-318.0393831742061,1112.2512815434136,435.0629584785213,1483.5736247954985,5240.776666588836,-3.538332588272766,-7194.956547301593,682.964120435176,-0.0025904988218727895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldRed,-0.2617085971293795,0.4943681064533813,0.0013553287268750977,-0.0004788993586997397,-0.019743684931084894,0.15179018046119175,-0.03297338454714345,-0.11529584604209811,0.04373385821621614,0.0,0.0,-0.15392118833773358,-0.016567070411747906,-0.24058350737221343,0.2533931903696737,-0.791983913047147,-0.2064592605062381,-0.9422442601947447,-3.538332588272766,0.002715401127557915,5.121086225585357,-0.31035449870487897,1.138914598397795e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAld,1031.7292542792634,-400.5925805846219,25.783958340040257,-13.647977398076431,-150.464004967393,149.92574117349304,-12.241556850003457,-90.19988133316113,-36.043540298086356,0.0,0.0,-309.16119696551885,-31.373416159289093,-452.3397524977132,470.052753204474,-1560.908785664173,-482.40721944697265,-1989.1206460793906,-7194.956547301593,5.121086225585357,13394.944461015022,720.5506197921478,-0.003392877867593227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcStress,870.1356747280697,-908.6644956831021,-102.51822440682626,-30.782245956920274,206.27175483171112,137.6236037212754,-44.0349289576844,-46.426834581771416,-77.77656871410825,0.0,0.0,27.62081101078371,1.7412415940309998,24.022926402066602,-22.203736246125505,125.5533535913554,118.04641751574117,221.464921097277,682.964120435176,-0.31035449870487897,720.5506197921478,897.5268981874651,-0.0034007418457571996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAssim,-0.00385948745921765,0.003903753777236032,0.0002726724197535791,8.385388656973443e-05,-0.000816887027186248,-0.0005671537600036576,0.00020101963277554348,0.000243447578393237,0.0002514978896886693,0.0,0.0,-0.00010392496079474479,-6.119091387747066e-06,-8.453040298629655e-05,7.716459789801725e-05,-0.00047028749751493003,-0.0005309891114947693,-0.0008427120710699515,-0.0025904988218727895,1.138914598397795e-06,-0.003392877867593227,-0.0034007418457571996,1.865685157267944e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_EA_growth,0.1165749922356886,-0.06676635932612143,-0.0026752665785734287,0.002160014950947125,0.0713501004383625,0.06335674795253403,-0.025093410461127823,-0.052377879821224806,-9.860198498425552e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001590911352427463,0.13774757437052423,0.0,0.0,0.0,0.0,0.04009488300747308,0.0,0.0,2.9326408632973254e-05,0.07453247788490015,-0.0007150316681458661,-0.00031667193696167836
k_EA_stationary,123.95376590001395,-79.9084590828382,-10.275139908335268,0.20233300210028113,77.57647627163061,69.37368743144857,-26.00960373917503,-54.84951244164332,-1.9721522630525306e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13774757437052423,149.96257011426144,0.0,0.0,0.0,0.0,26.0983312240295,0.0,0.0,0.03332613157252393,86.70605426615427,-0.5071631299719677,-0.19850280424001915
