,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrS_stat,kPyrO2,kPyrDrain,kAldPyr,kAldS_N,kAldS_stat,kAldO2,kAldRed,kAcAld,kAcStress,kAcAssim,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim,kCO2_release_h,CO2sat_scale
kAcStress,990.3502583681885,-1056.7742347670433,-201.25331682907557,-62.99987220641817,250.69325307684375,155.14879702004202,-36.14694350243931,-7.157774239143419,-145.53579370679475,0.0,0.0,32.26113081240119,2.3318799524171747,29.603727796314754,-27.67635348890615,148.8447243994869,138.33771410940207,271.9743248214484,802.043974776208,-0.3807444186134653,815.7849628150266,1130.5609499958787,-0.006965502135721049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAssim,-0.006724633871842767,0.0070753634870016615,0.0011249307212862383,0.0003514975189763122,-0.0015688331606554828,-0.0010085664636436897,0.0002560817937001212,0.00011170266215631869,0.0008370101697144494,0.0,0.0,-0.00019982859590109663,-1.4037672227082445e-05,-0.00017769646890138655,0.00016497445942062884,-0.0009208172200841614,-0.0009213991235961969,-0.0017111841329656894,-0.00500235197220599,2.3282891539544437e-06,-0.0056054600582532595,-0.006965502135721049,4.727686642624352e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_EA_growth,0.13573760165986343,-0.09052054607793976,0.00033692258198346936,0.004121600831420459,0.07605037197001074,0.0791104940993033,-0.02838975447650651,-0.05821498588888747,-9.860198498425552e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015700876529410078,0.16327942534789844,0.0,0.0,0.0,0.0,0.06100586583007552,0.0,0.0,3.1313554558076126e-05,0.08080135421292609,-0.001270598610009612,-0.0005265497402284912
k_EA_stationary,165.77093273795637,-117.83982689959255,-10.57002714486207,1.4799651645457015,96.27983324276285,99.81759032418285,-33.76610744706495,-69.6936661044275,9.860761315262653e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16327942534789844,205.91384896579547,0.0,0.0,0.0,0.0,49.140615468194014,0.0,0.0,0.04138141889441039,108.41262464678438,-1.1094454507400486,-0.41727161304158944
k_IAA_growth,28.410642076511355,-18.960318359836815,-4.688911721246158,0.09311621998982629,32.792757365095916,28.60704774436959,-11.389197531593942,-14.078790657013156,-2.4651903288156508e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.465657121792905,46.06244621193102,0.0,0.0,0.0,19.027668083756755,0.0,0.0,0.0,-0.01810107820520086,-0.2444329475238035
k_IAA_stationary,92.52076885808708,-65.53818878597455,-10.254954373065276,1.6951084742577542,99.12756422853957,88.18718440527542,-35.22379428643223,-47.40547576566382,-9.860761315262653e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.06244621193102,143.05498780841802,0.0,0.0,0.0,74.56650935657565,0.0,0.0,0.0,-0.28775398601567226,-0.9175940789685147
k_EO_growth,46.058398091094546,-93.1884047801358,-11.335942023849352,1.05740339675156,47.277849536241405,77.0096760295623,-28.3166126575407,-33.20766024670315,-0.9692707672625105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.64281285198288,182.95471828021041,0.0,0.0,114.99492723080196,0.0,0.0,-2.885374547658901,-1.6896194503153832
k_EO_stationary,72.76881089642481,-165.47576860860968,-37.51792156195995,-3.358525262082252,101.61581013318495,124.19357916054092,-43.729930504544626,-54.143974814212406,-1.7583091630790808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.95471828021041,426.8077763334982,0.0,0.0,133.4346784659178,0.0,0.0,-3.83166322458891,-1.9112006885897248
alpha_EA_loss,55.85776980936601,-39.729588085853635,19.999855402293235,8.369070757319722,18.761581358292528,25.293307897398062,-11.513694631429857,-29.71564939930622,3.944304526105024e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06100586583007552,49.140615468194014,0.0,0.0,0.0,0.0,75.23971147850004,0.0,0.0,0.008580039347820288,21.52113230888437,-1.702788531878121,-0.6389734978691768
alpha_IAA_loss,64.00025127217964,-53.73016104500147,12.190420795846062,6.195226634095127,49.14523700357104,47.91518652276218,-20.375109456564836,-36.96377548760872,1.9721522630525306e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.027668083756755,74.56650935657565,0.0,0.0,0.0,93.35150755087109,0.0,0.0,0.0,0.2194350347156625,-1.2794246722251106
alpha_EO_loss,63.88993804555307,-118.75522363171838,25.83980773551932,13.676700616084782,-2.1320312993065405,117.00878984623124,-46.30258576589356,-48.747671254463086,-1.8982175496155893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.99492723080196,133.4346784659178,0.0,0.0,330.5607585210129,0.0,0.0,-8.199852242884749,-4.902595940426273
k_EA_XE,0.03310220019214928,-0.02390602276995324,-0.0026337718518431993,0.00011854997536012558,0.01933200563508263,0.02006947962235707,-0.006676601663779536,-0.013858655232184868,-4.9303806576313265e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1313554558076126e-05,0.04138141889441039,0.0,0.0,0.0,0.0,0.008580039347820288,0.0,0.0,8.446873913278521e-06,0.02219549235779346,-0.00019616985631561453,-7.278504942588961e-05
k_EA_XE_Nlim,86.53615395379241,-62.77590756611576,-7.2814365886906645,0.1822753335904534,50.65803060023739,52.58225340742616,-17.42093273894711,-36.183009039877184,-1.9721522630525306e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08080135421292609,108.41262464678438,0.0,0.0,0.0,0.0,21.52113230888437,0.0,0.0,0.02219549235779346,58.37955629897302,-0.497035895549223,-0.18220911669034448
kCO2_release_h,20.631493379476936,-18.60866644700737,-28.139583613756283,-7.5601472659668465,44.09726828929223,23.82376189016472,-4.144058792701787,-14.245786631757099,0.5025282020342176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001270598610009612,-1.1094454507400486,-0.01810107820520086,-0.28775398601567226,-2.885374547658901,-3.83166322458891,-1.702788531878121,0.2194350347156625,-8.199852242884749,-0.00019616985631561453,-0.497035895549223,2.7987916068286345,0.6357634351835447
CO2sat_scale,1.5708967937178637,-0.9248687370751998,-5.447392646171249,-1.6065339456525938,6.707637016811337,2.210902462761794,0.07517816840353425,-1.184552397038591,0.10377827329983406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005265497402284912,-0.41727161304158944,-0.2444329475238035,-0.9175940789685147,-1.6896194503153832,-1.9112006885897248,-0.6389734978691768,-1.2794246722251106,-4.902595940426273,-7.278504942588961e-05,-0.18220911669034448,0.6357634351835447,0.41323099392641943
