,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrS_stat,kPyrO2,kPyrDrain,kAldPyr,kAldS_N,kAldS_stat,kAldO2,kAldRed,kAcAld,kAcStress,kAcAssim,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim,kCO2_release_h,CO2sat_scale
gammaF0,15.838808053616003,-13.726727121465819,-28.495377990780142,-3.126363304917474,-91.1086395898877,-7.389361466545922,1.0503058973168486,-12.983186171168661,-1.0299178545711214,144.55449849143292,6.968261025712328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_N,9.846600790280519,-64.93346025851193,-6.765376191496823,0.2432606205839023,37.68762010575481,25.091137375010504,-11.331600596972134,-7.073597924984399,0.2411706987475064,0.0,0.0,67.79343549346625,7.037200737246109,97.01011031957816,-100.33531535686852,39.74360248722763,13.908306384438864,54.6463258045975,195.36489608802373,-0.12523218745708642,-271.36285191616406,24.0781379300051,-6.859519203773957e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_stat,-0.8903979339958628,-4.721982020353025,0.5623277391490005,0.40631267733770354,2.347460409577887,1.1708910590057175,-0.828275592246402,-0.42075753558051676,0.38538380272447786,0.0,0.0,7.037200737246109,0.9760251257672922,14.105228809857108,-15.257695288557748,4.727581604038288,1.0028845440750316,5.658089474112593,22.351734763521957,-0.015666865640772614,-32.48425097378376,1.896380221251165,-5.052829816138086e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrO2,-20.36718889096139,-56.379262899629396,13.158485571146326,7.248731046579107,28.255248556966595,14.660407887097438,-11.397420889569265,-6.803777267056525,7.553688891839344,0.0,0.0,97.01011031957816,14.105228809857108,208.3841048442852,-228.89138107842066,62.82483769108124,12.600876262891388,73.19636066850148,294.5409713860589,-0.2105869380295278,-431.5297323949366,22.896843769188195,-6.0849142832254345e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrDrain,28.736134042210303,50.11555109049539,-18.916333061218364,-9.123318685697358,-24.807628146239338,-12.891896448725149,11.507730317515328,7.68072875504311,-9.889568258406786,0.0,0.0,-100.33531535686852,-15.257695288557748,-228.89138107842066,254.29438043326255,-63.68402496084268,-11.723569789579583,-72.21928171844137,-296.20969150379347,0.21566344208863142,437.39759152978013,-20.96321703977504,5.50950002648481e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldPyr,57.383710231026825,-122.97901783575166,-17.069112667777564,-1.6044431908732868,33.689559961954764,-18.13011619216271,0.6271053769322013,18.77211493547994,-16.653172790633935,0.0,0.0,39.74360248722763,4.727581604038288,62.82483769108124,-63.68402496084268,218.34244910661468,68.86505687148164,287.8990063599197,1060.0284682554081,-0.6998309758925245,-1491.5760501743005,118.84835714571612,-0.00033636190753020694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_N,93.18918626726884,-144.49736316107044,-49.04788117080106,-11.770510470177614,98.8281797224254,75.55153001544105,-24.684129737565897,-20.430919818200568,-14.256237987620588,0.0,0.0,13.908306384438864,1.0028845440750316,12.600876262891388,-11.723569789579583,68.86505687148164,81.70877930265563,135.2166166650967,383.36404188894227,-0.18020138258803822,-424.995595703311,104.44338948328544,-0.00035515798882242513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_stat,136.36756805726577,-249.24138962047869,-74.84171212394503,-15.232418010937078,142.80767619492207,64.30753404291028,-24.001421294182094,-11.487585955609424,-31.358457051574707,0.0,0.0,54.6463258045975,5.658089474112593,73.19636066850148,-72.21928171844137,287.8990063599197,135.2166166650967,448.096289134248,1472.8604554674462,-0.8555079671443178,-1951.467480999944,237.3311344453998,-0.0006891059765069141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldO2,336.92807592661745,-683.6978739883132,-132.13560202369777,-19.2905943822121,264.2571386818018,-2.5532545171846266,-21.69960899464523,53.336896371132376,-89.30530871940958,0.0,0.0,195.36489608802373,22.351734763521957,294.5409713860589,-296.20969150379347,1060.0284682554081,383.36404188894227,1472.8604554674462,5234.185726901291,-3.3173202587066752,-7232.715622279731,665.236741042578,-0.0019045358355992107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldRed,-0.1372357593564132,0.32384061420715754,0.013949790765633269,-0.004050889833167138,-0.022692225367537323,0.12839528691607102,-0.022360130405856042,-0.0929608780025412,0.04652343136377578,0.0,0.0,-0.12523218745708642,-0.015666865640772614,-0.2105869380295278,0.21566344208863142,-0.6998309758925245,-0.18020138258803822,-0.8555079671443178,-3.3173202587066752,0.0023173118159032506,4.784466231508891,-0.30256700284666954,8.413580299885104e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAld,1223.996634445336,-720.1787796758667,-224.26282683710292,-112.93197981649254,-5.480973569491738,237.35469521551573,-5.898166516048834,-20.393144712263247,-121.38674781816772,0.0,0.0,-271.36285191616406,-32.48425097378376,-431.5297323949366,437.39759152978013,-1491.5760501743005,-424.995595703311,-1951.467480999944,-7232.715622279731,4.784466231508891,13476.884469791174,716.1223654910204,-0.0025371046796519407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcStress,813.1830273179739,-855.2892805505395,-234.60009818783627,-75.89361105639483,228.3628020763755,130.65492374979368,-23.822978654791193,28.714693770625985,-134.91442640193756,0.0,0.0,24.0781379300051,1.896380221251165,22.896843769188195,-20.96321703977504,118.84835714571612,104.44338948328544,237.3311344453998,665.236741042578,-0.30256700284666954,716.1223654910204,876.959065335952,-0.0025211698563849215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAssim,-0.0027657076947088816,0.002835409549130667,0.0005557298738921785,0.0001794908079047061,-0.0006657480056711572,-0.00041379126914344955,9.606149287692096e-05,-2.1827798732695306e-05,0.00033907619804193854,0.0,0.0,-6.859519203773957e-05,-5.052829816138086e-06,-6.0849142832254345e-05,5.50950002648481e-05,-0.00033636190753020694,-0.00035515798882242513,-0.0006891059765069141,-0.0019045358355992107,8.413580299885104e-07,-0.0025371046796519407,-0.0025211698563849215,1.034972810833572e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_EA_growth,0.13871212700362714,-0.09751145265420656,0.0024721969559879362,0.005310925346636485,0.07472257770729285,0.08243746715226082,-0.028638979826262383,-0.05842837279252743,-2.9580595495276655e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000150844730327843,0.16739666173845383,0.0,0.0,0.0,0.0,0.06990732861908185,0.0,0.0,3.0730977886734274e-05,0.08008867025043155,-0.0014736036873307875,-0.0005853639701464647
k_EA_stationary,183.4249117984475,-136.6169953318643,-10.308605631969618,2.299809524207823,103.22822818823994,113.14536577706829,-36.763892595184544,-75.65013911449076,1.9721522630525306e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16739666173845383,230.03290264981698,0.0,0.0,0.0,0.0,60.48609133723912,0.0,0.0,0.04451733916387107,117.98991258049965,-1.3840008994834274,-0.49821021755323835
k_IAA_growth,27.149491837280383,-18.81656103572783,-4.962691737729058,0.06518111908847685,31.297106918894276,28.110630868257015,-10.95919986163362,-12.795064088424203,-9.860761315262603e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.443236000399121,45.05902322862171,0.0,0.0,0.0,16.20909902046616,0.0,0.0,0.0,0.019372286983459906,-0.22458310477569177
k_IAA_stationary,89.6116429152589,-64.38172330516909,-13.453974865269226,1.0636863449241623,97.93749403732627,89.0629312574939,-34.71900851182971,-42.97319265578584,-1.9721522630525306e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.05902322862171,144.28226997075677,0.0,0.0,0.0,60.870204587615966,0.0,0.0,0.0,-0.15112578635166674,-0.784453526297427
k_EO_growth,52.48035757892444,-88.94393496132118,-17.259542733269605,0.30654163273931667,57.55601237353355,80.48873435845451,-27.787427256597912,-34.968218992192,-1.4527674757593958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.36339484534224,167.44234673123617,0.0,0.0,115.78488738526359,0.0,0.0,-2.649558735760754,-1.871825119093442
k_EO_stationary,88.85948118841479,-165.93601139605073,-53.213882944667944,-5.732320989634882,129.93880225276,137.93663816890805,-45.94828573591859,-60.68862722095301,-3.0601892186933135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.44234673123617,445.57636735670053,0.0,0.0,143.22176448159885,0.0,0.0,-3.8351391087288866,-2.2805320955081108
alpha_EA_loss,67.5785384152771,-49.67938044937851,23.651704958775525,10.622006224975033,21.605089401269677,31.639314804223794,-13.695493834008971,-34.59944206801448,-9.86076131526256e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06990732861908185,60.48609133723912,0.0,0.0,0.0,0.0,91.48916309959085,0.0,0.0,0.010195900369698491,25.79706164458068,-2.099018401644517,-0.7536222843795353
alpha_IAA_loss,53.708790692978184,-45.04728914582836,11.36907283232519,6.098502162945557,40.27785471503489,40.21805155372058,-17.411779767433597,-29.66040494085448,4.9303806576313265e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.20909902046616,60.870204587615966,0.0,0.0,0.0,76.63221308991876,0.0,0.0,0.0,0.48698737188359154,-1.125294267181191
alpha_EO_loss,84.4503799600143,-133.34585188370846,6.999234500373027,11.33228422164971,35.84511357061123,136.53316108597315,-48.897336564850136,-59.30715258009741,-2.8479612252024546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.78488738526359,143.22176448159885,0.0,0.0,331.5736871223742,0.0,0.0,-7.561453929857696,-5.405451900317198
k_EA_XE,0.035227037577168156,-0.02661545176819869,-0.0025729147226033764,0.00022674241962528612,0.019963706211984455,0.02189628737937425,-0.0069894939195417425,-0.014470197536795399,-4.9303806576313265e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0730977886734274e-05,0.04451733916387107,0.0,0.0,0.0,0.0,0.010195900369698491,0.0,0.0,8.750356921670422e-06,0.02327738516794651,-0.00023654588276156462,-8.388103982083752e-05
k_EA_XE_Nlim,93.12391760484222,-70.64514936936678,-7.29134765998953,0.42763744757183336,52.92509412281222,58.0307216752129,-18.433293641532302,-38.19679081616779,-4.9303806576313265e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08008867025043155,117.98991258049965,0.0,0.0,0.0,0.0,25.79706164458068,0.0,0.0,0.02327738516794651,61.98611862879562,-0.6041845951049708,-0.2118424556940307
kCO2_release_h,11.882508237376722,-10.20532319469434,-18.356069110102787,-5.3115347128204755,30.065415507726932,13.768298861317076,-2.168273027230417,-7.392292259582934,0.7895877528479672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014736036873307875,-1.3840008994834274,0.019372286983459906,-0.15112578635166674,-2.649558735760754,-3.8351391087288866,-2.099018401644517,0.48698737188359154,-7.561453929857696,-0.00023654588276156462,-0.6041845951049708,3.2061527197827466,1.3268853474572304
CO2sat_scale,2.1840023082443043,-1.448840471739451,-6.409720126600413,-1.9647197904603282,8.86501260147767,2.79551904337624,-0.03667299029522031,-1.4285698802565912,0.32428119267571964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005853639701464647,-0.49821021755323835,-0.22458310477569177,-0.784453526297427,-1.871825119093442,-2.2805320955081108,-0.7536222843795353,-1.125294267181191,-5.405451900317198,-8.388103982083752e-05,-0.2118424556940307,1.3268853474572304,1.1177561912632055
