policy,candidate,family,medium,horizon_h,n_full_samples,n_small_samples,sample_volume_ml,hybrid_score,dopt_score,new_logdet,new_min_eigenvalue,new_max_eigenvalue,new_min_relative_eigenvalue,new_condition_number,new_trace_inv,new_rank_1e-8,combined_logdet,combined_min_eigenvalue,combined_max_eigenvalue,combined_min_relative_eigenvalue,combined_condition_number,combined_trace_inv,combined_rank_1e-8,var_ratio_mu0,var_reduction_mu0,var_ratio_qN,var_reduction_qN,var_ratio_betaG0,var_reduction_betaG0,var_ratio_betaF0,var_reduction_betaF0,var_ratio_qEG,var_reduction_qEG,var_ratio_qEF,var_reduction_qEF,var_ratio_iG,var_reduction_iG,var_ratio_iE,var_reduction_iE,var_ratio_Kd0,var_reduction_Kd0,var_ratio_gammaG0,var_reduction_gammaG0,var_ratio_gammaF0,var_reduction_gammaF0,var_ratio_kPyrS_N,var_reduction_kPyrS_N,var_ratio_kPyrO2,var_reduction_kPyrO2,var_ratio_kPyrDrain,var_reduction_kPyrDrain,var_ratio_kAldS_N,var_reduction_kAldS_N,var_ratio_kAcAld,var_reduction_kAcAld,var_ratio_kAcStress,var_reduction_kAcStress,var_ratio_k_EA_growth,var_reduction_k_EA_growth,var_ratio_k_EA_stationary,var_reduction_k_EA_stationary,var_ratio_k_IAA_growth,var_reduction_k_IAA_growth,var_ratio_k_IAA_stationary,var_reduction_k_IAA_stationary,var_ratio_k_EO_growth,var_reduction_k_EO_growth,var_ratio_k_EO_stationary,var_reduction_k_EO_stationary,var_ratio_alpha_EA_loss,var_reduction_alpha_EA_loss,var_ratio_alpha_IAA_loss,var_reduction_alpha_IAA_loss,var_ratio_alpha_EO_loss,var_reduction_alpha_EO_loss,new_param_mean_var_reduction,new_param_worst_var_reduction
full12_small8,natural_aroma_matrix_cold_hot,natural_aroma_matrix,natural,216.0,12,8,664.0,92.61836784611268,123.8309667469496,63.351355073450904,2.8730437784793404e-14,12035.259960818552,2.3871888001029408e-18,1000000000000.0,1001198.2845012568,25,123.8309667469496,0.030027194259183487,163488.6257263322,1.836653414008555e-07,5444685.38469361,46.803441338758596,26,0.8887038865760989,0.11129611342390111,0.8525032220218094,0.1474967779781906,0.9044260252959992,0.09557397470400075,0.9277214497149402,0.0722785502850598,0.8682384756388941,0.1317615243611059,0.9152525838604559,0.08474741613954406,0.9634798677153182,0.03652013228468176,0.8978291950552133,0.1021708049447867,0.9838540423162029,0.01614595768379712,0.9312894761179124,0.06871052388208765,0.9749956086366404,0.025004391363359635,1.216329444260925e-05,0.9999878367055574,0.000369754808116621,0.9996302451918834,1.912861222592539e-05,0.999980871387774,5.476210372254022e-08,0.9999999452378963,6.585699566475556e-05,0.9999341430043353,5.953699760070595e-07,0.999999404630024,0.06873062337183566,0.9312693766281643,0.008392161430595657,0.9916078385694044,0.11652900873704021,0.8834709912629598,0.007093132524288291,0.9929068674757117,0.10449665194770515,0.8955033480522948,0.007226199348071798,0.9927738006519282,0.7472046152020023,0.2527953847979977,0.668590670737464,0.33140932926253597,0.5220232180726405,0.4779767819273595,0.795422478751156,0.2527953847979977
full12_small8,natural_CO2_strip_reference_highN,natural_co2_aroma,natural,168.0,10,6,548.0,96.26362553932539,124.59942275061886,61.51972229991184,8.790822562023532e-14,9077.714916712484,9.683959721889074e-18,1000000000000.0,1243317.4909469648,25,124.59942275061886,0.12219679409848665,161011.3873236042,7.589326204170446e-07,1317640.0290324658,21.366637710355747,26,0.9337046280286997,0.06629537197130031,0.9019145953461752,0.09808540465382476,0.8929364413954234,0.10706355860457661,0.8642568990513698,0.13574310094863018,0.776355157929242,0.22364484207075797,0.7811799000770767,0.21882009992292328,0.8956073640989676,0.10439263590103243,0.7876698633139312,0.21233013668606882,0.9864008540999117,0.01359914590008826,0.9192454014532438,0.08075459854675615,0.9766203180582008,0.02337968194179918,2.4767264032686163e-06,0.9999975232735967,8.38647954538199e-05,0.9999161352045461,1.342537740557158e-05,0.9999865746225944,6.112625282070306e-08,0.9999999388737472,6.125004408748682e-05,0.9999387499559125,5.506782251503246e-07,0.9999994493217749,0.10328608263485699,0.896713917365143,0.005244202210723944,0.994755797789276,0.17206795794759883,0.8279320420524012,0.004563579776795748,0.9954364202232042,0.1566046094017861,0.8433953905982139,0.004738850924786615,0.9952611490752133,0.6625068836556632,0.33749311634433676,0.5541167415348947,0.44588325846510535,0.398494302313103,0.601505697686897,0.8125740898979525,0.33749311634433676
full12_small8,synthetic_lit_SM70_18C_lowN_phase,literature_nitrogen_low,synthetic,216.0,12,8,664.0,77.97911792725769,111.32153898880162,33.242843852839236,4.3115564237954806e-14,7720.071980352182,5.584865574788062e-18,1000000000000.0,1683616.711951998,24,111.32153898880162,0.0102767138960915,158538.08340399576,6.482173667953203e-08,15426923.918188663,119.51326158663322,26,0.9496534562754823,0.050346543724517745,0.97071351282677,0.029286487173230014,0.754494175608566,0.24550582439143398,0.8854828828521382,0.11451711714786184,0.7328605430932137,0.2671394569067863,0.8681522248046966,0.13184777519530344,0.8795059142294929,0.12049408577050713,0.8285840531290409,0.17141594687095907,0.9876782490072973,0.012321750992702718,0.831938410211509,0.16806158978849095,0.9172363353871275,0.08276366461287255,1.7214677633743817e-05,0.9999827853223663,0.00012215897708717826,0.9998778410229128,0.001030886194541181,0.9989691138054588,3.769209137256347e-07,0.9999996230790863,0.00014113386936803515,0.999858866130632,1.464950804152105e-06,0.9999985350491959,0.6032574683958126,0.3967425316041874,0.003251734137375002,0.996748265862625,0.730305271643296,0.26969472835670405,0.0022882894980732387,0.9977117105019268,0.7043871246802968,0.29561287531970315,0.002387791843960549,0.9976122081560395,0.6789099623985198,0.32109003760148025,0.625368589082871,0.37463141091712904,0.5556399961214069,0.4443600038785931,0.6449146521252923,0.26969472835670405
full12_small8,synthetic_lit_SM230_18C_midN_reference,literature_nitrogen_mid,synthetic,216.0,12,8,664.0,96.14313973161346,129.0719673570048,81.49279797460035,0.000342261517614304,18155.01241312772,1.885217755989073e-08,53044270.181688026,3103.5466201015465,26,129.0719673570048,0.0133224920501677,168679.71985868196,7.898099464078515e-08,12661273.823508017,82.61646578099774,26,0.9403236087807614,0.05967639121923862,0.9190775558693948,0.08092244413060523,0.8033943563837437,0.19660564361625632,0.8848337219316613,0.11516627806833868,0.8230444339849823,0.17695556601501772,0.8985753173054049,0.10142468269459515,0.8641689709672677,0.13583102903273225,0.877227420316655,0.12277257968334498,0.9798159110614029,0.020184088938597133,0.845797932597772,0.15420206740222797,0.8929949498594103,0.1070050501405897,1.6183413906279572e-05,0.9999838165860937,0.00039639273455701273,0.999603607265443,0.0004885148950928546,0.9995114851049072,3.366112713400767e-08,0.9999999663388729,5.138354642101267e-06,0.9999948616453579,3.318014587242256e-07,0.9999996681985412,0.09424207370874924,0.9057579262912507,0.004315937036331701,0.9956840629636683,0.15635299771795505,0.8436470022820449,0.0035450043499608255,0.9964549956500391,0.14029835212256622,0.8597016478774338,0.003550005227553336,0.9964499947724467,0.4841307294163696,0.5158692705836304,0.44439284305037535,0.5556071569496246,0.37536466806159113,0.6246353319384088,0.8448910835593133,0.5158692705836304
full12_small8,synthetic_lit_SM410_18C_highN_ester,literature_nitrogen_high,synthetic,216.0,12,8,664.0,105.94870151193531,137.95925541108616,99.02682984041701,0.0010824240953913222,27860.844768149283,3.8851086691698496e-08,25739305.773747507,996.5212648512187,26,137.95925541108616,0.021989558805929687,177929.39548801043,1.2358586812268145e-07,8091540.037630502,52.34689491178511,26,0.667769650417408,0.332230349582592,0.6349226787451513,0.3650773212548487,0.8195136208331496,0.1804863791668504,0.8677414981299426,0.1322585018700574,0.8352524208698914,0.16474757913010862,0.8870696962130391,0.1129303037869609,0.8767269257070338,0.12327307429296619,0.8647306813735741,0.13526931862642588,0.9720861565321033,0.027913843467896715,0.852246761699111,0.14775323830088904,0.8974153701424276,0.10258462985757244,1.386965369939782e-05,0.9999861303463006,0.0003666096882434079,0.9996333903117566,0.00016553010290536568,0.9998344698970947,1.2935776232731202e-08,0.9999999870642238,1.3339577757533192e-06,0.9999986660422242,1.54304531592713e-07,0.9999998456954684,0.030701699545192997,0.969298300454807,0.004266708348495181,0.9957332916515048,0.05337449306204445,0.9466255069379556,0.0036017635743844784,0.9963982364256155,0.04733644650753124,0.9526635534924688,0.0035697619352971083,0.9964302380647029,0.47826585995976517,0.5217341400402349,0.4559112753986987,0.5440887246013013,0.3833914940752731,0.6166085059247268,0.8672344553937282,0.5217341400402349
full12_small8,synthetic_lit_SM410_24C_highN_strip,literature_temp_strip,synthetic,168.0,10,6,548.0,103.95068432056487,136.32101415056573,99.12333369376363,0.0008957464858383587,20775.070939211895,4.311641045459356e-08,23193025.334358774,1176.7755192966492,26,136.32101415056573,0.01783051414309878,171906.10015184444,1.0372240500685613e-07,9641118.521440947,63.09799776975006,26,0.9435082257984803,0.05649177420151974,0.9615317137417548,0.038468286258245166,0.8521834051128415,0.14781659488715848,0.9165055436481734,0.08349445635182662,0.8305345295163897,0.16946547048361027,0.8968553003397707,0.10314469966022932,0.9421108417270807,0.057889158272919294,0.862385736050222,0.13761426394977805,0.9567746341861386,0.04322536581386138,0.8867099424453379,0.11329005755466215,0.944872127930976,0.05512787206902403,1.4041084569626369e-05,0.9999859589154304,0.00043719301121825994,0.9995628069887817,0.00022209875660576136,0.9997779012433943,1.61964224044539e-08,0.9999999838035776,1.8253030056473014e-06,0.9999981746969944,2.0637177954188568e-07,0.9999997936282204,0.038937685436771695,0.9610623145632283,0.0034131383707801293,0.9965868616292198,0.0675314579447709,0.9324685420552291,0.0028614170703020513,0.9971385829296979,0.05996461738956765,0.9400353826104324,0.0027794614761066268,0.9972205385238934,0.327932077998699,0.672067922001301,0.2987822305032097,0.7012177694967903,0.24008211369776608,0.7599178863022339,0.9052467062215672,0.672067922001301
full12_small8,synthetic_lit_SM70_warm_shift_Nrescue,literature_nitrogen_timing,synthetic,216.0,12,8,664.0,84.51417556704726,115.69930631797506,57.54837782942172,0.00015366731829807533,8848.950993131642,1.7365597167093417e-08,57585120.18780036,6670.1898826650195,26,115.69930631797506,0.02977289409590343,159596.3415593014,1.865512317200622e-07,5360457.772268128,50.41141470082004,26,0.9580268456732379,0.041973154326762074,0.9760187003161919,0.023981299683808133,0.7739964215189143,0.22600357848108565,0.8894627658274026,0.11053723417259742,0.7756105002688176,0.22438949973118238,0.8775321854733471,0.1224678145266529,0.862194583567938,0.137805416432062,0.8626384874108795,0.13736151258912055,0.9859982945285051,0.01400170547149493,0.8333752817690464,0.1666247182309536,0.9013410983551868,0.09865890164481317,1.3907647915746658e-05,0.9999860923520842,7.520188752320125e-05,0.9999247981124768,0.0003170697590542367,0.9996829302409458,2.4641545943281827e-07,0.9999997535845405,8.365943726215539e-05,0.9999163405627378,1.1297075465454782e-06,0.9999988702924535,0.5636441105685722,0.4363558894314278,0.005301869254373587,0.9946981307456264,0.6967595140505208,0.30324048594947917,0.0035129479952197094,0.9964870520047803,0.6686349775111504,0.3313650224888496,0.003696781532074756,0.9963032184679252,0.4581540667302992,0.5418459332697008,0.39253597928701556,0.6074640207129844,0.3185686349182606,0.6814313650817394,0.7171914844552458,0.30324048594947917
full12_small8,natural_lit_midN_24C_matrix_transfer,natural_literature_transfer,natural,216.0,12,8,664.0,97.57404355675503,126.36078129606663,65.04022057921618,5.480169493132865e-16,13324.608087230132,4.112818521382914e-20,1000000000000.0,915508.6963756331,25,126.36078129606663,0.10015030268859809,165132.5317149326,6.064843895295388e-07,1648847.0556937477,22.449781600077948,26,0.9562397773917564,0.04376022260824364,0.9324289452741035,0.06757105472589653,0.8928404563717937,0.10715954362820634,0.8856318046341112,0.11436819536588883,0.8055162034263693,0.19448379657363069,0.8260738879900407,0.17392611200995933,0.9267781680601294,0.07322183193987064,0.8259605995196306,0.17403940048036937,0.9820535171845659,0.017946482815434095,0.9247858230166637,0.07521417698333632,0.9827303605633578,0.01726963943664217,3.296592007423299e-06,0.9999967034079926,0.0001037859375083125,0.9998962140624917,1.3968080769940889e-05,0.9999860319192301,5.834086124361212e-08,0.9999999416591387,5.2561460611642876e-05,0.9999474385393884,4.1258640975355795e-07,0.9999995874135903,0.091723791548165,0.908276208451835,0.0050261710031376285,0.9949738289968624,0.15358935932193557,0.8464106406780645,0.004311091721971487,0.9956889082780285,0.13897332048887887,0.8610266795111211,0.00445320334376842,0.9955467966562316,0.7013710955827783,0.2986289044172217,0.6051805121626491,0.3948194878373509,0.4542341538966075,0.5457658461033925,0.8037349388075533,0.2986289044172217
