batch,state,t,mu0,betaG0,betaF0,Kn0,Kig0,Kie0,Kd0,Yxn,Yxf,Yeg,Yef
25086,F,24.0,-2.2435385743992238,0.039155663387695515,-0.5961040954307724,1.4335013207128737,-0.3214806965345127,-0.34438238400560756,2.9915830494646303e-06,-1.3988829118252073,1.756042617891653,0.04815147480449874,0.676371481746397
25086,F,30.0,-2.606066226330623,0.05436274368845647,-0.8153974525458022,1.6036274552947836,-0.428307629056098,-0.4858153021952708,4.0739987519457865e-06,-2.4191571599666366,2.481900445958914,0.08678247327115178,0.9396384646014564
25086,F,48.0,-1.036696576961615,0.06780077051029663,-1.44659540069714,0.5516401564658658,-0.7110768691471192,-0.953969277562362,6.056913053507269e-06,-4.615452166908603,3.29031687712233,0.2802382058496565,1.7349118630566998
25086,F,54.0,-0.7623747516545514,0.05846803535558278,-1.6399025880324467,0.4137970109169956,-0.7873449959007904,-1.1153112083270544,6.554155886268406e-06,-4.917480699117816,3.326862704917181,0.3663229954509733,1.9887880321594342
25086,F,72.0,-0.5163802318473655,-0.009166475567031766,-2.116504907442026,0.30450570093605683,-0.9610746337302822,-1.5681703290848394,6.309706230440361e-06,-5.468614560994335,3.3334269634236438,0.656585196672414,2.6396315564266435
25086,F,102.0,-0.47117738437527606,-0.23525942294655347,-2.8894288436685196,0.284661839337896,-1.1320399974742894,-2.4141410399598797,-2.97197594549807e-05,-6.31428498158236,3.2933571615447566,1.3005959581270101,3.7613309971854836
25086,F,120.0,-0.4649427684265322,-0.4174051352918835,-3.2974981089029316,0.28107652302992664,-1.168977179047083,-2.9218001335786496,-6.38200934966684e-05,-6.81028165465383,3.2675332875900147,1.717521506077232,4.392171792837334
25086,F,126.0,-0.4627663332060076,-0.48000897476538223,-3.432806798054931,0.2797538631921021,-1.171525576043484,-3.090715777503789,-6.953893534580756e-05,-6.976619110753541,3.257909106271526,1.8536569451853318,4.605146436676417
25086,F,144.0,-0.4567541975516207,-0.6620960768120823,-3.8016131833168507,0.2760207104204509,-1.16008296971887,-3.5210808097574158,-8.379788485276141e-05,-7.424195663363672,3.2304693852947155,2.226646139228874,5.199293980234642
25086,F,150.0,-0.4540521356627528,-0.699128376540866,-3.9021827148749066,0.2743391231686935,-1.150199078543039,-3.5868468904221293,-8.763243990480834e-05,-7.533659088421405,3.220510300277497,2.337867048578357,5.394342638287873
