batch,state,t,mu0,sN,qN,qXG,qXF,betaG0,sG,betaF0,sF,qEG,qEF,iG,iE,Kd0,m0
25086,N,24.0,-29.384174356933805,-0.08343103007212573,-404.1295579288876,5.785005549620833e-10,-3.5163164539582144e-08,2.5209209876633824e-10,1.0932734704808567e-14,-1.0232966798802788e-10,-3.6289518278732794e-09,-3.5713600035708e-16,2.7254226736049955e-10,5.219834182760965e-09,4.591748576019601e-14,-2.5608688689797614e-09,-1.8039012262934136e-13
25086,N,30.0,-53.68792304214004,-0.15361861892794923,-333.5934883756294,1.6817169832324738e-09,-1.0016867740771216e-07,7.550350664855287e-10,6.559640822885141e-14,-3.0670548171073896e-10,-1.0166043885429752e-08,-7.1427200071416e-15,7.561940529800755e-10,1.4312213571858582e-08,0.0,-4.199660954106237e-09,-3.27982041144257e-13
25086,N,48.0,-0.0002142192966913823,-3.1322988162107884e-06,-0.001385730966041066,1.9304155120345452e-14,-5.490577403178851e-12,1.1770261545170835e-14,1.6682029273694712e-19,-1.2023950725012336e-14,-1.526892793797858e-13,-2.724731448036804e-20,1.1663719763370875e-14,2.2881760420743486e-13,-3.00276526926505e-19,-3.970474621950921e-13,-5.004608782108414e-19
25086,N,54.0,-2.5763680001245464e-06,-6.065697871369167e-08,-1.8907654403525726e-05,4.397478143129699e-15,-5.4800462288990775e-12,-2.113425806627858e-12,6.777074392438478e-19,-9.430512147379227e-15,1.584133776071495e-11,1.097018829218193e-10,-1.0346062390013783e-12,-1.755785700082732e-11,-1.0634793661980386e-19,-3.5098337950085174e-13,3.346832123035002e-18
25086,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25086,G,12.0,-5.145495029887504,-0.004745517162633697,2.1185085763857514,-1.4675080196025783,-0.0003628084130457566,0.4799880335712223,-3.0851006960403726,0.02683011295586574,0.019395728653584327,-1.9675229632270221,-0.00017590425214662782,-0.1582367196603366,8.87774939330279,-1.1155237300425548e-11,-1.319395652709066
25086,G,24.0,-19.87615064977661,-0.018887603892135514,130.7312248761681,-4.068776273992936,-0.004351302786107125,2.174809925850296,-10.73667789997485,0.27016445676229395,0.1994002998349092,-6.666207355813365,-0.002388110927137747,-1.5479194451465255,33.939652940860555,-1.2270761030468103e-10,-4.616062424449684
25086,G,30.0,-29.535823661844542,-0.026285676424810785,301.9041965121566,-6.6400285831753525,-0.011631180186927903,3.942382257955751,-17.504608436144903,0.5947772568490416,0.44434538575473387,-10.222522095767712,-0.006829826666971855,-3.321927417429492,55.13439360835038,-4.1274378011574526e-10,-7.290205522935099
25086,G,48.0,-42.35837859554784,-0.017744786719064053,670.7884280089346,-6.315715753143201,-0.04531764875565325,10.14079633518454,-39.7413257035013,1.965713262246312,1.5485258115963552,-18.958123433948604,-0.04098442503784765,-9.99380839795968,116.20877056406155,-3.346571190127664e-11,-14.391684081998227
25086,G,54.0,-44.26859119487971,-0.015917002552597967,727.3015251166482,-5.9467687561447224,-0.05634714451399141,11.898108888122472,-46.58908426120446,2.3820892245540812,1.903503338882845,-20.531995558672637,-0.05820673287405605,-11.719520685260802,129.59775213246417,-2.7888093251063867e-11,-15.821901344442802
25086,G,72.0,-40.672609019960895,-0.0104490227677811,688.2375118846046,-4.396426653485443,-0.07596888459171981,14.307743410367756,-58.68131949825061,3.0161913720572167,2.4823674582625213,-20.055581423261078,-0.1082992860336401,-13.440197396535412,136.40842633125826,-2.2310474600851096e-11,-15.960419150619133
25086,G,102.0,-12.079120601808631,-0.0016319708537999198,177.42404239523654,-0.7858833389965189,-0.031334329134712346,4.814356438615044,-24.965452259086724,0.9471061519591052,0.8051383170613512,-7.142746600414839,-0.07763234713585958,-3.3396472998604625,35.70782040495035,-2.544788509159578e-11,-4.142633460662053
25086,G,120.0,-3.3661109330671954,-0.0002963914898733674,45.04554815022646,-0.1506203592283714,-0.011065072058553721,1.317350148167054,-7.252971983336817,0.23673052249343435,0.1711654354454955,-2.443340436798142,-0.042001596969703764,-0.6482324627043826,8.45736238530287,-1.3944046625531933e-11,-1.0595195868526237
25086,G,126.0,-2.1000919725233955,-0.0001646077823793303,27.51316578340195,-0.08456027929533659,-0.008103019064110869,0.822958726446344,-4.565394563204892,0.14625849937756888,0.08325539323312778,-1.6129559973957714,-0.036470068903549625,-0.3433166578132851,5.066445705926377,-9.216143316562513e-12,-0.6881097579892307
25086,G,144.0,-0.48179180810203515,-2.7973999072275798e-05,5.942883663903949,-0.014086139191897872,-0.003909774700445388,0.18178741076918567,-0.9595554815855165,0.038628209431591475,-0.03489619096629056,-0.41359144259295966,-0.019953437532370565,-0.013196693078060824,1.0457363765021108,-4.910374231608218e-12,-0.23634082722802013
25086,G,150.0,-0.29029669511532374,-1.5245007450575978e-05,3.500179701418304,-0.007327460582059026,-0.0031841598310259627,0.10274492401037023,-0.49725046803221956,0.02473180511873982,-0.04784241005782512,-0.2511540503137271,-0.012161101014158349,0.014686668765901094,0.5928407289085696,-5.24808161082032e-12,-0.17919056838168382
25086,G,168.0,-0.05886419156760858,-4.2856719531776094e-07,0.6249773670292116,-0.0001772344557515657,-0.0001614488183667071,0.00657110608587302,-0.010599782268349024,0.0022473392793890498,-0.005760818313874595,-0.035334551952921754,-0.002053441754709964,0.0018531361724459909,0.06192757326188406,2.4592327265881264e-08,-0.013263793814799654
25086,G,174.0,-0.03245243544261429,-6.05469507929107e-08,0.3095801214790269,-2.5034528025652287e-05,-2.3055295511298268e-05,0.0012150044303425606,-0.0015673573729363531,0.0005200969877888398,-0.0009963991988990134,-0.011057275204686712,-0.0010499618115027481,0.0002689283733021812,0.016533541879527065,4.038446808251524e-09,-0.0024905090186920203
25086,G,192.0,-0.0022444811435260925,-1.505434783867275e-10,0.007616978594515645,-6.273920097015063e-08,-5.7775032783780176e-08,4.286322162126947e-06,-4.540663327438406e-06,1.8294558942743793e-06,-2.586802611794193e-06,-5.413114452339662e-05,-4.842261704426078e-05,6.698549399848604e-07,5.6932258454772296e-05,1.0137752831820727e-11,-1.2412797093838272e-05
25086,G,198.0,-0.00032444947777520794,-1.3043604622642007e-11,0.0008642834168622972,-5.478153455128575e-09,-3.831424475598518e-09,4.144962872359255e-07,-4.160998131396992e-07,1.7098143918511126e-07,-2.208490763387352e-07,-5.3082862359860605e-06,-5.4135700637622946e-06,5.6824786057440294e-08,5.024886612794762e-06,2.014730548881825e-08,-1.3328842308317992e-06
