,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrS_stat,kPyrO2,kPyrDrain,kAldPyr,kAldS_N,kAldS_stat,kAldO2,kAldRed,kAcAld,kAcStress,kAcAssim,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim
gammaF0,11.868574676536829,-8.383487271573012,-17.881708362947187,-1.6202161860369444,-94.38104730932683,-6.765805000305759,0.8930343972850413,-10.922161091330185,-0.3877070145890692,130.39047720153337,5.964990764495291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_N,32.79788159993886,-279.5665644025201,-31.97823534893204,-4.350059606939665,115.02549706612199,52.24520495971596,-30.279166719632986,-32.99283867783441,-3.615048219109866,0.0,0.0,193.92768633289688,10.226189246966815,178.99291616633644,-220.91614356114698,118.80511262901248,43.92010222810519,114.11350227633648,206.50192875007895,-0.4508991002447237,-588.2538352092572,51.56575921716116,-0.000565135476043184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_stat,-1.2502552593291067,-12.16961490272329,-0.5167144196967066,0.02381859089520741,3.8608906853638785,1.2990334000086152,-1.0496342930798073,-0.8914646276382578,0.13654230977039117,0.0,0.0,10.226189246966815,0.7750412510390208,13.064193557800673,-17.747496721490986,7.491762980269196,1.690924951042979,6.786817531540631,12.12476764283713,-0.03052984745502277,-36.80304584262679,1.7391099001515913,-1.8145637304749457e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrO2,-17.17426811669931,-216.9324023009974,-10.706831025881376,0.13934226007826878,71.9541452540944,26.097232330713563,-19.722340367437283,-17.992561498935356,2.1369623807806715,0.0,0.0,178.99291616633644,13.064193557800673,221.09716234676839,-298.65733250919146,127.5963701671932,30.775116289477296,116.3095182453192,208.11779147946407,-0.5162524335184557,-627.0626348439258,32.49738072753941,-0.0003421485015994627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrDrain,60.12224789468645,228.92409960009704,-1.4428890607270102,-4.139271591312776,-72.63948535077422,-25.2255484333313,22.706281010688663,21.88155313670346,-8.691790586893479,0.0,0.0,-220.91614356114698,-17.747496721490986,-298.65733250919146,418.3899661919157,-153.52545764977626,-32.42807119346591,-136.9492847308225,-245.0078081349261,0.6349165732148124,750.8489000254885,-31.13138592099259,0.00032298196330382854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldPyr,346.91357144416787,-593.8944871816009,-65.06281094141667,-20.799932106403947,91.13758416621879,-17.990576785879767,1.4871548949988274,43.91598473280041,-45.358432120319016,0.0,0.0,118.80511262901248,7.491762980269196,127.5963701671932,-153.52545764977626,438.2555772597191,157.85124075024714,416.67359156445053,754.3668611575235,-1.6823056421179923,-2166.4576192646578,178.06008850026473,-0.001960171790999648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_N,205.9002635476114,-406.28602062853747,-73.18565584988124,-13.306268680337421,222.29946321115156,121.19537633200353,-57.97365949040676,-84.00479856144861,-21.563137827013495,0.0,0.0,43.92010222810519,1.690924951042979,30.775116289477296,-32.42807119346591,157.85124075024714,221.24529268603374,178.5385547224133,358.1088387980086,-0.4244110643123613,-788.7263165416689,215.71001261518086,-0.0026642759547483917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_stat,348.9432089429824,-610.8060014416842,-75.55686950216918,-21.692037100298144,134.13452676711404,24.63146678240675,-13.733222482182047,6.653130302167824,-42.70697723092742,0.0,0.0,114.11350227633648,6.786817531540631,116.3095182453192,-136.9492847308225,416.67359156445053,178.5385547224133,417.5062070204697,754.351429870905,-1.5040330997056528,-2086.857790053817,222.9610245040042,-0.0024520051712057472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldO2,648.3276471796173,-1145.357515432755,-146.78195578948666,-40.365326790633176,279.72735840668634,65.08890986078036,-35.972839083738464,-2.8509128011563547,-79.60066399001298,0.0,0.0,206.50192875007895,12.12476764283713,208.11779147946407,-245.0078081349261,754.3668611575235,358.1088387980086,754.351429870905,1374.530799903608,-2.7129995594614957,-3762.0730694568438,428.3567199395387,-0.00478806560277129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldRed,-1.216352651305242,2.007417913849476,0.17413184240796564,0.06994265234692668,-0.08057586066462795,0.287026594923316,-0.0905995405075993,-0.3493270975485405,0.17262605810914347,0.0,0.0,-0.4508991002447237,-0.03052984745502277,-0.5162524335184557,0.6349165732148124,-1.6823056421179923,-0.4244110643123613,-1.5040330997056528,-2.7129995594614957,0.006909821472657831,8.220303450996841,-0.3996490310745459,4.298538549765794e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
