,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrS_stat,kPyrO2,kPyrDrain,kAldPyr,kAldS_N,kAldS_stat,kAldO2,kAldRed,kAcAld,kAcStress,kAcAssim,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim
kAcAssim,-0.0069382725709933235,0.0071765719506756975,0.0011262085508448314,0.0003506540701404878,-0.0016288299135424162,-0.0010725626932439542,0.0002788446436335255,0.00014615416787044843,0.0008430139629760025,0.0,0.0,-0.000213482383764235,-1.4145837978321064e-05,-0.00017962390397707647,0.0001674623179734254,-0.0009489892449408518,-0.00099047621452412,-0.0017474469802906136,-0.0025653787313551233,2.3702511830867354e-06,-0.005784250516943061,-0.007113884006448616,4.9699575844024976e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_EA_growth,0.05494458423453103,-0.041012578135927215,0.016895564772496083,0.005518680599487126,0.007602490092331322,0.01124816782668091,-0.0057514142166683185,-0.015424045917566073,-8.765121169122355e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.912443491516676e-05,0.02433024621228389,0.0,0.0,0.0,0.0,0.01211966581126191,0.0,0.0,1.7241547591641973e-05,0.06221396609146054
k_EA_stationary,34.2221562809058,-26.811585156826357,8.631295881009535,2.7663128888983204,5.3390056415907585,7.069979289081098,-3.3310608571767273,-8.68188914524806,3.4876761778751e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02433024621228389,15.043794027760983,0.0,0.0,0.0,0.0,4.537851433166153,0.0,0.0,0.011209929285006174,41.249191401838495
k_IAA_growth,44.40767483372373,-39.74429389999203,-6.223532680988831,0.5100455581952237,54.35423768584555,47.22435714949215,-19.319116855024454,-22.639960117267194,-5.259072701473413e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.111169144172834,65.28486697546933,0.0,0.0,0.0,33.3806651726304,0.0,0.0,0.0
k_IAA_stationary,72.94994168802019,-66.48246003253412,-7.437178849083473,1.6287221235714995,83.63543613244244,73.94991983446866,-30.35305516340003,-38.10989793811111,8.765121169122355e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.28486697546933,105.33993311711427,0.0,0.0,0.0,62.37075562405738,0.0,0.0,0.0
k_EO_growth,51.34589810699099,-118.36469656893874,-2.8411771977884133,3.363734001673667,61.69874003903416,80.73689432091027,-33.216112427324624,-34.06921254301341,-0.6895142249922123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.64580015544195,159.38241764300028,0.0,0.0,117.97523787056633,0.0,0.0
k_EO_stationary,48.38389914467668,-122.92923801981547,-26.473491115399327,-3.3498842704415748,85.17081908709719,80.69092667392,-29.674499396427127,-33.39499989921599,-0.734290970282582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.38241764300028,224.17084545905675,0.0,0.0,49.44841433116051,0.0,0.0
alpha_EA_loss,11.93629633797544,-9.09465342426401,6.838185928664556,2.417573345373998,-0.40335936713589027,1.9505842695957927,-1.4428766120418244,-5.116375166825894,-1.753024233824471e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01211966581126191,4.537851433166153,0.0,0.0,0.0,0.0,7.884345302660858,0.0,0.0,0.002945880989422173,10.26153325269819
alpha_IAA_loss,57.65794260118715,-54.73308887806808,16.764581750372912,7.042463752284478,41.92023071028852,41.894215163988555,-19.00854836006236,-34.28594455524978,1.753024233824471e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3806651726304,62.37075562405738,0.0,0.0,0.0,96.88546050963377,0.0,0.0,0.0
alpha_EO_loss,37.01076947146123,-81.93354283679906,47.526419090576866,16.65399035727808,-12.320848594494816,54.51884325997108,-29.46780731095979,-24.906860648003793,-0.7465471095367862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.97523787056633,49.44841433116051,0.0,0.0,238.6911643159516,0.0,0.0
k_EA_XE,0.025644356090902102,-0.020322846223961858,0.0061817926841226615,0.001970461896871742,0.004058845591533303,0.005288496630192408,-0.0024462468188667106,-0.006366357483311154,-8.765121169122355e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7241547591641973e-05,0.011209929285006174,0.0,0.0,0.0,0.0,0.002945880989422173,0.0,0.0,8.484060565014035e-06,0.03133049922419205
k_EA_XE_Nlim,94.42559529023792,-75.09938466919036,22.394090025906564,7.1253581443162295,15.057343295310655,19.483351880536944,-8.957156476093745,-23.26323082204278,8.765121169122355e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06221396609146054,41.249191401838495,0.0,0.0,0.0,0.0,10.26153325269819,0.0,0.0,0.03133049922419205,115.85776254093405
