medium,batch,time_h,density,sugar_g_l,sugar_source
natural,LAB012,162.9999999999418,997.4,0.09,G_plus_F
synthetic,MS007,0.0,1098.6,245.86,G_plus_F
synthetic,MS007,3.5,1098.5,234.5,G_plus_F
synthetic,MS007,22.5,1096.1,236.49,G_plus_F
synthetic,MS007,46.5,1091.8,219.58,G_plus_F
synthetic,MS007,70.0,1083.6,202.67,G_plus_F
synthetic,MS007,94.0,1068.9,170.59,G_plus_F
synthetic,MS007,165.5,1035.5,94.87,G_plus_F
synthetic,MS007,190.0,1028.2,76.47,G_plus_F
synthetic,MS007,213.0,1020.9,63.72,G_plus_F
synthetic,MS008,0.0,1097.1,243.91,G_plus_F
synthetic,MS008,3.5,1097.1,234.26,G_plus_F
synthetic,MS008,22.5,1094.9,235.19,G_plus_F
synthetic,MS008,46.5,1091.3,223.13,G_plus_F
synthetic,MS008,70.0,1082.0,198.26,G_plus_F
synthetic,MS008,94.0,1068.4,133.4,G_plus_F
synthetic,MS008,165.5,1030.4,85.57,G_plus_F
synthetic,MS008,190.0,1022.2,66.09,G_plus_F
synthetic,MS008,213.0,1014.7,52.06,G_plus_F
synthetic,MS009,0.0,1095.4,235.08,G_plus_F
synthetic,MS009,3.5,1093.5,232.68,G_plus_F
synthetic,MS009,22.5,1082.5,203.31,G_plus_F
synthetic,MS009,46.5,1045.8,123.42,G_plus_F
synthetic,MS009,70.0,1021.7,69.28,G_plus_F
synthetic,MS009,94.0,1009.1,33.24,G_plus_F
synthetic,MS009,165.5,990.9,3.14,G_plus_F
synthetic,MS009,190.0,987.6,9.999999999998899e-05,G_plus_F
synthetic,MS009,213.0,989.8,2.02,G_plus_F
synthetic,MS010,0.0,1097.9,237.86,G_plus_F
synthetic,MS010,3.0,1097.8,237.31,G_plus_F
synthetic,MS010,21.0,1095.0,228.87,G_plus_F
synthetic,MS010,46.0,1076.9,183.12,G_plus_F
synthetic,MS010,70.5,1052.2,131.12,G_plus_F
synthetic,MS010,93.5,1033.9,93.75,G_plus_F
synthetic,MS010,166.0,1002.1,25.55,G_plus_F
synthetic,MS010,191.0,996.3,12.46,G_plus_F
synthetic,MS010,213.5,992.0,4.88,G_plus_F
synthetic,MS011,0.0,1097.2,243.34,G_plus_F
synthetic,MS011,3.0,1097.1,240.14,G_plus_F
synthetic,MS011,21.0,1094.3,227.89,G_plus_F
synthetic,MS011,46.0,1081.1,195.2,G_plus_F
synthetic,MS011,70.5,1061.3,154.62,G_plus_F
synthetic,MS011,93.5,1045.0,120.6,G_plus_F
synthetic,MS011,166.0,1009.9,42.53,G_plus_F
synthetic,MS011,191.0,1003.0,26.93,G_plus_F
synthetic,MS011,213.5,996.4,14.28,G_plus_F
synthetic,MS012,0.0,1095.3,236.79,G_plus_F
synthetic,MS012,3.0,1095.2,234.35,G_plus_F
synthetic,MS012,21.0,1085.0,205.32,G_plus_F
synthetic,MS012,46.0,1052.9,137.64,G_plus_F
synthetic,MS012,70.5,1031.7,91.88,G_plus_F
synthetic,MS012,93.5,1018.9,65.09,G_plus_F
synthetic,MS012,166.0,991.6,5.49,G_plus_F
synthetic,MS012,191.0,988.6,0.10999999999999999,G_plus_F
synthetic,MS012,213.5,988.8,1.53,G_plus_F
synthetic,MS013,0.0,1098.4,241.27,G_plus_F
synthetic,MS013,22.0,1095.8,231.77,G_plus_F
synthetic,MS013,45.0,1083.1,201.27,G_plus_F
synthetic,MS013,69.0,1063.3,123.47,G_plus_F
synthetic,MS013,93.5,1043.6,114.74,G_plus_F
synthetic,MS013,165.5,1006.1,34.05,G_plus_F
synthetic,MS013,191.5,990.0,18.2,G_plus_F
synthetic,MS013,213.0,993.9,9.52,G_plus_F
synthetic,MS014,0.0,1101.2,253.65,G_plus_F
synthetic,MS014,22.0,1099.1,242.11,G_plus_F
synthetic,MS014,45.0,1086.3,205.14,G_plus_F
synthetic,MS014,69.0,1066.3,165.02,G_plus_F
synthetic,MS014,93.5,1046.4,124.86,G_plus_F
synthetic,MS014,165.5,1009.3,41.7,G_plus_F
synthetic,MS014,191.5,1002.1,25.51,G_plus_F
synthetic,MS014,213.0,995.6,13.82,G_plus_F
synthetic,MS015,0.0,1098.3,240.4,G_plus_F
synthetic,MS015,22.0,1097.9,235.81,G_plus_F
synthetic,MS015,45.0,1093.5,222.43,G_plus_F
synthetic,MS015,69.0,1085.5,198.55,G_plus_F
synthetic,MS015,93.5,1070.2,174.99,G_plus_F
synthetic,MS015,165.5,1032.4,90.06,G_plus_F
synthetic,MS015,191.5,1024.1,69.72,G_plus_F
synthetic,MS015,213.0,1016.3,54.15,G_plus_F
synthetic,MS016,0.0,1098.5,242.1,G_plus_F
synthetic,MS016,17.0,1094.3,230.76,G_plus_F
synthetic,MS016,40.0,1067.4,169.54,G_plus_F
synthetic,MS016,64.0,1041.7,114.42,G_plus_F
synthetic,MS016,88.5,1024.1,75.66,G_plus_F
synthetic,MS016,160.5,994.3,11.13,G_plus_F
synthetic,MS016,186.5,989.5,1.65,G_plus_F
synthetic,MS016,208.0,989.0,0.72,G_plus_F
natural,LAB004,0.0,1067.7,145.85,Y15
natural,LAB004,19.0,1064.3,145.71,Y15
natural,LAB004,26.0,1061.1,138.85,Y15
natural,LAB004,43.0,1050.7,117.71,Y15
natural,LAB004,50.0,1044.3,104.74,Y15
natural,LAB004,67.0,1032.3,75.03,Y15
natural,LAB004,74.0,1022.5,57.45,Y15
natural,LAB004,91.0,1014.3,36.66,Y15
natural,LAB004,98.0,1009.3,28.3,Y15
natural,LAB004,115.0,998.8,6.65,Y15
natural,LAB004,122.0,994.4,3.69,Y15
natural,LAB004,146.0,994.9,0.15,Y15
natural,LAB004,163.0,994.9,0.06,Y15
natural,LAB005,0.0,1066.7,165.66,Y15
natural,LAB005,19.0,1064.4,142.71,Y15
natural,LAB005,26.0,1060.9,138.31,Y15
natural,LAB005,43.0,1050.3,111.41,Y15
natural,LAB005,50.0,1043.8,104.59,Y15
natural,LAB005,67.0,1031.1,73.88,Y15
natural,LAB005,74.0,1025.5,63.58,Y15
natural,LAB005,91.0,1014.8,38.62,Y15
natural,LAB005,98.0,1010.3,30.68,Y15
natural,LAB005,115.0,999.5,8.2,Y15
natural,LAB005,122.0,995.5,5.0,Y15
natural,LAB005,146.0,994.9,0.12,Y15
natural,LAB005,163.0,995.0,0.01,Y15
natural,LAB006,0.0,1066.7,157.44,Y15
natural,LAB006,19.0,1065.2,143.94,Y15
natural,LAB006,26.0,1062.9,136.55,Y15
natural,LAB006,43.0,1058.3,129.96,Y15
natural,LAB006,50.0,1054.3,127.54,Y15
natural,LAB006,67.0,1046.4,105.5,Y15
natural,LAB006,74.0,1040.0,95.0,Y15
natural,LAB006,98.0,1026.2,63.93,Y15
natural,LAB006,115.0,1016.1,43.21,Y15
natural,LAB006,122.0,1011.7,38.71,Y15
natural,LAB006,139.0,1006.9,21.27,Y15
natural,LAB006,146.0,1001.5,13.71,Y15
natural,LAB006,170.0,996.7,4.69,Y15
natural,LAB006,194.0,996.0,0.88,Y15
natural,LAB006,211.0,995.4,0.17,Y15
natural,LAB007,16.0,1062.6,142.98,Y15
natural,LAB007,24.0,1062.5,147.91,Y15
natural,LAB007,40.0,1052.0,121.21,Y15
natural,LAB007,48.0,1046.7,105.17,Y15
natural,LAB007,64.0,1033.7,81.62,Y15
natural,LAB007,72.0,1026.1,70.17,Y15
natural,LAB007,88.0,1013.6,37.77,Y15
natural,LAB007,96.0,1010.0,31.01,Y15
natural,LAB007,112.0,999.6,7.0,Y15
natural,LAB007,120.0,997.4,3.42,Y15
natural,LAB007,144.0,995.4,0.03,Y15
natural,LAB007,160.0,995.6,0.01,Y15
natural,LAB008,16.0,1063.7,141.37,Y15
natural,LAB008,24.0,1062.3,145.62,Y15
natural,LAB008,40.0,1051.2,119.44,Y15
natural,LAB008,48.0,1047.0,105.5,Y15
natural,LAB008,64.0,1034.2,81.2,Y15
natural,LAB008,72.0,1026.8,69.33,Y15
natural,LAB008,88.0,1014.2,37.29,Y15
natural,LAB008,96.0,1009.4,30.5,Y15
natural,LAB008,112.0,999.2,6.41,Y15
natural,LAB008,120.0,997.1,2.89,Y15
natural,LAB008,144.0,995.4,0.03,Y15
natural,LAB008,160.0,994.5,0.0,Y15
natural,LAB009,16.0,1062.3,139.66,Y15
natural,LAB009,24.0,1059.9,141.38,Y15
natural,LAB009,40.0,1041.2,99.28,Y15
natural,LAB009,48.0,1036.0,74.43,Y15
natural,LAB009,64.0,1018.5,45.91,Y15
natural,LAB009,72.0,1012.2,43.97,Y15
natural,LAB009,88.0,1006.2,18.7,Y15
natural,LAB009,96.0,1002.8,16.39,Y15
natural,LAB009,120.0,997.5,3.4,Y15
natural,LAB009,144.0,995.8,0.2,Y15
natural,LAB009,160.0,995.8,0.02,Y15
natural,LAB010,0.0,1067.4,155.54,Y15
natural,LAB010,72.0,1060.8,141.54,Y15
natural,LAB010,162.9999999999418,1004.7,15.69,Y15
natural,LAB010,186.9999999999418,998.3,3.25,Y15
natural,LAB011,0.0,1066.5,152.28,Y15
natural,LAB011,18.999999999941792,1067.2,156.49,Y15
natural,LAB011,66.99999999994179,1056.2,133.0,Y15
natural,LAB011,162.9999999999418,996.1,0.14,Y15
natural,LAB012,0.0,1066.6,154.88,Y15
natural,LAB012,48.0,1065.4,144.29,Y15
natural,LAB012,66.99999999994179,1059.2,133.03,Y15
natural,LAB012,162.9999999999418,997.4,0.09,Y15
synthetic,MS007,0.0,1098.6,245.86,Y15
synthetic,MS007,3.5,1098.5,234.5,Y15
synthetic,MS007,22.5,1096.1,236.49,Y15
synthetic,MS007,46.5,1091.8,219.58,Y15
synthetic,MS007,70.0,1083.6,202.67,Y15
synthetic,MS007,94.0,1068.9,170.59,Y15
synthetic,MS007,165.5,1035.5,94.87,Y15
synthetic,MS007,190.0,1028.2,76.47,Y15
synthetic,MS007,213.0,1020.9,63.72,Y15
synthetic,MS008,0.0,1097.1,243.91,Y15
synthetic,MS008,3.5,1097.1,234.26,Y15
synthetic,MS008,22.5,1094.9,235.19,Y15
synthetic,MS008,46.5,1091.3,223.13,Y15
synthetic,MS008,70.0,1082.0,198.26,Y15
synthetic,MS008,94.0,1068.4,133.4,Y15
synthetic,MS008,165.5,1030.4,85.57,Y15
synthetic,MS008,190.0,1022.2,66.09,Y15
synthetic,MS008,213.0,1014.7,52.06,Y15
synthetic,MS009,0.0,1095.4,235.08,Y15
synthetic,MS009,3.5,1093.5,232.68,Y15
synthetic,MS009,22.5,1082.5,203.31,Y15
synthetic,MS009,46.5,1045.8,123.42,Y15
synthetic,MS009,70.0,1021.7,69.28,Y15
synthetic,MS009,94.0,1009.1,33.24,Y15
synthetic,MS009,165.5,990.9,3.14,Y15
synthetic,MS009,190.0,987.6,0.0001,Y15
synthetic,MS009,213.0,989.8,2.02,Y15
synthetic,MS010,0.0,1097.9,237.86,Y15
synthetic,MS010,3.0,1097.8,237.31,Y15
synthetic,MS010,21.0,1095.0,228.87,Y15
synthetic,MS010,46.0,1076.9,183.12,Y15
synthetic,MS010,70.5,1052.2,131.12,Y15
synthetic,MS010,93.5,1033.9,93.75,Y15
synthetic,MS010,166.0,1002.1,25.55,Y15
synthetic,MS010,191.0,996.3,12.46,Y15
synthetic,MS010,213.5,992.0,4.88,Y15
synthetic,MS011,0.0,1097.2,243.34,Y15
synthetic,MS011,3.0,1097.1,240.14,Y15
synthetic,MS011,21.0,1094.3,227.89,Y15
synthetic,MS011,46.0,1081.1,195.2,Y15
synthetic,MS011,70.5,1061.3,154.62,Y15
synthetic,MS011,93.5,1045.0,120.6,Y15
synthetic,MS011,166.0,1009.9,42.53,Y15
synthetic,MS011,191.0,1003.0,26.93,Y15
synthetic,MS011,213.5,996.4,14.28,Y15
synthetic,MS012,0.0,1095.3,236.79,Y15
synthetic,MS012,3.0,1095.2,234.35,Y15
synthetic,MS012,21.0,1085.0,205.32,Y15
synthetic,MS012,46.0,1052.9,137.64,Y15
synthetic,MS012,70.5,1031.7,91.88,Y15
synthetic,MS012,93.5,1018.9,65.09,Y15
synthetic,MS012,166.0,991.6,5.49,Y15
synthetic,MS012,191.0,988.6,0.11,Y15
synthetic,MS012,213.5,988.8,1.53,Y15
synthetic,MS013,0.0,1098.4,241.27,Y15
synthetic,MS013,22.0,1095.8,231.77,Y15
synthetic,MS013,45.0,1083.1,201.27,Y15
synthetic,MS013,69.0,1063.3,123.47,Y15
synthetic,MS013,93.5,1043.6,114.74,Y15
synthetic,MS013,165.5,1006.1,34.05,Y15
synthetic,MS013,191.5,990.0,18.2,Y15
synthetic,MS013,213.0,993.9,9.52,Y15
synthetic,MS014,0.0,1101.2,253.65,Y15
synthetic,MS014,22.0,1099.1,242.11,Y15
synthetic,MS014,45.0,1086.3,205.14,Y15
synthetic,MS014,69.0,1066.3,165.02,Y15
synthetic,MS014,93.5,1046.4,124.86,Y15
synthetic,MS014,165.5,1009.3,41.7,Y15
synthetic,MS014,191.5,1002.1,25.51,Y15
synthetic,MS014,213.0,995.6,13.82,Y15
synthetic,MS015,0.0,1098.3,240.4,Y15
synthetic,MS015,22.0,1097.9,235.81,Y15
synthetic,MS015,45.0,1093.5,222.43,Y15
synthetic,MS015,69.0,1085.5,198.55,Y15
synthetic,MS015,93.5,1070.2,174.99,Y15
synthetic,MS015,165.5,1032.4,90.06,Y15
synthetic,MS015,191.5,1024.1,69.72,Y15
synthetic,MS015,213.0,1016.3,54.15,Y15
synthetic,MS016,0.0,1098.5,242.1,Y15
synthetic,MS016,17.0,1094.3,230.76,Y15
synthetic,MS016,40.0,1067.4,169.54,Y15
synthetic,MS016,64.0,1041.7,114.42,Y15
synthetic,MS016,88.5,1024.1,75.66,Y15
synthetic,MS016,160.5,994.3,11.13,Y15
synthetic,MS016,186.5,989.5,1.65,Y15
synthetic,MS016,208.0,989.0,0.72,Y15
