scenario,candidate,event,time_h,amount
early_10_old_clock,synthetic_high_biomass_low_N_maintenance,DO,70.5,
early_10_old_clock,synthetic_high_biomass_low_N_maintenance,pulse_N,66.5,0.015
early_10_old_clock,synthetic_high_biomass_low_N_maintenance,pulse_G,42.5,25.0
early_10_old_clock,synthetic_high_biomass_low_N_maintenance,pulse_F,90.5,25.0
early_10_old_clock,synthetic_fructose_rich_glucose_pulse,full,0.0,
early_10_old_clock,synthetic_fructose_rich_glucose_pulse,full,18.5,
early_10_old_clock,synthetic_fructose_rich_glucose_pulse,full,20.5,
early_10_old_clock,synthetic_fructose_rich_glucose_pulse,full,24.5,
early_10_old_clock,synthetic_fructose_rich_glucose_pulse,full,42.5,
early_10_old_clock,synthetic_fructose_rich_glucose_pulse,full,48.5,
early_10_old_clock,synthetic_fructose_rich_glucose_pulse,full,66.5,
early_10_old_clock,synthetic_fructose_rich_glucose_pulse,full,72.5,
early_10_old_clock,synthetic_fructose_rich_glucose_pulse,full,90.5,
early_10_old_clock,synthetic_fructose_rich_glucose_pulse,full,92.5,
early_10_old_clock,synthetic_fructose_rich_glucose_pulse,full,94.5,
early_10_old_clock,synthetic_fructose_rich_glucose_pulse,full,96.5,
early_10_old_clock,synthetic_fructose_rich_glucose_pulse,full,162.5,
early_10_old_clock,synthetic_fructose_rich_glucose_pulse,full,168.5,
early_10_old_clock,synthetic_fructose_rich_glucose_pulse,small,22.5,
early_10_old_clock,synthetic_fructose_rich_glucose_pulse,small,44.5,
early_10_old_clock,synthetic_fructose_rich_glucose_pulse,small,46.5,
early_10_old_clock,synthetic_fructose_rich_glucose_pulse,small,68.5,
early_10_old_clock,synthetic_fructose_rich_glucose_pulse,small,70.5,
early_10_old_clock,synthetic_fructose_rich_glucose_pulse,small,164.5,
early_10_old_clock,synthetic_fructose_rich_glucose_pulse,DO,0.0,
early_10_old_clock,synthetic_fructose_rich_glucose_pulse,DO,18.5,
early_10_old_clock,synthetic_fructose_rich_glucose_pulse,DO,20.5,
early_10_old_clock,synthetic_fructose_rich_glucose_pulse,DO,22.5,
early_10_old_clock,synthetic_fructose_rich_glucose_pulse,DO,24.5,
early_10_old_clock,synthetic_fructose_rich_glucose_pulse,DO,42.5,
early_10_old_clock,synthetic_fructose_rich_glucose_pulse,DO,44.5,
early_10_old_clock,synthetic_fructose_rich_glucose_pulse,DO,46.5,
early_10_old_clock,synthetic_fructose_rich_glucose_pulse,DO,48.5,
early_10_old_clock,synthetic_fructose_rich_glucose_pulse,DO,66.5,
early_10_old_clock,synthetic_fructose_rich_glucose_pulse,DO,68.5,
early_10_old_clock,synthetic_fructose_rich_glucose_pulse,DO,70.5,
early_10_old_clock,synthetic_fructose_rich_glucose_pulse,pulse_N,18.5,0.05
early_10_old_clock,synthetic_fructose_rich_glucose_pulse,pulse_G,66.5,35.0
midday_12_response,synthetic_lit_SM410_18C_highN_ester,full,0.0,
midday_12_response,synthetic_lit_SM410_18C_highN_ester,full,18.5,
midday_12_response,synthetic_lit_SM410_18C_highN_ester,full,20.5,
midday_12_response,synthetic_lit_SM410_18C_highN_ester,full,24.5,
midday_12_response,synthetic_lit_SM410_18C_highN_ester,full,42.5,
midday_12_response,synthetic_lit_SM410_18C_highN_ester,full,48.5,
midday_12_response,synthetic_lit_SM410_18C_highN_ester,full,66.5,
midday_12_response,synthetic_lit_SM410_18C_highN_ester,full,72.5,
midday_12_response,synthetic_lit_SM410_18C_highN_ester,full,90.5,
midday_12_response,synthetic_lit_SM410_18C_highN_ester,full,92.5,
midday_12_response,synthetic_lit_SM410_18C_highN_ester,full,94.5,
midday_12_response,synthetic_lit_SM410_18C_highN_ester,full,96.5,
midday_12_response,synthetic_lit_SM410_18C_highN_ester,full,162.5,
midday_12_response,synthetic_lit_SM410_18C_highN_ester,full,168.5,
midday_12_response,synthetic_lit_SM410_18C_highN_ester,small,22.5,
midday_12_response,synthetic_lit_SM410_18C_highN_ester,small,44.5,
midday_12_response,synthetic_lit_SM410_18C_highN_ester,small,46.5,
midday_12_response,synthetic_lit_SM410_18C_highN_ester,small,68.5,
midday_12_response,synthetic_lit_SM410_18C_highN_ester,small,70.5,
midday_12_response,synthetic_lit_SM410_18C_highN_ester,small,164.5,
midday_12_response,synthetic_lit_SM410_18C_highN_ester,DO,0.0,
midday_12_response,synthetic_lit_SM410_18C_highN_ester,DO,18.5,
midday_12_response,synthetic_lit_SM410_18C_highN_ester,DO,20.5,
midday_12_response,synthetic_lit_SM410_18C_highN_ester,DO,22.5,
midday_12_response,synthetic_lit_SM410_18C_highN_ester,DO,24.5,
midday_12_response,synthetic_lit_SM410_18C_highN_ester,DO,42.5,
midday_12_response,synthetic_lit_SM410_18C_highN_ester,DO,44.5,
midday_12_response,synthetic_lit_SM410_18C_highN_ester,DO,46.5,
midday_12_response,synthetic_lit_SM410_18C_highN_ester,DO,48.5,
midday_12_response,synthetic_lit_SM410_18C_highN_ester,DO,66.5,
midday_12_response,synthetic_lit_SM410_18C_highN_ester,DO,68.5,
midday_12_response,synthetic_lit_SM410_18C_highN_ester,DO,70.5,
midday_12_response,synthetic_high_biomass_low_N_maintenance,full,0.0,
midday_12_response,synthetic_high_biomass_low_N_maintenance,full,18.5,
midday_12_response,synthetic_high_biomass_low_N_maintenance,full,24.5,
midday_12_response,synthetic_high_biomass_low_N_maintenance,full,42.5,
midday_12_response,synthetic_high_biomass_low_N_maintenance,full,48.5,
midday_12_response,synthetic_high_biomass_low_N_maintenance,full,66.5,
midday_12_response,synthetic_high_biomass_low_N_maintenance,full,68.5,
midday_12_response,synthetic_high_biomass_low_N_maintenance,full,72.5,
midday_12_response,synthetic_high_biomass_low_N_maintenance,full,90.5,
midday_12_response,synthetic_high_biomass_low_N_maintenance,full,92.5,
midday_12_response,synthetic_high_biomass_low_N_maintenance,full,94.5,
midday_12_response,synthetic_high_biomass_low_N_maintenance,full,96.5,
midday_12_response,synthetic_high_biomass_low_N_maintenance,full,162.5,
midday_12_response,synthetic_high_biomass_low_N_maintenance,full,168.5,
midday_12_response,synthetic_high_biomass_low_N_maintenance,small,20.5,
midday_12_response,synthetic_high_biomass_low_N_maintenance,small,22.5,
midday_12_response,synthetic_high_biomass_low_N_maintenance,small,44.5,
midday_12_response,synthetic_high_biomass_low_N_maintenance,small,46.5,
midday_12_response,synthetic_high_biomass_low_N_maintenance,small,70.5,
midday_12_response,synthetic_high_biomass_low_N_maintenance,small,164.5,
midday_12_response,synthetic_high_biomass_low_N_maintenance,DO,0.0,
midday_12_response,synthetic_high_biomass_low_N_maintenance,DO,18.5,
midday_12_response,synthetic_high_biomass_low_N_maintenance,DO,20.5,
midday_12_response,synthetic_high_biomass_low_N_maintenance,DO,22.5,
midday_12_response,synthetic_high_biomass_low_N_maintenance,DO,24.5,
midday_12_response,synthetic_high_biomass_low_N_maintenance,DO,42.5,
midday_12_response,synthetic_high_biomass_low_N_maintenance,DO,44.5,
midday_12_response,synthetic_high_biomass_low_N_maintenance,DO,46.5,
midday_12_response,synthetic_high_biomass_low_N_maintenance,DO,48.5,
midday_12_response,synthetic_high_biomass_low_N_maintenance,DO,66.5,
midday_12_response,synthetic_high_biomass_low_N_maintenance,DO,68.5,
midday_12_response,synthetic_high_biomass_low_N_maintenance,DO,70.5,
midday_12_response,synthetic_high_biomass_low_N_maintenance,pulse_N,68.5,0.015
midday_12_response,synthetic_high_biomass_low_N_maintenance,pulse_G,44.5,25.0
midday_12_response,synthetic_high_biomass_low_N_maintenance,pulse_F,92.5,25.0
midday_12_response,synthetic_fructose_rich_glucose_pulse,full,0.0,
midday_12_response,synthetic_fructose_rich_glucose_pulse,full,18.5,
midday_12_response,synthetic_fructose_rich_glucose_pulse,full,20.5,
midday_12_response,synthetic_fructose_rich_glucose_pulse,full,24.5,
midday_12_response,synthetic_fructose_rich_glucose_pulse,full,42.5,
midday_12_response,synthetic_fructose_rich_glucose_pulse,full,48.5,
midday_12_response,synthetic_fructose_rich_glucose_pulse,full,66.5,
midday_12_response,synthetic_fructose_rich_glucose_pulse,full,72.5,
midday_12_response,synthetic_fructose_rich_glucose_pulse,full,90.5,
midday_12_response,synthetic_fructose_rich_glucose_pulse,full,92.5,
midday_12_response,synthetic_fructose_rich_glucose_pulse,full,94.5,
midday_12_response,synthetic_fructose_rich_glucose_pulse,full,96.5,
midday_12_response,synthetic_fructose_rich_glucose_pulse,full,162.5,
midday_12_response,synthetic_fructose_rich_glucose_pulse,full,168.5,
midday_12_response,synthetic_fructose_rich_glucose_pulse,small,22.5,
midday_12_response,synthetic_fructose_rich_glucose_pulse,small,44.5,
midday_12_response,synthetic_fructose_rich_glucose_pulse,small,46.5,
midday_12_response,synthetic_fructose_rich_glucose_pulse,small,68.5,
midday_12_response,synthetic_fructose_rich_glucose_pulse,small,70.5,
midday_12_response,synthetic_fructose_rich_glucose_pulse,small,164.5,
midday_12_response,synthetic_fructose_rich_glucose_pulse,DO,0.0,
midday_12_response,synthetic_fructose_rich_glucose_pulse,DO,18.5,
midday_12_response,synthetic_fructose_rich_glucose_pulse,DO,20.5,
midday_12_response,synthetic_fructose_rich_glucose_pulse,DO,22.5,
midday_12_response,synthetic_fructose_rich_glucose_pulse,DO,24.5,
midday_12_response,synthetic_fructose_rich_glucose_pulse,DO,42.5,
midday_12_response,synthetic_fructose_rich_glucose_pulse,DO,44.5,
midday_12_response,synthetic_fructose_rich_glucose_pulse,DO,46.5,
midday_12_response,synthetic_fructose_rich_glucose_pulse,DO,48.5,
midday_12_response,synthetic_fructose_rich_glucose_pulse,DO,66.5,
midday_12_response,synthetic_fructose_rich_glucose_pulse,DO,68.5,
midday_12_response,synthetic_fructose_rich_glucose_pulse,DO,70.5,
midday_12_response,synthetic_fructose_rich_glucose_pulse,pulse_N,20.5,0.05
midday_12_response,synthetic_fructose_rich_glucose_pulse,pulse_G,68.5,35.0
late_16_near_nominal,synthetic_lit_SM410_18C_highN_ester,full,0.0,
late_16_near_nominal,synthetic_lit_SM410_18C_highN_ester,full,18.5,
late_16_near_nominal,synthetic_lit_SM410_18C_highN_ester,full,20.5,
late_16_near_nominal,synthetic_lit_SM410_18C_highN_ester,full,24.5,
late_16_near_nominal,synthetic_lit_SM410_18C_highN_ester,full,42.5,
late_16_near_nominal,synthetic_lit_SM410_18C_highN_ester,full,48.5,
late_16_near_nominal,synthetic_lit_SM410_18C_highN_ester,full,66.5,
late_16_near_nominal,synthetic_lit_SM410_18C_highN_ester,full,72.5,
late_16_near_nominal,synthetic_lit_SM410_18C_highN_ester,full,90.5,
late_16_near_nominal,synthetic_lit_SM410_18C_highN_ester,full,92.5,
late_16_near_nominal,synthetic_lit_SM410_18C_highN_ester,full,94.5,
late_16_near_nominal,synthetic_lit_SM410_18C_highN_ester,full,96.5,
late_16_near_nominal,synthetic_lit_SM410_18C_highN_ester,full,162.5,
late_16_near_nominal,synthetic_lit_SM410_18C_highN_ester,full,168.5,
late_16_near_nominal,synthetic_lit_SM410_18C_highN_ester,small,22.5,
late_16_near_nominal,synthetic_lit_SM410_18C_highN_ester,small,44.5,
late_16_near_nominal,synthetic_lit_SM410_18C_highN_ester,small,46.5,
late_16_near_nominal,synthetic_lit_SM410_18C_highN_ester,small,68.5,
late_16_near_nominal,synthetic_lit_SM410_18C_highN_ester,small,70.5,
late_16_near_nominal,synthetic_lit_SM410_18C_highN_ester,small,164.5,
late_16_near_nominal,synthetic_lit_SM410_18C_highN_ester,DO,0.0,
late_16_near_nominal,synthetic_lit_SM410_18C_highN_ester,DO,18.5,
late_16_near_nominal,synthetic_lit_SM410_18C_highN_ester,DO,20.5,
late_16_near_nominal,synthetic_lit_SM410_18C_highN_ester,DO,22.5,
late_16_near_nominal,synthetic_lit_SM410_18C_highN_ester,DO,24.5,
late_16_near_nominal,synthetic_lit_SM410_18C_highN_ester,DO,42.5,
late_16_near_nominal,synthetic_lit_SM410_18C_highN_ester,DO,44.5,
late_16_near_nominal,synthetic_lit_SM410_18C_highN_ester,DO,46.5,
late_16_near_nominal,synthetic_lit_SM410_18C_highN_ester,DO,48.5,
late_16_near_nominal,synthetic_lit_SM410_18C_highN_ester,DO,66.5,
late_16_near_nominal,synthetic_lit_SM410_18C_highN_ester,DO,68.5,
late_16_near_nominal,synthetic_lit_SM410_18C_highN_ester,DO,70.5,
late_16_near_nominal,synthetic_high_biomass_low_N_maintenance,full,0.0,
late_16_near_nominal,synthetic_high_biomass_low_N_maintenance,full,18.5,
late_16_near_nominal,synthetic_high_biomass_low_N_maintenance,full,24.5,
late_16_near_nominal,synthetic_high_biomass_low_N_maintenance,full,42.5,
late_16_near_nominal,synthetic_high_biomass_low_N_maintenance,full,48.5,
late_16_near_nominal,synthetic_high_biomass_low_N_maintenance,full,66.5,
late_16_near_nominal,synthetic_high_biomass_low_N_maintenance,full,70.5,
late_16_near_nominal,synthetic_high_biomass_low_N_maintenance,full,72.5,
late_16_near_nominal,synthetic_high_biomass_low_N_maintenance,full,90.5,
late_16_near_nominal,synthetic_high_biomass_low_N_maintenance,full,92.5,
late_16_near_nominal,synthetic_high_biomass_low_N_maintenance,full,94.5,
late_16_near_nominal,synthetic_high_biomass_low_N_maintenance,full,96.5,
late_16_near_nominal,synthetic_high_biomass_low_N_maintenance,full,162.5,
late_16_near_nominal,synthetic_high_biomass_low_N_maintenance,full,168.5,
late_16_near_nominal,synthetic_high_biomass_low_N_maintenance,small,22.5,
late_16_near_nominal,synthetic_high_biomass_low_N_maintenance,small,44.5,
late_16_near_nominal,synthetic_high_biomass_low_N_maintenance,small,46.5,
late_16_near_nominal,synthetic_high_biomass_low_N_maintenance,small,68.5,
late_16_near_nominal,synthetic_high_biomass_low_N_maintenance,small,164.5,
late_16_near_nominal,synthetic_high_biomass_low_N_maintenance,small,166.5,
late_16_near_nominal,synthetic_high_biomass_low_N_maintenance,DO,0.0,
late_16_near_nominal,synthetic_high_biomass_low_N_maintenance,DO,18.5,
late_16_near_nominal,synthetic_high_biomass_low_N_maintenance,DO,22.5,
late_16_near_nominal,synthetic_high_biomass_low_N_maintenance,DO,24.5,
late_16_near_nominal,synthetic_high_biomass_low_N_maintenance,DO,42.5,
late_16_near_nominal,synthetic_high_biomass_low_N_maintenance,DO,44.5,
late_16_near_nominal,synthetic_high_biomass_low_N_maintenance,DO,46.5,
late_16_near_nominal,synthetic_high_biomass_low_N_maintenance,DO,48.5,
late_16_near_nominal,synthetic_high_biomass_low_N_maintenance,DO,66.5,
late_16_near_nominal,synthetic_high_biomass_low_N_maintenance,DO,68.5,
late_16_near_nominal,synthetic_high_biomass_low_N_maintenance,DO,70.5,
late_16_near_nominal,synthetic_high_biomass_low_N_maintenance,pulse_N,72.5,0.015
late_16_near_nominal,synthetic_high_biomass_low_N_maintenance,pulse_G,48.5,25.0
late_16_near_nominal,synthetic_high_biomass_low_N_maintenance,pulse_F,96.5,25.0
late_16_near_nominal,synthetic_fructose_rich_glucose_pulse,full,0.0,
late_16_near_nominal,synthetic_fructose_rich_glucose_pulse,full,18.5,
late_16_near_nominal,synthetic_fructose_rich_glucose_pulse,full,22.5,
late_16_near_nominal,synthetic_fructose_rich_glucose_pulse,full,24.5,
late_16_near_nominal,synthetic_fructose_rich_glucose_pulse,full,42.5,
late_16_near_nominal,synthetic_fructose_rich_glucose_pulse,full,48.5,
late_16_near_nominal,synthetic_fructose_rich_glucose_pulse,full,66.5,
late_16_near_nominal,synthetic_fructose_rich_glucose_pulse,full,72.5,
late_16_near_nominal,synthetic_fructose_rich_glucose_pulse,full,90.5,
late_16_near_nominal,synthetic_fructose_rich_glucose_pulse,full,92.5,
late_16_near_nominal,synthetic_fructose_rich_glucose_pulse,full,94.5,
late_16_near_nominal,synthetic_fructose_rich_glucose_pulse,full,96.5,
late_16_near_nominal,synthetic_fructose_rich_glucose_pulse,full,162.5,
late_16_near_nominal,synthetic_fructose_rich_glucose_pulse,full,168.5,
late_16_near_nominal,synthetic_fructose_rich_glucose_pulse,small,20.5,
late_16_near_nominal,synthetic_fructose_rich_glucose_pulse,small,44.5,
late_16_near_nominal,synthetic_fructose_rich_glucose_pulse,small,46.5,
late_16_near_nominal,synthetic_fructose_rich_glucose_pulse,small,68.5,
late_16_near_nominal,synthetic_fructose_rich_glucose_pulse,small,70.5,
late_16_near_nominal,synthetic_fructose_rich_glucose_pulse,small,164.5,
late_16_near_nominal,synthetic_fructose_rich_glucose_pulse,DO,0.0,
late_16_near_nominal,synthetic_fructose_rich_glucose_pulse,DO,18.5,
late_16_near_nominal,synthetic_fructose_rich_glucose_pulse,DO,20.5,
late_16_near_nominal,synthetic_fructose_rich_glucose_pulse,DO,22.5,
late_16_near_nominal,synthetic_fructose_rich_glucose_pulse,DO,24.5,
late_16_near_nominal,synthetic_fructose_rich_glucose_pulse,DO,42.5,
late_16_near_nominal,synthetic_fructose_rich_glucose_pulse,DO,44.5,
late_16_near_nominal,synthetic_fructose_rich_glucose_pulse,DO,46.5,
late_16_near_nominal,synthetic_fructose_rich_glucose_pulse,DO,48.5,
late_16_near_nominal,synthetic_fructose_rich_glucose_pulse,DO,66.5,
late_16_near_nominal,synthetic_fructose_rich_glucose_pulse,DO,68.5,
late_16_near_nominal,synthetic_fructose_rich_glucose_pulse,DO,70.5,
late_16_near_nominal,synthetic_fructose_rich_glucose_pulse,pulse_N,24.5,0.05
late_16_near_nominal,synthetic_fructose_rich_glucose_pulse,pulse_G,72.5,35.0
