candidate,batch,segment,temperature_c,start_datetime,nominal_time_h,nominal_calendar_time,adjusted_time_h,adjusted_calendar_time,date,weekday,clock,shift_h,shift_class,adjustment_rule,note
fructose_rich_iG_probe,1,1,18.0,2026-06-15 08:00:00,0.0,2026-06-15 08:00:00,0.0,2026-06-15 08:00:00,2026-06-15,Monday,08:00,0.0,minor,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
high_biomass_low_N_maintenance,3,1,16.0,2026-07-13 08:00:00,0.0,2026-07-13 08:00:00,0.0,2026-07-13 08:00:00,2026-07-13,Monday,08:00,0.0,minor,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
high_biomass_low_N_maintenance,3,2,18.0,2026-07-13 08:00:00,42.0,2026-07-15 02:00:00,49.0,2026-07-15 09:00:00,2026-07-15,Wednesday,09:00,7.0,moderate,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
high_biomass_low_N_maintenance,3,3,20.0,2026-07-13 08:00:00,84.0,2026-07-16 20:00:00,80.0,2026-07-16 16:00:00,2026-07-16,Thursday,16:00,-4.0,minor,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
high_biomass_low_N_maintenance,3,4,18.0,2026-07-13 08:00:00,126.0,2026-07-18 14:00:00,104.0,2026-07-17 16:00:00,2026-07-17,Friday,16:00,-22.0,large_reconsider,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
ethanol_initial_challenge,3,1,18.0,2026-07-13 08:00:00,0.0,2026-07-13 08:00:00,0.0,2026-07-13 08:00:00,2026-07-13,Monday,08:00,0.0,minor,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
ethanol_initial_challenge,3,2,22.0,2026-07-13 08:00:00,48.0,2026-07-15 08:00:00,49.0,2026-07-15 09:00:00,2026-07-15,Wednesday,09:00,1.0,minor,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
ethanol_initial_challenge,3,3,25.0,2026-07-13 08:00:00,96.0,2026-07-17 08:00:00,97.0,2026-07-17 09:00:00,2026-07-17,Friday,09:00,1.0,minor,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
ethanol_initial_challenge,3,4,22.0,2026-07-13 08:00:00,144.0,2026-07-19 08:00:00,169.0,2026-07-20 09:00:00,2026-07-20,Monday,09:00,25.0,large_reconsider,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
glucose_pulse_after_N_depletion,3,1,17.0,2026-07-13 08:00:00,0.0,2026-07-13 08:00:00,0.0,2026-07-13 08:00:00,2026-07-13,Monday,08:00,0.0,minor,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
glucose_pulse_after_N_depletion,3,2,20.0,2026-07-13 08:00:00,48.0,2026-07-15 08:00:00,49.0,2026-07-15 09:00:00,2026-07-15,Wednesday,09:00,1.0,minor,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
glucose_pulse_after_N_depletion,3,3,24.0,2026-07-13 08:00:00,96.0,2026-07-17 08:00:00,97.0,2026-07-17 09:00:00,2026-07-17,Friday,09:00,1.0,minor,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
glucose_pulse_after_N_depletion,3,4,22.0,2026-07-13 08:00:00,144.0,2026-07-19 08:00:00,169.0,2026-07-20 09:00:00,2026-07-20,Monday,09:00,25.0,large_reconsider,automatic_programmed_nominal_time,Temperature controller is assumed pre-programmed; nominal time is retained.
