candidate,family,medium,horizon_h,hybrid_score,dopt_score,new_logdet,new_min_eigenvalue,new_max_eigenvalue,new_min_relative_eigenvalue,new_condition_number,new_trace_inv,new_rank_1e-8,combined_logdet,combined_min_eigenvalue,combined_max_eigenvalue,combined_min_relative_eigenvalue,combined_condition_number,combined_trace_inv,combined_rank_1e-8,var_ratio_mu0,var_reduction_mu0,var_ratio_qN,var_reduction_qN,var_ratio_betaG0,var_reduction_betaG0,var_ratio_betaF0,var_reduction_betaF0,var_ratio_qEG,var_reduction_qEG,var_ratio_qEF,var_reduction_qEF,var_ratio_iG,var_reduction_iG,var_ratio_iE,var_reduction_iE,var_ratio_Kd0,var_reduction_Kd0,var_ratio_gammaG0,var_reduction_gammaG0,var_ratio_gammaF0,var_reduction_gammaF0,var_ratio_kPyrS_N,var_reduction_kPyrS_N,var_ratio_kPyrO2,var_reduction_kPyrO2,var_ratio_kPyrDrain,var_reduction_kPyrDrain,var_ratio_kAldS_N,var_reduction_kAldS_N,var_ratio_kAcAld,var_reduction_kAcAld,var_ratio_kAcStress,var_reduction_kAcStress,var_ratio_k_EA_growth,var_reduction_k_EA_growth,var_ratio_k_EA_stationary,var_reduction_k_EA_stationary,var_ratio_k_IAA_growth,var_reduction_k_IAA_growth,var_ratio_k_IAA_stationary,var_reduction_k_IAA_stationary,var_ratio_k_EO_growth,var_reduction_k_EO_growth,var_ratio_k_EO_stationary,var_reduction_k_EO_stationary,var_ratio_alpha_EA_loss,var_reduction_alpha_EA_loss,var_ratio_alpha_IAA_loss,var_reduction_alpha_IAA_loss,var_ratio_alpha_EO_loss,var_reduction_alpha_EO_loss,new_param_mean_var_reduction,new_param_worst_var_reduction
synthetic_low_yan_ladder,nitrogen_saturation,synthetic,216.0,119.95077826849348,146.9902251075685,75.07125607322361,0.004819557081982782,11146.973368206549,4.3236463592253177e-07,2312862.6092795744,250.49567762737192,26,146.9902251075685,0.2842456008070051,201225.84793217853,1.4125700238212324e-06,707929.5065987856,7.278645234914362,26,0.9586629704082563,0.04133702959174368,0.9799187293295901,0.02008127067040988,0.8540539457983648,0.1459460542016352,0.9374704192120127,0.06252958078798732,0.8179147534262711,0.18208524657372893,0.9213645158123704,0.07863548418762956,0.9328273941741364,0.0671726058258636,0.8851892909060679,0.1148107090939321,0.9858191695088243,0.014180830491175689,0.8909662198535675,0.1090337801464325,0.9542214371352336,0.04577856286476645,0.9389308637460406,0.06106913625395938,0.5716353720604112,0.42836462793958885,0.6552043206297371,0.3447956793702629,0.9211391620722985,0.07886083792770149,0.9746006954603235,0.025399304539676537,0.9558213922903325,0.04417860770966753,0.5820426284778607,0.4179573715221393,0.0030714767038137955,0.9969285232961862,0.7146807565464218,0.2853192434535782,0.002116826697112292,0.9978831733028877,0.6867174309405307,0.3132825690594693,0.002169425830070782,0.9978305741699293,0.42322145781721193,0.576778542182788,0.3280056612034811,0.6719943387965188,0.24178785131200792,0.758212148687992,0.5532513087928029,0.025399304539676537
synthetic_acetaldehyde_redox_proxy_ethanol,secondary_acetaldehyde,synthetic,216.0,119.55433495488643,146.6547298551799,83.26060108654626,0.0012320202104142183,13888.761589679154,8.870626819094814e-08,11273160.514963958,825.0554618672954,26,146.6547298551799,0.27839891303983344,203821.86178382585,1.3658932884005557e-06,732121.6148378529,6.4225884420756865,26,0.977746698504336,0.022253301495663957,0.9712417746392363,0.028758225360763667,0.9392555153969293,0.06074448460307069,0.9548921608539696,0.04510783914603045,0.9727701139173728,0.02722988608262722,0.9694462789479491,0.030553721052050897,0.9549096669197351,0.04509033308026489,0.9610168992746634,0.03898310072533662,0.8877108414855822,0.11228915851441779,0.9652530222814915,0.03474697771850854,0.974311957459496,0.025688042540504052,0.9173851592738256,0.08261484072617442,0.6077209484530337,0.3922790515469663,0.7090416755038486,0.29095832449615144,0.9070726804374977,0.09292731956250233,0.9651902633405159,0.03480973665948406,0.9174364161465913,0.08256358385340867,0.29584494225943536,0.7041550577405646,0.0025511381587137202,0.9974488618412862,0.427956771182873,0.572043228817127,0.0020091627257424792,0.9979908372742575,0.39603420703510833,0.6039657929648916,0.0020318532681474553,0.9979681467318525,0.6264692200966613,0.3735307799033387,0.5819926113393944,0.4180073886606056,0.5268168176912222,0.47318318230877776,0.5686969633414176,0.03480973665948406
synthetic_pyruvate_peak_lowN_warm_shift,secondary_pyruvate,synthetic,216.0,118.36794959542289,145.34774111043703,52.41763098208653,1.2045110317413704e-06,10337.990903779839,1.1651306747628978e-10,8582728286.709113,498578.04743696447,25,145.34774111043703,0.2906000022520916,199397.61443020456,1.4573895634734924e-06,686158.3375255098,7.700479414249818,26,0.949248143238297,0.05075185676170302,0.9822937851254713,0.017706214874528725,0.7887666318293362,0.21123336817066385,0.9157171562140136,0.08428284378598638,0.8003487208732679,0.19965127912673208,0.918184643709567,0.08181535629043302,0.9206451231226706,0.07935487687732945,0.8851999647836986,0.11480003521630144,0.9897786934264449,0.010221306573555133,0.865593798253048,0.13440620174695195,0.9333939553161545,0.06660604468384546,0.9097829134116664,0.0902170865883336,0.5583267937078236,0.44167320629217643,0.6470092869259786,0.3529907130740214,0.9571339937985768,0.042866006201423223,0.9870384525782628,0.012961547421737163,0.9768016287700564,0.023198371229943615,0.6628820423426532,0.33711795765734676,0.002060085226020826,0.9979399147739791,0.7788562490697993,0.22114375093020067,0.001477160765314776,0.9985228392346852,0.7553018803903324,0.24469811960966759,0.0014998105748239934,0.998500189425176,0.5045495571991575,0.4954504428008425,0.43010210419710476,0.5698978958028953,0.35888371377300543,0.6411162862269946,0.5036861195557698,0.012961547421737163
synthetic_lit_SM70_18C_lowN_phase,literature_nitrogen_low,synthetic,216.0,118.03524661907564,145.0175436133803,47.99695393340367,-7.759876197713212e-14,11196.76740576807,-6.930461191607565e-18,1000000000000.0,1163380.5734576362,25,145.0175436133803,0.29108722885445093,200230.2390305156,1.4537625798373465e-06,687870.2298912415,7.328132399848965,26,0.9478328150931982,0.05216718490680183,0.9738237672832841,0.026176232716715875,0.7750873831496317,0.22491261685036834,0.9025341934434441,0.0974658065565559,0.7807423534305405,0.21925764656945945,0.9062694245152483,0.09373057548475172,0.9000963013578444,0.09990369864215565,0.8625106342553611,0.13748936574463888,0.9901749012783451,0.009825098721654935,0.8578952868365447,0.1421047131634553,0.9318317542684107,0.0681682457315893,0.9103396950326337,0.08966030496736632,0.5810424734330066,0.41895752656699337,0.668259323630423,0.33174067636957705,0.9388359930927833,0.061164006907216684,0.9785029766858071,0.021497023314192898,0.975326759841387,0.024673240158613052,0.5109198894858812,0.4890801105141188,0.0021574488346165974,0.9978425511653835,0.6507475624426086,0.34925243755739144,0.0016005107288915542,0.9983994892711084,0.6208870866208409,0.3791129133791591,0.0016391384368658142,0.9983608615631342,0.6555041908452043,0.3444958091547957,0.6001021429930742,0.3998978570069258,0.5348322339606234,0.4651677660393766,0.49707091446583634,0.021497023314192898
synthetic_low_sugar_saturation_scan,sugar_saturation,synthetic,168.0,115.54730177374846,142.5593363716529,37.890660913108675,3.7974941806766806e-14,3804.0206854692215,9.982843140634142e-18,1000000000000.0,3049133.355062588,25,142.5593363716529,0.2763855659996586,193657.86938229116,1.427184791825105e-06,700680.1121536513,6.349796168278021,26,0.9840440618439656,0.015955938156034355,0.9698978700712918,0.0301021299287082,0.967429635689711,0.032570364310289035,0.9565674350429222,0.04343256495707781,0.9600768367490252,0.03992316325097478,0.9579555488588818,0.04204445114111821,0.9827551777393241,0.01724482226067592,0.963162480924283,0.036837519075716973,0.9919515684606723,0.00804843153932766,0.9812057152645325,0.018794284735467515,0.9814093710976839,0.01859062890231611,0.8998283802622453,0.10017161973775468,0.9198547173930189,0.08014528260698106,0.939151004552273,0.06084899544772704,0.7770837838591949,0.22291621614080515,0.9198033493301854,0.08019665066981463,0.9795379016201015,0.02046209837989854,0.16808047608642668,0.8319195239135733,0.01143778302018569,0.9885622169798143,0.26673888835145093,0.733261111648549,0.009485376039094558,0.9905146239609054,0.2456262013652307,0.7543737986347693,0.010539862234842948,0.9894601377651571,0.9507595294913355,0.049240470508664536,0.914045413708513,0.085954586291487,0.8164709120549789,0.1835290879450211,0.5188613006088777,0.02046209837989854
