t,temperature_c,N_pulse,N_pulse_rate,X,N,G,F,E,mu,beta_G,beta_F,growth_factor,glucose_ferm_factor,fructose_ferm_factor,qN_growth,qXG_growth,qXF_growth,qEG_ferm,qEF_ferm,Kn,Kg,Kf,Kig,Kie,iG_T,iE_T,Kd,maintenance,Td_K,Kn0,Kg0,Kf0,Kig0,Kie0,Yxn,Yxg,Yxf,Yeg,Yef,candidate,batch_template,status,termination
3.0,15.0,0.06665886783327324,0.022219622611091082,0.5767221655443729,0.299628586051689,74.34669377797529,72.68866617656485,6.697772177136006,0.0576373231931325,0.2511071151363218,0.06306621916057312,0.3675135025098541,0.6356505946958736,0.22245907610470403,0.0049303242191916525,0.04134526903235855,0.04134526903235855,0.32663869627150593,0.11173193345766123,0.006277072652680355,9.486772008512517,6.8080787233344955,38.20371998973939,28.817688892716966,0.026175461454239962,0.034700909004980206,0.0,0.007586779408780537,315.2231233761303,0.008712805077532427,13.167984488735446,9.449860811086884,53.028152440627586,40.0,11.690371795180313,1.3940488124051895,1.3940488124051895,0.7687610745531466,0.5644422074238149,low_temp_growth_separation,25026,ok,optimal
6.0,15.0,0.0033187496101395814,0.0011062498700465271,0.697220965984879,0.29263981058463767,73.5820292193502,72.36335133046306,7.343413944519903,0.05760909205701246,0.24633401575793792,0.06233989532747059,0.36733349200380505,0.6235680081201604,0.21989704953936606,0.0049279093142925905,0.04132501785042803,0.04132501785042803,0.3204298759547928,0.11044513416528097,0.006277072652680355,9.486772008512517,6.8080787233344955,38.20371998973939,28.817688892716966,0.026175461454239962,0.034700909004980206,0.0,0.007586779408780537,315.17541353090155,0.008712805077532427,13.167984488735446,9.449860811086884,53.028152440627586,40.0,11.690371795180313,1.3940488124051895,1.3940488124051895,0.7687610745531466,0.5644422074238149,low_temp_growth_separation,25026,ok,optimal
9.0,15.0,2.2361558976356062e-05,7.453852992118688e-06,0.842732669458568,0.2802150313663053,72.67580970824862,71.9738810131289,8.10796643161355,0.05755550118765263,0.24089058534172925,0.06151946504227949,0.36699177994970805,0.6097885507783395,0.21700307292746174,0.004923325125671496,0.04128657524434212,0.04128657524434212,0.313349092865752,0.10899161018284237,0.006277072652680355,9.486772008512517,6.8080787233344955,38.20371998973939,28.817688892716966,0.026175461454239962,0.034700909004980206,0.0,0.007586779408780537,315.12181172217026,0.008712805077532427,13.167984488735446,9.449860811086884,53.028152440627586,40.0,11.690371795180313,1.3940488124051895,1.3940488124051895,0.7687610745531466,0.5644422074238149,low_temp_growth_separation,25026,ok,optimal
12.0,15.0,2.0391102352223603e-08,6.797034117407868e-09,1.018349562982873,0.26519269861063194,71.60539204333796,71.508315535374,9.010253567186998,0.05748415537846723,0.23473959631605196,0.060603367885270126,0.36653685687607285,0.5942179850856193,0.21377164206188903,0.004917222170997736,0.04123539639855816,0.04123539639855816,0.30534792159254126,0.10736859697624582,0.006277072652680355,9.486772008512517,6.8080787233344955,38.20371998973939,28.817688892716966,0.026175461454239962,0.034700909004980206,0.0,0.007586779408780537,315.0622440028906,0.008712805077532427,13.167984488735446,9.449860811086884,53.028152440627586,40.0,11.690371795180313,1.3940488124051895,1.3940488124051895,0.7687610745531466,0.5644422074238149,low_temp_growth_separation,25026,ok,optimal
15.0,15.0,2.5166712543035553e-12,8.388904181011851e-13,1.2301293644217892,0.24707695301075225,70.3457233993282,70.9527184221301,10.071065779659419,0.05738686449411527,0.2278590046421265,0.05959374711813113,0.3659164999321763,0.5768005089339945,0.21021031705995716,0.0049088998621733,0.0411656062423698,0.0411656062423698,0.2963976873758506,0.1055798916777051,0.006277072652680355,9.486772008512517,6.8080787233344955,38.20371998973939,28.817688892716966,0.026175461454239962,0.034700909004980206,0.0,0.007586779408780537,314.9967527195633,0.008712805077532427,13.167984488735446,9.449860811086884,53.028152440627586,40.0,11.690371795180313,1.3940488124051895,1.3940488124051895,0.7687610745531466,0.5644422074238149,low_temp_growth_separation,25026,ok,optimal
18.0,15.0,7.351969375923274e-12,2.4506564586410913e-12,1.48521218775225,0.22525704619224723,68.86950904057082,70.29090514645517,11.313045617001809,0.05724946810832653,0.22024613686654498,0.05849738714174871,0.3650404178350911,0.5575293547643392,0.2063430291414722,0.004897146909555883,0.04106704700644771,0.04106704700644771,0.2864949126028087,0.10363751394272608,0.006277072652680355,9.486772008512517,6.8080787233344955,38.20371998973939,28.817688892716966,0.026175461454239962,0.034700909004980206,0.0,0.007586779408780537,314.9253979555238,0.008712805077532427,13.167984488735446,9.449860811086884,53.028152440627586,40.0,11.690371795180313,1.3940488124051895,1.3940488124051895,0.7687610745531466,0.5644422074238149,low_temp_growth_separation,25026,ok,optimal
21.0,15.0,3.494844203011277e-08,1.1649480676704256e-08,1.7918667073487582,0.19902570672683742,67.14763974979392,69.50423977504946,12.760414093879053,0.057045634465790036,0.21192124151927438,0.05732655296256109,0.36374071112166667,0.5364557795476406,0.20221304175296675,0.004879710882190138,0.040920830001187465,0.040920830001187465,0.2756659364451519,0.10156319319954238,0.006277072652680355,9.486772008512517,6.8080787233344955,38.20371998973939,28.817688892716966,0.026175461454239962,0.034700909004980206,0.0,0.007586779408780537,314.84802557505657,0.008712805077532427,13.167984488735446,9.449860811086884,53.028152440627586,40.0,11.690371795180313,1.3940488124051895,1.3940488124051895,0.7687610745531466,0.5644422074238149,low_temp_growth_separation,25026,ok,optimal
24.0,15.0,2.2483580297877274e-05,7.494526765959092e-06,2.159297128279442,0.16761801619734631,65.1501698793717,68.57165139891602,14.438381920493333,0.05672068256511133,0.20293029412438254,0.05609964739973869,0.3616687167168346,0.5136961653672949,0.19788526879295676,0.004851914341038839,0.040687730630643855,0.040687730630643855,0.26397056360110155,0.0993895329971593,0.006277072652680355,9.486772008512517,6.8080787233344955,38.20371998973939,28.817688892716966,0.026175461454239962,0.034700909004980206,0.0,0.007586779408780537,314.7638261952642,0.008712805077532427,13.167984488735446,9.449860811086884,53.028152440627586,40.0,11.690371795180313,1.3940488124051895,1.3940488124051895,0.7687610745531466,0.5644422074238149,low_temp_growth_separation,25026,ok,optimal
27.0,15.0,0.0019575558229517403,0.0006525186076505802,2.5969590151646598,0.1321377646901962,62.84829318170567,67.47015596688387,16.37198915397933,0.056176202541708506,0.19334707212094898,0.05484157495882256,0.3581969427106597,0.48943727185773384,0.193447558135744,0.004805339259172983,0.040297156054949185,0.040297156054949185,0.25150476334059285,0.09716065566592971,0.006277072652680355,9.486772008512517,6.8080787233344955,38.20371998973939,28.817688892716966,0.026175461454239962,0.034700909004980206,0.0,0.007586779408780537,314.6705904096829,0.008712805077532427,13.167984488735446,9.449860811086884,53.028152440627586,40.0,11.690371795180313,1.3940488124051895,1.3940488124051895,0.7687610745531466,0.5644422074238149,low_temp_growth_separation,25026,ok,optimal
30.0,15.0,0.023066084440427567,0.0076886948134758555,3.117812557398934,0.11064978777484968,60.21119090834166,66.17147045343646,18.587278929222173,0.055685787459996396,0.1832590844665926,0.053583224519740305,0.3550699035912381,0.4639006185124271,0.1890088668709093,0.004763388918302362,0.03994536415401425,0.03994536415401425,0.23838236681418157,0.09493128581631212,0.006277072652680355,9.486772008512517,6.8080787233344955,38.20371998973939,28.817688892716966,0.026175461454239962,0.034700909004980206,0.0,0.007586779408780537,314.5634068128294,0.008712805077532427,13.167984488735446,9.449860811086884,53.028152440627586,40.0,11.690371795180313,1.3940488124051895,1.3940488124051895,0.7687610745531466,0.5644422074238149,low_temp_growth_separation,25026,ok,optimal
