,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS,kPyrD,kAldPyr,kAldS,kAldRed,kAcAld,kAcStress,kAcAssim,qO2,kLaO2,O2sat,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
gammaF0,6.195421725277986,-3.4806001181818216,-4.253130321951196,-1.0653223015530229,-9.133668144090066,-0.0471989304796111,0.23957645688261986,-3.1452662944289873,0.0,20.898046937308745,0.292565039286558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS,54.79003581647187,-26.69978492296,-78.5935034966268,-41.58086706944823,150.1496220719136,162.63333164093518,-22.656534243766735,-86.13925879911747,0.0,0.0,0.0,412.31562085840545,-155.4468406705847,0.036526148160560094,6.700686806288074,-0.03142932451382471,-0.4074459772909684,0.005740927482716443,-2.154259016337829e-06,-35.1844914718459,5.545675996471511,7.401025864186241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrD,-7.917062412972804,4.561538036378509,28.30207482130042,16.11282859547271,-46.560845099092475,-61.15497395075761,7.4319771292650305,31.860068792611283,0.0,0.0,0.0,-155.4468406705847,66.26578694670738,-0.010247384599513359,-1.7951025172064299,0.00899163224057178,0.10874781210126505,-0.0009295292952186651,3.2340470093367293e-07,14.676688615583195,-2.4347812449944737,-3.178459418392881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldPyr,2.916574567057188,-2.102175448836648,-1.3936902628701275,-0.7504488268421668,2.5835052133256555,2.923307160930643,-0.39628802804723084,-1.539434318256519,0.0,0.0,0.0,0.036526148160560094,-0.010247384599513359,0.04078809089556594,7.4908829133981865,-0.03507767360985808,-0.4555568645573224,0.0064658534598466015,-2.4272252459977644e-06,0.5134621813465555,-0.08903552025525342,-0.11390120371707176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS,604.2892133708203,-407.3068336853637,-281.7992870127733,-145.52014429083644,565.2577995808517,578.3087208636283,-84.54828658369551,-307.14747971483996,0.0,0.0,0.0,6.700686806288074,-1.7951025172064299,7.4908829133981865,1485.2346170521175,-6.268132108589077,-90.1574715449998,2.4167682018783223,-0.0009943069213951068,94.14050557273052,-15.771989162884552,-20.435982718888763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldRed,-2.38496795037587,1.754912982445953,1.14825338756222,0.630486792069514,-2.0631736563565704,-2.4446277780517076,0.32255233184442456,1.2761344326943564,0.0,0.0,0.0,-0.03142932451382471,0.00899163224057178,-0.03507767360985808,-6.268132108589077,0.030537991718420875,0.38012941536865874,-0.004269148150753569,1.569447168151582e-06,-0.4397428888114499,0.07760413046448407,0.09869171637124612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAld,-32.73515269485827,22.219813091782527,18.306057647957072,9.542632592150355,-34.56963021997101,-35.175462770450345,4.9504092854072415,18.263971877071402,0.0,0.0,0.0,-0.4074459772909684,0.10874781210126505,-0.4555568645573224,-90.1574715449998,0.38012941536865874,5.803975150110483,3.8085778708355496,-0.0016402172456970114,-6.081127797762909,1.013364861146356,1.315216684486046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcStress,56.42236377475925,-39.253788631081896,13.986097356286471,8.826881106988914,-0.8639233442579676,0.5110732563307694,-2.3846497503330246,-7.232867868531228,0.0,0.0,0.0,0.005740927482716443,-0.0009295292952186651,0.0064658534598466015,2.4167682018783223,-0.004269148150753569,3.8085778708355496,53.78855492105812,-0.02003251994993906,-4.487136692253004,0.7764204077303664,0.9941659975950969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAssim,-0.021549700547082065,0.013807438180292696,-0.00549012880838437,-0.0033697273394324347,0.00010414822982261894,-0.00024581890353130167,0.0009654178771657205,0.0027064821773319972,0.0,0.0,0.0,-2.154259016337829e-06,3.2340470093367293e-07,-2.4272252459977644e-06,-0.0009943069213951068,1.569447168151582e-06,-0.0016402172456970114,-0.02003251994993906,1.0259572589866508e-05,0.0016435241024366257,-0.00026695121883446446,-0.0003504053854272703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qO2,84.3775410482116,-38.93870105369995,-12.30521727112017,-6.586336604668762,21.612008961181882,22.94144901611207,-3.0466776405111764,-11.562404831777192,0.0,0.0,0.0,-35.1844914718459,14.676688615583195,0.5134621813465555,94.14050557273052,-0.4397428888114499,-6.081127797762909,-4.487136692253004,0.0016435241024366257,93.50256453930295,-11.304523236738051,-17.407940355623825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
