,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS,kPyrD,kAldS,kAcAld,kAcStress,qO2,kLaO2,O2sat,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
kAldS,6294.939556805266,-4659.348320780556,-4145.558681991402,-2087.9323404962943,8008.084236554425,6939.783229536832,-1011.1192226182504,-4654.1753222760035,-130.44570113152153,-0.2359574988162576,-0.005575647229687738,354.5817777241085,-264.3474413170205,42938.225226866176,-10586.034978160704,490.72273574075155,8540.560306591537,-295.0162407986466,-1232.79452229119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAld,-502.80686469406453,398.2805839900948,586.7484582299629,314.7142114103578,-931.6526293131878,-926.398727583595,105.84942629075125,571.065005015113,-0.5163166388997388,0.0392156962106271,0.0008973021518776859,-99.40974789707165,95.49268241456717,-10586.034978160704,5128.322983965296,451.2300803998337,-3849.750975937062,71.1146593210325,532.4756063064874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcStress,3610.6052018090913,-2970.929447034504,495.14032948986693,278.41365504523753,172.84001349022859,93.57947055132067,-119.79568471590797,-397.62358405923385,-331.5000513826122,0.0093807094947264,0.00012875288204713297,2.5064163424086003,-1.091501377065946,490.72273574075155,451.2300803998337,7430.2386262062,-604.5185996018378,32.08076234067488,84.89096016095063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qO2,1869.7765844602368,-820.4270391859495,-518.4012810964713,-309.7519285621447,630.4303382092828,695.455173200862,-43.81491727838399,-342.65478839355393,-20.50570604612252,-0.0546513117528206,-0.0006859460239690869,-1251.0627588262873,1560.2161313130255,8540.560306591537,-3849.750975937062,-604.5185996018378,8040.874811925702,177.62387806351722,-977.5935648884719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kLaO2,126.04493802675822,-16.48693232688358,13.105978920463022,7.5831409732403925,-15.052259302959532,-10.608893955637626,0.2544441534460498,3.549123247937189,0.34107680000780594,0.002874045191624338,5.1367497832082364e-06,28.695896617796762,-37.86215946248752,-295.0162407986466,71.1146593210325,32.08076234067488,177.62387806351722,68.38230047893906,-8.49054224073095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O2sat,-241.2289250637998,99.23743822917488,67.2703773143392,39.784952133903886,-81.71445545340327,-85.40289142876003,5.3260394951231325,40.75602547439694,2.8078424765373393,0.006403247445032306,7.747114751534162e-05,168.49018308726275,-209.04836684499264,-1232.79452229119,532.4756063064874,84.89096016095063,-977.5935648884719,-8.49054224073095,144.59372177124988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_EA_growth,1345.0544406097497,-106.3058155067143,-684.7387709021053,-401.1992569286191,1158.005872722916,1073.9059611796713,-122.50965619136387,-658.4946698122692,-17.195666081098803,-0.005742493297057001,-0.001074098918112544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.7341908954481,3369.222955531611,0.0,0.0,0.0,0.0,-242.12493730046913,0.0,0.0
k_EA_stationary,9096.361376531795,-2685.8463173867976,-7229.900262764505,-4232.262395876645,11571.363509134975,10811.81189997168,-1201.1485676095735,-6862.888873323647,-188.92527950287564,-0.4631426759150364,-0.0077385527312183655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3369.222955531611,39971.56662587504,0.0,0.0,0.0,0.0,-2985.663476700953,0.0,0.0
k_IAA_growth,1062.5424938048495,11.859011961994785,-493.28942788632406,-295.4656625698904,817.202525935429,793.7863051900965,-84.88769361635048,-499.53456156600475,-13.777124325012558,-0.005068556279653899,-0.0008436623156647866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.63930704046277,2673.2249817312463,0.0,0.0,0.0,-190.46657907392424,0.0
k_IAA_stationary,10348.09156167611,-2182.156356042112,-7567.119640977349,-4499.050295472028,12088.799492723836,11691.54239629509,-1258.61310984104,-7624.545820034931,-217.39645140825752,-0.5327154904833528,-0.008735822836340616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2673.2249817312463,45560.14270621437,0.0,0.0,0.0,-3435.657025117207,0.0
k_EO_growth,1116.359973514366,-6.07172606711751,-494.29446337599444,-298.3876151015208,848.2782346646396,826.021545766486,-91.56776070978712,-529.3007658444317,-14.460474572793448,-0.0052189361611463,-0.0008728691010527094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.97547981436895,2793.432137372466,0.0,0.0,-219.99161773666683
k_EO_stationary,10241.565959322492,-2320.3542004308792,-7006.063378748697,-4216.712464781032,11606.132950794054,11339.05851554243,-1256.0920880908448,-7573.877106726974,-215.79946877275017,-0.5252052478095744,-0.008519028026066428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2793.432137372466,45016.12218408499,0.0,0.0,-3709.880837167607
alpha_EA_loss,-637.5692782511961,190.48197020913605,523.0906426110932,319.73218189004854,-773.965110376726,-765.8007568802182,70.33231662244873,466.5164099423929,16.497256965068345,0.035454414945269394,0.0006018872203245737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-242.12493730046913,-2985.663476700953,0.0,0.0,0.0,0.0,252.822571601656,0.0,0.0
alpha_IAA_loss,-712.234356894552,148.19401833286338,537.7179810116697,337.0799717315117,-792.6236428349946,-820.9371647526978,71.88652779842056,515.7516269821442,18.425304156408302,0.0420672225513746,0.0006723064855366277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-190.46657907392424,-3435.657025117207,0.0,0.0,0.0,296.26477068710574,0.0
alpha_EO_loss,-765.4121453123919,159.83466467535885,525.8621819690169,339.7589372532172,-808.4418143084808,-856.0507241535154,76.92611783687262,553.5924714316976,19.26414258685493,0.044414424524530496,0.0007178913542259167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-219.99161773666683,-3709.880837167607,0.0,0.0,357.3872217950263
