medium,batch,label,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAldRed,kAcAld,kAcStress,qO2,kLaO2,O2sat
natural,LAB007,natural/LAB007,1.7571646278906181,0.00010000000000000026,0.008934115497453442,9.296932148426606,1.0000000000000282e-05,0.07210693230016188,0.0005590515741783716,0.05882343923379023,0.0005904233135678596,7.9967034951545335
natural,LAB008,natural/LAB008,1.4389961000171911,0.00010102918468395781,0.009219516558462815,8.585705110636884,0.0008253861172661805,0.08786127223169439,1.000239104542408e-06,0.04009984662651462,5.427624994358135e-05,7.9859570874933725
natural,LAB009,natural/LAB009,1.2400946417899426,0.00010000001393285718,0.0073525093770779315,8.344151826566613,0.0015109599062186371,0.10067950922299802,1.0000000008492341e-06,0.056315817724948376,1.0000638286362765e-05,0.5000259789100894
natural,LAB010,natural/LAB010,0.40904260158322275,0.14656307054715248,0.0010190299031682603,9.9775909378302,1.2096549627825787e-05,0.0002905174424777678,0.001460386034537063,0.02478327632668708,5.215087731763957e-05,2.284355620522702
natural,LAB011,natural/LAB011,0.0007784051871412105,0.4177525632523192,0.001372184230340065,1.2079262803498862,1.904002629831169,0.119364068208509,0.0013914559054638794,0.05422073862195891,2.0086909636527208e-05,1.5749372190506001
natural,LAB012,natural/LAB012,0.30216261513382314,0.4737248083826101,0.002843918433096361,1.1047178705258591,0.0336413896721906,1.0070973515152437,0.00136583996507281,0.047818401871463356,0.0020762074775746145,2.4789558134722176
synthetic,MS007,synthetic/MS007,0.000100035748853608,1.7195802981657435,0.012433554201146094,0.0007868289210986269,0.00026616650480734667,0.029777041334742196,0.002615874357377423,0.053764261001568496,0.0034089243166066344,7.999999868925375
synthetic,MS008,synthetic/MS008,0.00010002578185517044,1.5006096365246768,0.0021238287142961816,0.09079490630515956,1.9843731508423272e-05,0.00014367223769820017,0.002615874357377386,0.14984784243230495,1.0000000000289278e-05,0.5000170574109363
synthetic,MS009,synthetic/MS009,1.9059507327384226,2.0973832189725843,0.03943977479374361,0.005791202451256722,1.0113272988838565e-05,1.693591107064618,0.002615874357377398,0.030552317964618925,1.0007463061195743e-05,0.5000000395103007
synthetic,MS010,synthetic/MS010,0.00010329001322766944,1.730358235022912,0.004964885193571039,0.03226321496920854,1.496542645968629,7.003451254113758e-05,0.0026158743573774,0.1163957620786364,1.0000018137540676e-05,0.5000267561699037
synthetic,MS011,synthetic/MS011,0.00010122272905883713,2.592014141182386,0.00504093647129288,0.0003625205445118684,1.205944443203012e-05,0.00033491008846591315,0.0026158743573774,0.17050858534024255,1.000000000000634e-05,0.5000240558005502
synthetic,MS012,synthetic/MS012,2.2470355577981613,0.6416852403619742,0.010721451979200807,1.1550722428032667,6.376622918986628e-05,0.04640542736943818,0.002615874357377402,0.03335630794688166,1.0000907854254606e-05,0.5829579359443823
synthetic,MS013,synthetic/MS013,0.2807521576972037,1.5931952005187804,0.003090503012631804,0.09874809533009252,5.99862339801167e-05,0.004115018089753364,0.002615874357377423,0.15514315582156027,1.000011485707596e-05,0.500220164473434
synthetic,MS014,synthetic/MS014,0.00010000000042857229,1.5189259661717858,0.0037998010138411667,9.917602307216624,1.124953453255999e-05,0.0014013902136849107,0.002615874357377402,0.11168751593149026,0.0003978341710028523,7.887620402404809
synthetic,MS015,synthetic/MS015,0.00038618285619454777,1.0052619098227673,0.003488609642683775,0.00023877665440902993,2.7846428703519154e-05,0.0005557950240146392,0.0026158743573774,0.0688716069382979,1.0013067293746525e-05,1.237065927678638
synthetic,MS016,synthetic/MS016,0.0028881566981935206,3.1878665773511203,0.008534100582167668,2.35988797714224,1.0183026779403636e-05,0.0013923120060084,0.0026158743573774,0.21113438537422433,0.003951797867198343,7.992526321739019
