batch,state,t,mu0,betaG0,betaF0,Kn0,Kg0,Kf0,Kig0,Kie0,Kd0,Yxn,Yxg,Yxf,Yeg,Yef,m0
25170,X,180.0,-1.0705416788367087e-08,0.0,-1.0837437290453125e-08,4.493770957252484e-07,-1.3476636680978703e-17,2.870068102728647e-10,2.732673879211633e-18,-7.146802778897949e-12,0.0,0.01089840587998355,-1.8951520332626312e-16,-2.5268693776835084e-16,-4.392961381727522e-09,4.976318778035612e-09,2.858723133054682e-08
25170,X,186.0,-1.0705416788367087e-08,4.492212226992901e-16,-1.0837437739674349e-08,4.493770957252484e-07,-1.3476636680978703e-17,3.2053999758776324e-10,2.732673879211633e-18,-7.146805305767327e-12,0.0,0.01089840587998355,-1.8951520332626312e-16,-1.8951520332626312e-16,-4.392961381727522e-09,4.976318778035612e-09,2.858723133054682e-08
25170,X,204.0,-1.0705416788367087e-08,4.492212226992901e-16,-1.0837435942789459e-08,4.493770957252484e-07,-1.3476636680978703e-17,3.251116770490516e-10,2.732673879211633e-18,-1.2763217226679393e-14,0.0,0.010898405871119283,-1.8951520332626312e-16,-2.5268693776835084e-16,-4.975331133090278e-09,4.976318778035612e-09,5.1062976384228304e-11
25170,X,210.0,-1.0705417349893615e-08,0.0,-1.0837433696683344e-08,4.493770957252484e-07,-1.3476636680978703e-17,3.2511169052568833e-10,2.732673879211633e-18,-1.275310974916866e-14,0.0,0.010898405871119277,-1.8951520332626312e-16,-1.8951520332626312e-16,-4.975331339365329e-09,4.976318778035612e-09,5.103265395169611e-11
25170,X,252.0,-1.0705416788367087e-08,4.492212226992901e-16,-1.0837445376435134e-08,4.493770957252484e-07,-1.3476636680978703e-17,3.973148334694439e-11,2.732673879211633e-18,-1.2093596841593264e-14,0.0,0.01089840602762043,-1.3377197211503628e-09,-2.5268693776835084e-16,-4.975331339365329e-09,4.976318778035612e-09,4.871804160173801e-11
25170,X,324.0,-1.6362000317119035e-08,4.492212226992901e-16,-1.87311773228923e-11,4.493770957252484e-07,-1.3476636680978703e-17,3.973923241303595e-11,-6.498437851133104e-11,0.0,0.0,0.010898406027618783,1.8596324621378782e-10,1.521380420815471e-09,-4.976317746660356e-09,4.976318778035612e-09,0.0
25170,X,330.0,-1.6362000317119035e-08,4.492212226992901e-16,-1.8723989783329112e-11,4.493770957252484e-07,-1.3476636680978703e-17,3.973923241303595e-11,-6.498438124400492e-11,0.0,0.0,0.010898406027618778,1.8624025426931638e-10,1.521380420815471e-09,-4.976317746660356e-09,4.976318778035612e-09,0.0
25170,X,348.0,-1.6362000317119035e-08,0.0,-1.8734771092673895e-11,4.4937711594020343e-07,-2.6953273361957405e-17,3.973923241303595e-11,-6.498438124400492e-11,0.0,0.0,0.010898406027618778,1.8624019109758194e-10,1.5213803576437367e-09,-4.976317746660356e-09,4.976318778035612e-09,1.0107477510734028e-14
25170,X,354.0,-1.6362000317119035e-08,0.0,-2.3139385181240435e-12,4.4937711594020343e-07,-1.3476636680978703e-17,3.9739245889672635e-11,-6.498438124400492e-11,0.0,0.0,0.010898406027618778,1.8627322991469515e-10,1.523688147446375e-09,-4.976317746660356e-09,4.976318778035612e-09,0.0
25170,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25170,N,12.0,-0.18052951404400638,-1.8823150002946551e-16,-9.411575001473276e-17,0.18528087819530623,-2.8234725004419828e-18,-2.8234725004419828e-18,0.0,0.0,0.0,0.000989503855495129,0.0,1.3235027345821802e-17,-4.321641582309159e-17,0.0,-4.235208750662974e-15
25170,N,18.0,-0.4109645290913599,-9.411575001473276e-17,0.0,0.47963317864285504,0.0,0.0,-5.725189254022271e-19,5.294010938328718e-19,0.0,0.0018702761304483207,1.3235027345821802e-17,-1.3235027345821802e-17,-4.321641582309159e-17,-4.321641582309159e-17,-2.117604375331487e-15
25170,N,36.0,-0.057711663073501104,-3.293170753557501e-13,-1.0979089361752833e-13,0.03977410146796336,2.2111070862323542e-14,4.2744525368514904e-14,-1.2420110392970218e-15,-2.547856502586949e-16,0.0,2.7449302058709836e-05,1.9913457041568242e-13,1.1056188996802521e-13,-1.4304169398601464e-13,1.2988685334923962e-13,1.4332087034409055e-12
25170,N,42.0,-0.2684505692401268,-2.492716814377707e-11,-1.551399317455354e-11,0.7344414640519691,1.2625834919126433e-12,2.5537285257716325e-12,-1.0177125043896259e-13,-4.087664665811753e-14,0.0,0.00021053427088952098,1.1452861429813331e-11,7.635968879712908e-12,-1.3987749268420496e-11,1.3818070815795083e-11,2.2518551987165652e-10
25170,N,60.0,-9.389085878010569e-06,-1.330729241178684e-15,-9.411126222605485e-16,4.8450814129772046e-05,5.1033274003214117e-17,1.2487667011466513e-16,-6.094921768131525e-18,-2.4437720881671036e-18,0.0,2.249271511346899e-09,5.482355014537171e-16,3.6738867312053937e-16,-8.793979857065703e-16,8.381416024298071e-16,1.3346134447183654e-14
25170,N,66.0,-1.8244361550554669e-07,-3.7368691568986525e-16,5.1997465836065195e-14,1.0450878913935073e-06,1.558729230089898e-17,2.281515984736862e-17,-1.4443098370698169e-18,2.926759755664357e-16,0.0,3.5825168545777565e-11,1.0903178653154481e-16,1.2825390734218064e-16,-2.6012376278451456e-16,9.71692184341334e-17,-1.1705800217958564e-12
25170,N,84.0,7.290207629805747e-09,-3.736869142874313e-16,7.3800909334874846e-09,-3.0601818636381385e-07,1.558729225882596e-17,-1.9544676807754232e-10,-1.4443098370698169e-18,4.866738400185106e-12,0.0,9.380047526524389e-11,1.0903178653154481e-16,1.2825390734218064e-16,2.991532252636673e-09,-3.3887794043453524e-09,-1.946695353099941e-08
25170,N,108.0,7.290207629805747e-09,-3.7368691568986525e-16,7.380111192453248e-09,-3.0601818636381385e-07,1.558729225882596e-17,-1.9544676807754232e-10,-1.4443098370698169e-18,4.866852356867466e-12,0.0,9.380047526524388e-11,1.0903178653154481e-16,1.2825390734218064e-16,2.991532252636673e-09,-3.3887887061404816e-09,-1.9467409357728834e-08
25170,N,114.0,7.290207629805747e-09,-3.736869142874313e-16,7.380106642319435e-09,-3.0601818636381385e-07,1.5587292216752942e-17,-1.954467680775423e-10,-1.4443098456010134e-18,4.866826762364834e-12,0.0,9.380047526524389e-11,1.0903178653154481e-16,1.2825390714496334e-16,2.9915322526366744e-09,-3.388788677574599e-09,-1.946730697972134e-08
25170,N,138.0,7.290207629805747e-09,-3.7368691568986525e-16,7.380107976381994e-09,-3.060181863638139e-07,1.558729225882596e-17,-1.9544676807754232e-10,-1.4443098456010134e-18,4.866834266466783e-12,0.0,9.380047526524389e-11,1.0903178633432753e-16,1.2825390714496334e-16,2.991532252636673e-09,-3.3887886859499947e-09,-1.946733699612863e-08
25170,N,156.0,7.290207629805747e-09,-3.7368691568986525e-16,7.3801112270237834e-09,-3.0601818636381375e-07,1.558729225882596e-17,-1.9544676807754232e-10,-1.4443098456010134e-18,4.866852551326728e-12,0.0,9.380047526524388e-11,1.0903178653154481e-16,1.2825390734218064e-16,2.991532252636673e-09,-3.388788706357879e-09,-1.9467410135565635e-08
25170,N,162.0,7.290207629805747e-09,-3.7368691568986525e-16,7.380108563532042e-09,-3.0601818636381385e-07,1.558729225882596e-17,-1.9544676807754232e-10,-1.4443098370698169e-18,4.866837569185741e-12,0.0,9.380047526524389e-11,1.0903178653154481e-16,1.282539075393979e-16,2.991532252636673e-09,-3.388788689636185e-09,-1.9467350207003454e-08
