batch,state,t,mu0,qN,qXG,qXF,betaG0,betaF0,qEG,qEF,iG
25150,G,126.0,-98.18743718979,932.822496961555,-5.366502743567647,-0.2496402041298751,11.93778441739381,8.062118784835755,-42.55879109674562,-0.8337009575121722,-39.094904584994076
25150,G,144.0,-54.27713479888684,484.36663078058297,-2.4441575464067,-0.1663166901415547,6.521371279475699,4.58252970567036,-27.017186051958657,-0.690689842168497,-18.91088959304171
25150,G,150.0,-43.02248110431068,376.04455184764225,-1.8078155261069817,-0.1410866717542758,5.106679187305395,3.6243157303528983,-22.6945517247499,-0.6313823065973867,-14.025915802072292
25150,G,168.0,-19.87877090333763,164.79440952954775,-0.688252534719519,-0.0864231549071448,2.293589563061071,1.667093169603571,-12.60573992459544,-0.4933483515179329,-4.879039190386038
25150,G,174.0,-15.130204495213915,123.65590037325008,-0.49396340995699894,-0.07451603591682177,1.740304823641314,1.2731465878031607,-10.181856495676866,-0.45890299854724137,-3.2068071743452764
25150,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25150,F,6.0,-2.179814626024697,0.24930523643437805,-0.007249209616588814,-1.9075389036800061,0.02168127886686191,0.01045920607332473,-0.009237059136373198,-1.1717667403247551,18.172820151411642
25150,F,24.0,-36.720479241854456,155.34746023648466,-0.3542560985039245,-10.945825936332199,1.0157341887239217,0.5118564334388778,-0.5307582996272691,-10.176451266094633,146.19816864762942
25150,F,30.0,-54.29765591819897,329.3285471278677,-0.7482989700733356,-17.69992987881608,2.050355082663307,1.0526215502122598,-1.1756972879469039,-15.225987420308883,210.47213631532262
25150,F,48.0,-99.19895043194424,889.0191373140744,-2.227528171353299,-18.240629806342668,6.666590110088744,3.5977195765020205,-4.780980489031337,-30.595797732752537,377.6108190463597
25150,F,54.0,-114.25162444911588,1074.8073078647062,-2.723495268334375,-18.092714761451134,8.491294560301416,4.657704776695724,-6.454948010909653,-35.56415988034124,420.0578045103537
25150,F,72.0,-157.08848845779258,1599.0539392498483,-4.176070752535566,-17.624390782195576,14.325764925948098,8.229020156682248,-12.563547255987427,-48.98115710911174,511.531883941995
25150,F,102.0,-222.50034420326705,2384.862895123946,-6.267171070216904,-16.377272284103128,24.51289521690299,15.176891656597741,-24.45907627737667,-68.20205352078987,551.7022873061228
25150,F,120.0,-244.5382318686621,2631.732375527974,-6.983218755358678,-15.245215350077501,30.127218773333183,19.897763755668127,-30.33394971062558,-75.39132578961505,516.4395592667739
25150,F,126.0,-247.11593510369374,2654.1655315894504,-7.072455132909994,-14.752217399401246,31.64667837078181,21.356729411055294,-31.693294195220165,-76.58019063853624,496.29962556249853
25150,F,144.0,-238.4813084270768,2518.6394789847177,-6.841069157443869,-12.849914344576163,33.9587087374189,24.18208935582845,-33.17849190337015,-75.21560303945552,417.3868153277479
25150,F,150.0,-229.69654810886763,2401.6164707938383,-6.585112153597805,-12.036128201403429,33.69679483744377,24.403892262126146,-32.68379188175344,-72.87369131623792,385.23151743957703
25150,F,168.0,-186.13827116643967,1862.0286667612268,-5.2316398941849585,-8.918983952944437,29.052470285815826,22.019126164131603,-27.82466637972449,-60.34309625819081,271.81655265205086
25150,F,174.0,-167.87616619269886,1647.478897858646,-4.632445361774096,-7.733946922252155,26.408367071060614,20.256175258902648,-25.304428774313095,-55.01014015768225,231.67478136821083
25150,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25150,E,6.0,4.415752834231858,-0.4871050260001472,0.0015640910557834786,-0.000739061151833198,2.380325671399815,1.1505535152240964,0.001993077436971886,-0.0004543124396693967,-9.951679621755671
25150,E,24.0,69.38076679409092,-285.1827318587285,0.05977481879781976,-0.036352821314977746,18.01564398795007,9.236116410178823,0.08921242230799681,-0.02766000270530376,-75.3129895902386
25150,E,30.0,98.24143925086506,-581.692749878918,0.10701972787074965,-0.07783537763472737,25.363769144631057,13.392487701790555,0.16686843672669735,-0.0633965838187466,-105.73579783543761
25150,E,48.0,158.6154310443681,-1398.4174691786977,0.1572576874053766,-0.23689823544970068,43.90049214612516,25.254651634455996,0.27814124665668155,-0.2866345094921824,-179.69306069876598
25150,E,54.0,174.97676860130935,-1618.6882564397372,0.10097758634231013,-0.3016845049614858,48.913030225177366,29.07473140826321,0.09801244361825032,-0.4179802408971233,-197.68752066790194
25150,E,72.0,212.05449447302846,-2116.96031713217,-0.26919227880739527,-0.5110734009292628,60.95828226864151,39.5103127246147,-1.4984158874027111,-0.972865632236155,-235.7239269533034
25150,E,102.0,229.99417386905077,-2380.194455062402,-2.5415640750026114,-1.1577310041559485,77.01605853577533,58.76112387017181,-14.324045748412596,-3.421844240644956,-257.96694952062245
25150,E,120.0,208.17241243925525,-2138.1039091183357,-4.944692066402467,-1.8154399771646013,84.50299513010889,70.61680709237461,-27.738756088654114,-6.496185428280876,-250.89856153146425
25150,E,126.0,196.87301685369675,-2013.214029848515,-5.810873100443814,-2.1090953845543936,86.74026270310381,74.6934919590397,-32.52754347660343,-8.038659237096866,-245.15747639963726
25150,E,144.0,158.5903195660541,-1593.4462040595283,-8.06607456146935,-3.233562260220424,92.56996364232798,86.54628732628645,-46.19569806594568,-14.603550588573716,-215.98415735496246
25150,E,150.0,145.05649669240768,-1444.1682534253082,-8.67120870653082,-3.7057583137567462,94.33728844368278,90.23871233295496,-50.42124339409964,-17.530620661993595,-201.7095976689316
25150,E,168.0,102.80896582351691,-977.10082679524,-10.236818066402975,-5.479643939366952,99.99174879462213,100.58996092909697,-62.25267443380257,-28.432029397550483,-145.63207441723503
25150,E,174.0,88.93080426928766,-825.5541511832035,-10.7103575091827,-6.145819901959726,102.05258410017754,103.72144342510377,-65.82552081337423,-32.40160302144738,-124.71891281001557
25170,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25170,X,12.0,4.73732678358901,-0.682193515790349,0.0,0.0,-7.025559925063484e-16,0.0,5.146231343245525e-16,-5.365562723278257e-16,3.188426586086446e-14
25170,X,18.0,10.05628212328096,-4.185925058876012,-2.220446049250313e-13,0.0,0.0,0.0,0.0,-2.1462250893113026e-15,6.376853172172893e-14
25170,X,36.0,10.816825728374997,-128.25937593350977,4.440892098500626e-13,4.440892098500626e-13,1.4051119850126968e-14,-8.115674172929405e-14,-9.057367164112124e-14,-7.157660672853194e-12,8.927594441042051e-13
25170,X,42.0,20.494896665655272,-185.75807626373478,6.683542608243442e-10,2.5357493882438575e-10,7.933262267381687e-12,-4.645643772989733e-11,-4.471457489519172e-11,-1.3564786431974224e-10,6.435520221356883e-10
25170,X,60.0,18.411917284813068,-221.99303559031532,4.440892098500626e-13,0.0,2.8102239700253936e-15,-2.3187640494084015e-14,-2.05849253729821e-14,-5.5801852322093865e-14,2.550741268869157e-13
25170,X,66.0,18.411675305420573,-221.9936222369421,0.0,0.0,0.0,0.0,-2.05849253729821e-15,-4.292450178622605e-15,0.0
25170,X,84.0,18.4116691204521,-221.99363398130018,0.0,0.0,-2.8102239700253936e-15,-3.864606749014003e-15,-2.05849253729821e-15,-4.102419116764803e-09,0.0
25170,X,108.0,18.411669120452093,-221.99363398130018,0.0,4.440892098500626e-13,0.0,0.0,0.0,-4.1746052514187e-09,0.0
25170,X,114.0,18.411669120452085,-221.9936339813001,4.440892098500626e-13,0.0,0.0,0.0,-2.05849253729821e-15,-4.174607397643789e-09,-6.376853172172893e-14
25170,X,138.0,18.198418314292375,-219.37876332782452,0.0,0.0,-0.0698461185941782,-3.864606749014003e-15,-2.651828720962479e-08,-4.174607397643789e-09,0.0
25170,X,156.0,17.464424720191452,-210.3770027374589,0.0010320560845933358,0.00020978623638256977,-0.31904545641488324,-0.30703248496537616,0.1031822907384554,0.04859368035940047,2.296639117768946
25170,X,162.0,17.206073984054452,-207.20855088486354,0.003611045258811174,0.0007314501413446806,-0.4096577365563021,-0.41918439715035866,0.15994588686181913,0.05037612018166683,2.4240804489569348
25170,X,180.0,16.350221690811676,-198.35778920307365,0.013910166204222918,0.002960052576828076,-0.7170242483657016,-0.7605497361170652,0.3376609691227899,0.05909225729637641,2.839201867176831
25170,X,186.0,16.141818665202354,-196.66603989554338,0.017642775210102712,0.003865714493844763,-0.8177519228715203,-0.8014780157166295,0.36005182517896933,0.0630689536850724,2.967535751321381
25170,X,204.0,15.656657763129258,-190.95082226980162,0.03179072388803661,0.00796118566448456,-1.0029117371098117,-0.956851590815223,0.45057576584867026,0.08331401690056937,3.385684190864086
25170,X,210.0,15.499093489555339,-189.10837098437506,0.03691218152557241,0.009736575111940482,-1.0562915275320375,-1.013397425421737,0.48500865440598706,0.09291715198153266,3.513493219845046
25170,X,252.0,14.47073295328673,-177.34061510815408,0.08171422699732034,0.03244956740333649,-1.486455603119443,-1.4968468594880175,0.7961413636645085,0.22450585244224458,4.15563913406362
25170,X,324.0,13.362759550864878,-164.5600624993,0.1721994315433406,0.09915465868548523,-2.2677251900193034,-2.390859801823426,1.4291388771599915,0.6543629158291248,4.166372646874173
25170,X,330.0,13.278782190247107,-163.54406656760642,0.1802356284987816,0.10526762411533497,-2.3367444573489697,-2.469239931157496,1.4865013161825167,0.7008634665661174,4.155521175581477
