batch,state,t,mu0,betaG0,betaF0,Kn0,Kg0,Kf0,Kig0,Kie0,Yxn,Yxg,Yxf,Yeg,Yef,m0
25086,G,126.0,-0.0033783558709366674,-0.05172842452495586,0.005994172708054281,0.001754265331392916,0.003907411817404389,-2.8270359600263177e-05,0.0027163166602745064,-0.03735879566191837,-0.028816435489091845,0.0004533520264631656,3.485764424390147e-06,0.06003352501844553,1.7644667604393895e-05,-1.0249641717504284e-05
25086,G,144.0,-0.0019878575181688667,-0.03587611109397951,0.004444872083604626,0.0010313949309846727,0.0038926636117283904,-2.2228525222523345e-05,0.0019144899622846605,-0.025716911275534955,-0.019560540469057502,0.0002879863167708524,3.048104178346281e-06,0.042047817700727186,1.928149549526947e-05,-7.014687647376574e-06
25086,G,150.0,-0.0013212299745552014,-0.03023431852823335,0.003155628132805972,0.0006800318895247912,0.0031120026169747087,-1.607727427571727e-05,0.001326664467536932,-0.020564917659758316,-0.014955666938925548,0.00019455516282984115,2.2882249703475238e-06,0.036516462074125504,1.6047464119931483e-05,-4.822859637426321e-06
25086,G,168.0,-0.00014548171325551597,-0.015541150024899067,0.0004364653095786223,7.368378531266801e-05,0.0006007054312140042,-2.261906107153705e-06,0.00016472008007552603,-0.007638523388072775,-0.004073216478083528,2.2522558231795078e-05,3.689250179971546e-07,0.021993400470486486,7.39937447026812e-06,-5.824768183484787e-07
25086,G,174.0,-5.9432222419416526e-05,-0.011484530661880018,0.0001912247030224019,3.0186998575243983e-05,0.00029353668473175416,-1.0092633419559749e-06,7.044281503804697e-05,-0.004698152269309682,-0.0021594117830757344,9.425168520686953e-06,1.753020442477646e-07,0.017765152055440676,5.225626268860916e-06,-2.474289411297033e-07
25086,G,192.0,-3.984505976521566e-06,-0.003092260452683857,1.4946982850349683e-05,2.0549734268559397e-06,3.184567512002323e-05,-9.011084479988056e-08,5.416624525121551e-06,-0.0006585810793308364,-0.00022223544307688892,6.845052126185313e-07,2.305250995216524e-08,0.007514491088027925,1.0781373045414411e-06,-1.9358509875708414e-08
25086,G,198.0,-1.6378119797326076e-06,-0.0016167411227002088,6.350936725994412e-06,8.495879223553989e-07,1.5147110622751816e-05,-4.0233234737244046e-08,2.2982308430046376e-06,-0.0003030159373736827,-9.943346541007942e-05,2.892154202144863e-07,2.2124615119571622e-08,0.004675006420948521,5.961085975894351e-07,-9.401868708372299e-09
25086,G,216.0,-1.3695057703953745e-07,-0.00022881519227156374,5.832756701755532e-07,7.2183280739075e-08,1.8704432673284155e-06,-3.2636336511295736e-09,2.0468758615598662e-07,-3.436296798357767e-05,-1.0501605584622597e-05,2.6254034493678855e-08,8.591124356415791e-09,0.0011129227779782102,9.925074277026416e-08,-2.6357107748284047e-09
25086,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25086,F,12.0,-0.0035667101690329134,0.0003894250019838811,-0.0047814118912707015,0.0016613773509904196,-9.20663782895778e-06,1.7700399510461703e-05,-0.0027183901172023327,-0.002279768743895609,-0.0009356740823116324,3.122558720024291e-06,0.00251303333278522,0.00019197505074518547,0.005093542973389441,-8.608532364433115e-07
