case,parameter,theta,std_log_approx,approx_95_multiplier,fim_diag,active_bound,classification,medium
historical_natural_only,k_IAA_stationary,0.012,418.4567582104635,1.0576541811633427e+17,0.0,False,weak_or_confounded,natural
historical_natural_only,k_EO_growth,0.0008,418.4567582104635,1.0576541811633427e+17,0.0,False,weak_or_confounded,natural
historical_natural_only,k_EO_stationary,0.003,418.4567582104635,1.0576541811633427e+17,0.0,False,weak_or_confounded,natural
historical_natural_only,alpha_EA_loss,1.0,418.4567582104635,1.0576541811633427e+17,0.0,False,weak_or_confounded,natural
historical_natural_only,alpha_IAA_loss,1.0,418.4567582104635,1.0576541811633427e+17,0.0,False,weak_or_confounded,natural
historical_natural_only,alpha_EO_loss,1.0,418.4567582104635,1.0576541811633427e+17,0.0,False,weak_or_confounded,natural
historical_synthetic_only,mu0,0.0500000000343952,0.0143050458965879,1.028434651028225,12650.902205041337,True,weak_or_confounded,synthetic
historical_synthetic_only,qN,0.0087808942095485,0.0088692750522124,1.017535756359408,27606.74821474133,False,well_estimated,synthetic
historical_synthetic_only,betaG0,1.1489884293794836,0.0581092395459723,1.1206334541757597,17968.871403226934,False,well_estimated,synthetic
historical_synthetic_only,betaF0,1.3141294921346576,0.1263431634428247,1.2809892107375445,7991.818090981593,False,well_estimated,synthetic
historical_synthetic_only,qEG,2.356896945083529,0.0439204361581985,1.0898979356844245,42474.3983375021,False,well_estimated,synthetic
historical_synthetic_only,qEF,2.8607067605173606,0.093067207810271,1.2001082094955915,24706.35785756637,False,well_estimated,synthetic
historical_synthetic_only,iG,0.0178230135537626,0.1105361454269653,1.241910407246333,2912.339010949568,False,well_estimated,synthetic
historical_synthetic_only,iE,0.0679130923986792,0.0580589996826668,1.1205231106843734,20943.45691820911,False,well_estimated,synthetic
historical_synthetic_only,Kd0,0.0007203999532169,0.0381908498904355,1.0777268621846654,1083.7984459812878,False,well_estimated,synthetic
historical_synthetic_only,gammaG0,0.1500490403841702,0.0513459810392361,1.1058763779382383,15282.845076208372,False,well_estimated,synthetic
historical_synthetic_only,gammaF0,0.0001008543088239,141.65439921098258,1.0576541811633427e+17,0.0009362250807786,True,weak_or_confounded,synthetic
historical_synthetic_only,kPyrS_N,0.8508617891421286,0.0405073389664207,1.0826312107181877,2367.386808775548,False,well_estimated,synthetic
historical_synthetic_only,kPyrO2,0.2731889591927507,0.1421875641084186,1.3213945096457456,937.026512046689,False,well_estimated,synthetic
historical_synthetic_only,kPyrDrain,0.0035910294181966,0.0708443112863881,1.1489573168844698,2668.1844340338944,False,well_estimated,synthetic
historical_synthetic_only,kAldS_N,2.359887977142201,380.4876807732253,1.0576541811633427e+17,0.0,False,weak_or_confounded,synthetic
historical_synthetic_only,kAcAld,0.0013923120060084,380.4876807732253,1.0576541811633427e+17,0.0,False,weak_or_confounded,synthetic
historical_synthetic_only,kAcStress,0.0026158743573774,380.4876807732253,1.0576541811633427e+17,0.0,False,weak_or_confounded,synthetic
historical_synthetic_only,k_EA_growth,0.1,380.4876807732253,1.0576541811633427e+17,0.0,False,weak_or_confounded,synthetic
historical_synthetic_only,k_EA_stationary,0.28,380.4876807732253,1.0576541811633427e+17,0.0,False,weak_or_confounded,synthetic
historical_synthetic_only,k_IAA_growth,0.003,380.4876807732253,1.0576541811633427e+17,0.0,False,weak_or_confounded,synthetic
historical_synthetic_only,k_IAA_stationary,0.012,380.4876807732253,1.0576541811633427e+17,0.0,False,weak_or_confounded,synthetic
historical_synthetic_only,k_EO_growth,0.0008,380.4876807732253,1.0576541811633427e+17,0.0,False,weak_or_confounded,synthetic
historical_synthetic_only,k_EO_stationary,0.003,380.4876807732253,1.0576541811633427e+17,0.0,False,weak_or_confounded,synthetic
historical_synthetic_only,alpha_EA_loss,1.0,380.4876807732253,1.0576541811633427e+17,0.0,False,weak_or_confounded,synthetic
historical_synthetic_only,alpha_IAA_loss,1.0,380.4876807732253,1.0576541811633427e+17,0.0,False,weak_or_confounded,synthetic
historical_synthetic_only,alpha_EO_loss,1.0,380.4876807732253,1.0576541811633427e+17,0.0,False,weak_or_confounded,synthetic
