candidate_id,parent_candidate_id,strategy,dose_design,independent_seed,source_type,robust_score,penalized_search_score,median,q10,minimum,tail_cvar,completion_probability,minimum_drying_margin_h,maximum_residual_sugar_g_l,minimum_posterior_fim_eigenvalue,maximum_posterior_fim_condition_number,maximum_internal_jump_c,maximum_initial_jump_c,maximum_initial_or_internal_jump_c,minimum_robust_physical_temperature_c,maximum_robust_physical_temperature_c,total_thermal_variation_c,temperature_changes,nutrition_operational_margin_fraction,coverage_pass,thermal_pass,nutrition_pass,completion_pass,controller_explicit_to_504h,first_24h_mean_contrast_c,nutrition_time_contrast_h,feasible,local_refinement_qualified,local_refinement_qualification_reason,local_refinement_accepted,watermark,candidate_only_not_for_physical_execution
6b89bd547ad4474b,,II_diagonal_1,N76_all_conservative,20260803,seed_champion_original,19.786230877284193,19.786230877284193,21.26062708769073,15.363042246064582,9.93665824884022,13.687424011806382,0.984375,24.135413161822342,6.849274476094465,0.18726958342621394,5870.184989943897,3.2480241817698285,4.387049361831231,4.387049361831231,15.0,27.0,10.484654170751917,5,0.05000000000000009,True,True,True,True,True,5.565615757156792,40.0,True,True,no_better_feasible_step_on_real_64_member_objective,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
f2addcf70aa5958d,,II_diagonal_1,N76_all_conservative,20260817,seed_champion_original,19.776313853621197,19.776313853621197,21.274908601435982,15.280529610176835,9.7843865154402,13.584816067545034,1.0,39.03371597703901,3.0177120689012655,0.18723052505253276,5881.8126106250365,3.8128795727316387,3.63199609109315,3.8128795727316387,15.0,25.839495580810443,12.07552705104138,5,0.05000000000000009,True,True,True,True,True,5.021177374198057,44.0,True,True,no_better_feasible_step_on_real_64_member_objective,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
1664e9adc78a9803,9d74c1c80be46659,II_diagonal_1,N76_all_conservative,20260831,full_64_local_refinement_trial,19.51970779991289,19.51970779991289,20.969866044983224,15.169233064701887,10.367504264886048,13.585524855537127,0.984375,70.48878872932647,6.826840293717881,0.1869902354450333,6406.674158555389,5.0,4.1660773876497785,5.0,15.238402164718302,27.0,13.411660696674957,4,0.05000000000000009,True,True,True,True,True,5.685987438680311,40.0,True,True,accepted_improvement_on_real_64_member_objective,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
e97eefdb9ce7e0ef,d1057ce17f012cd1,II_diagonal_1,N76_all_conservative,20260847,full_64_local_refinement_trial,19.813954528728328,19.813954528728328,21.308045713537094,15.331680974302037,10.021118042588174,13.706953824908863,0.984375,58.494229285505085,6.804163408840538,0.187258285375983,5903.821145596887,5.0,3.84405721584886,5.0,15.0,26.968963871830507,12.90875705825281,4,0.05000000000000009,True,True,True,True,True,5.653096620935333,48.0,True,True,accepted_improvement_on_real_64_member_objective,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
b8408897db701e6f,114fa6ee6ae457cc,II_diagonal_1,N76_all_conservative,20260861,full_64_local_refinement_trial,19.509927412027146,19.509927412027146,20.95886793586584,15.163105840511061,10.362951875568474,13.585695966260875,0.984375,69.13207649550473,6.827926943382633,0.1869873443823479,6414.9165727023765,4.68,4.529850219076579,4.68,15.238583118888673,27.0,13.047706911077785,4,0.05000000000000009,True,True,True,True,True,5.567615151045462,44.0,True,True,accepted_improvement_on_real_64_member_objective,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
f3b2bbe4ed8b748b,,III_diagonal_2,N80,20260803,seed_champion_original,19.704381409129866,19.704381409129866,21.146798433614638,15.377130335675552,10.57535577429844,13.72452916083978,0.984375,44.936905233444804,6.745996031723893,0.18700812610268328,6384.010459495616,5.0,4.444864183795023,5.0,15.148674542056472,27.0,14.638505723440456,5,1.544658121217609e-16,True,True,True,True,True,5.243520437139889,40.0,True,True,no_better_feasible_step_on_real_64_member_objective,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
414d5478256d2dc0,,III_diagonal_2,N80,20260817,seed_champion_original,19.789708778741357,19.789708778741357,21.29550309933767,15.272325816952415,9.901181475079039,13.57383117981613,1.0,-2.1894220054833795,3.9687114133306873,0.18710306537493035,5916.54852995634,4.587601035135126,3.3782736457670914,4.587601035135126,15.0,26.36049459788787,14.329632539710683,5,1.544658121217609e-16,True,True,True,True,True,5.377207982263016,40.0,True,True,no_better_feasible_step_on_real_64_member_objective,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
001984e91aa7b6e3,,III_diagonal_2,N80,20260831,seed_champion_original,19.739149659264495,19.739149659264495,21.18784638286005,15.393059488477826,10.59651925227956,13.756617473733963,0.984375,70.17371651164514,6.7455441387404305,0.18702064542635474,6390.408590887057,5.0,5.0,5.0,15.451830426402594,27.0,11.553758086704736,4,1.544658121217609e-16,True,True,True,True,True,5.3974141735393175,40.0,True,True,no_better_feasible_step_on_real_64_member_objective,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
b62dd392883bcb2f,3c81dac7933af5b3,III_diagonal_2,N80,20260847,full_64_local_refinement_trial,19.67814260543701,19.67814260543701,21.116839019207532,15.36205336412544,10.55247352564935,13.701257095898972,0.984375,69.87605543799567,6.747637227933932,0.1870006519841874,6376.2830641533765,5.0,3.9476641977992237,5.0,15.20329332135272,27.0,13.205215932628597,4,1.544658121217609e-16,True,True,True,True,True,5.26210722903841,40.0,True,True,accepted_improvement_on_real_64_member_objective,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
84d91c417299fe9a,252d59fdc0624232,III_diagonal_2,N80,20260861,full_64_local_refinement_trial,19.731624142135452,19.731624142135452,21.178892064106883,15.389820376221163,10.597202050765155,13.750852778289982,0.984375,70.04729005155471,6.7455499961720475,0.18701810005312383,6389.025979330489,5.0,4.837281937987822,5.0,15.458606708067773,27.0,11.791888107375751,4,1.544658121217609e-16,True,True,True,True,True,5.357149262695238,40.0,True,True,accepted_improvement_on_real_64_member_objective,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
