strategy,dose_design,sampling_mode,rank,parameter_left,parameter_right,posterior_correlation_median,absolute_posterior_correlation_median,watermark,candidate_only_not_for_physical_execution
II_diagonal_1,N76_all_conservative,independent,2,ethyl_octanoate__formation_growth_ug_per_g_sugar,ethyl_octanoate__formation_stationary_ug_per_g_sugar,-0.4587870488111387,0.4587870488111387,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,independent,3,isoamyl_acetate__formation_stationary_ug_per_g_sugar,isoamyl_acetate__effective_loss_scale,-0.4409538898817674,0.4409538898817674,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,independent,4,isoamyl_acetate__formation_growth_ug_per_g_sugar,isoamyl_acetate__formation_stationary_ug_per_g_sugar,-0.3800514604927877,0.3800514604927877,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,independent,5,ethyl_octanoate__formation_stationary_ug_per_g_sugar,ethyl_octanoate__effective_loss_scale,-0.2828639524369466,0.2828639524369466,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,partially_harmonized,1,ethyl_acetate__formation_growth_ug_per_g_sugar,ethyl_acetate__effective_loss_scale,-0.47826572361852737,0.47826572361852737,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,partially_harmonized,2,ethyl_octanoate__formation_growth_ug_per_g_sugar,ethyl_octanoate__formation_stationary_ug_per_g_sugar,-0.4715108991039759,0.4715108991039759,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,partially_harmonized,3,isoamyl_acetate__formation_stationary_ug_per_g_sugar,isoamyl_acetate__effective_loss_scale,-0.4301199931438796,0.4301199931438796,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,partially_harmonized,4,isoamyl_acetate__formation_growth_ug_per_g_sugar,isoamyl_acetate__formation_stationary_ug_per_g_sugar,-0.39475205567405514,0.39475205567405514,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,partially_harmonized,5,ethyl_octanoate__formation_stationary_ug_per_g_sugar,ethyl_octanoate__effective_loss_scale,-0.28567737982195307,0.28567737982195307,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,independent,1,ethyl_octanoate__formation_growth_ug_per_g_sugar,ethyl_octanoate__formation_stationary_ug_per_g_sugar,-0.473780412786191,0.473780412786191,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,independent,2,ethyl_acetate__formation_growth_ug_per_g_sugar,ethyl_acetate__effective_loss_scale,-0.4707372560944258,0.4707372560944258,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,independent,3,isoamyl_acetate__formation_stationary_ug_per_g_sugar,isoamyl_acetate__effective_loss_scale,-0.44171508689433675,0.44171508689433675,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,independent,4,isoamyl_acetate__formation_growth_ug_per_g_sugar,isoamyl_acetate__formation_stationary_ug_per_g_sugar,-0.37180216595861226,0.37180216595861226,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,independent,5,ethyl_octanoate__formation_stationary_ug_per_g_sugar,ethyl_octanoate__effective_loss_scale,-0.2802495135641174,0.2802495135641174,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,partially_harmonized,1,ethyl_octanoate__formation_growth_ug_per_g_sugar,ethyl_octanoate__formation_stationary_ug_per_g_sugar,-0.4850758190815456,0.4850758190815456,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,partially_harmonized,2,ethyl_acetate__formation_growth_ug_per_g_sugar,ethyl_acetate__effective_loss_scale,-0.4812990344298357,0.4812990344298357,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,partially_harmonized,3,isoamyl_acetate__formation_stationary_ug_per_g_sugar,isoamyl_acetate__effective_loss_scale,-0.4375106568135656,0.4375106568135656,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,partially_harmonized,4,isoamyl_acetate__formation_growth_ug_per_g_sugar,isoamyl_acetate__formation_stationary_ug_per_g_sugar,-0.3799187700102655,0.3799187700102655,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,partially_harmonized,5,ethyl_octanoate__formation_stationary_ug_per_g_sugar,ethyl_octanoate__effective_loss_scale,-0.27738862613521603,0.27738862613521603,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,independent,1,ethyl_octanoate__formation_growth_ug_per_g_sugar,ethyl_octanoate__formation_stationary_ug_per_g_sugar,-0.4775631622222507,0.4775631622222507,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,independent,2,ethyl_acetate__formation_growth_ug_per_g_sugar,ethyl_acetate__effective_loss_scale,-0.47090852148733287,0.47090852148733287,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,independent,3,isoamyl_acetate__formation_stationary_ug_per_g_sugar,isoamyl_acetate__effective_loss_scale,-0.4417285155948109,0.4417285155948109,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,independent,4,isoamyl_acetate__formation_growth_ug_per_g_sugar,isoamyl_acetate__formation_stationary_ug_per_g_sugar,-0.37114226538682427,0.37114226538682427,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,independent,5,ethyl_octanoate__formation_stationary_ug_per_g_sugar,ethyl_octanoate__effective_loss_scale,-0.2758654619851433,0.2758654619851433,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,partially_harmonized,1,ethyl_octanoate__formation_growth_ug_per_g_sugar,ethyl_octanoate__formation_stationary_ug_per_g_sugar,-0.48741538694914166,0.48741538694914166,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,partially_harmonized,2,ethyl_acetate__formation_growth_ug_per_g_sugar,ethyl_acetate__effective_loss_scale,-0.48178413487036165,0.48178413487036165,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,partially_harmonized,3,isoamyl_acetate__formation_stationary_ug_per_g_sugar,isoamyl_acetate__effective_loss_scale,-0.43726934317822164,0.43726934317822164,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,partially_harmonized,4,isoamyl_acetate__formation_growth_ug_per_g_sugar,isoamyl_acetate__formation_stationary_ug_per_g_sugar,-0.37925989501487634,0.37925989501487634,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,partially_harmonized,5,ethyl_octanoate__formation_stationary_ug_per_g_sugar,ethyl_octanoate__effective_loss_scale,-0.27195094820149684,0.27195094820149684,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,independent,1,ethyl_octanoate__formation_growth_ug_per_g_sugar,ethyl_octanoate__formation_stationary_ug_per_g_sugar,-0.4773714884779119,0.4773714884779119,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,independent,2,ethyl_acetate__formation_growth_ug_per_g_sugar,ethyl_acetate__effective_loss_scale,-0.47086134500790283,0.47086134500790283,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,independent,3,isoamyl_acetate__formation_stationary_ug_per_g_sugar,isoamyl_acetate__effective_loss_scale,-0.44190957832806177,0.44190957832806177,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,independent,4,isoamyl_acetate__formation_growth_ug_per_g_sugar,isoamyl_acetate__formation_stationary_ug_per_g_sugar,-0.3709376719305186,0.3709376719305186,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,independent,5,ethyl_octanoate__formation_stationary_ug_per_g_sugar,ethyl_octanoate__effective_loss_scale,-0.275915371880492,0.275915371880492,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,partially_harmonized,1,ethyl_octanoate__formation_growth_ug_per_g_sugar,ethyl_octanoate__formation_stationary_ug_per_g_sugar,-0.4872385307825581,0.4872385307825581,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,partially_harmonized,2,ethyl_acetate__formation_growth_ug_per_g_sugar,ethyl_acetate__effective_loss_scale,-0.481631198908662,0.481631198908662,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,partially_harmonized,3,isoamyl_acetate__formation_stationary_ug_per_g_sugar,isoamyl_acetate__effective_loss_scale,-0.4373236540689145,0.4373236540689145,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,partially_harmonized,4,isoamyl_acetate__formation_growth_ug_per_g_sugar,isoamyl_acetate__formation_stationary_ug_per_g_sugar,-0.3791626980580191,0.3791626980580191,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,partially_harmonized,5,ethyl_octanoate__formation_stationary_ug_per_g_sugar,ethyl_octanoate__effective_loss_scale,-0.2720330098178244,0.2720330098178244,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
