candidate,scenario,tau_h,tracking_error_c,initial_temperature_offset_c,probe_bias_c,command_delay_h,initial_temperature_scenario_c,initial_setpoint_c,initial_setpoint_jump_c,initial_jump_within_5c,minimum_physical_temperature_c,maximum_physical_temperature_c,physical_temperature_within_15_27c,controller_horizon_h,candidate_only_not_for_physical_execution,watermark,strategy,dose_design,candidate_id
anchor_18C,approved_actuator_042,0.3177272541838157,0.0,0.0,0.5,0.0,18.0,18.0,0.0,True,17.5,18.0,True,504.0,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,I_reference_information,N80,reference_source_final
anchor_18C,approved_actuator_043,0.3177272541838157,0.0,1.0,-0.5,0.0,19.0,18.0,1.0,True,18.5,19.0,True,504.0,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,I_reference_information,N80,reference_source_final
anchor_18C,approved_actuator_044,0.3177272541838157,0.0,1.0,0.0,0.0,19.0,18.0,1.0,True,18.0,19.0,True,504.0,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,I_reference_information,N80,reference_source_final
anchor_18C,approved_actuator_045,0.3177272541838157,0.0,1.0,0.5,0.0,19.0,18.0,1.0,True,17.5,19.0,True,504.0,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,I_reference_information,N80,reference_source_final
anchor_18C,approved_actuator_046,0.3177272541838157,0.8946199169856546,-1.0,-0.5,0.0,17.0,18.0,1.0,True,17.0,19.394619916985654,True,504.0,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,I_reference_information,N80,reference_source_final
anchor_18C,approved_actuator_047,0.3177272541838157,0.8946199169856546,-1.0,0.0,0.0,17.0,18.0,1.0,True,17.0,18.894619916985654,True,504.0,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,I_reference_information,N80,reference_source_final
anchor_18C,approved_actuator_048,0.3177272541838157,0.8946199169856546,-1.0,0.5,0.0,17.0,18.0,1.0,True,17.0,18.394619916985654,True,504.0,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,I_reference_information,N80,reference_source_final
anchor_18C,approved_actuator_049,0.3177272541838157,0.8946199169856546,0.0,-0.5,0.0,18.0,18.0,0.0,True,18.0,19.394619916985654,True,504.0,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,I_reference_information,N80,reference_source_final
anchor_18C,approved_actuator_050,0.3177272541838157,0.8946199169856546,0.0,0.0,0.0,18.0,18.0,0.0,True,18.0,18.894619916985654,True,504.0,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,I_reference_information,N80,reference_source_final
anchor_18C,approved_actuator_051,0.3177272541838157,0.8946199169856546,0.0,0.5,0.0,18.0,18.0,0.0,True,18.0,18.394619916985654,True,504.0,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,I_reference_information,N80,reference_source_final
anchor_18C,approved_actuator_052,0.3177272541838157,0.8946199169856546,1.0,-0.5,0.0,19.0,18.0,1.0,True,19.0,19.394619916985654,True,504.0,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,I_reference_information,N80,reference_source_final
