policy,species,capture_interval,start_h,end_h,duration_h,capture_stage_1_c,capture_stage_2_c,maximum_capture_interval_h,maximum_capture_interval_policy,within_approved_duration,captured_mass_mean_ug,captured_mass_min_ug,captured_mass_max_ug,cumulative_mass_start_mean_ug,cumulative_mass_end_mean_ug,mass_conservation_max_abs_error_ug,maximum_trap_loading,maximum_trap_loading_policy,trap_loading_constraint_satisfied,vessel_change_required,strategy,dose_design,sampling_mode,watermark,candidate_only_not_for_physical_execution
II_diagonal_1__N80__cold_early,ethyl_acetate,3,42.0,46.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,617.907005487938,0.038817820496309,9983.40654334467,950.25637920409,1568.163384692028,7.275957614183426e-12,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__cold_early,ethyl_acetate,4,46.0,50.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,731.5487400353052,0.05163634601923661,10633.720127655142,1568.163384692028,2299.712124727333,7.275957614183426e-12,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__cold_early,ethyl_acetate,5,50.0,66.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,3088.6158288880315,0.44957666859027157,41934.83493913068,2299.712124727333,5388.327953615365,7.275957614183426e-12,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__cold_early,ethyl_acetate,6,66.0,74.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,1594.411270697492,0.5451716308886746,20449.167294031315,5388.327953615365,6982.739224312857,7.275957614183426e-12,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__cold_early,ethyl_acetate,7,74.0,98.0,24.0,0.0,-40.0,,unbounded_by_hardware,True,4646.920016780543,1.8192403649680955,56895.74922542987,6982.739224312857,11629.659241093403,7.275957614183426e-12,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__cold_early,ethyl_acetate,8,98.0,162.0,64.0,0.0,-40.0,,unbounded_by_hardware,True,7854.54443529354,3.493634952676714,103153.3587650489,11629.659241093403,19484.20367638694,7.275957614183426e-12,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__cold_early,ethyl_acetate,9,162.0,186.0,24.0,0.0,-40.0,,unbounded_by_hardware,True,1258.3751233626458,0.5598530163308197,16461.296395896148,19484.20367638694,20742.578799749586,7.275957614183426e-12,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__cold_early,ethyl_octanoate,1,0.0,26.0,26.0,0.0,-40.0,,unbounded_by_hardware,True,0.0974226451301706,0.022296545618619344,0.734256429941446,0.0,0.0974226451301706,7.105427357601002e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__cold_early,ethyl_octanoate,2,26.0,42.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,0.630823291523575,0.05626129212352755,9.523837811532665,0.0974226451301706,0.7282459366537455,7.105427357601002e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__cold_early,ethyl_octanoate,3,42.0,46.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,0.4917401352156777,0.02906420596793996,9.247653128930999,0.7282459366537455,1.2199860718694233,7.105427357601002e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
