strategy,dose_design,sampling_mode,eigenvalue_rank_ascending,fim_eigenvalue_median,fim_eigenvalue_q10,fim_eigenvalue_minimum,watermark,candidate_only_not_for_physical_execution
II_diagonal_1,N76_historical_anchor,partially_harmonized,4,225.88554302105598,210.85793254249256,54.349643913721465,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,partially_harmonized,5,251.51361663204204,237.65570226862513,179.32571004414692,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,partially_harmonized,6,372.2021041678905,272.31544847003573,216.03975726045675,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,partially_harmonized,7,956.965176794678,846.6900485487953,750.7843074927047,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,partially_harmonized,8,1067.4975563768344,958.8283002861178,854.3774167580267,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,partially_harmonized,9,1417.9468822010808,1159.310670565075,1008.8366849828187,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,independent,1,0.41128169141612314,0.2775521489119336,0.18773130524221104,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,independent,2,5.036461460761984,0.4752425964253674,0.3228028820695656,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,independent,3,81.71852560710727,4.63483685704553,0.39094340930093646,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,independent,4,230.90620483501652,218.03553022801532,55.406987919297144,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
