ensemble_member,policy,drying_time_h,strategy,dose_design,watermark,candidate_only_not_for_physical_execution
5,II_diagonal_1__N80__warm_late,184.78073936432912,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
6,II_diagonal_1__N80__anchor,190.233151321516,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
6,II_diagonal_1__N80__cold_early,188.99164131508547,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
6,II_diagonal_1__N80__warm_late,186.99792045397876,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
7,II_diagonal_1__N80__anchor,429.1242147321335,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
7,II_diagonal_1__N80__cold_early,420.9618852734217,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
7,II_diagonal_1__N80__warm_late,440.8981496573868,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
8,II_diagonal_1__N80__anchor,201.5239463183827,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
8,II_diagonal_1__N80__cold_early,212.19373755381525,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
8,II_diagonal_1__N80__warm_late,173.9493004037084,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
9,II_diagonal_1__N80__anchor,153.35390975476133,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
9,II_diagonal_1__N80__cold_early,164.6039639431875,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
9,II_diagonal_1__N80__warm_late,122.1309511668879,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
10,II_diagonal_1__N80__anchor,200.30432187380393,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
10,II_diagonal_1__N80__cold_early,205.58371292213718,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
10,II_diagonal_1__N80__warm_late,182.40258292089212,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
11,II_diagonal_1__N80__anchor,191.44464304899404,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
11,II_diagonal_1__N80__cold_early,196.57512798739648,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
11,II_diagonal_1__N80__warm_late,174.6116414053816,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
12,II_diagonal_1__N80__anchor,200.4847531864816,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
12,II_diagonal_1__N80__cold_early,206.0298911517584,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
12,II_diagonal_1__N80__warm_late,182.22108346076402,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
13,II_diagonal_1__N80__anchor,185.42494609819127,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
13,II_diagonal_1__N80__cold_early,190.17155422999784,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
13,II_diagonal_1__N80__warm_late,169.24503411720022,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
14,II_diagonal_1__N80__anchor,183.02157536060287,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
14,II_diagonal_1__N80__cold_early,187.11535120956154,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
14,II_diagonal_1__N80__warm_late,168.0976130518426,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
15,II_diagonal_1__N80__anchor,196.89959560084085,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
15,II_diagonal_1__N80__cold_early,201.63179501278506,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
15,II_diagonal_1__N80__warm_late,179.96260678807494,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
16,II_diagonal_1__N80__anchor,210.33514591118455,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
16,II_diagonal_1__N80__cold_early,216.81264453414832,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
16,II_diagonal_1__N80__warm_late,190.53424769527422,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
17,II_diagonal_1__N80__anchor,183.67784871557825,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
17,II_diagonal_1__N80__cold_early,188.21552346651882,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
17,II_diagonal_1__N80__warm_late,167.76357521986296,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
18,II_diagonal_1__N80__anchor,190.78804936225703,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
18,II_diagonal_1__N80__cold_early,195.38021803723754,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
18,II_diagonal_1__N80__warm_late,174.75413175004138,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
19,II_diagonal_1__N80__anchor,211.96763189996713,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
19,II_diagonal_1__N80__cold_early,217.90078147953574,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
19,II_diagonal_1__N80__warm_late,193.16941038348605,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
20,II_diagonal_1__N80__anchor,206.0552546491422,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
20,II_diagonal_1__N80__cold_early,211.17131865086256,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
20,II_diagonal_1__N80__warm_late,188.54904302908275,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
21,II_diagonal_1__N80__anchor,201.4199219575501,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
21,II_diagonal_1__N80__cold_early,206.1379085275146,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
21,II_diagonal_1__N80__warm_late,185.4134704128476,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
22,II_diagonal_1__N80__anchor,190.19218858667438,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
22,II_diagonal_1__N80__cold_early,195.46945139476534,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
22,II_diagonal_1__N80__warm_late,172.80928352047783,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
23,II_diagonal_1__N80__anchor,186.5606944419702,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
23,II_diagonal_1__N80__cold_early,190.796535589879,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
23,II_diagonal_1__N80__warm_late,171.18578730479737,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
24,II_diagonal_1__N80__anchor,185.26799208008993,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
24,II_diagonal_1__N80__cold_early,189.12912102913785,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
24,II_diagonal_1__N80__warm_late,170.6127946018952,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
25,II_diagonal_1__N80__anchor,192.04201677984742,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
25,II_diagonal_1__N80__cold_early,196.63185517341674,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
25,II_diagonal_1__N80__warm_late,176.27483226990472,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
26,II_diagonal_1__N80__anchor,185.1715763073215,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
26,II_diagonal_1__N80__cold_early,188.67014048320098,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
26,II_diagonal_1__N80__warm_late,171.35828155261157,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
27,II_diagonal_1__N80__anchor,188.35303322930375,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
27,II_diagonal_1__N80__cold_early,193.68195793006674,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
27,II_diagonal_1__N80__warm_late,171.062756065414,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
28,II_diagonal_1__N80__anchor,182.68988381694453,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
28,II_diagonal_1__N80__cold_early,187.01575164950304,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
28,II_diagonal_1__N80__warm_late,167.3055825230552,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
29,II_diagonal_1__N80__anchor,192.62959591165693,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
29,II_diagonal_1__N80__cold_early,196.4954505213895,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
29,II_diagonal_1__N80__warm_late,178.205659854248,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
30,II_diagonal_1__N80__anchor,195.90901286844903,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
30,II_diagonal_1__N80__cold_early,194.7377644582526,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
30,II_diagonal_1__N80__warm_late,192.4537181190773,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
31,II_diagonal_1__N80__anchor,196.62584736461315,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
31,II_diagonal_1__N80__cold_early,195.51721493248672,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
31,II_diagonal_1__N80__warm_late,192.92306418253295,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
32,II_diagonal_1__N80__anchor,183.20572340121336,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
32,II_diagonal_1__N80__cold_early,187.16905081397752,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
32,II_diagonal_1__N80__warm_late,168.56930752471328,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
33,II_diagonal_1__N80__anchor,193.32105112404633,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
33,II_diagonal_1__N80__cold_early,197.40827290009582,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
33,II_diagonal_1__N80__warm_late,177.67941471528758,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
34,II_diagonal_1__N80__anchor,186.58474776888207,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
34,II_diagonal_1__N80__cold_early,191.56477298800615,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
34,II_diagonal_1__N80__warm_late,169.8737147283368,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
35,II_diagonal_1__N80__anchor,193.9914805008983,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
35,II_diagonal_1__N80__cold_early,199.28478440196477,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
35,II_diagonal_1__N80__warm_late,176.66331002487075,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
36,II_diagonal_1__N80__anchor,188.652730671668,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
36,II_diagonal_1__N80__cold_early,194.6169072636344,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
36,II_diagonal_1__N80__warm_late,170.1790962704557,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
37,II_diagonal_1__N80__anchor,201.7563070423063,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
37,II_diagonal_1__N80__cold_early,206.4822045973308,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
37,II_diagonal_1__N80__warm_late,185.00162016431128,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
38,II_diagonal_1__N80__anchor,189.3115340102959,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
38,II_diagonal_1__N80__cold_early,195.30662935045987,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
38,II_diagonal_1__N80__warm_late,170.77182194155952,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
39,II_diagonal_1__N80__anchor,193.08554997112896,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
39,II_diagonal_1__N80__cold_early,198.8039058873138,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
39,II_diagonal_1__N80__warm_late,175.07196759469977,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
40,II_diagonal_1__N80__anchor,195.21201039490288,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
40,II_diagonal_1__N80__cold_early,200.7829718859459,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
40,II_diagonal_1__N80__warm_late,177.91506650617538,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
41,II_diagonal_1__N80__anchor,197.73911504220396,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
41,II_diagonal_1__N80__cold_early,201.0102072982043,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
41,II_diagonal_1__N80__warm_late,184.51894347107213,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
42,II_diagonal_1__N80__anchor,186.4840301218015,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
42,II_diagonal_1__N80__cold_early,190.58462849177397,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
42,II_diagonal_1__N80__warm_late,171.55270117317576,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
43,II_diagonal_1__N80__anchor,186.69513507496632,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
43,II_diagonal_1__N80__cold_early,191.32535947489262,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
43,II_diagonal_1__N80__warm_late,170.62451522896183,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
44,II_diagonal_1__N80__anchor,198.32033562722373,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
44,II_diagonal_1__N80__cold_early,203.31366527130092,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
44,II_diagonal_1__N80__warm_late,182.27656701890422,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
45,II_diagonal_1__N80__anchor,180.43467784163326,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
45,II_diagonal_1__N80__cold_early,184.13123988059658,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
45,II_diagonal_1__N80__warm_late,166.28696828749938,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
46,II_diagonal_1__N80__anchor,198.16267385060618,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
46,II_diagonal_1__N80__cold_early,203.1062860561547,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
46,II_diagonal_1__N80__warm_late,180.91932023721333,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
47,II_diagonal_1__N80__anchor,195.9837585325705,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
47,II_diagonal_1__N80__cold_early,201.2494775960575,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
47,II_diagonal_1__N80__warm_late,178.74919504019363,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
48,II_diagonal_1__N80__anchor,184.65434371558632,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
48,II_diagonal_1__N80__cold_early,188.90013661411467,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
48,II_diagonal_1__N80__warm_late,169.300319480435,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
49,II_diagonal_1__N80__anchor,194.45629544178828,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
49,II_diagonal_1__N80__cold_early,199.31020434550607,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
49,II_diagonal_1__N80__warm_late,178.03317663653266,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
