process_token,campaign_token,time_h,temperature_c,density_kg_m3,viable_cell_concentration_million_cells_ml,viable_biomass_proxy_g_l_30pg_cell,dry_weight_g_l,glucose_g_l,fructose_g_l,pan_n_mg_l,ammonia_compound_mg_l,ammonia_n_mg_l,yan_reported_n_mg_l,yan_reconstructed_n_mg_l,yan_closure_residual_mg_l,glycerol_g_l,pyruvic_acid_mg_l,pyruvic_acid_2_mg_l,acetaldehyde_mg_l,ethanol_g_l
P25_02,C25_01,30,18.0,1058.0,,,,,,,,,,,,,,,,
P25_02,C25_01,36,18.0,1052.0,32.57,0.9771,0.1172,65.11,54.65,28.0,0.0,0.0,28.0,28.0,0.0,3.63,56.0,32.0,,21.747029124645262
P25_02,C25_01,42,19.0,1047.0,42.78,1.2834,0.1729,47.91,48.59,41.0,31.0,25.419999999999998,66.42,66.42,0.0,3.76,60.0,36.0,,27.102674268067204
P25_02,C25_01,48,18.0,1045.0,,,,,,,,,,,,,,,,
P25_02,C25_01,54,18.6,1040.0,,,,,,,,,,,,,,,,
P25_02,C25_01,60,18.6,1032.0,50.77,1.5231000000000001,0.1653,39.58,36.3,20.0,0.0,0.0,20.0,20.0,0.0,4.78,50.0,26.0,,50.08233117127014
P25_02,C25_01,66,18.4,1026.0,,,,,,,,,,,,,,,,
P25_02,C25_01,72,19.0,1024.0,,,,,,,,,,,,,,,,
P25_02,C25_01,78,19.0,1020.0,,,,,,,,,,,,,,,,
P25_02,C25_01,84,18.4,1017.0,59.29,1.7787,0.2375,23.39,23.8,14.0,0.0,0.0,14.0,14.0,0.0,5.27,36.0,12.0,,68.48781603122396
P25_02,C25_01,90,19.0,1013.0,62.6,1.878,0.348,7.12,32.52,15.0,0.0,0.0,15.0,15.0,0.0,5.34,42.0,18.0,,74.45779134224968
P25_02,C25_01,96,19.0,1012.0,,,,,,,,,,,,,,,,
P25_02,C25_01,102,19.0,1008.0,,,,,,,,,,,,,,,,
P25_02,C25_01,108,20.5,1005.0,58.83,1.7649,-0.0145,2.04,18.55,12.0,0.0,0.0,12.0,12.0,0.0,5.45,31.0,7.0,,84.10832976156534
P25_02,C25_01,114,19.5,1002.0,62.37,1.8710999999999998,0.2233,1.45,17.46,12.0,0.0,0.0,12.0,12.0,0.0,5.57,37.0,13.0,,86.67545692588229
P25_02,C25_01,120,19.0,1002.0,,,,,,,,,,,,,,,,
P25_02,C25_01,126,18.5,1001.0,,,,,,,,,,,,,,,,
P25_02,C25_01,132,18.0,999.0,87.48,2.6244,0.2346,0.44,0.0,14.0,0.0,0.0,14.0,14.0,0.0,5.82,27.0,3.0,,91.01854077120265
P25_02,C25_01,138,19.5,997.0,48.69,1.4606999999999999,0.2169,0.08,8.84,12.0,0.0,0.0,12.0,12.0,0.0,5.73,28.0,4.0,,93.74546593772936
P25_02,C25_01,144,19.0,997.0,,,,,,,,,,,,,,,,
P25_02,C25_01,150,19.0,997.0,,,,,,,,,,,,,,,,
P25_02,C25_01,156,18.2,995.0,46.62,1.3985999999999998,,0.07,5.23,13.0,0.0,0.0,13.0,13.0,0.0,5.68,24.0,0.0,,95.24939311319227
P25_02,C25_01,162,20.0,995.0,,,,,,,,,,,,,,,,
P25_02,C25_01,168,18.8,992.0,,,,,,,,,,,,,,,,
P25_02,C25_01,174,19.0,998.0,,,,,,,,,,,,,,,,
P25_02,C25_01,180,19.0,993.0,58.37,1.7510999999999999,0.2133,0.02,1.47,15.0,6.0,4.92,19.92,19.92,0.0,5.63,29.0,5.0,,96.5736
P25_02,C25_01,186,19.0,992.0,,,,,,,,,,,,,,,,
P25_03,C25_02,0,18.0,1061.0,14.98,0.4494,0.1206,46.05,54.34,63.0,37.0,30.34,93.34,93.34,0.0,3.16,29.0,,129.0,9.791789864182933
P25_03,C25_02,12,19.0,1061.0,21.2,0.636,0.0241,44.57,54.470000000000006,55.0,24.0,19.68,74.68,74.68,0.0,2.44,40.0,,169.0,11.748772875274364
P25_03,C25_02,18,18.2,1056.0,,,,,,,,,,,,,,,,
P25_03,C25_02,24,17.5,1053.0,19.59,0.5877,0.0579,48.57,62.6,35.0,1.0,0.82,35.82,35.82,0.0,3.21,60.0,,164.0,19.134521088617145
P25_03,C25_02,30,19.0,1049.0,24.04,0.7212,0.0791,44.62,59.98,27.0,1.0,0.82,27.82,27.82,0.0,3.26,62.0,,196.0,22.85553403896854
P25_03,C25_02,36,18.1,1050.0,,,,,,,,,,,,,,,,
P25_03,C25_02,42,18.3,1044.0,,,,,,,,,,,,,,,,
P25_03,C25_02,48,18.7,1039.0,46.24,1.3872,0.1304,32.01,55.52,20.0,5.0,4.1,24.1,24.1,0.0,4.41,70.0,,211.0,37.930786857637344
P25_03,C25_02,54,18.7,,74.35,2.2304999999999997,0.23,28.98,54.61,16.0,5.0,4.1,20.1,20.1,0.0,5.0,78.0,,205.0,43.02501461679607
P25_03,C25_02,60,18.0,1032.0,,,,,,,,,,,,,,,,
P25_03,C25_02,66,17.5,1030.0,,,,,,,,,,,,,,,,
P25_03,C25_02,72,18.0,1025.0,65.51,1.9653,0.2178,20.0,39.98,10.0,0.0,0.0,10.0,10.0,0.0,5.7,68.0,,192.0,56.17539861811629
P25_03,C25_02,78,17.5,1024.0,,,,,,,,,,,,,,,,
P25_03,C25_02,84,18.4,1028.0,,,,,,,,,,,,,,,,
P25_03,C25_02,90,19.1,1019.0,,,,,,,,,,,,,,,,
P25_03,C25_02,96,18.7,1015.0,,,,,,,,,,,,,,,,
P25_03,C25_02,102,18.6,1013.0,72.81,2.1843,0.3035,9.69,25.83,10.0,0.0,0.0,10.0,10.0,0.0,6.17,55.0,,176.0,72.74489439231903
P25_03,C25_02,108,18.4,1012.0,,,,,,,,,,,,,,,,
P25_03,C25_02,114,19.0,1011.0,,,,,,,,,,,,,,,,
P25_03,C25_02,120,18.2,1008.0,50.0,1.5,0.1893,3.89,25.93,11.0,1.0,0.82,11.82,11.82,0.0,6.33,61.0,,177.0,79.01967283926955
P25_03,C25_02,126,18.5,1008.0,53.0,1.5899999999999999,0.1703,5.59,20.52,10.0,4.0,3.28,13.28,13.28,0.0,6.42,61.0,,178.0,81.4365322908024
P25_03,C25_02,132,18.1,1005.0,,,,,,,,,,,,,,,,
P25_03,C25_02,138,18.0,1005.0,,,,,,,,,,,,,,,,
P25_03,C25_02,144,18.3,1004.0,51.54,1.5462,0.1149,1.29,19.15,11.0,5.0,4.1,15.1,15.1,0.0,6.45,46.0,,180.0,84.13092680504181
P25_03,C25_02,150,18.7,1003.0,43.09,1.2927,0.2962,1.47,17.07,11.0,3.0,2.46,13.46,13.46,0.0,6.52,53.0,,184.0,86.83483416807755
P25_03,C25_02,156,18.7,1001.0,,,,,,,,,,,,,,,,
P25_03,C25_02,168,17.1,1001.0,53.95,1.6185,0.2333,1.45,9.13,10.0,5.0,4.1,14.1,14.1,0.0,6.69,50.0,,174.0,88.05470825788707
P25_03,C25_02,174,18.0,1000.0,34.56,1.0368,0.198,1.41,7.61,10.0,7.0,5.739999999999999,15.739999999999998,15.739999999999998,0.0,6.31,49.0,,177.0,91.86229607221487
P25_03,C25_02,180,18.3,999.0,,,,,,,,,,,,,,,,
P25_03,C25_02,186,18.0,998.0,,,,,,,,,,,,,,,,
P25_03,C25_02,192,18.0,999.0,44.01,1.3202999999999998,0.2012,0.13,6.59,12.0,0.0,0.0,12.0,12.0,0.0,7.08,49.0,,180.0,93.09017162983537
P25_03,C25_02,198,18.3,997.0,41.63,1.2489000000000001,0.2467,0.1,5.95,12.0,0.0,0.0,12.0,12.0,0.0,6.71,58.0,,181.0,95.4148349029044
P25_03,C25_02,204,18.6,997.0,,,,,,,,,,,,,,,,
P25_03,C25_02,210,18.6,996.0,,,,,,,,,,,,,,,,
P25_03,C25_02,216,18.4,995.0,27.73,0.8319,0.1566,0.03,3.43,11.0,10.0,8.2,19.2,19.2,0.0,6.68,55.0,,169.0,94.83779999999999
P25_04,C25_02,0,18.0,1060.0,14.52,0.4356,0.1505,63.28,72.98,64.0,35.0,28.7,92.7,92.7,0.0,2.88,28.0,,177.0,10.888350755538683
P25_04,C25_02,12,18.8,1064.0,24.27,0.7281,0.0333,61.23,71.269,55.0,24.0,19.68,74.68,74.68,0.0,2.62,46.0,,175.0,15.299706439239857
P25_04,C25_02,18,18.8,1056.0,,,,,,,,,,,,,,,,
P25_04,C25_02,24,17.3,1053.0,25.42,0.7626000000000001,0.0545,53.09,68.26,33.0,3.0,2.46,35.46,35.46,0.0,3.34,61.0,,209.0,20.480176534650546
P25_04,C25_02,30,19.0,1049.0,30.41,0.9123,0.069,54.71,58.53,26.0,0.0,0.0,26.0,26.0,0.0,3.33,72.0,,206.0,24.57641072106355
P25_04,C25_02,36,18.5,1049.0,,,,,,,,,,,,,,,,
P25_04,C25_02,42,18.4,1044.0,,,,,,,,,,,,,,,,
P25_04,C25_02,48,18.4,1039.0,46.85,1.4055,0.171,31.34,54.83,23.0,3.0,2.46,25.46,25.46,0.0,4.68,74.0,,200.0,39.54005698958793
P25_04,C25_02,54,18.4,,61.98,1.8594,0.1652,26.71,51.82,15.0,4.0,3.28,18.28,18.28,0.0,5.2,77.0,,208.0,45.790690678573405
P25_04,C25_02,60,15.3,1032.0,,,,,,,,,,,,,,,,
P25_04,C25_02,66,17.9,1031.0,,,,,,,,,,,,,,,,
P25_04,C25_02,72,18.0,1025.0,56.76,1.7027999999999999,0.2329,16.14,44.61,10.0,0.0,0.0,10.0,10.0,0.0,5.58,70.0,,193.0,57.40998025781524
P25_04,C25_02,78,18.0,1024.0,,,,,,,,,,,,,,,,
P25_04,C25_02,84,18.1,1023.0,,,,,,,,,,,,,,,,
P25_04,C25_02,90,18.6,1020.0,,,,,,,,,,,,,,,,
P25_04,C25_02,96,18.8,1015.0,,,,,,,,,,,,,,,,
P25_04,C25_02,102,18.3,1013.0,63.44,1.9031999999999998,0.2806,7.25,31.15,10.0,0.0,0.0,10.0,10.0,0.0,6.41,57.0,,189.0,71.9928310213782
P25_04,C25_02,108,18.1,1012.0,,,,,,,,,,,,,,,,
P25_04,C25_02,114,18.0,1011.0,,,,,,,,,,,,,,,,
P25_04,C25_02,120,18.6,1010.0,58.45,1.7535,0.1693,4.61,28.74,11.0,2.0,1.64,12.64,12.64,0.0,6.35,64.0,,177.0,78.52086702457592
P25_04,C25_02,126,18.8,1010.0,46.77,1.4031,0.0892,3.6,25.03,10.0,4.0,3.28,13.28,13.28,0.0,6.48,61.0,,185.0,80.7988458745322
P25_04,C25_02,132,18.3,1006.0,,,,,,,,,,,,,,,,
P25_04,C25_02,138,18.0,1006.0,,,,,,,,,,,,,,,,
P25_04,C25_02,144,18.1,1005.0,50.46,1.5138,-0.0021,2.18,20.08,12.0,6.0,4.92,16.92,16.92,0.0,6.38,52.0,,184.0,83.35289433925772
P25_04,C25_02,150,18.4,1005.0,43.01,1.2903,0.3795,1.8,18.91,11.0,11.0,9.02,20.02,20.02,0.0,6.41,52.0,,188.0,86.32090835054527
P25_04,C25_02,156,18.5,1002.0,,,,,,,,,,,,,,,,
P25_04,C25_02,168,17.2,1002.0,52.85,1.5855,0.2253,0.71,12.53,10.0,3.0,2.46,12.46,12.46,0.0,6.52,49.0,,178.0,87.94468325858656
P25_04,C25_02,174,18.3,1001.0,42.78,1.2834,0.1806,0.25,11.09,10.0,3.0,2.46,12.46,12.46,0.0,6.56,54.0,,184.0,91.20256881524706
P25_04,C25_02,180,18.3,1000.0,,,,,,,,,,,,,,,,
P25_04,C25_02,186,17.9,999.0,,,,,,,,,,,,,,,,
P25_04,C25_02,192,17.9,999.0,40.86,1.2258,0.1889,0.24,8.69,11.0,0.0,0.0,11.0,11.0,0.0,6.75,56.0,,181.0,92.56410336718325
P25_04,C25_02,198,28.9,998.0,35.87,1.0760999999999998,0.192,0.19,8.02,12.0,0.0,0.0,12.0,12.0,0.0,6.68,58.0,,176.0,94.74757324444356
P25_04,C25_02,204,18.4,997.0,,,,,,,,,,,,,,,,
P25_04,C25_02,210,18.3,996.0,,,,,,,,,,,,,,,,
P25_04,C25_02,216,18.3,996.0,37.94,1.1381999999999999,0.194,0.06,5.22,10.0,9.0,7.38,17.38,17.38,0.0,7.62,67.0,,170.0,95.3112
P25_05,C25_03,0,20.2,1059.0,12.37,0.3711,0.0349,65.07,67.57,68.0,32.0,26.24,94.24,94.24,0.0,2.68,34.0,,210.0,8.273426235211605
P25_05,C25_03,6,20.6,1058.0,16.51,0.4953,0.0532,68.18,69.02,61.0,24.0,19.68,80.68,80.68,0.0,2.89,37.0,,236.0,10.358487509368954
P25_05,C25_03,12,20.8,1055.0,,,,,,,,,,,,,,,,
P25_05,C25_03,18,20.9,1052.0,,,,,,,,,,,,,,,,
P25_05,C25_03,24,20.6,1049.0,29.42,0.8826,0.0898,49.04,57.25,18.0,3.0,2.46,20.46,20.46,0.0,3.78,76.0,,235.0,21.746628505230223
P25_05,C25_03,30,20.8,1044.0,40.55,1.2165,0.0288,43.14,55.99,24.0,20.0,16.4,40.4,40.4,0.0,4.2,89.0,,230.0,28.766031901769253
P25_05,C25_03,36,20.3,1038.0,,,,,,,,,,,,,,,,
P25_05,C25_03,42,20.0,1032.0,,,,,,,,,,,,,,,,
P25_05,C25_03,48,20.7,1029.0,41.55,1.2465,0.2319,23.88,43.84,11.0,4.0,3.28,14.28,14.28,0.0,5.45,,,210.0,48.937588038118655
P25_05,C25_03,54,21.0,1025.0,72.35,2.1704999999999997,0.2187,17.35,45.26,11.0,3.0,2.46,13.46,13.46,0.0,5.84,77.0,,213.0,52.43996382038559
P25_05,C25_03,60,20.4,1021.0,,,,,,,,,,,,,,,,
P25_05,C25_03,66,20.0,1018.0,,,,,,,,,,,,,,,,
P25_05,C25_03,72,19.5,1016.0,48.77,1.4631,0.2032,10.87,29.35,10.0,3.0,2.46,12.46,12.46,0.0,6.33,76.0,,199.0,65.4235851628809
P25_05,C25_03,78,21.0,1014.0,,,,,,,,,,,,,,,,
P25_05,C25_03,84,20.9,1011.0,,,,,,,,,,,,,,,,
P25_05,C25_03,90,20.5,1009.0,,,,,,,,,,,,,,,,
P25_05,C25_03,96,20.2,1008.0,,,,,,,,,,,,,,,,
P25_05,C25_03,102,21.0,1006.0,68.97,2.0690999999999997,0.3286,4.89,16.4,10.0,4.0,3.28,13.28,13.28,0.0,6.83,80.0,,185.0,78.23019832998409
P25_05,C25_03,108,20.0,1003.0,,,,,,,,,,,,,,,,
P25_05,C25_03,114,20.1,1003.0,,,,,,,,,,,,,,,,
P25_05,C25_03,120,19.6,1003.0,50.31,1.5093,0.2687,0.63,15.13,11.0,0.0,0.0,11.0,11.0,0.0,6.33,56.0,,184.0,83.6304032352684
P25_05,C25_03,126,20.3,1002.0,69.51,2.0853,0.1945,0.36,10.89,10.0,0.0,0.0,10.0,10.0,0.0,6.55,58.0,,188.0,86.34482765996282
P25_05,C25_03,132,20.0,999.0,,,,,,,,,,,,,,,,
P25_05,C25_03,138,19.8,998.0,,,,,,,,,,,,,,,,
P25_05,C25_03,144,19.8,998.0,57.53,1.7259,0.2101,0.19,6.99,10.0,0.0,0.0,10.0,10.0,0.0,6.71,55.0,,183.0,88.25063943414241
P25_05,C25_03,150,19.9,998.0,59.45,1.7835,0.2548,0.43,5.57,10.0,0.0,0.0,10.0,10.0,0.0,6.42,62.0,,186.0,90.98142656330326
P25_05,C25_03,156,19.5,996.0,,,,,,,,,,,,,,,,
P25_05,C25_03,162,20.9,994.0,,,,,,,,,,,,,,,,
P25_05,C25_03,168,21.6,995.0,38.79,1.1637,0.2219,0.08,2.23,10.0,0.0,0.0,10.0,10.0,0.0,6.78,47.0,,177.0,91.66563514682299
P25_05,C25_03,174,20.7,995.0,47.16,1.4147999999999998,0.2217,0.08,1.57,10.0,0.0,0.0,10.0,10.0,0.0,6.57,49.0,,185.0,94.5222
P25_06,C25_03,0,20.1,1059.0,21.16,0.6348,0.0172,63.2,73.6,67.0,29.0,23.779999999999998,90.78,90.78,0.0,2.87,43.0,,217.0,8.273138795548483
P25_06,C25_03,6,20.8,1058.0,15.67,0.47009999999999996,0.0404,63.03,73.38,60.0,25.0,20.5,80.5,80.5,0.0,3.09,54.0,,236.0,10.725946544733628
P25_06,C25_03,12,21.0,1054.0,,,,,,,,,,,,,,,,
P25_06,C25_03,18,21.1,1052.0,,,,,,,,,,,,,,,,
P25_06,C25_03,24,21.1,1049.0,33.56,1.0068000000000001,0.091,46.0,64.98,16.0,3.0,2.46,18.46,18.46,0.0,3.92,78.0,,235.0,23.489782926179544
P25_06,C25_03,30,20.3,1043.0,31.49,0.9446999999999999,0.1012,38.84,60.25,19.0,19.0,15.579999999999998,34.58,34.58,0.0,4.26,98.0,,230.0,30.397357983306676
P25_06,C25_03,36,20.5,1037.0,,,,,,,,,,,,,,,,
P25_06,C25_03,42,20.0,1032.0,,,,,,,,,,,,,,,,
P25_06,C25_03,48,20.7,1027.0,40.09,1.2027,0.1944,23.28,44.24,10.0,3.0,2.46,12.46,12.46,0.0,5.59,,,212.0,50.60712639798078
P25_06,C25_03,54,20.7,1023.0,74.42,2.2326,0.1682,16.55,43.45,10.0,10.0,8.2,18.2,18.2,0.0,5.85,81.0,,201.0,53.33497628611122
P25_06,C25_03,60,20.5,1020.0,,,,,,,,,,,,,,,,
P25_06,C25_03,66,20.1,1017.0,,,,,,,,,,,,,,,,
P25_06,C25_03,72,20.0,1015.0,55.99,1.6797,0.1634,7.46,32.38,10.0,4.0,3.28,13.28,13.28,0.0,6.34,65.0,,198.0,66.46232379673198
P25_06,C25_03,78,21.2,1013.0,,,,,,,,,,,,,,,,
P25_06,C25_03,84,20.8,1010.0,,,,,,,,,,,,,,,,
P25_06,C25_03,90,20.5,1008.0,,,,,,,,,,,,,,,,
P25_06,C25_03,96,20.1,1007.0,,,,,,,,,,,,,,,,
P25_06,C25_03,102,21.3,1005.0,72.27,2.1681,0.2684,1.55,16.96,9.0,10.0,8.2,17.2,17.2,0.0,6.8,55.0,,189.0,80.22571425298376
P25_06,C25_03,108,20.0,1002.0,,,,,,,,,,,,,,,,
P25_06,C25_03,114,20.5,1002.0,,,,,,,,,,,,,,,,
P25_06,C25_03,120,19.8,1001.0,57.99,1.7397,0.2399,0.59,13.81,10.0,0.0,0.0,10.0,10.0,0.0,6.7,59.0,,187.0,85.09533078858283
P25_06,C25_03,126,20.2,1001.0,90.94,2.7281999999999997,0.2282,0.44,12.46,11.0,0.0,0.0,11.0,11.0,0.0,6.49,65.0,,181.0,87.13348692437305
P25_06,C25_03,132,19.7,999.0,,,,,,,,,,,,,,,,
P25_06,C25_03,138,19.8,998.0,,,,,,,,,,,,,,,,
P25_06,C25_03,144,22.0,998.0,42.09,1.2627000000000002,0.2198,0.16,6.13,11.0,0.0,0.0,11.0,11.0,0.0,7.0,62.0,,180.0,88.90426451587143
P25_06,C25_03,150,20.8,997.0,54.92,1.6476,0.2634,0.11,4.72,11.0,0.0,0.0,11.0,11.0,0.0,6.62,56.0,,177.0,92.59507263896548
P25_06,C25_03,156,20.0,996.0,,,,,,,,,,,,,,,,
P25_06,C25_03,162,20.3,994.0,,,,,,,,,,,,,,,,
P25_06,C25_03,168,21.1,994.0,37.25,1.1175,0.2122,0.08,1.62,11.0,0.0,0.0,11.0,11.0,0.0,7.3,56.0,,178.0,92.59507263896548
P25_06,C25_03,174,21.4,994.0,36.71,1.1013,0.2254,0.07,1.0,11.0,0.0,0.0,11.0,11.0,0.0,7.98,69.0,,188.0,94.12769999999999
P25_07,C25_04,0,20.0,1059.0,13.75,0.4125,0.0574,65.64,74.52,73.0,31.0,25.419999999999998,98.42,98.42,0.0,2.3,25.0,,177.0,6.560922561112442
P25_07,C25_04,6,15.3,1061.0,,,,,,,,,,,,,,,,
P25_07,C25_04,12,14.8,1061.0,10.29,0.3087,0.0259,65.88,71.86,74.0,35.0,28.7,102.7,102.7,0.0,2.31,38.0,,176.0,7.0497581440460975
P25_07,C25_04,18,16.5,1060.0,13.06,0.3918,0.0572,66.53,70.17,74.0,33.0,27.06,101.06,101.06,0.0,2.4,31.0,,198.0,8.763267355752989
P25_07,C25_04,24,16.0,1060.0,,,,,,,,,,,,,,,,
P25_07,C25_04,30,16.5,1059.0,,,,,,,,,,,,,,,,
P25_07,C25_04,36,16.0,1059.0,17.97,0.5390999999999999,0.0431,64.52,67.6,70.0,31.0,25.419999999999998,95.42,95.42,0.0,2.56,26.0,,224.0,8.640740293420057
P25_07,C25_04,42,16.6,1058.0,17.74,0.5321999999999999,0.0353,63.04,68.25,86.0,74.0,60.68,146.68,146.68,0.0,2.77,44.0,,259.0,10.603645422364107
P25_07,C25_04,48,16.5,1058.0,,,,,,,,,,,,,,,,
P25_07,C25_04,54,16.0,1058.0,,,,,,,,,,,,,,,,
P25_07,C25_04,60,15.3,1055.0,21.51,0.6453,0.0817,65.52,69.61,88.0,79.0,64.78,152.78,152.78,0.0,2.67,38.0,,264.0,14.174908002503933
P25_07,C25_04,66,16.6,1054.0,21.51,0.6453,0.0808,59.39,69.01,72.0,57.0,46.739999999999995,118.74,118.74,0.0,3.11,52.0,,268.0,16.152748340224306
P25_07,C25_04,72,16.3,1054.0,,,,,,,,,,,,,,,,
P25_07,C25_04,78,16.0,1059.0,,,,,,,,,,,,,,,,
P25_07,C25_04,84,15.0,1048.0,21.74,0.6521999999999999,0.1167,48.75,62.04,50.0,23.0,18.86,68.86,68.86,0.0,3.49,61.0,,266.0,21.99371114265846
P25_07,C25_04,90,16.0,1046.0,,,,,,,,,,,,,,,,
P25_07,C25_04,96,16.0,1044.0,,,,,,,,,,,,,,,,
P25_07,C25_04,102,16.0,1041.0,,,,,,,,,,,,,,,,
P25_07,C25_04,108,15.0,1039.0,50.92,1.5276,0.133,33.13,58.37,32.0,0.0,0.0,32.0,32.0,0.0,3.05,39.0,,284.0,34.83164330847884
P25_07,C25_04,114,16.0,1036.0,34.1,1.023,0.1643,32.34,51.43,27.0,0.0,0.0,27.0,27.0,0.0,4.98,51.0,,261.0,39.41644567969136
P25_07,C25_04,120,15.3,1035.0,,,,,,,,,,,,,,,,
P25_07,C25_04,126,15.5,1032.0,,,,,,,,,,,,,,,,
P25_07,C25_04,132,15.3,1028.0,,,,,,,,,,,,,,,,
P25_07,C25_04,138,15.7,1025.0,69.82,2.0946,0.2023,19.54,49.44,26.0,0.0,0.0,26.0,26.0,0.0,5.54,48.0,,245.0,49.966359962636716
P25_07,C25_04,144,16.0,1025.0,,,,,,,,,,,,,,,,
P25_07,C25_04,150,15.9,1024.0,,,,,,,,,,,,,,,,
P25_07,C25_04,156,15.0,1022.0,43.09,1.2927,0.2001,17.88,39.54,29.0,0.0,0.0,29.0,29.0,0.0,5.84,38.0,,229.0,57.65033951479251
P25_07,C25_04,162,15.6,1020.0,40.02,1.2006000000000001,0.1937,15.11,35.83,22.0,8.0,6.56,28.56,28.56,0.0,5.73,40.0,,239.0,60.27302000478497
P25_07,C25_04,168,16.0,1019.0,,,,,,,,,,,,,,,,
P25_07,C25_04,174,15.5,1017.0,,,,,,,,,,,,,,,,
P25_07,C25_04,180,15.0,1015.0,38.48,1.1543999999999999,0.2194,11.12,32.04,23.0,3.0,2.46,25.46,25.46,0.0,5.79,48.0,,230.0,66.07522478894472
P25_07,C25_04,186,15.0,1014.0,32.41,0.9722999999999998,0.2167,11.07,29.68,23.0,2.0,1.64,24.64,24.64,0.0,6.34,21.0,,241.0,68.99310505599956
P25_07,C25_04,192,15.5,1014.0,,,,,,,,,,,,,,,,
P25_07,C25_04,198,16.0,1012.0,,,,,,,,,,,,,,,,
P25_07,C25_04,204,15.2,1011.0,34.1,1.023,0.2271,7.79,26.92,23.0,1.0,0.82,23.82,23.82,0.0,6.36,27.0,,245.0,71.78886357749728
P25_07,C25_04,210,15.5,1010.0,39.48,1.1844,0.2246,7.49,24.66,23.0,1.0,0.82,23.82,23.82,0.0,6.14,24.0,,267.0,73.92588838998616
