workflow,source_file,analysis,parameter,theta,std_log_approx,approx_95_multiplier,fim_diag,active_bound,classification,group,campaign_var_ratio,campaign_var_reduction,design,n_directions,min_relative_eigenvalue,condition_number,numeric_rank,effective_rank
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,mixed_current_full_l2,qXG,0.0830335046613047,0.5789374380002328,3.1102943825515363,32.50859504771058,False,moderate,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,mixed_current_full_l2,qXF,0.1470884666435773,0.3389475195032045,1.9432020199971984,146.06639838576115,False,well_estimated,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,mixed_current_full_l2,betaG0,0.4295772752903894,0.0431798119849603,1.0883169621263746,22136.771279192137,False,well_estimated,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,mixed_current_full_l2,sG,0.0382372980657357,0.11322915816891,1.2484829197296416,847.2634944278625,False,well_estimated,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,mixed_current_full_l2,betaF0,0.2863462776503681,0.087654440175959,1.187443530751822,16120.036342677458,False,well_estimated,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,mixed_current_full_l2,sF,0.0509012129452155,0.1929234413320184,1.459552592130826,420.4864393883328,False,well_estimated,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,mixed_current_full_l2,qEG,0.9986807546116891,0.0305333798978501,1.061672425421087,54755.43211808103,False,well_estimated,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,mixed_current_full_l2,qEF,0.6005563072780574,0.0812645282775819,1.1726644594483426,46782.13908907162,False,well_estimated,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,mixed_current_full_l2,iG,0.0033029878376235,0.2257593845506949,1.5565757766535708,697.0462796290435,False,well_estimated,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,mixed_current_full_l2,iE,0.0053630491387404,0.1209014215895851,1.267399022085066,2722.5955715008336,False,well_estimated,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,mixed_current_full_l2,Kd0,0.000772525515324,0.0412839907117595,1.0842804874370309,785.4891067450925,False,well_estimated,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,mixed_current_full_l2,m0,0.0045192368007999,6.253457233217219,210402.1918029323,4.54168299083928,False,weak_or_confounded,,,,,,,,,
