workflow,source_file,fit,n_batches,mediums,parameters,n_parameters,success,status,message,nfev,initial_wsse,final_wsse,n_residuals,dof,wsse_per_residual,wsse_per_dof,l2_lambda,l2_parameters,fit_label,n_parameters_fit
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,20.0,507.5588097602509,107.08059150649888,46,,2.327838945793454,,,,batch_v2_all_o2free_natural_LAB009,10.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,25.0,84.11085364604098,1.0147994848858928,8,,0.1268499356107366,,,,batch_v2_reduced_o2fixed_natural_LAB010,7.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,40.0,84.11085364604098,0.962384391174671,8,,0.1202980488968338,,,,batch_v2_all_o2free_natural_LAB010,10.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,13.0,57.67279639203829,1.670074081795358,8,,0.2087592602244197,,,,batch_v2_reduced_o2fixed_natural_LAB011,7.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,False,0.0,The maximum number of function evaluations is exceeded.,80.0,57.67279639203829,1.3602441434829324,8,,0.1700305179353665,,,,batch_v2_all_o2free_natural_LAB011,10.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,56.0,20.75663800500088,1.0497400349876669,8,,0.1312175043734583,,,,batch_v2_reduced_o2fixed_natural_LAB012,7.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,3.0,`xtol` termination condition is satisfied.,35.0,20.75663800500088,1.0527451374432897,8,,0.1315931421804111,,,,batch_v2_all_o2free_natural_LAB012,10.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,False,0.0,The maximum number of function evaluations is exceeded.,80.0,22.03748674905612,1.9897021680431493,9,,0.221078018671461,,,,batch_v2_reduced_o2fixed_synthetic_MS007,7.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,43.0,22.03748674905612,0.8759579607279926,9,,0.0973286623031102,,,,batch_v2_all_o2free_synthetic_MS007,10.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,76.0,18.622732974152576,8.720450805149143,9,,0.9689389783499048,,,,batch_v2_reduced_o2fixed_synthetic_MS008,7.0
