Codigo,Cubada,DateTime,Horas,Brix,Densidad,Temperatura Medida,Temperatura,Adicion,AMMONIA,GLYCEROL,PAN,PYRUVIC_ACID,GLU-FRU-320,GLUCOSE-320,YAN,C_total,C_viable,Budding_Index,Viability,ETANOL
MS009-3,MS009,2025-10-08 10:30:00,46.5,12.1,1045.8,23.2,23,1,25.0,5.95,33.0,65.0,123.42,44.39,53.0,82.1,61.67,13.38,75.12,
MS009-4,MS009,2025-10-09 10:00:00,70.0,6.2,1021.7,23.3,23,1,0.0001,6.8,33.0,45.0,69.28,17.32,31.0,91.78,67.13,12.05,73.14,
MS009-5,MS009,2025-10-10 10:00:00,94.0,3.0,1009.1,23.1,23,1,0.0001,5.64,23.0,22.0,33.24,6.87,17.0,90.17,59.37,8.43,65.84,10.93
MS009-6,MS009,2025-10-13 09:30:00,165.5,-1.7,990.9,23.0,23,1,0.0001,7.34,38.0,22.0,3.14,1.58,26.0,78.03,46.01,9.06,58.96,13.64
MS009-7,MS009,2025-10-14 10:00:00,190.0,-2.6,987.6,23.5,23,1,0.0001,7.52,36.0,17.0,0.0001,0.77,27.0,80.57,43.47,7.91,53.96,
MS009-8,MS009,2025-10-15 09:00:00,213.0,-2.0,989.8,22.8,23,1,0.0001,7.24,43.0,9.0,2.02,1.13,34.0,80.95,39.25,12.33,48.48,14.02
MS010-0,MS010,2025-10-20 12:00:00,0.0,23.9,1097.9,20.2,19,1,244.0,0.43,21.0,9.0,237.86,124.65,221.0,15.0,,,,0.0
MS010-1,MS010,2025-10-20 15:00:00,3.0,23.8,1097.8,20.2,19,1,229.0,0.59,83.0,25.0,237.31,125.78,271.0,31.415,18.7,17.11,59.54,
MS010-2,MS010,2025-10-21 09:00:00,21.0,23.1,1095.0,19.1,19,1,231.0,1.19,57.0,29.0,228.87,114.16,246.0,33.1,16.82,22.74,50.81,
MS010-3,MS010,2025-10-22 10:00:00,46.0,19.0,1076.9,19.1,19,1,196.0,3.56,44.0,80.0,183.12,85.65,204.0,64.75,41.47,23.37,64.06,
MS010-4,MS010,2025-10-23 10:30:00,70.5,13.3,1052.2,19.3,19,1,83.0,5.65,39.0,67.0,131.12,50.56,107.0,70.81,47.54,16.16,67.14,
MS010-5,MS010,2025-10-24 09:30:00,93.5,9.0,1033.9,20.0,19,1,35.0,6.54,37.0,51.0,93.75,29.71,66.0,76.57,50.15,13.94,65.5,8.4
MS010-6,MS010,2025-10-27 10:00:00,166.0,1.1,1002.1,20.6,19,1,4.0,7.93,34.0,17.0,25.55,2.78,37.0,99.39,72.5,10.51,72.95,12.6
MS010-7,MS010,2025-10-28 11:00:00,191.0,-0.5,996.3,19.5,19,1,2.0,7.46,34.0,22.0,12.46,1.1,36.0,80.95,52.0,10.25,64.23,
MS010-8,MS010,2025-10-29 09:30:00,213.5,-1.6,992.0,20.4,19,1,,7.99,,0.0001,4.88,0.96,,112.52,80.49,15.02,71.54,14.04
MS011-0,MS011,2025-10-20 12:00:00,0.0,23.7,1097.2,20.3,19,4,242.0,0.8,19.0,7.0,243.34,123.57,218.0,20.0,,,,0.0
MS011-1,MS011,2025-10-20 15:00:00,3.0,23.6,1097.1,20.3,19,4,237.0,0.56,85.0,13.0,240.14,121.0,279.0,23.735,12.325,13.27,51.94,
MS011-2,MS011,2025-10-21 09:00:00,21.0,22.9,1094.3,19.1,19,4,235.0,1.29,57.0,26.0,227.89,114.85,250.0,29.03,13.44,15.87,46.3,
MS011-3,MS011,2025-10-22 10:00:00,46.0,20.0,1081.1,19.2,19,4,150.0,3.04,23.0,82.0,195.2,89.91,146.0,44.39,29.11,14.36,65.57,
MS011-4,MS011,2025-10-23 10:30:00,70.5,15.5,1061.3,19.3,19,4,37.0,5.09,17.0,81.0,154.62,63.99,48.0,63.52,45.47,13.42,71.58,
MS011-5,MS011,2025-10-24 09:30:00,93.5,11.7,1045.0,20.0,19,4,13.0,6.39,21.0,61.0,120.6,43.87,32.0,61.9,46.08,13.52,74.44,6.92
MS011-6,MS011,2025-10-27 10:00:00,166.0,3.0,1009.9,19.9,19,4,36.0,7.34,69.0,30.0,42.53,7.49,98.0,113.98,79.03,13.27,69.34,11.4
MS011-7,MS011,2025-10-28 11:00:00,191.0,1.2,1003.0,19.3,19,4,32.0,7.42,71.0,28.0,26.93,3.12,97.0,82.03,56.84,8.61,69.29,
MS011-8,MS011,2025-10-29 09:30:00,213.5,-0.4,996.4,20.3,19,4,,7.93,,0.0001,14.28,2.48,,103.15,73.2,12.66,70.96,13.35
MS012-0,MS012,2025-10-20 12:00:00,0.0,23.5,1095.3,23.6,23,4,244.0,0.66,22.0,1.0,236.79,122.56,223.0,15.0,,,,0.0
MS012-1,MS012,2025-10-20 15:00:00,3.0,23.4,1095.2,23.6,23,4,230.0,0.14,85.0,3.0,234.35,118.27,274.0,30.605,15.86,7.78,51.82,
MS012-2,MS012,2025-10-21 09:00:00,21.0,21.1,1085.0,23.0,23,4,173.0,1.69,23.0,59.0,205.32,101.07,165.0,42.4,27.34,20.11,64.49,
MS012-3,MS012,2025-10-22 10:00:00,46.0,13.7,1052.9,23.1,23,4,6.0,5.39,12.0,79.0,137.64,54.09,16.0,69.74,54.38,8.92,77.97,
MS012-4,MS012,2025-10-23 10:30:00,70.5,8.7,1031.7,23.3,23,4,0.0001,6.36,5.0,46.0,91.88,28.02,0.0001,63.29,46.85,9.83,74.03,
MS012-5,MS012,2025-10-24 09:30:00,93.5,5.4,1018.9,22.7,23,4,0.0001,6.64,6.0,45.0,65.09,15.36,0.0001,69.74,49.77,9.03,71.37,9.96
MS012-6,MS012,2025-10-27 10:00:00,166.0,-1.5,991.6,22.6,23,4,40.0,7.08,68.0,31.0,5.49,1.05,100.0,75.96,46.01,7.18,60.57,13.75
MS012-7,MS012,2025-10-28 11:00:00,191.0,-2.3,988.6,23.2,23,4,35.0,7.27,66.0,29.0,0.11,0.56,95.0,61.37,33.33,9.14,54.32,
MS012-8,MS012,2025-10-29 09:30:00,213.5,-2.3,988.8,22.9,23,4,,7.68,,10.0,1.53,2.97,,89.25,50.84,11.19,56.97,14.2
MS013-0,MS013,2025-11-03 12:00:00,0.0,23.8,1098.4,19.0,19,3,249.0,0.27,14.0,0.0001,241.27,125.07,218.0,15.0,,,,0.0
MS013-1,MS013,2025-11-04 10:00:00,22.0,23.2,1095.8,18.8,19,3,246.0,0.88,61.0,22.0,231.77,116.07,263.0,26.69,15.325,20.0,57.41,
MS013-2,MS013,2025-11-05 09:00:00,45.0,20.4,1083.1,19.1,19,3,168.0,2.83,24.0,64.0,201.27,96.42,162.0,49.54,31.64,24.65,63.88,
MS013-3,MS013,2025-11-06 09:00:00,69.0,15.9,1063.3,19.2,19,3,29.0,4.03,13.0,58.0,123.47,52.17,36.0,71.89,54.69,20.73,76.07,
MS013-4,MS013,2025-11-07 09:30:00,93.5,11.4,1043.6,20.6,19,3,61.0,6.39,68.0,62.0,114.74,39.8,118.0,69.66,46.54,15.33,66.81,7.13
MS013-5,MS013,2025-11-10 09:30:00,165.5,2.1,1006.1,20.7,19,3,24.0,7.15,73.0,29.0,34.05,4.42,92.0,91.32,66.51,13.2,72.83,12.15
MS013-6,MS013,2025-11-11 11:30:00,191.5,0.2,990.0,19.2,19,3,26.0,7.79,65.0,27.0,18.2,1.79,86.0,116.05,85.33,10.85,73.53,
MS013-7,MS013,2025-11-12 09:00:00,213.0,-1.1,993.9,20.6,19,3,29.0,8.08,66.0,19.0,9.52,1.09,90.0,85.25,57.3,11.89,67.21,13.9
MS014-0,MS014,2025-11-03 12:00:00,0.0,24.4,1101.2,19.1,19,3,257.0,0.21,15.0,10.0,253.65,127.15,226.0,15.0,,,,0.0
MS014-1,MS014,2025-11-04 10:00:00,22.0,23.9,1099.1,19.0,19,3,256.0,0.95,65.0,22.0,242.11,121.23,275.0,28.035,16.165,16.44,57.67,
MS014-2,MS014,2025-11-05 09:00:00,45.0,21.2,1086.3,19.3,19,3,182.0,2.99,26.0,66.0,205.14,100.2,175.0,46.02,30.72,24.22,65.9,
MS014-3,MS014,2025-11-06 09:00:00,69.0,16.6,1066.3,19.3,19,3,63.0,5.17,21.0,78.0,165.02,68.48,73.0,68.43,51.08,15.6,74.64,
MS014-4,MS014,2025-11-07 09:30:00,93.5,12.0,1046.4,20.6,19,3,70.0,6.62,75.0,68.0,124.86,44.45,132.0,87.56,61.9,13.42,70.7,7.08
MS014-5,MS014,2025-11-10 09:30:00,165.5,2.9,1009.3,20.3,19,3,35.0,7.1,73.0,30.0,41.7,6.17,102.0,83.72,57.07,11.38,68.17,12.06
MS014-6,MS014,2025-11-11 11:30:00,191.5,1.0,1002.1,19.4,19,3,39.0,8.01,69.0,29.0,25.51,2.69,101.0,98.92,68.59,12.27,69.33,
MS014-7,MS014,2025-11-12 09:00:00,213.0,-0.6,995.6,20.3,19,3,38.0,7.92,67.0,24.0,13.82,1.54,98.0,78.42,52.69,11.07,67.19,13.9
MS015-0,MS015,2025-11-03 12:00:00,0.0,23.6,1098.3,15.9,15,3,252.0,0.22,13.0,7.0,240.4,121.91,220.0,15.0,,,,0.0
MS015-1,MS015,2025-11-04 10:00:00,22.0,23.5,1097.9,15.8,15,3,255.0,0.62,76.0,6.0,235.81,119.1,286.0,23.425,12.71,16.07,54.26,
MS015-2,MS015,2025-11-05 09:00:00,45.0,22.6,1093.5,16.2,15,3,243.0,1.15,50.0,23.0,222.43,109.73,249.0,29.11,13.98,17.94,48.02,
MS015-3,MS015,2025-11-06 09:00:00,69.0,20.8,1085.5,16.5,15,3,198.0,2.57,29.0,53.0,198.55,94.4,191.0,37.86,22.2,22.92,58.62,
MS015-4,MS015,2025-11-07 09:30:00,93.5,17.5,1070.2,18.5,15,3,208.0,4.18,61.0,78.0,174.99,74.85,232.0,80.41,54.38,17.38,67.62,3.55
MS015-5,MS015,2025-11-10 09:30:00,165.5,8.5,1032.4,18.3,15,3,93.0,6.09,49.0,43.0,90.06,26.41,126.0,70.89,48.77,13.65,68.8,8.45
MS015-6,MS015,2025-11-11 11:30:00,191.5,6.4,1024.1,16.2,15,3,83.0,6.73,49.0,39.0,69.72,17.21,118.0,81.26,56.07,9.83,69.0,
MS015-7,MS015,2025-11-12 09:00:00,213.0,4.5,1016.3,18.1,15,3,82.0,7.39,44.0,27.0,54.15,11.15,111.0,77.8,55.76,14.71,71.76,10.8
MS016-0,MS016,2025-11-03 17:00:00,0.0,24.1,1098.5,23.4,23,3,240.0,0.08,18.0,4.0,242.1,125.22,214.0,15.0,,,,0.0
MS016-1,MS016,2025-11-04 10:00:00,17.0,23.2,1094.3,22.7,23,3,247.0,1.4,49.0,34.0,230.76,113.46,252.0,27.11,16.36,15.86,60.34,
MS016-2,MS016,2025-11-05 09:00:00,40.0,17.1,1067.4,23.0,23,3,74.0,4.84,17.0,91.0,169.54,72.34,77.0,58.53,42.55,13.78,72.7,
MS016-3,MS016,2025-11-06 09:00:00,64.0,11.1,1041.7,23.0,23,3,11.0,6.39,17.0,66.0,114.42,39.09,26.0,64.29,48.0,9.08,74.67,
MS016-4,MS016,2025-11-07 09:30:00,88.5,6.8,1024.1,22.9,23,3,68.0,6.78,75.0,52.0,75.66,20.31,130.0,76.65,48.54,12.53,63.33,9.61
MS016-5,MS016,2025-11-10 09:30:00,160.5,-0.8,994.3,22.9,23,3,62.0,7.37,72.0,33.0,11.13,1.43,123.0,73.5,42.86,9.2,58.31,13.8
MS016-6,MS016,2025-11-11 11:30:00,186.5,-2.1,989.5,22.8,23,3,68.0,7.9,81.0,32.0,1.65,0.93,137.0,74.96,41.71,9.73,55.64,
MS016-7,MS016,2025-11-12 09:00:00,208.0,-2.2,989.0,22.7,23,3,63.0,7.86,77.0,30.0,0.72,0.6,129.0,72.43,39.17,11.13,54.08,14.5
