,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAldRed,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
gammaF0,16.085952688177926,-13.620452123950514,-25.01510502712041,-2.6339655884171593,-80.06655832287787,-5.232086189212785,0.7343112082294081,-15.494816910832347,-0.33118195796984595,130.87253156282503,5.9895465862480695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_N,-10.09213821808906,-41.64986208531493,-10.950175088006764,-0.8367166750780186,54.070342346573696,36.97297315076022,-17.950585750950747,-16.267096281885756,1.7470319962386325,0.0,0.0,98.47336595959864,100.140025150463,-109.58610653915791,0.20346693380692554,-0.00039169941277697527,-0.34058915170087994,0.01145824078549966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrO2,-39.432548647304394,-15.19184393274947,-6.655206591185706,0.5098059729389003,52.475470438609904,37.31614556162237,-18.560238472433635,-18.567332450368596,3.9106271616748716,0.0,0.0,100.140025150463,158.89831337557027,-187.51904985601976,0.1782998321183597,-0.0004064282500574987,-0.33623484797652475,0.0072733389339016494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrDrain,52.75443707762407,7.430117870917195,5.065859842281359,-1.20969043590093,-56.274101922102425,-40.689562324280296,20.462468422863388,21.272209607316675,-5.182132069486883,0.0,0.0,-109.58610653915791,-187.51904985601976,225.11959623264184,-0.1797696542295002,0.0004227415706404907,0.3456774012188991,-0.006694107565360051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_N,-90.3761342466121,-296.31062432894043,-72.64559282808241,-5.573337919557484,407.94519564100955,275.7063411887551,-134.6048645818836,-123.90659597916833,2.2911528251157867,0.0,0.0,0.20346693380692554,0.1782998321183597,-0.1797696542295002,734.0922040693332,-0.8757854357477595,-843.9257854719559,55.32525315170834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldRed,0.17096665375752756,0.2863366893738304,0.07059957334246719,0.0017382349779060226,-0.47784015255687895,-0.3280372035184206,0.16173291096364723,0.15555508225429693,-0.008593571575313402,0.0,0.0,-0.00039169941277697527,-0.0004064282500574987,0.0004227415706404907,-0.8757854357477595,0.001855800133241554,1.5547476091736832,-0.041037838030567236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAld,364.8111393270507,91.68807979711231,108.3270219069088,10.670685292216973,-467.77839444585953,-317.893173108228,152.69234015947734,135.3825460594565,-15.983121473929407,0.0,0.0,-0.34058915170087994,-0.33623484797652475,0.3456774012188991,-843.9257854719559,1.5547476091736832,1476.1663999148477,251.5936606803202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcStress,563.0342166891593,-557.9089583233017,96.26291984437131,21.28545747990504,16.408962675484066,16.101617623052462,-18.102424328451093,-44.52967935593059,-31.20241291686078,0.0,0.0,0.01145824078549966,0.0072733389339016494,-0.006694107565360051,55.32525315170834,-0.041037838030567236,251.5936606803202,909.4834300609663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_EA_growth,0.23957672434789443,-0.13921862148319686,-0.015467841180402803,0.031622133862216094,0.08507250376167774,0.26109471566062664,-0.10028818688160332,-0.21481747544588659,-0.004070619146386822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03385072487366801,1.2005842975758798,0.0,0.0,0.0,0.0,0.21563335936462327,0.0,0.0
k_EA_stationary,8.660235253603533,-5.281756099622915,-3.6266694154762784,0.10077043674306596,5.908634223020343,10.171984040300755,-3.2255467754745433,-8.065220847239113,-0.17682202804239527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2005842975758798,55.07681424106189,0.0,0.0,0.0,0.0,5.6256401287172855,0.0,0.0
k_IAA_growth,34.357708275196536,-25.405917601152957,-6.912970944951044,0.462640995607156,50.97127934772266,36.4719522173396,-17.693225747972008,-23.833681480378015,1.9721522630525295e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.6287457313625,46.885112996442004,0.0,0.0,0.0,26.925548727617674,0.0
k_IAA_stationary,49.098452363175824,-40.049960720156605,-4.346676123634555,2.1612897874109835,62.22463238777489,46.493657210170234,-22.851332336981258,-35.87168568720179,9.860761315262648e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.885112996442004,62.701509078835386,0.0,0.0,0.0,53.21854272358537,0.0
k_EO_growth,49.518030263214875,-90.12839939074017,-26.61324134800533,-0.06188766614814778,82.49734081699916,80.05670415821169,-34.41958423681307,-45.034154650074186,-0.47934065856077424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.31830091327228,138.3373835528279,0.0,0.0,74.66305569567226
k_EO_stationary,58.1542659773341,-109.19520270073532,-50.43717334253201,-7.579268830708859,119.88769192600354,97.25666339969135,-36.93876426787776,-54.12327386665589,-0.6919706689693609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.3373835528279,238.50978892248892,0.0,0.0,29.95543123586863
alpha_EA_loss,1.1578921502421788,-0.6281535470446863,1.8328614227537312,0.8819711964326279,-2.1641306660116832,1.0460907891390374,-0.6845446547297386,-1.1730813539579432,-0.032813599910306274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21563335936462327,5.6256401287172855,0.0,0.0,0.0,0.0,3.0545670122315327,0.0,0.0
alpha_IAA_loss,49.26652086608142,-45.4371531486888,7.179527125355611,5.006400716671178,45.42113946998688,37.15359225360814,-19.175480776972364,-38.75241705575817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.925548727617674,53.21854272358537,0.0,0.0,0.0,79.6159132226138,0.0
alpha_EO_loss,31.934558024956267,-56.43748132107503,15.831554590510152,14.115149314123013,3.4750454913453237,49.47609948504481,-28.16061480661356,-31.02334688028846,-0.45531374952216586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.66305569567226,29.95543123586863,0.0,0.0,179.6544565060185
