combo,score,logdet,min_rel,cond,mean,worst,sN,qN,mu0,kEO
fructose_rich_iG_probe | combined_stress_long_horizon | low_temp_growth_separation_plus_co2,134.39917655153343,138.54978255798292,7.77149290516456e-06,128675.4053825936,0.9307221062526598,0.5036134740465827,0.5036134740465827,0.8119415368511146,0.8547085577655134,0.9676939404986101
fructose_rich_iG_probe | cold_synthesis_hot_stripping | glucose_pulse_after_N_depletion,130.81567055349225,134.26262052845252,8.752735109773218e-06,114250.00156618585,0.9281895815581204,0.528172142719413,0.528172142719413,0.7883258256445824,0.8628705345624399,0.9598044611579515
fructose_rich_iG_probe | glucose_rich_growth_yield | yan_saturation_scan,130.6990755417771,132.44345250556114,6.8677770575957215e-06,145607.5221448847,0.9317806636039667,0.6357578276581364,0.6357578276581364,0.8184222167980346,0.9005324358282804,0.9477501855581069
fructose_rich_iG_probe | cold_synthesis_hot_stripping | high_biomass_low_N_maintenance,130.696508650064,135.65226731478225,6.514434771562268e-06,153505.25948396037,0.9249598546067289,0.48388115037687995,0.48388115037687995,0.8140770104552698,0.8762722885240775,0.966208675862001
fructose_rich_iG_probe | glucose_rich_growth_yield | high_biomass_low_N_maintenance,130.6901593253728,135.67103813927335,8.843297109413588e-06,113079.99580105837,0.9262819454419546,0.4514001640514993,0.4514001640514993,0.826624443909857,0.86637433521353,0.9602672527122963
fructose_rich_iG_probe | combined_stress_long_horizon | glucose_pulse_after_N_depletion,130.60268339991245,135.97260878465818,7.963911648670267e-06,125566.43570587198,0.9221495126167848,0.4444880010205572,0.4444880010205572,0.7489253347834025,0.8079343925043434,0.9450249881179531
fructose_rich_iG_probe | combined_stress_long_horizon | high_biomass_low_N_maintenance,130.48854517159964,137.05633400693432,8.31874593113742e-06,120210.42694151259,0.9174715473557123,0.3825746889476682,0.3825746889476682,0.7764276101523491,0.8253578323074848,0.9537948676183562
fructose_rich_iG_probe | cold_synthesis_hot_stripping | yan_saturation_scan,130.23503723258295,132.5754258512561,4.510819932790222e-06,221689.18620110778,0.928805696621426,0.649480882525076,0.649480882525076,0.8335190689394494,0.891287057866624,0.9564186732926006
fructose_rich_iG_probe | glucose_rich_growth_yield | glucose_pulse_after_N_depletion,130.14148889036582,134.1098549799862,9.030408843388735e-06,110736.95746700454,0.9289943164044345,0.498575828860516,0.498575828860516,0.7844295680901995,0.8667803672205545,0.9520542190883113
fructose_rich_iG_probe | low_temp_growth_separation_plus_co2 | high_biomass_low_N_maintenance,130.04019658715922,133.3498073812138,1.3847135289602004e-05,72217.10332756792,0.9238277200456971,0.49134881877650205,0.49134881877650205,0.8276552683472729,0.864810261534703,0.9700811087237616
cold_synthesis_hot_stripping | glucose_rich_growth_yield | combined_stress_long_horizon,129.90493171385242,134.54445445678599,6.416634238497771e-06,155844.94344407495,0.9253038287105543,0.5010336324632423,0.5010336324632423,0.7994888367877472,0.8508405859989452,0.9593190649421606
fructose_rich_iG_probe | combined_stress_long_horizon | ethanol_initial_challenge,129.88090739667717,136.39174303922493,5.2311985948673e-06,191160.77928702056,0.9165697985284662,0.4322603315389357,0.4322603315389357,0.7644855651970233,0.80266717762409,0.9477338246670421
fructose_rich_iG_probe | combined_stress_long_horizon | viable_biomass_step,129.69418572044916,136.52690390029468,3.983184841349755e-06,251055.3840281077,0.9195648026812913,0.44192457439427435,0.44192457439427435,0.790453762576932,0.8242284549129999,0.9521215051690121
fructose_rich_iG_probe | cold_synthesis_hot_stripping | ethanol_partition_late_pulse,129.5178924224758,135.50510430452314,3.3358373336003597e-06,299774.8091393602,0.9169105222163403,0.5032628283462413,0.5032628283462413,0.7952115821352654,0.8524914075636646,0.9612589864148433
fructose_rich_iG_probe | low_temp_growth_separation_plus_co2 | glucose_pulse_after_N_depletion,129.3313833078903,131.51039730273672,1.4783182313555346e-05,67644.43397840371,0.9263605111781018,0.5400710800158314,0.5400710800158314,0.799715890867256,0.8763082834490379,0.964350032996058
fructose_rich_iG_probe | low_temp_growth_separation_plus_co2 | yan_saturation_scan,129.2495168550389,129.7085455409042,1.1568212013685733e-05,86443.78222122428,0.9271667413042708,0.6501901515661042,0.6501901515661042,0.8400114363166089,0.8950635262489508,0.9606029874958394
fructose_rich_iG_probe | combined_stress_long_horizon | ethanol_partition_late_pulse,128.93617341207803,136.32239134324118,4.3510099524598585e-06,229831.69676149476,0.9124410591817758,0.40897883053419215,0.40897883053419215,0.7645046851910078,0.7936560821057197,0.9490346356180227
cold_synthesis_hot_stripping | combined_stress_long_horizon | low_temp_growth_separation_plus_co2,128.82659917922186,132.9137818156708,6.120686573891912e-06,163380.3639391615,0.9132553708216732,0.5393968110123037,0.5393968110123037,0.7979009898503303,0.8494124016424158,0.9684384233954422
fructose_rich_iG_probe | glucose_rich_growth_yield | viable_biomass_step,128.66236647594505,134.32503013110406,5.517682244204311e-06,181235.518056587,0.9216933688017721,0.4667753997558899,0.4667753997558899,0.8105273909540355,0.8569983510808286,0.9558076310244755
cold_synthesis_hot_stripping | glucose_rich_growth_yield | low_temp_growth_separation_plus_co2,128.66091398386158,132.4259315181513,7.22794819554335e-06,138351.8493694498,0.9271336177577562,0.5319378496517354,0.5319378496517354,0.8315168851454452,0.8661095106346458,0.9670766049761634
fructose_rich_iG_probe | ethanol_initial_challenge | high_biomass_low_N_maintenance,128.47926791777078,134.05359029612012,1.042039379713774e-05,95965.66305149415,0.9175643223539351,0.4096762928977188,0.4096762928977188,0.7650068144410883,0.8192330136050436,0.9506629673042671
fructose_rich_iG_probe | cold_synthesis_hot_stripping | viable_biomass_step,128.4112176458226,134.2788116854061,3.539038714410485e-06,282562.60546914506,0.9199467633778362,0.5018124580615471,0.5018124580615471,0.8151346255363318,0.8535793999908762,0.9620950752814845
fructose_rich_iG_probe | ethanol_initial_challenge | yan_saturation_scan,128.26128336817868,130.93595433903104,7.863921486298656e-06,127163.01933358621,0.9210593833779425,0.5810592756793,0.5810592756793,0.7779045843394645,0.837075335390556,0.935480883388656
combined_stress_long_horizon | low_temp_growth_separation_plus_co2 | yan_saturation_scan,128.12751015469405,129.44894532916905,8.886830779643998e-06,112526.05397759801,0.9138828808798226,0.6400808073088949,0.6400808073088949,0.8178846365709683,0.8676417450368805,0.9560583523401288
fructose_rich_iG_probe | ethanol_partition_late_pulse | ethanol_initial_challenge,128.1233539303009,134.12046307458664,6.278906454501999e-06,159263.40155665105,0.9132465456757243,0.44135274235740585,0.44135274235740585,0.7524590959043813,0.7946890394667246,0.9448756816599755
fructose_rich_iG_probe | ethanol_initial_challenge | viable_biomass_step,127.897442504693,133.1082870101625,6.674597191479644e-06,149821.7752041329,0.9169848040538933,0.47268554283403685,0.47268554283403685,0.7882487735177767,0.8256413317866849,0.9481673138090834
combined_stress_long_horizon | low_temp_growth_separation_plus_co2 | glucose_pulse_after_N_depletion,127.82323371147896,131.11962980324512,1.241356100662532e-05,80557.06170584603,0.910472415193074,0.509616093151545,0.509616093151545,0.7565516882802603,0.8321384399044894,0.9591186265220996
glucose_rich_growth_yield | ethanol_partition_late_pulse | low_temp_growth_separation_plus_co2,127.69945943447712,132.19940862233875,7.1239885713148125e-06,140370.80351680558,0.9217148708179237,0.4993493848768844,0.4993493848768844,0.808606611592342,0.8507141122222427,0.9620728260397186
fructose_rich_iG_probe | low_temp_growth_separation_plus_co2 | viable_biomass_step,127.64948437205001,131.54702550250684,9.157091489074797e-06,109204.98077288913,0.9164389497088334,0.5070016638953536,0.5070016638953536,0.8182534145572893,0.8615114933386221,0.9656334201716776
fructose_rich_iG_probe | ethanol_partition_late_pulse | yan_saturation_scan,127.61853945969928,131.12062934396317,4.48587535221461e-06,222921.9319494276,0.9175245712807107,0.597590910966984,0.597590910966984,0.7937619112415548,0.8433371824029973,0.9375244231750314
glucose_rich_growth_yield | low_temp_growth_separation_plus_co2 | ethanol_initial_challenge,127.59634410311449,131.72939011184175,6.446695449984525e-06,155118.23193112068,0.9239132705096738,0.5265853534867893,0.5265853534867893,0.812231607506168,0.8499233376693949,0.9615317812477505
fructose_rich_iG_probe | ethanol_initial_challenge | glucose_pulse_after_N_depletion,127.57862386528893,132.51420250357535,8.140720441695977e-06,122839.25079629284,0.9186339323706143,0.46576728945191515,0.46576728945191515,0.738102461948561,0.8026228250970617,0.9403932022378354
glucose_rich_growth_yield | combined_stress_long_horizon | viable_biomass_step,127.50157219005968,133.42972604188333,6.396595307617543e-06,156333.16661585975,0.9199478386344405,0.4395928573252649,0.4395928573252649,0.7849646867073796,0.8206510361995797,0.9441473371611661
fructose_rich_iG_probe | ethanol_partition_late_pulse | glucose_pulse_after_N_depletion,127.46224951840657,132.70695318613838,7.992041330021105e-06,125124.47805338854,0.9159231610045176,0.4535096706318841,0.4535096706318841,0.7349918119638541,0.8063651207601246,0.9422404383540772
glucose_rich_growth_yield | combined_stress_long_horizon | yan_saturation_scan,127.40451533882471,130.53660836179702,5.801867417015344e-06,172358.2991688614,0.9241274120177946,0.587064715220657,0.587064715220657,0.7865894239303166,0.8518746696569935,0.9279444936533131
cold_synthesis_hot_stripping | glucose_rich_growth_yield | ethanol_initial_challenge,127.39471447937306,131.93344868144408,5.68815282965971e-06,175803.99647240568,0.921593341622529,0.5199791187889276,0.5199791187889276,0.795969235092945,0.833160278093066,0.9562105784549109
combined_stress_long_horizon | low_temp_growth_separation_plus_co2 | high_biomass_low_N_maintenance,127.35359010501529,132.01486764103373,9.927619613443363e-06,100729.08098189645,0.9038157633691737,0.4670472240461112,0.4670472240461112,0.783961238072802,0.8455742886031654,0.9647437133346496
cold_synthesis_hot_stripping | glucose_rich_growth_yield | high_biomass_low_N_maintenance,127.16242383348194,132.04316679049853,8.370552870918417e-06,119466.42180282652,0.9216298516931262,0.46422698847972577,0.46422698847972577,0.8080051914476221,0.8710980104376743,0.9624666458007146
fructose_rich_iG_probe | ethanol_partition_late_pulse | high_biomass_low_N_maintenance,127.13493941309578,133.93148046598512,6.728201810631755e-06,148628.12206670467,0.9106749509226252,0.39575573590507684,0.39575573590507684,0.7602973393215644,0.815195348049075,0.9523372752404133
combined_stress_long_horizon | low_temp_growth_separation_plus_co2 | viable_biomass_step,126.92010058354839,131.6485090382627,7.238001374345561e-06,138159.6863941487,0.9062300323989101,0.49408110535918537,0.49408110535918537,0.7894940083249689,0.831468606645696,0.9620632579260012
glucose_rich_growth_yield | low_temp_growth_separation_plus_co2 | high_biomass_low_N_maintenance,126.85140627401773,130.72871717401281,1.1062623434664243e-05,90394.47161028224,0.9199269606631831,0.48736481364432693,0.48736481364432693,0.8273725418583149,0.8721064189644674,0.9674502534680511
combined_stress_long_horizon | low_temp_growth_separation_plus_co2 | ethanol_initial_challenge,126.7931578701567,131.36853600638793,7.047538083685209e-06,141893.52198251517,0.9049923885206395,0.5050181199396497,0.5050181199396497,0.7724466569170905,0.8137849647025552,0.9601478184839174
cold_synthesis_hot_stripping | glucose_rich_growth_yield | yan_saturation_scan,126.75330034240912,128.81000036549108,5.87463461758129e-06,170223.35261622127,0.9260235259299447,0.638639905142952,0.638639905142952,0.8267239834086153,0.8842005355764205,0.950711699384013
cold_synthesis_hot_stripping | glucose_rich_growth_yield | glucose_pulse_after_N_depletion,126.74851773181494,130.5936735511544,8.712232801297692e-06,114781.13852180917,0.9244177327654752,0.5106115877281501,0.5106115877281501,0.7847525172226704,0.8411002529999088,0.9548982268185279
glucose_rich_growth_yield | low_temp_growth_separation_plus_co2 | glucose_pulse_after_N_depletion,126.52562231305087,129.23927916225617,1.2732920299904345e-05,78536.57891878208,0.9248226053419633,0.5290378317413775,0.5290378317413775,0.7987395148636984,0.8644585270064672,0.9607634399667913
glucose_rich_growth_yield | combined_stress_long_horizon | ethanol_initial_challenge,126.46717716632126,132.84503377656142,5.87028101917668e-06,170349.59599604522,0.9162882809476153,0.4275238341617028,0.4275238341617028,0.7533565441061151,0.799814580621725,0.9377733097095312
combined_stress_long_horizon | ethanol_partition_late_pulse | low_temp_growth_separation_plus_co2,126.42479708256354,131.67709512647153,6.567445821717118e-06,152266.19711017897,0.905072423107511,0.478187442738224,0.478187442738224,0.7648417520873443,0.8101266584100535,0.960633120343395
glucose_rich_growth_yield | combined_stress_long_horizon | high_biomass_low_N_maintenance,126.28804901018731,133.2813534068389,7.622100547205097e-06,131197.4296070765,0.9151396834692391,0.3712107948218759,0.3712107948218759,0.7653479587572913,0.8178794822588037,0.9445635777225516
glucose_rich_growth_yield | low_temp_growth_separation_plus_co2 | yan_saturation_scan,126.2202954745974,127.23607793625004,9.05480931747738e-06,110438.54872457928,0.9253806751371295,0.6477419918596268,0.6477419918596268,0.8364592850995402,0.8975533516565409,0.9560583332489916
fructose_rich_iG_probe | ethanol_partition_late_pulse | viable_biomass_step,126.19045839507471,133.30796657864485,3.4875970163545473e-06,286730.3749001546,0.9104476574001029,0.4455305214108578,0.4455305214108578,0.7824839277463183,0.8168320003965533,0.9492905880989911
cold_synthesis_hot_stripping | combined_stress_long_horizon | glucose_pulse_after_N_depletion,126.1833030577028,130.36180509705764,8.112429302072359e-06,123267.63818386008,0.9046872886701592,0.5109425727634441,0.5109425727634441,0.7230121815157816,0.8138161693029413,0.9498801650116875
glucose_rich_growth_yield | combined_stress_long_horizon | glucose_pulse_after_N_depletion,126.09827626617957,132.14879417929276,6.099544771293191e-06,163946.66118468146,0.9183128154903336,0.43904733832183773,0.43904733832183773,0.7356564894289144,0.7965226883221764,0.93298145232733
cold_synthesis_hot_stripping | glucose_rich_growth_yield | ethanol_partition_late_pulse,126.02965752456507,131.74382747669426,4.628898732300601e-06,216034.10613024834,0.915847482307629,0.4846869185350011,0.4846869185350011,0.7913236713247616,0.8455619893033663,0.9566556113735118
cold_synthesis_hot_stripping | low_temp_growth_separation_plus_co2 | ethanol_initial_challenge,125.65742884783424,129.27804888517684,6.8118326564908315e-06,146803.37149021478,0.907307708346139,0.5550000801051423,0.5550000801051423,0.7914142060328204,0.8309997310479503,0.965627543568313
cold_synthesis_hot_stripping | glucose_rich_growth_yield | viable_biomass_step,125.63921849894939,131.18148572713136,4.611331175415893e-06,216857.12041920537,0.9188957963665206,0.4921381388490049,0.4921381388490049,0.8144701076911741,0.8459333146031871,0.957923009160562
cold_synthesis_hot_stripping | combined_stress_long_horizon | high_biomass_low_N_maintenance,125.55373655299321,131.2858505942262,5.946841760821233e-06,168156.48376389695,0.8983982666171884,0.46746019221272794,0.46746019221272794,0.7532548724568988,0.8339185919915153,0.95748542940107
cold_synthesis_hot_stripping | combined_stress_long_horizon | ethanol_initial_challenge,125.49773923828127,130.6715693416015,5.065884220179932e-06,197398.905410531,0.8993115656140954,0.5109508981202773,0.5109508981202773,0.7482639701130838,0.7983586346313254,0.9518939064519918
cold_synthesis_hot_stripping | combined_stress_long_horizon | yan_saturation_scan,125.4364565616198,128.54078864317285,4.630928388297267e-06,215939.4221096317,0.9058348648728907,0.6201412828994828,0.6372774652593778,0.7905249033669717,0.8589027640883967,0.9465174028618865
glucose_rich_growth_yield | combined_stress_long_horizon | ethanol_partition_late_pulse,125.29973617237533,132.52013688709542,5.650054300842271e-06,176989.44943784468,0.9107293026766416,0.3919998531340312,0.3919998531340312,0.7516116229629832,0.7877125336778398,0.9395304104421422
glucose_rich_growth_yield | low_temp_growth_separation_plus_co2 | viable_biomass_step,125.13540048326507,129.65197032077663,6.828345458787149e-06,146448.36088559878,0.9168114733604089,0.5052085874321327,0.5052085874321327,0.8181082091070153,0.8582209395083026,0.962365325744714
cold_synthesis_hot_stripping | combined_stress_long_horizon | viable_biomass_step,124.94816558270854,130.95531391917987,3.6696890745860623e-06,272502.65068105236,0.9006815295647383,0.500842180424869,0.500842180424869,0.7750070717527924,0.8246963323123124,0.955327502072691
cold_synthesis_hot_stripping | ethanol_partition_late_pulse | low_temp_growth_separation_plus_co2,124.87822168827628,129.6829907106191,4.7456458962652945e-06,210719.47251415768,0.9035322764508544,0.5338237120293543,0.5338237120293543,0.7872992778610649,0.8490815948621822,0.9660322271580342
fructose_rich_iG_probe | high_biomass_low_N_maintenance | yan_saturation_scan,124.77063978616789,128.0650154347444,7.625352297954435e-06,131141.48185235434,0.9123327969045892,0.5575180224716512,0.5575180224716512,0.8191609093483108,0.8106471179725204,0.9444429474097628
fructose_rich_iG_probe | viable_biomass_step | glucose_pulse_after_N_depletion,124.75380754813061,129.23552382058995,8.596414963102393e-06,116327.56262839901,0.9138397756613552,0.48541082918361633,0.48541082918361633,0.772352933798525,0.8531112435089032,0.946154837673985
fructose_rich_iG_probe | viable_biomass_step | high_biomass_low_N_maintenance,124.71313801158209,131.13232470537312,6.667753023397996e-06,149975.56095597308,0.9101613593851233,0.4157827489023048,0.4157827489023048,0.8034842023985094,0.8169453345926712,0.9556055678929678
glucose_rich_growth_yield | ethanol_initial_challenge | viable_biomass_step,124.59068537835287,130.13109299271204,5.693278904415114e-06,175645.70729610737,0.9152519928609043,0.4729760446947995,0.4729760446947995,0.7839015453795544,0.8186419754082626,0.9392520456263281
glucose_rich_growth_yield | ethanol_initial_challenge | yan_saturation_scan,124.5532127857469,127.31436648477894,5.9728973730864725e-06,167422.93355079927,0.9193879051367467,0.6050762050965663,0.6050762050965663,0.7758456904950495,0.8465036086202081,0.9202068776733876
glucose_rich_growth_yield | ethanol_initial_challenge | high_biomass_low_N_maintenance,124.51546277593326,130.59752860867857,7.874371123929181e-06,126994.26840082901,0.9145334221410258,0.41381972066423867,0.41381972066423867,0.7518353260699919,0.8216015546993434,0.9403991219347051
fructose_rich_iG_probe | viable_biomass_step | yan_saturation_scan,124.43889427252824,127.39353417720842,4.478571714428173e-06,223285.47219159149,0.9108864230984478,0.6284454308280666,0.6284454308280666,0.8184619321640483,0.8766244783343665,0.9415242584759571
cold_synthesis_hot_stripping | low_temp_growth_separation_plus_co2 | glucose_pulse_after_N_depletion,124.4229874319275,127.71509329889145,9.281211281822373e-06,107744.55721728265,0.9083112916521291,0.5399909101882885,0.5399909101882885,0.7782705305371019,0.844716300836257,0.9651894597729176
cold_synthesis_hot_stripping | low_temp_growth_separation_plus_co2 | high_biomass_low_N_maintenance,124.21226679879538,129.09272030122128,5.7454329071835e-06,174051.2884154826,0.902899797542958,0.5112379556843956,0.5112379556843956,0.7988228882847431,0.8750275668191358,0.9707987813098089
cold_synthesis_hot_stripping | low_temp_growth_separation_plus_co2 | yan_saturation_scan,124.14494862141902,125.80734161730899,6.023485411568552e-06,166016.83770652546,0.910010793303559,0.6638594029699053,0.6638594029699053,0.8385409864605741,0.8873932599527887,0.9609597277527591
glucose_rich_growth_yield | ethanol_partition_late_pulse | yan_saturation_scan,124.13266577580035,127.298717860649,5.458839729732786e-06,183189.1115163681,0.9154969094156785,0.5957763704998793,0.5957763704998793,0.7886474893350941,0.8491051164185182,0.9231034871372935
ethanol_partition_late_pulse | low_temp_growth_separation_plus_co2 | ethanol_initial_challenge,124.06260745694183,128.57085813585942,7.142266497919409e-06,140011.57759813455,0.901739489165577,0.5086657610015082,0.5086657610015082,0.7532403872037866,0.8108842299607096,0.9575982887385859
low_temp_growth_separation_plus_co2 | ethanol_initial_challenge | high_biomass_low_N_maintenance,124.0210724112873,128.09560287083303,9.78390740820882e-06,102208.65327905572,0.9018007141284562,0.498850282280177,0.498850282280177,0.7572189172045409,0.8449209906110776,0.9627102193872222
ethanol_partition_late_pulse | low_temp_growth_separation_plus_co2 | glucose_pulse_after_N_depletion,123.87861675347293,127.42367733978058,1.108131429418455e-05,90242.00320036025,0.9045180656652936,0.5115129643590757,0.5115129643590757,0.7341365408999351,0.8258240770449556,0.9567583395594069
glucose_rich_growth_yield | ethanol_partition_late_pulse | ethanol_initial_challenge,123.78471616204034,130.28658433171438,5.501383502458417e-06,181772.45770143592,0.9089963984938678,0.4314594874150326,0.4314594874150326,0.7400139424370005,0.7920230903419497,0.9341498167297289
ethanol_partition_late_pulse | low_temp_growth_separation_plus_co2 | yan_saturation_scan,123.78462130066231,125.64361376557585,6.972905190501929e-06,143412.24678662483,0.9072217079602668,0.6407873834217999,0.6407873834217999,0.8042059101402305,0.8656507633840094,0.9526450393326329
glucose_rich_growth_yield | ethanol_partition_late_pulse | viable_biomass_step,123.6408226913624,130.20726056299804,4.6494595051373516e-06,215078.76321862033,0.910126758987293,0.444490684982092,0.444490684982092,0.7784780758325693,0.8158380820618075,0.9406327511659864
cold_synthesis_hot_stripping | combined_stress_long_horizon | ethanol_partition_late_pulse,123.5928433735162,130.26262735800276,3.3406188737398934e-06,299345.731373564,0.8937920718998313,0.4805502124858686,0.4805502124858686,0.7358385639281424,0.7993570839353098,0.9527548518492638
glucose_rich_growth_yield | ethanol_initial_challenge | glucose_pulse_after_N_depletion,123.56340643342737,129.06550075552462,6.251280932182053e-06,159967.21485542692,0.9152859843143334,0.4655247083445744,0.4655247083445744,0.7283403788419514,0.7881587985256129,0.9266425272063692
fructose_rich_iG_probe | glucose_pulse_after_N_depletion | yan_saturation_scan,123.49279952932395,125.78780272686977,8.617185968481709e-06,116047.16477717996,0.91019928024393,0.5963253980366168,0.5963253980366168,0.7468222511915239,0.8107377733287808,0.9314067011105539
glucose_rich_growth_yield | viable_biomass_step | high_biomass_low_N_maintenance,123.42853543297127,129.1251791909874,8.130088802024512e-06,122999.88651427587,0.912448168942054,0.4309375987987625,0.4309375987987625,0.7982568602591915,0.8401723782132101,0.9478852042820186
fructose_rich_iG_probe | glucose_pulse_after_N_depletion | high_biomass_low_N_maintenance,123.34970082553204,128.911926317692,1.0898634133911715e-05,91754.61692841341,0.9076982294225928,0.41072691922034676,0.41072691922034676,0.7599072355874296,0.7772855255883158,0.9469078353813334
low_temp_growth_separation_plus_co2 | ethanol_initial_challenge | yan_saturation_scan,123.32591682449053,124.26899841788159,9.794889498203707e-06,102094.05631205854,0.9024184405466429,0.6550016788651998,0.6555300417363432,0.8046628863237643,0.8611089856714385,0.9516107875743606
glucose_rich_growth_yield | ethanol_partition_late_pulse | high_biomass_low_N_maintenance,123.22608564801057,130.24326599127863,7.342508151310359e-06,136193.24342480136,0.9068392081796449,0.3779043851187369,0.3779043851187369,0.7470899129062138,0.8131606164526524,0.9427767956198274
cold_synthesis_hot_stripping | low_temp_growth_separation_plus_co2 | viable_biomass_step,123.15768863205788,127.97614690599976,5.2086921564909595e-06,191986.7732543613,0.903453938578264,0.5238682929474481,0.5238682929474481,0.8081670898103565,0.8451074791962554,0.9662098562470608
glucose_rich_growth_yield | viable_biomass_step | yan_saturation_scan,123.04352920495705,125.31271652830014,5.313696842680157e-06,188192.89650999615,0.9150869969133871,0.6435194114814871,0.6435194114814871,0.8192746430073854,0.885422932130745,0.9297549941053802
ethanol_partition_late_pulse | low_temp_growth_separation_plus_co2 | high_biomass_low_N_maintenance,122.9521864895768,128.40127020932616,6.759911080091262e-06,147930.93994166853,0.8960517360144875,0.4699700281881454,0.4699700281881454,0.7645814961754013,0.8358668588541567,0.9634010395443244
glucose_rich_growth_yield | ethanol_partition_late_pulse | glucose_pulse_after_N_depletion,122.9443753867445,129.02113023662235,6.128235838296943e-06,163179.09858343558,0.9114404265123061,0.44070240834043006,0.44070240834043006,0.7237323300694343,0.7855461262381908,0.9293667722100507
cold_synthesis_hot_stripping | ethanol_initial_challenge | high_biomass_low_N_maintenance,122.93170665537946,128.37612616032035,5.9904589143144986e-06,166932.11894174758,0.8929683256663672,0.48382911545611884,0.48382911545611884,0.7036805164552264,0.8163005285115026,0.9552031350376565
ethanol_partition_late_pulse | low_temp_growth_separation_plus_co2 | viable_biomass_step,122.91270640853033,128.0290594699825,5.838187346352014e-06,171286.04148423724,0.9010202459672115,0.4987812434640284,0.4987812434640284,0.7793910314157931,0.8267738314662533,0.9595498626107285
low_temp_growth_separation_plus_co2 | ethanol_initial_challenge | glucose_pulse_after_N_depletion,122.80267838098685,125.91228972869214,1.154077703927254e-05,86649.27817226369,0.895312603035437,0.5338255275695643,0.5338255275695643,0.7371930584145738,0.818608247495653,0.9558976362956658
cold_synthesis_hot_stripping | ethanol_initial_challenge | viable_biomass_step,122.779444942444,127.63991970561305,5.579788148016751e-06,179218.27378973778,0.8950363202367189,0.5190940765828906,0.5190940765828906,0.764345515547858,0.7964388479078465,0.9518897892620315
