medium,batch,n_time,t_max_h,n_YAN_mg_l,first_YAN_mg_l,last_YAN_mg_l,max_YAN_mg_l,n_PAN_mg_l,first_PAN_mg_l,last_PAN_mg_l,max_PAN_mg_l,n_NH4_mg_l,first_NH4_mg_l,last_NH4_mg_l,max_NH4_mg_l,n_pyruvic_acid,first_pyruvic_acid,last_pyruvic_acid,max_pyruvic_acid,n_pyruvic_acid_2,first_pyruvic_acid_2,last_pyruvic_acid_2,max_pyruvic_acid_2,n_acetaldehyde,first_acetaldehyde,last_acetaldehyde,max_acetaldehyde,n_acetic_acid,first_acetic_acid,last_acetic_acid,max_acetic_acid,n_DO_mg_l,first_DO_mg_l,last_DO_mg_l,max_DO_mg_l,n_benzyl_alcohol_total,first_benzyl_alcohol_total,last_benzyl_alcohol_total,max_benzyl_alcohol_total,n_benzaldehyde_total,first_benzaldehyde_total,last_benzaldehyde_total,max_benzaldehyde_total,n_ethyl_decanoate_total,first_ethyl_decanoate_total,last_ethyl_decanoate_total,max_ethyl_decanoate_total,n_hexyl_acetate_total,first_hexyl_acetate_total,last_hexyl_acetate_total,max_hexyl_acetate_total,n_isoamyl_acetate_total,first_isoamyl_acetate_total,last_isoamyl_acetate_total,max_isoamyl_acetate_total,n_ethyl_octanoate_total,first_ethyl_octanoate_total,last_ethyl_octanoate_total,max_ethyl_octanoate_total,n_phenylethyl_acetate_total,first_phenylethyl_acetate_total,last_phenylethyl_acetate_total,max_phenylethyl_acetate_total,n_ethyl_acetate_total,first_ethyl_acetate_total,last_ethyl_acetate_total,max_ethyl_acetate_total
natural,LAB006,16,211.0,15,229.12,32.0,229.12,15,93.0,32.0,93.0,15,166.0,0.0,166.0,15,16.0,15.0,50.0,0,,,,15,52.0,101.0,144.0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
natural,LAB007,14,160.0,13,239.04,16.0,239.04,13,98.0,16.0,98.0,13,172.0,0.0,172.0,13,0.0,12.0,60.0,0,,,,13,0.0,78.0,123.0,13,0.07,0.33,0.41,11,1.41,0.35,1.41,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
natural,LAB008,14,160.0,13,239.22,15.0,239.22,13,99.0,15.0,99.0,13,171.0,0.0,171.0,13,4.0,0.0,42.0,0,,,,13,0.0,80.0,127.0,13,0.09,0.32,0.37,11,1.16,0.52,1.37,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
natural,LAB009,13,160.0,12,237.4,0.0,237.4,12,98.0,0.0,98.0,12,170.0,0.0,170.0,12,0.0,5.0,40.0,0,,,,12,0.0,79.0,123.0,12,0.09,0.34,0.41,10,1.65,0.65,1.65,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
natural,LAB010,10,186.9999999999418,4,225.7,20.0,225.7,4,115.0,20.0,115.0,4,135.0,0.0,135.0,4,0.0,38.0,40.0,4,1.18,10.14,10.14,0,,,,4,0.18,0.46,0.46,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
natural,LAB011,8,162.9999999999418,4,220.24,25.64,223.24,4,112.0,24.0,115.0,4,132.0,2.0,132.0,4,0.0,29.0,40.0,0,,,,0,,,,4,0.17,0.41,0.41,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
natural,LAB012,9,162.9999999999418,4,222.06,125.48,277.52,4,113.0,114.0,166.0,4,133.0,14.0,136.0,4,0.0,32.0,43.0,0,,,,0,,,,4,0.18,0.42,0.42,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
synthetic,MS007,10,213.0,9,224.0,119.0,335.0,9,14.0,45.0,93.0,9,256.0,90.0,296.0,9,3.0,35.0,79.0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
synthetic,MS008,10,213.0,9,218.0,60.0,285.0,9,13.0,51.0,83.0,9,249.0,10.0,249.0,9,4.0,26.0,66.0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
synthetic,MS009,10,213.0,9,236.0,34.0,291.0,9,21.0,43.0,91.0,9,263.0,0.0001,263.0,9,1.0,9.0,65.0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
synthetic,MS010,10,213.5,8,221.0,36.0,271.0,8,21.0,34.0,83.0,8,244.0,2.0,244.0,9,9.0,0.0001,80.0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
synthetic,MS011,10,213.5,8,218.0,97.0,279.0,8,19.0,71.0,85.0,8,242.0,32.0,242.0,9,7.0,0.0001,82.0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
synthetic,MS012,10,213.5,8,223.0,95.0,274.0,8,22.0,66.0,85.0,8,244.0,35.0,244.0,9,1.0,10.0,79.0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
synthetic,MS013,9,213.0,8,218.0,90.0,263.0,8,14.0,66.0,73.0,8,249.0,29.0,249.0,8,0.0001,19.0,64.0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
synthetic,MS014,9,213.0,8,226.0,98.0,275.0,8,15.0,67.0,75.0,8,257.0,38.0,257.0,8,10.0,24.0,78.0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
synthetic,MS015,9,213.0,8,220.0,111.0,286.0,8,13.0,44.0,76.0,8,252.0,82.0,255.0,8,7.0,27.0,78.0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
synthetic,MS016,9,208.0,8,214.0,129.0,252.0,8,18.0,77.0,81.0,8,240.0,63.0,247.0,8,4.0,30.0,91.0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
