medium,batch,time_h,YAN_mg_l,PAN_mg_l,NH4_mg_l,YAN_from_components_mg_l,YAN_component_residual_mg_l
historical_vl3,25170,366.0,,,,,
historical_vl3,25170,372.0,30.28,27.0,4.0,31.0,-0.7199999999999989
historical_vl3,25171,0.0,96.6,72.0,30.0,102.0,-5.400000000000006
historical_vl3,25171,6.0,,,,,
historical_vl3,25171,12.0,101.06,74.0,33.0,107.0,-5.939999999999998
historical_vl3,25171,18.0,99.24,73.0,32.0,105.0,-5.760000000000005
historical_vl3,25171,24.0,,,,,
historical_vl3,25171,30.0,,,,,
historical_vl3,25171,36.0,100.06,73.0,33.0,106.0,-5.939999999999998
historical_vl3,25171,42.0,164.51999999999998,94.0,86.0,180.0,-15.480000000000018
historical_vl3,25171,48.0,,,,,
historical_vl3,25171,54.0,,,,,
historical_vl3,25171,60.0,163.06,95.0,83.0,178.0,-14.939999999999998
historical_vl3,25171,66.0,156.78,92.0,79.0,171.0,-14.219999999999999
historical_vl3,25171,72.0,,,,,
historical_vl3,25171,78.0,,,,,
historical_vl3,25171,84.0,150.6,85.0,80.0,165.0,-14.400000000000006
historical_vl3,25171,90.0,,,,,
historical_vl3,25171,96.0,,,,,
historical_vl3,25171,102.0,,,,,
historical_vl3,25171,108.0,133.57999999999998,77.0,69.0,146.0,-12.420000000000016
historical_vl3,25171,114.0,116.56,69.0,58.0,127.0,-10.439999999999998
historical_vl3,25171,120.0,,,,,
historical_vl3,25171,126.0,,,,,
historical_vl3,25171,132.0,,,,,
historical_vl3,25171,138.0,29.82,29.0,1.0,30.0,-0.17999999999999972
historical_vl3,25171,144.0,,,,,
historical_vl3,25171,150.0,,,,,
historical_vl3,25171,156.0,16.82,16.0,1.0,17.0,-0.17999999999999972
historical_vl3,25171,162.0,14.64,13.0,2.0,15.0,-0.35999999999999943
historical_vl3,25171,168.0,,,,,
historical_vl3,25171,174.0,,,,,
historical_vl3,25171,180.0,16.1,12.0,5.0,17.0,-0.8999999999999986
historical_vl3,25171,186.0,19.38,12.0,9.0,21.0,-1.620000000000001
historical_vl3,25171,192.0,,,,,
historical_vl3,25171,198.0,,,,,
historical_vl3,25171,204.0,13.0,13.0,0.0,13.0,0.0
historical_vl3,25171,210.0,15.46,13.0,3.0,16.0,-0.5399999999999991
historical_vl3,25171,216.0,,,,,
historical_vl3,25171,222.0,,,,,
historical_vl3,25171,228.0,,,,,
historical_vl3,25171,234.0,14.82,14.0,1.0,15.0,-0.17999999999999972
historical_vl3,25171,240.0,,,,,
historical_vl3,25171,246.0,,,,,
historical_vl3,25171,252.0,27.38,20.0,9.0,29.0,-1.620000000000001
historical_vl3,25171,258.0,,,,,
historical_vl3,25171,264.0,,,,,
historical_vl3,25171,270.0,,,,,
historical_vl3,25171,276.0,31.56,25.0,8.0,33.0,-1.4400000000000013
historical_vl3,25171,282.0,,,,,
historical_vl3,25171,288.0,,,,,
historical_vl3,25171,294.0,,,,,
historical_vl3,25171,300.0,19.0,19.0,0.0,19.0,0.0
historical_vl3,25171,306.0,,,,,
historical_vl3,25171,312.0,,,,,
historical_vl3,25171,318.0,,,,,
historical_vl3,25171,324.0,20.56,14.0,8.0,22.0,-1.4400000000000013
historical_vl3,25171,330.0,23.0,23.0,0.0,23.0,0.0
historical_vl3,25171,336.0,,,,,
historical_vl3,25171,342.0,,,,,
historical_vl3,25171,348.0,,,,,
historical_vl3,25171,354.0,,,,,
historical_vl3,25171,360.0,,,,,
historical_vl3,25171,366.0,,,,,
historical_vl3,25171,372.0,19.46,17.0,3.0,20.0,-0.5399999999999991
natural,LAB004,0.0,230.76,93.0,168.0,261.0,-30.24000000000001
natural,LAB004,19.0,182.72,63.0,146.0,209.0,-26.28
natural,LAB004,26.0,157.42,50.0,131.0,181.0,-23.580000000000013
natural,LAB004,43.0,60.16,29.0,38.0,67.0,-6.840000000000003
natural,LAB004,50.0,19.0,19.0,0.0,19.0,0.0
natural,LAB004,67.0,5.0,5.0,0.0,5.0,0.0
natural,LAB004,68.0,,,,,
natural,LAB004,74.0,35.86,17.0,23.0,40.0,-4.140000000000001
natural,LAB004,91.0,9.0,9.0,0.0,9.0,0.0
natural,LAB004,98.0,7.0,7.0,0.0,7.0,0.0
natural,LAB004,115.0,43.0,43.0,0.0,43.0,0.0
natural,LAB004,122.0,11.0,11.0,0.0,11.0,0.0
natural,LAB004,146.0,25.0,25.0,0.0,25.0,0.0
natural,LAB004,163.0,28.46,26.0,3.0,29.0,-0.5399999999999991
natural,LAB005,0.0,227.29999999999998,92.0,165.0,257.0,-29.700000000000017
natural,LAB005,19.0,191.54,71.0,147.0,218.0,-26.460000000000008
natural,LAB005,26.0,158.24,50.0,132.0,182.0,-23.75999999999999
natural,LAB005,43.0,53.239999999999995,27.0,32.0,59.0,-5.760000000000005
natural,LAB005,50.0,19.0,19.0,0.0,19.0,0.0
natural,LAB005,67.0,12.0,12.0,0.0,12.0,0.0
natural,LAB005,68.0,,,,,
natural,LAB005,74.0,35.68,16.0,24.0,40.0,-4.32
natural,LAB005,91.0,11.0,11.0,0.0,11.0,0.0
natural,LAB005,98.0,10.0,10.0,0.0,10.0,0.0
natural,LAB005,115.0,46.0,46.0,0.0,46.0,0.0
natural,LAB005,122.0,14.0,14.0,0.0,14.0,0.0
natural,LAB005,146.0,27.0,27.0,0.0,27.0,0.0
natural,LAB005,163.0,32.28,29.0,4.0,33.0,-0.7199999999999989
natural,LAB006,0.0,229.12,93.0,166.0,259.0,-29.879999999999995
natural,LAB006,19.0,199.0,76.0,150.0,226.0,-27.0
natural,LAB006,26.0,180.89999999999998,62.0,145.0,207.0,-26.100000000000023
natural,LAB006,43.0,132.1,46.0,105.0,151.0,-18.900000000000006
natural,LAB006,50.0,101.6,36.0,80.0,116.0,-14.400000000000006
natural,LAB006,67.0,40.4,24.0,20.0,44.0,-3.6000000000000014
natural,LAB006,74.0,21.0,21.0,0.0,21.0,0.0
natural,LAB006,98.0,0.0,0.0,0.0,0.0,0.0
natural,LAB006,99.0,,,,,
natural,LAB006,115.0,58.0,58.0,0.0,58.0,0.0
natural,LAB006,122.0,27.0,27.0,0.0,27.0,0.0
natural,LAB006,139.0,39.0,39.0,0.0,39.0,0.0
natural,LAB006,146.0,41.0,41.0,0.0,41.0,0.0
natural,LAB006,170.0,44.74,39.0,7.0,46.0,-1.259999999999998
natural,LAB006,194.0,41.64,40.0,2.0,42.0,-0.35999999999999943
natural,LAB006,211.0,32.0,32.0,0.0,32.0,0.0
natural,LAB007,0.0,239.04,98.0,172.0,270.0,-30.960000000000008
natural,LAB007,16.0,190.44,74.0,142.0,216.0,-25.560000000000002
natural,LAB007,24.0,177.7,67.0,135.0,202.0,-24.30000000000001
natural,LAB007,40.0,62.239999999999995,36.0,32.0,68.0,-5.760000000000005
natural,LAB007,48.0,39.1,35.0,5.0,40.0,-0.8999999999999986
natural,LAB007,64.0,2.0,2.0,0.0,2.0,0.0
natural,LAB007,65.0,,,,,
natural,LAB007,72.0,47.78,24.0,29.0,53.0,-5.219999999999999
natural,LAB007,88.0,19.0,19.0,0.0,19.0,0.0
natural,LAB007,96.0,30.0,30.0,0.0,30.0,0.0
natural,LAB007,112.0,6.0,6.0,0.0,6.0,0.0
natural,LAB007,120.0,6.0,6.0,0.0,6.0,0.0
natural,LAB007,144.0,27.0,27.0,0.0,27.0,0.0
natural,LAB007,160.0,16.0,16.0,0.0,16.0,0.0
natural,LAB008,0.0,239.22,99.0,171.0,270.0,-30.78
natural,LAB008,16.0,184.98,71.0,139.0,210.0,-25.02000000000001
natural,LAB008,24.0,178.88,69.0,134.0,203.0,-24.120000000000005
natural,LAB008,40.0,63.879999999999995,36.0,34.0,70.0,-6.1200000000000045
natural,LAB008,48.0,37.1,33.0,5.0,38.0,-0.8999999999999986
natural,LAB008,64.0,11.0,11.0,0.0,11.0,0.0
natural,LAB008,65.0,,,,,
natural,LAB008,72.0,47.78,24.0,29.0,53.0,-5.219999999999999
natural,LAB008,88.0,18.0,18.0,0.0,18.0,0.0
natural,LAB008,96.0,20.0,20.0,0.0,20.0,0.0
natural,LAB008,112.0,5.0,5.0,0.0,5.0,0.0
natural,LAB008,120.0,6.0,6.0,0.0,6.0,0.0
natural,LAB008,144.0,27.0,27.0,0.0,27.0,0.0
natural,LAB008,160.0,15.0,15.0,0.0,15.0,0.0
natural,LAB009,0.0,237.4,98.0,170.0,268.0,-30.599999999999994
natural,LAB009,16.0,167.04,67.0,122.0,189.0,-21.960000000000008
natural,LAB009,24.0,148.01999999999998,57.0,111.0,168.0,-19.980000000000018
natural,LAB009,40.0,21.0,21.0,0.0,21.0,0.0
natural,LAB009,41.0,,,,,
natural,LAB009,48.0,70.72,33.0,46.0,79.0,-8.280000000000001
natural,LAB009,64.0,19.0,19.0,0.0,19.0,0.0
natural,LAB009,72.0,17.0,17.0,0.0,17.0,0.0
natural,LAB009,88.0,17.0,17.0,0.0,17.0,0.0
natural,LAB009,96.0,19.0,19.0,0.0,19.0,0.0
natural,LAB009,120.0,5.0,5.0,0.0,5.0,0.0
natural,LAB009,144.0,25.0,25.0,0.0,25.0,0.0
natural,LAB009,160.0,0.0,0.0,0.0,0.0,0.0
natural,LAB010,0.0,225.7,115.0,135.0,250.0,-24.30000000000001
natural,LAB010,18.999999999941792,,,,,
natural,LAB010,24.0,,,,,
natural,LAB010,42.99999999994179,,,,,
natural,LAB010,66.99999999994179,,,,,
natural,LAB010,72.0,151.62,77.0,91.0,168.0,-16.379999999999995
natural,LAB010,79.0,,,,,
natural,LAB010,138.9999999999418,,,,,
natural,LAB010,162.9999999999418,16.0,16.0,0.0,16.0,0.0
natural,LAB010,186.9999999999418,20.0,20.0,0.0,20.0,0.0
natural,LAB011,0.0,220.24,112.0,132.0,244.0,-23.75999999999999
natural,LAB011,18.999999999941792,223.24,115.0,132.0,247.0,-23.75999999999999
natural,LAB011,24.0,,,,,
natural,LAB011,42.99999999994179,,,,,
natural,LAB011,66.99999999994179,117.94,63.0,67.0,130.0,-12.060000000000002
natural,LAB011,72.0,,,,,
natural,LAB011,138.9999999999418,,,,,
natural,LAB011,162.9999999999418,25.64,24.0,2.0,26.0,-0.35999999999999943
natural,LAB012,0.0,222.06,113.0,133.0,246.0,-23.939999999999998
natural,LAB012,18.999999999941792,,,,,
natural,LAB012,24.0,,,,,
natural,LAB012,42.99999999994179,,,,,
natural,LAB012,48.0,277.52,166.0,136.0,302.0,-24.480000000000018
natural,LAB012,66.99999999994179,234.18,153.0,99.0,252.0,-17.819999999999993
natural,LAB012,72.0,,,,,
natural,LAB012,138.9999999999418,,,,,
natural,LAB012,162.9999999999418,125.48,114.0,14.0,128.0,-2.519999999999996
synthetic,MS007,0.0,224.0,14.0,256.0,270.0,-46.0
synthetic,MS007,3.5,287.0,87.0,244.0,331.0,-44.0
synthetic,MS007,22.5,277.0,72.0,250.0,322.0,-45.0
synthetic,MS007,24.0,,,,,
synthetic,MS007,46.5,335.0,93.0,296.0,389.0,-54.0
synthetic,MS007,70.0,286.0,64.0,272.0,336.0,-50.0
synthetic,MS007,94.0,214.0,51.0,199.0,250.0,-36.0
synthetic,MS007,165.5,131.0,42.0,109.0,151.0,-20.0
synthetic,MS007,190.0,117.0,43.0,91.0,134.0,-17.0
synthetic,MS007,213.0,119.0,45.0,90.0,135.0,-16.0
synthetic,MS008,0.0,218.0,13.0,249.0,262.0,-44.0
synthetic,MS008,3.5,285.0,83.0,245.0,328.0,-43.0
synthetic,MS008,22.5,272.0,69.0,249.0,318.0,-46.0
synthetic,MS008,46.5,229.0,40.0,230.0,270.0,-41.0
synthetic,MS008,70.0,166.0,23.0,175.0,198.0,-32.0
synthetic,MS008,94.0,63.0,13.0,61.0,74.0,-11.0
synthetic,MS008,96.0,,,,,
synthetic,MS008,165.5,71.0,52.0,23.0,75.0,-4.0
synthetic,MS008,190.0,65.0,53.0,15.0,68.0,-3.0
synthetic,MS008,213.0,60.0,51.0,10.0,61.0,-1.0
synthetic,MS009,0.0,236.0,21.0,263.0,284.0,-48.0
synthetic,MS009,3.5,291.0,91.0,244.0,335.0,-44.0
synthetic,MS009,22.5,156.0,20.0,166.0,186.0,-30.0
synthetic,MS009,24.0,,,,,
synthetic,MS009,46.5,53.0,33.0,25.0,58.0,-5.0
synthetic,MS009,70.0,31.0,33.0,0.0001,33.0001,-2.0001000000000033
synthetic,MS009,94.0,17.0,23.0,0.0001,23.0001,-6.0001
synthetic,MS009,165.5,26.0,38.0,0.0001,38.0001,-12.000100000000003
synthetic,MS009,190.0,27.0,36.0,0.0001,36.0001,-9.000100000000003
synthetic,MS009,213.0,34.0,43.0,0.0001,43.0001,-9.000100000000003
synthetic,MS010,0.0,221.0,21.0,244.0,265.0,-44.0
synthetic,MS010,3.0,271.0,83.0,229.0,312.0,-41.0
synthetic,MS010,21.0,246.0,57.0,231.0,288.0,-42.0
synthetic,MS010,24.0,,,,,
synthetic,MS010,46.0,204.0,44.0,196.0,240.0,-36.0
synthetic,MS010,70.5,107.0,39.0,83.0,122.0,-15.0
synthetic,MS010,93.5,66.0,37.0,35.0,72.0,-6.0
synthetic,MS010,166.0,37.0,34.0,4.0,38.0,-1.0
synthetic,MS010,191.0,36.0,34.0,2.0,36.0,0.0
synthetic,MS010,213.5,,,,,
synthetic,MS011,0.0,218.0,19.0,242.0,261.0,-43.0
synthetic,MS011,3.0,279.0,85.0,237.0,322.0,-43.0
synthetic,MS011,21.0,250.0,57.0,235.0,292.0,-42.0
synthetic,MS011,46.0,146.0,23.0,150.0,173.0,-27.0
synthetic,MS011,70.5,48.0,17.0,37.0,54.0,-6.0
synthetic,MS011,93.5,32.0,21.0,13.0,34.0,-2.0
synthetic,MS011,96.0,,,,,
synthetic,MS011,166.0,98.0,69.0,36.0,105.0,-7.0
synthetic,MS011,191.0,97.0,71.0,32.0,103.0,-6.0
synthetic,MS011,213.5,,,,,
synthetic,MS012,0.0,223.0,22.0,244.0,266.0,-43.0
synthetic,MS012,3.0,274.0,85.0,230.0,315.0,-41.0
synthetic,MS012,21.0,165.0,23.0,173.0,196.0,-31.0
synthetic,MS012,46.0,16.0,12.0,6.0,18.0,-2.0
synthetic,MS012,70.5,0.0001,5.0,0.0001,5.0001,-5.0
synthetic,MS012,93.5,0.0001,6.0,0.0001,6.0001,-6.0
synthetic,MS012,96.0,,,,,
