batch,state,t,mu0,qN,betaG0,betaF0,qEG,qEF,qXG,qXF,iG
25086,G,144.0,-100.51050680871991,1066.9666695053443,30.801257065760996,8.036462908153297,-44.60787107975732,-0.8190089263029832,-6.141378491960831,-0.2516478648182383,-49.87334997227304
25086,G,150.0,-90.10233647797187,957.001459113258,28.52615529645484,7.532914164380576,-40.438395956090964,-0.8463379058925087,-5.371761272595417,-0.24353145714695024,-45.022359969055465
25086,G,168.0,-61.54012093745267,653.5482001462951,21.21805014365962,5.805103356161749,-28.602478025043375,-0.8702912270756232,-3.424652113905854,-0.21142234259841056,-30.693113707369896
25086,G,174.0,-53.340089892516346,566.2776931742267,18.849849536239123,5.221364184915439,-25.079662537142312,-0.8654688001882476,-2.9040188206850255,-0.19961505240262395,-26.34064435732103
25086,G,192.0,-33.609106307565206,356.44514284281087,12.655011339743458,3.671762438117739,-16.30731489179582,-0.8407218154657708,-1.7177395058849394,-0.166715458487232,-15.518006947089345
25086,G,198.0,-28.656968439837478,304.0091659044342,10.926229851264019,3.2672169478213253,-13.921885124671139,-0.8889622290552784,-1.4305198557316143,-0.16428597829376543,-12.343435165035354
25086,G,216.0,-17.753963603097507,188.3820094747903,7.04865389459467,2.3402421724762132,-8.750040106381293,-0.8975845854496429,-0.8373307151056101,-0.14491103395264368,-6.12432036936996
25086,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25086,F,12.0,-6.912372360659661,1.6805552383535154,0.09686587034109523,0.5873167090507714,-0.04720905774019855,-2.787555209839123,-0.03820282543642858,-4.630207225432055,44.35224743916835
25086,F,24.0,-26.949549264411917,97.82225519084841,0.7295052201381768,1.9916523382399705,-0.39801202637898736,-8.416340427748562,-0.2927634867546655,-10.647990843438029,129.31523422488505
25086,F,30.0,-41.42246756218625,232.02164065356345,1.5013989498695506,3.2463872358894976,-0.8848318783733257,-12.663909608714722,-0.6322512934104901,-17.11721832580791,187.936938863826
25086,F,48.0,-80.47986896623848,703.9157525168439,5.268852394054504,8.095572624031709,-3.723111837861722,-26.25004336352598,-1.9871595269052005,-18.104224431240805,351.9897078969235
25086,F,54.0,-93.07518126345184,854.5108460990572,6.804547193954935,9.867233439117348,-5.02634544284913,-30.51633169151781,-2.435485601864682,-18.003590629263027,396.0190946220241
25086,F,72.0,-127.9007933361753,1267.313221804563,11.827299696177286,15.041946266364501,-9.688984782883749,-41.8170560831609,-3.7274206387394284,-17.71900179814166,499.53262851781193
25086,F,102.0,-189.34113736678586,1991.983996002539,22.06792785682983,25.972201017128167,-20.001646833915068,-60.51336607634639,-5.818173444168901,-17.00711925712993,596.1171471510623
25086,F,120.0,-222.519300208315,2383.5769107426386,28.389809056252137,33.03385957261625,-26.494538217155522,-70.18400625373083,-6.8538807911124815,-16.42735268952576,610.0238123055436
25086,F,126.0,-232.06916058531044,2496.876436039842,30.470421251515837,35.531243653534915,-28.480528971194527,-73.0832749466717,-7.131124334385668,-16.179791565868115,607.2518086165809
25086,F,144.0,-252.2381639570706,2739.8498258030645,36.572655821423986,43.3532725020039,-33.735134588947616,-80.12800785890093,-7.729806946421995,-15.325317753308795,578.0660408559905
25086,F,150.0,-256.04116344836194,2788.3469992488103,38.25063653572207,45.814706554763525,-35.02781972672213,-81.76556337893626,-7.8332143881709655,-14.973000433172944,562.6316927579792
25086,F,168.0,-258.17483695612987,2825.810262324933,41.62118295012501,51.887251372885856,-37.27885113378186,-83.95391454386,-7.8503492294643635,-13.71546322186744,504.0373435092168
25086,F,174.0,-255.23565613977462,2795.870748824001,42.04762894183157,53.31849452723686,-37.38347337280747,-83.5524396334202,-7.742606366960551,-13.196621392353324,480.00046186998827
25086,F,192.0,-234.20582631678434,2563.96320752835,40.85658975164196,54.88930299865591,-35.57442490333781,-78.26398893458368,-7.059771345911508,-11.293278795736928,395.9180104974906
25086,F,198.0,-216.9657963050455,2371.9877644083344,38.46765246100096,53.4623527740957,-33.237195868328406,-73.04247621088676,-6.505853045389636,-10.20002510605166,351.7408583219035
25086,F,216.0,-172.14950053005091,1868.3476197619075,32.2545733284965,47.48507835760163,-27.39802597781192,-59.42843116143093,-5.164142212271012,-7.660638367875443,251.3037380967906
25086,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25086,E,12.0,13.647294587965174,-3.188511266408472,4.57619600721278,2.3981431316286437,0.0034805989364804536,-0.002088956849500251,0.0028140704095846987,-0.003466828459863788,-23.95277131209077
25086,E,24.0,51.2173886870997,-180.96712086320738,12.640935746236936,6.858428893257396,0.023907602956980266,-0.016983821508091756,0.01742772265345137,-0.024972833443825927,-67.03476869282183
25086,E,30.0,75.20332859281665,-411.2811650863584,17.719373716697792,10.002932804706681,0.028506616021622435,-0.03973537205570865,0.02051492126753372,-0.05555813653046466,-95.2626459304005
25086,E,48.0,128.4854837513464,-1108.7126446279644,30.555318015614894,19.357125430224766,-0.14295990818262097,-0.18596439937134235,-0.05714146711000007,-0.1783463878126666,-169.80012545302935
25086,E,54.0,142.6058891029158,-1293.6717042461146,33.76296818560166,22.182306250427388,-0.32152867208044733,-0.2617730522801607,-0.12007439798367148,-0.22168818617274136,-189.06969036100713
25086,E,72.0,175.34860880495748,-1722.4805594624079,41.17872925495618,29.542639339891423,-1.2478356754661515,-0.5422458349370916,-0.37417944184880947,-0.34428388943297217,-233.45688549005686
25086,E,102.0,209.34442930424277,-2181.260282552367,50.53325078468767,42.85365454354731,-7.058404256525597,-1.6657261896950402,-1.5664732140976398,-0.6926297553206944,-278.30549133918527
25086,E,120.0,214.38160806488307,-2271.4589996195596,55.947153333398084,51.09164622870568,-13.823081014157342,-2.9403653433103196,-2.7318048341271584,-1.0044487680431748,-289.3946184708292
25086,E,126.0,213.0560784046831,-2266.2533101275026,57.88515759568305,53.96189606577541,-16.76481576829703,-3.5643651225940896,-3.2089341427479185,-1.143002201956732,-290.4100048999789
25086,E,144.0,201.19146944706551,-2157.9628562460935,63.60228574269066,61.77642357690578,-26.153919044643885,-5.878075799677094,-4.689996817404558,-1.6323410673635392,-282.8038091891642
25086,E,150.0,195.2284835107058,-2098.947922450379,65.66814337343958,64.41788492569545,-29.47883905633748,-6.956212653340274,-5.192256953080228,-1.8363619299748264,-277.7377755360052
25086,E,168.0,174.2187786514789,-1882.2197841383093,72.02442329749479,72.28348421990036,-39.092299510922544,-11.204467347670349,-6.598827952302593,-2.565231722229553,-255.60450132580897
25086,E,174.0,166.1710009860269,-1796.7611605859904,74.1886007026065,74.95267962307356,-42.140866727864925,-13.091885874927737,-7.037275972692208,-2.8642931289937197,-245.43348812988012
25086,E,192.0,138.86749575135946,-1500.2035856036778,80.78172957796701,83.25980056792534,-50.70131585400223,-20.42448787206336,-8.279200825569426,-3.952040285952304,-206.7033547344014
25086,E,198.0,125.12932775736168,-1348.7233209064534,83.69110844882957,86.96609331966162,-53.995362668927214,-24.725786758673674,-8.795891004893967,-4.564588226770634,-184.57245526997843
25086,E,216.0,91.2847999436281,-972.6489872019393,90.6432035663866,96.33047092486655,-61.556902949077816,-35.21346011403769,-9.975258867996208,-5.996258188986298,-133.6364212729539
25150,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25150,X,6.0,2.7786494487527507,-0.3302428715252055,-2.8101934569814756e-15,0.0,0.0,-1.0731004720047006e-15,0.0,0.0,0.0
25150,X,24.0,11.267665191169419,-126.55637467538698,-1.7929034255541814e-12,1.0743899678808355e-12,1.7291739577018074e-12,-7.125387134111212e-13,-8.881784197001244e-13,0.0,-4.680639950227216e-11
25150,X,30.0,19.614759324554697,-205.77337490446018,-7.480734982484689e-12,4.513983749945381e-12,7.225476894682553e-12,-3.034728134829293e-12,0.0,8.881784197001244e-13,-1.9717355212673776e-10
25150,X,48.0,18.78216973009039,-219.59695668224964,-1.1240773827925902e-14,7.72942422935853e-15,8.23416170334194e-15,8.584803776037605e-15,-8.881784197001244e-13,8.881784197001244e-13,2.5507574660638777e-13
25150,X,54.0,18.782168763126222,-219.59698564944242,-5.620386913962951e-15,7.72942422935853e-15,4.11708085167097e-15,4.2924018880188024e-15,-8.881784197001244e-13,8.881784197001244e-13,1.2753787330319388e-13
25150,X,72.0,18.782168755267126,-219.5969859900106,0.0,0.0,0.0,0.0,-8.881784197001244e-13,0.0,0.0
25150,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25150,N,6.0,-0.0717607694510112,-1.9166979952401215,-1.7563709106134222e-16,0.0,-1.286587766147178e-16,0.0,2.7755575615628888e-14,2.7755575615628888e-14,-3.985558540724809e-15
25150,N,24.0,-0.019052172530724096,-0.22298393081648385,1.548748658672081e-13,-9.271912355598193e-14,-1.4916175884430386e-13,6.205748413200622e-14,8.673617379884028e-15,1.4094628242311545e-14,4.035035513546776e-12
25150,N,30.0,-0.1396083535359879,-0.4277075269831674,6.45707810650642e-13,-3.910605571041081e-13,-6.23834243110613e-13,2.62071255897398e-13,4.163336342344333e-14,6.591949208711861e-14,1.703278261860506e-11
25150,N,48.0,-1.8226192897412963e-07,-1.405071249769112e-06,1.8004847015902998e-18,-1.0915073911186077e-18,-1.7400497823349197e-18,7.314828200914715e-19,1.290401755582722e-19,1.323488980084843e-19,4.754481830243249e-17
25150,N,54.0,-1.7153955294633128e-09,-1.7380460235479846e-08,-3.7124410410030593e-19,2.059083903735237e-19,3.494608670671398e-19,-1.3636649884665142e-19,-1.9852334701272646e-20,-3.639594695233319e-20,-8.843326701940401e-18
25150,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25150,G,6.0,-4.014195443901562,0.42057854590717647,0.5723001311569597,0.01780403453533442,-2.2544477515815835,-0.00012294911534640104,-1.9401726197685303,-0.00020814505319322033,-0.17351645144258476
25150,G,24.0,-60.254995031613156,278.7708616276832,6.147242988126491,0.7893253745036597,-18.34797098107869,-0.009828137613721725,-10.782804772432533,-0.013654155921471999,-7.3753723083916185
25150,G,30.0,-83.91367697777314,541.6289424719919,9.735014089990168,1.52413603468722,-26.405146576624777,-0.024078610207750074,-17.437491579954653,-0.03106474711955795,-13.952169656651549
25150,G,48.0,-130.72295108528473,1185.6022269311902,21.04022737295445,4.3170098357366165,-47.04636224742265,-0.11645037211580056,-16.8680118918587,-0.10818939043133459,-37.16781341650004
25150,G,54.0,-141.4488935366425,1335.8081216655469,24.503217398236004,5.214594166194334,-52.19284387825581,-0.16398620048369347,-16.348455598489394,-0.13680825412620823,-43.91883338112871
25150,G,72.0,-160.91470819725612,1623.3683483290995,32.90422613499401,7.571290570408273,-62.66734471012922,-0.34780587966478604,-14.673478016753437,-0.22159039458102806,-59.559316459765036
25150,G,102.0,-156.0656313063359,1645.422175005291,39.18293389642384,9.375796028463984,-63.71247765843922,-0.7707181541649183,-10.929928660122092,-0.3366172805137066,-64.16114312878558
25150,G,120.0,-133.84284022802203,1424.3452216941869,37.16875327937297,9.070853816687697,-55.70375836804106,-1.027425566747163,-8.373630397263902,-0.36887421880749083,-55.70136569137571
25150,G,126.0,-123.78166023372383,1318.8509232492765,35.673054231940554,8.868368960158524,-52.00617081400794,-1.1035040204087443,-7.508923557470119,-0.3718022791083794,-52.13783905849071
25150,G,144.0,-91.50022326261278,978.2053489129537,29.17845400751835,7.639167293136401,-39.644655879744064,-1.2911555343365801,-5.123482127183716,-0.3616616113957246,-38.6784773013986
25150,G,150.0,-81.14467147829968,867.8306383002266,26.623959356005017,7.101171066371584,-35.491688435680494,-1.3397471272296047,-4.430887986837991,-0.35332625992001676,-33.849241974707695
25150,G,168.0,-53.97754544801402,577.5079641701552,18.984243628535776,5.4408841372172745,-24.139344858785602,-1.4733772290341633,-2.7364233105031643,-0.32382901404659464,-20.196185504482063
25150,G,174.0,-46.60320852867019,498.6556119046347,16.682313902579406,4.94370976332884,-20.933395654003508,-1.5172273647799277,-2.3051102386584232,-0.3143747893323831,-16.28427977022561
25150,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25150,F,6.0,-2.0223603522974596,0.2161570179818475,0.018366337141756405,0.27428853372504886,-0.008431882961376586,-1.1468715983439446,-0.007235469610122885,-1.9434089547871718,17.655003842795047
25150,F,24.0,-33.80505147769831,158.63405034595135,0.8930645156382275,2.8690082639016423,-0.4889567242509738,-10.021779172296126,-0.35435523544435876,-10.958103577465286,143.51321528594164
25150,F,30.0,-49.93936483960638,326.45030546598394,1.8192050079588384,4.599782973766113,-1.0754487839824085,-14.958053853044303,-0.7414388594924042,-17.8247932136628,206.67735473617108
25150,F,48.0,-92.89016167050305,848.0327465970489,6.0498413518526055,10.776116156225585,-4.257719410916416,-29.782593153416634,-2.1476123197459156,-18.14676658585766,371.5560134807639
25150,F,54.0,-107.04416450398513,1017.948762598777,7.761285228530485,13.111637667908859,-5.701371428039852,-34.52446712214349,-2.6082181095574675,-17.97823445197365,414.2228388411281
25150,F,72.0,-146.45372148793817,1487.93400710919,13.379713399990674,20.107550623226555,-10.85233623396556,-47.21520986086641,-3.9247253803154045,-17.454498855386177,509.81829573400705
25150,F,102.0,-205.84461273768102,2195.5082164116984,23.534381956251508,33.16709031333792,-20.89121472450328,-65.12338979830757,-5.76763118099421,-16.15091869467021,570.2376504253375
25150,F,120.0,-229.9450189251125,2485.3380821364385,29.05227027391161,40.56632352085373,-26.236371449057057,-72.17635070020583,-6.473968765440924,-15.059973052665029,554.6225140302889
25150,F,126.0,-234.19102559614095,2538.044886330787,30.79393259777577,43.059537711651785,-27.716973449220433,-73.64156170218216,-6.60544385419825,-14.605081312623712,539.5703387686974
25150,F,144.0,-234.25947711430248,2556.093736881098,34.32039301977221,48.79921637782556,-30.367051635786115,-74.5518634853413,-6.645230452516409,-12.952342793841598,474.2363624646136
25150,F,150.0,-229.81232345075446,2510.0773554151338,34.71385288377291,49.888627620442776,-30.526486998381433,-73.47927604240036,-6.525496513560818,-12.282825426794364,446.1734140501673
25150,F,168.0,-200.7013027096266,2190.0460515579152,32.81238675573706,49.325217373895384,-28.33184588870375,-65.14818602702728,-5.7008410744554485,-9.806961989106346,343.9252549969462
25150,F,174.0,-186.43916561376528,2031.0989109441812,31.200753827959073,47.66419523334519,-26.793417265809783,-60.83615362329065,-5.294147687745716,-8.866705838478588,306.3782629538182
25150,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25150,E,6.0,3.9531068782079672,-0.4062860719381239,1.8317429889941008,0.9828158756763676,0.0003728231489909151,-0.0005407502154210113,0.00031979218917399494,-0.0009154987736792456,-9.676980844847185
25150,E,24.0,61.50998018039181,-280.5133742484561,13.736207607137855,7.923924160187492,-0.0009535783443427255,-0.03336574962522005,-0.00011374662989283015,-0.045228717866052606,-74.27457839428948
25150,E,30.0,87.00355149897091,-555.5709018043191,19.148581211175976,11.455698275659037,-0.029606034584671592,-0.07606870194188506,-0.01913666725528172,-0.09606866666445049,-104.5074213717861
25150,E,48.0,143.08769076383464,-1291.460988628336,32.20839325067771,21.386011269782767,-0.44668860833119484,-0.33590803290943877,-0.19531805905614857,-0.28593227135331717,-178.90408969658023
25150,E,54.0,158.08569705157234,-1487.4043904411542,35.502220416603635,24.499831339365045,-0.8199584554728018,-0.48500205253383943,-0.31639068741640103,-0.36164166813534815,-197.57251511958975
25150,E,72.0,192.19673736749388,-1935.164549675513,43.26861086122891,32.90003330848364,-2.6889309620070767,-1.0948032322378571,-0.8005160159854079,-0.599794426605626,-238.89793086351628
25150,E,102.0,218.25657588277085,-2304.6768293798805,53.81973002814253,47.05494841431687,-11.40570984540377,-3.488558089156995,-2.4955029699356124,-1.2576046485150971,-268.30419957259454
25150,E,120.0,213.5145527240595,-2281.9855108457728,60.399083280121786,55.43188539135091,-20.213924489793346,-6.20816351465319,-3.960157723753351,-1.8515064745940875,-265.2923345263726
25150,E,126.0,207.94382470092293,-2227.413451120529,62.64663221815919,58.077038526462125,-23.63899828375448,-7.489853436385821,-4.515262604115828,-2.1061047030457285,-259.4330875628595
25150,E,144.0,182.80918282100336,-1969.5730126391231,70.18062209653071,66.3247314143236,-34.699083994812334,-12.672300729292445,-6.225969691826089,-3.0443789930529848,-232.68806576925047
25150,E,150.0,172.27208922495092,-1857.3672100972842,72.9576178154179,69.23071931731421,-38.49598584446078,-14.95173953055096,-6.7954866323987,-3.426900961414955,-220.53920789469592
25150,E,168.0,134.795414634218,-1449.9767563291985,81.98145277584207,78.81777418840672,-49.84871316940527,-23.931434371612923,-8.483527781322657,-4.838677103123241,-173.47502498430518
25150,E,174.0,121.02982472702932,-1298.5922151810416,85.09315146598097,82.27638691534747,-53.465572774222856,-27.50411978633369,-9.022358917121656,-5.373220024125653,-155.41105937377725
25170,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25170,X,12.0,4.558673513490454,-0.6018652864076078,1.4050967284907378e-15,0.0,1.0292702129177425e-15,0.0,0.0,0.0,3.188446832579847e-14
25170,X,18.0,9.6573241034345,-3.829644733590708,2.8101934569814756e-15,0.0,1.8526863832519365e-14,0.0,-8.881784197001244e-13,-8.881784197001244e-13,0.0
25170,X,36.0,10.737206922202263,-125.0377127814469,5.620386913962951e-15,0.0,1.6237766878990308e-11,0.0,2.220446049250311e-10,2.913225216616408e-10,1.2753787330319388e-13
25170,X,42.0,20.03931936792758,-182.34654671934464,5.620386913962951e-15,7.72942422935853e-15,1.5803456019947536e-09,0.0,2.4726887204451466e-09,3.2231994850917516e-09,0.0
25170,X,60.0,18.411522274458854,-215.26310916392202,-5.620386913962951e-15,7.72942422935853e-15,3.170152255786647e-13,0.0,-8.881784197001244e-13,0.0,0.0
25170,X,66.0,18.41150868145038,-215.26330542885563,0.0,0.0,8.23416170334194e-15,4.2924018880188024e-15,0.0,-8.881784197001244e-13,-1.2753787330319388e-13
25170,X,84.0,18.41150816170116,-215.2633112330409,0.0,-3.864712114679265e-14,-1.3343726650520973e-08,2.5754411328112814e-14,-1.7763568394002488e-12,-8.881784197001244e-13,-6.376893665159695e-13
25170,X,108.0,18.411508161700304,-215.26330858566098,-5.620386913962951e-15,-3.091769691743412e-14,-1.901267937301654e-11,2.1462009440094012e-14,-1.7763568394002488e-12,0.0,0.0
25170,X,114.0,18.411508161700304,-215.26330820999974,0.0,-3.864712114679265e-14,-2.1408820428689046e-12,2.1462009440094012e-14,-8.881784197001244e-13,0.0,-1.2753787330319388e-13
25170,X,138.0,18.41150816170032,-215.26330816356815,-5.620386913962951e-15,-3.864712114679265e-14,-4.11708085167097e-15,4.2924018880188024e-15,-1.7763568394002488e-12,-1.7763568394002488e-12,-1.2753787330319388e-13
25170,X,156.0,18.411508161700304,-215.2633081629871,0.0,-3.864712114679265e-14,0.0,0.0,0.0,0.0,-1.2753787330319388e-13
25170,X,162.0,18.0191356295185,-210.67185374792575,-0.13504370087139583,-0.0938349817305276,0.048979553484885315,0.0,-8.881784197001244e-13,-8.881784197001244e-13,0.0
25170,X,180.0,16.6886046634451,-195.09358006552128,-0.5990433457808211,-0.5392264358797636,0.28215600313438605,0.058779404600960344,0.005863650319071207,0.0017408804362517556,1.9132688739408361
25170,X,186.0,16.54620153799135,-193.48549559486165,-0.6302581569400766,-0.5692856317467132,0.2980461092450189,0.062026263501842295,0.008516760990673326,0.0025632381337459243,2.0406219323030057
25170,X,204.0,16.054818838160006,-187.92552214928574,-0.7485507708748758,-0.6853717911036438,0.3645842371974793,0.07815666151302916,0.01932688190553476,0.0062465457473237455,2.473038416198576
25170,X,210.0,15.891971131518789,-186.08036410219225,-0.7915719704347743,-0.7283372688048595,0.3906371822448608,0.08566281630192356,0.023472662910251053,0.00781819701156649,2.6117658966726487
25170,X,252.0,14.773043609766779,-173.40812416884788,-1.1614969272541873,-1.1106189312548955,0.6373837209081961,0.1922667529525558,0.06194703628459303,0.026877135431924135,3.4294726977812617
25170,X,324.0,13.590787115880255,-159.95202316529165,-1.911897013553423,-1.9376458893991062,1.1926392922880151,0.6025208697797585,0.14813306551175728,0.08850453668252092,3.6735614001414008
25170,X,330.0,13.506785761623506,-158.97410696855826,-1.9816949227620817,-2.016090717863372,1.2455189933645117,0.6470966235034504,0.15628063225925345,0.09471969012508899,3.6661626361532957
25170,X,348.0,13.282224995721705,-156.35153962228856,-2.1675556772581728,-2.225109222903331,1.3864310062896206,0.7670295823908426,0.17798822810632925,0.1112869101129731,3.6454455911803247
25170,X,354.0,13.202868172983589,-155.42348842158438,-2.2325172713118446,-2.2981953197404934,1.4356869115116921,0.8091481607299327,0.18558269700452695,0.11708491805162415,3.637916964936712
25170,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25170,N,12.0,-0.12760907945526795,-3.0247595142476493,0.0,0.0,-1.286587766147178e-16,0.0,0.0,2.7755575615628888e-14,0.0
25170,N,18.0,-0.33906256702057025,-5.38647739264279,0.0,0.0,-1.2865877661471782e-15,0.0,0.0,5.5511151231257777e-14,0.0
25170,N,36.0,-0.0016428792465410262,-0.023431977234354324,-8.576029836979601e-19,0.0,-1.40286093675434e-12,2.619874199230226e-19,-1.919245198964829e-11,-2.5132971875549392e-11,0.0
25170,N,42.0,-0.31371474509602987,-0.8414927200796937,-1.3172781829600667e-16,0.0,-1.3653282240231517e-10,2.0120633850088136e-16,-2.1364160440739947e-10,-2.784508734698929e-10,-2.9891689055436066e-15
25170,N,60.0,-1.821251139567047e-06,-1.010466062104762e-05,-1.3400046620280626e-21,-4.607095855092126e-22,-2.7225770299130428e-14,2.5584708976857677e-22,-1.775772810183117e-14,-2.3125217069904055e-14,-3.8009248168228237e-20
25170,N,66.0,-2.0960182714617133e-08,-1.467718561784049e-07,-1.8320376238664918e-23,-1.079788091037217e-23,-6.306505545461706e-16,0.0,2.326577821703397e-16,3.011714979468818e-16,-3.563367015771397e-22
25170,N,84.0,2.8932345765016806e-08,3.0453087028839086e-07,-1.6357478784522248e-24,3.600782183612651e-15,1.1528189245270213e-09,-2.024561261495724e-15,-3.536627252582718e-16,-4.630188973699259e-16,5.941402435534957e-14
25170,N,108.0,2.8932426577520623e-08,4.0187749163066546e-08,-6.3896401502040035e-28,3.646377152402587e-15,1.6426358684492651e-12,-2.024952833171465e-15,-4.802920829212582e-17,-6.351816526218124e-17,7.619713455778796e-16
25170,N,114.0,2.8932426575610322e-08,4.470605872943954e-09,2.7954675657142513e-28,3.4448585994038113e-15,1.848235792868352e-13,-1.9130429213402272e-15,-5.216940235431857e-17,-6.737546355488086e-17,9.165135917829508e-17
25170,N,138.0,2.8932426575356302e-08,5.5943960758480815e-11,1.342647316108083e-28,3.5039246901950233e-15,2.4000939039437503e-16,-2.4495373457509924e-16,1.3675363477032918e-17,1.8668380750767843e-17,1.7364186918405596e-21
25170,N,156.0,2.893242657535625e-08,6.956734354391684e-13,-2.343307609330129e-28,3.647819439577174e-15,-1.2935932026946974e-17,-2.5916323289159523e-17,-1.8533932881955004e-16,-2.413336660251021e-16,7.351737060200528e-27
25170,N,162.0,2.893242657535625e-08,6.956734354143206e-13,-2.343271047515915e-28,3.5295821217110216e-15,-1.2935931955802175e-17,-2.5075853356586746e-17,-1.853395033029605e-16,-2.4133365310040504e-16,8.77283579315216e-28
