batch,timestamp,flow_filt_sccm,is_spike,n_raw_rows,t_h,flow_filt_sccm_physical,co2_offgas_equivalent_g_l_h,co2_observed_increment_g_l,co2_cumulative_observed_lower_bound_g_l,co2_segment,t0,reactor_volume_l
LAB006,2026-04-09 21:00:00,6.2096,0.0,58,80.0,6.2096,0.36577741054697954,0.06056578288123667,13.990208160022751,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-09 21:10:00,6.2821,0.0,58,80.16666666666667,6.2821,0.3700480338181493,0.061318787030429145,14.05152694705318,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-09 21:20:00,6.3393,0.0,59,80.33333333333333,6.3393,0.37341740831623094,0.06195545351119483,14.113482400564374,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-09 21:30:00,6.34195,0.0,58,80.5,6.34195,0.3735735069599357,0.06224924293968233,14.175731643504056,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-09 21:40:00,6.347300000000001,0.0,58,80.66666666666667,6.347300000000001,0.3738886495047738,0.06228851303872756,14.238020156542783,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-09 21:50:00,6.3636,0.0,59,80.83333333333333,6.3636,0.3748488034264299,0.06239478774426342,14.300414944287047,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-09 22:00:00,6.3523499999999995,0.0,58,81.0,6.3523499999999995,0.3741861205050414,0.06241957699429105,14.362834521281338,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-09 22:10:00,6.3548,0.0,58,81.16666666666667,6.3548,0.3743304381190327,0.062376379885341275,14.425210901166679,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-09 22:20:00,6.3761,0.0,58,81.33333333333333,6.3761,0.3755851177835281,0.06249296299187651,14.487703864158556,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-09 22:30:00,6.3707,0.0,59,81.5,6.3707,0.3752670299812617,0.06257101231373426,14.55027487647229,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-09 22:40:00,6.3814,0.0,58,81.66666666666667,6.3814,0.37589731507093777,0.06259702875435173,14.612871905226642,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-09 22:50:00,6.41385,0.0,58,81.83333333333333,6.41385,0.37780878714196486,0.06280884185107165,14.675680747077713,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-09 23:00:00,6.4059,0.0,59,82.0,6.4059,0.3773404912108503,0.06292910652940305,14.738609853607116,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-09 23:10:00,6.39625,0.0,58,82.16666666666667,6.39625,0.37677205652717055,0.06284271231150353,14.80145256591862,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-09 23:20:00,6.4381,0.0,58,82.33333333333333,6.4381,0.37923723699473544,0.06300077446015526,14.864453340378775,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-09 23:30:00,6.4809,0.0,58,82.5,6.4809,0.38175837735343976,0.06341630119568308,14.927869641574459,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-09 23:40:00,6.5039,0.0,59,82.66666666666667,6.5039,0.38311319577050046,0.06373929776033016,14.991608939334789,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-09 23:50:00,6.5534,0.0,58,82.83333333333333,6.5534,0.3860290006246096,0.06409518303292219,15.055704122367711,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 00:00:00,6.58575,0.0,58,83.0,6.58575,0.3879345821807798,0.06449696523378429,15.120201087601496,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 00:10:00,6.566050000000001,0.0,58,83.16666666666667,6.566050000000001,0.386774150753993,0.06455906107789958,15.184760148679395,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 00:20:00,6.5442,0.0,59,83.33333333333333,6.5442,0.3854870732577853,0.06435510200097787,15.249115250680372,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 00:30:00,6.55485,0.0,58,83.5,6.55485,0.38611441309003297,0.06430012386232001,15.313415374542693,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 00:40:00,6.5432500000000005,0.0,58,83.66666666666667,6.5432500000000005,0.3854311133666458,0.0642954605380584,15.377710835080752,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 00:50:00,6.5033,0.0,59,83.83333333333333,6.5033,0.38307785268135985,0.06404241383733017,15.441753248918081,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 01:00:00,6.4962,0.0,58,84.0,6.4962,0.382659626126528,0.0638114565673258,15.505564705485407,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 01:10:00,6.53585,0.0,58,84.16666666666667,6.53585,0.3849952152672437,0.06397123678281612,15.569535942268223,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 01:20:00,6.54045,0.0,58,84.33333333333333,6.54045,0.38526617895065585,0.06418844951815464,15.633724391786377,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 01:30:00,6.5173,0.0,59,84.5,6.5173,0.3839025247613098,0.06409739197599897,15.697821783762375,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 01:40:00,6.5337,0.0,58,84.66666666666667,6.5337,0.38486856919782275,0.06406425782992954,15.761886041592305,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 01:50:00,6.584099999999999,0.0,58,84.83333333333333,6.584099999999999,0.38783738868564277,0.0643921631569518,15.826278204749258,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 02:00:00,6.587350000000001,0.0,58,85.0,6.587350000000001,0.3880288304184885,0.06465551825867943,15.890933723007937,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 02:10:00,6.5525,0.0,59,85.16666666666667,6.5525,0.38597598599089855,0.06450040136745076,15.955434124375387,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 02:20:00,6.54655,0.0,58,85.33333333333333,6.54655,0.3856255003569198,0.06430012386231454,16.0197342482377,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 02:30:00,6.59025,0.0,58,85.5,6.59025,0.3881996553493352,0.06448542964218974,16.08421967787989,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 02:40:00,6.616,0.0,59,85.66666666666667,6.616,0.38971646292495754,0.06482634318952624,16.149046021069417,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 02:50:00,6.5949,0.0,58,85.83333333333333,6.5949,0.3884735642901757,0.06484916893459075,16.213895190004006,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 03:00:00,6.5905000000000005,0.0,58,86.0,6.5905000000000005,0.3882143816364772,0.06472399549388959,16.278619185497895,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 03:10:00,6.6383,0.0,58,86.16666666666667,6.6383,0.39103004773802086,0.06493703578121002,16.343556221279105,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 03:20:00,6.6802,0.0,59,86.33333333333333,6.6802,0.39349817346301413,0.06537735176674919,16.408933573045854,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 03:30:00,6.67685,0.0,58,86.5,6.67685,0.39330084121531184,0.06556658455652903,16.47450015760238,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 03:40:00,6.67915,0.0,58,86.66666666666667,6.67915,0.3934363230570179,0.06556143035602935,16.540061587958412,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 03:50:00,6.7233,0.0,58,86.83333333333333,6.7233,0.39603698536628895,0.06578944236860516,16.605851030327017,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 04:00:00,6.7544,0.0,59,87.0,6.7544,0.39786893548674934,0.06615882673775507,16.672009857064772,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 04:10:00,6.72535,0.0,58,87.16666666666667,6.72535,0.39615774092085293,0.0661688897006354,16.738178746765406,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 04:20:00,6.68745,0.0,58,87.33333333333333,6.68745,0.3939252357901311,0.06584024805924493,16.804018994824652,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 04:30:00,6.6985,0.0,59,87.5,6.6985,0.394576137681806,0.06570844778932995,16.869727442613982,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 04:40:00,6.75035,0.0,58,87.66666666666667,6.75035,0.3976303696350495,0.06601720894307317,16.935744651557055,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 04:50:00,6.758100000000001,0.0,58,87.83333333333333,6.758100000000001,0.3980868845364504,0.06630977118095455,17.00205442273801,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 05:00:00,6.72565,0.0,58,88.0,6.72565,0.3961754124654233,0.06618852475015803,17.068242947488166,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 05:10:00,6.7169,0.0,59,88.16666666666667,6.7169,0.3956599924154546,0.06598628374007504,17.13422923122824,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 05:20:00,6.7557,0.0,58,88.33333333333333,6.7557,0.3979455121798875,0.06613379204960808,17.20036302327785,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 05:30:00,6.7972,0.0,58,88.5,6.7972,0.4003900758454536,0.06652796566878032,17.266890988946628,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 05:40:00,6.7849,0.0,58,88.66666666666667,6.7849,0.3996655425180691,0.06667130153029545,17.333562290476923,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 05:50:00,6.764,0.0,59,88.83333333333333,6.764,0.39843442491300074,0.06650833061925204,17.400070621096177,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 06:00:00,6.777699999999999,0.0,58,89.0,6.777699999999999,0.39924142544838037,0.06647298753011698,17.466543608626292,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 06:10:00,6.82495,0.0,58,89.16666666666667,6.82495,0.4020246937182118,0.06677217659721792,17.53331578522351,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 06:20:00,6.8355999999999995,0.0,58,89.33333333333333,6.8355999999999995,0.4026520335504594,0.06705639393905212,17.600372179162562,2,2026-04-06 13:00:00,2.0
