batch,kind,source,source_priority,relative_path,part_number,path,n_rows_raw,n_rows_valid,timestamp_min,timestamp_max
LAB005,temperature,repository_fallback,1,Temp_F2_LAB005_PT2.csv,2,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\raw_data\Temp_F2_LAB005_PT2.csv,179382,179382,2026-04-07 08:21:03,2026-04-14 11:40:25
LAB005,temperature,repository_fallback,1,Desktop_CyT_Tablero_Proceso\Temp_F2_lab005.csv,1,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\raw_data\Desktop_CyT_Tablero_Proceso\Temp_F2_lab005.csv,17333,17333,2026-04-06 14:46:55,2026-04-07 07:13:24
LAB005,co2,external_primary,0,Lote 2\LAB005\CO2_FILT_F2_lab005.csv,1,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Proyectos I+D\PI-4497\Resultados\2026\Lecturas Tablero Laboratorio 2026\Lote 2\LAB005\CO2_FILT_F2_lab005.csv,5776,5776,2026-04-06 14:47:13,2026-04-07 07:13:18
LAB005,co2,external_primary,0,Lote 2\LAB005\CO2_FILT_F2_LAB005_PT2.csv,2,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Proyectos I+D\PI-4497\Resultados\2026\Lecturas Tablero Laboratorio 2026\Lote 2\LAB005\CO2_FILT_F2_LAB005_PT2.csv,59772,59772,2026-04-07 08:23:55,2026-04-14 11:40:23
LAB005,co2,repository_fallback,1,CO2_FILT_F2_LAB005_PT2.csv,2,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\raw_data\CO2_FILT_F2_LAB005_PT2.csv,59772,59772,2026-04-07 08:23:55,2026-04-14 11:40:23
LAB005,co2,repository_fallback,1,Desktop_CyT_Tablero_Proceso\CO2_FILT_F2_lab005.csv,1,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\raw_data\Desktop_CyT_Tablero_Proceso\CO2_FILT_F2_lab005.csv,5776,5776,2026-04-06 14:47:13,2026-04-07 07:13:18
LAB006,temperature,external_primary,0,Lote 2\LAB006\Temp_F3_lab006.csv,1,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Proyectos I+D\PI-4497\Resultados\2026\Lecturas Tablero Laboratorio 2026\Lote 2\LAB006\Temp_F3_lab006.csv,17325,17325,2026-04-06 14:47:23,2026-04-07 07:13:25
LAB006,temperature,external_primary,0,Lote 2\LAB006\Temp_F3_LAB006_PT2.csv,2,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Proyectos I+D\PI-4497\Resultados\2026\Lecturas Tablero Laboratorio 2026\Lote 2\LAB006\Temp_F3_LAB006_PT2.csv,203070,203070,2026-04-07 08:21:28,2026-04-15 10:39:55
LAB006,temperature,repository_fallback,1,Temp_F3_LAB006_PT2.csv,2,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\raw_data\Temp_F3_LAB006_PT2.csv,203070,203070,2026-04-07 08:21:28,2026-04-15 10:39:55
LAB006,temperature,repository_fallback,1,Desktop_CyT_Tablero_Proceso\Temp_F3_lab006.csv,1,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\raw_data\Desktop_CyT_Tablero_Proceso\Temp_F3_lab006.csv,17325,17325,2026-04-06 14:47:23,2026-04-07 07:13:25
LAB006,co2,external_primary,0,Lote 2\LAB006\CO2_FILT_F3_lab006.csv,1,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Proyectos I+D\PI-4497\Resultados\2026\Lecturas Tablero Laboratorio 2026\Lote 2\LAB006\CO2_FILT_F3_lab006.csv,5773,5773,2026-04-06 14:47:43,2026-04-07 07:13:18
LAB006,co2,external_primary,0,Lote 2\LAB006\CO2_FILT_F3_LAB006_PT2.csv,2,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Proyectos I+D\PI-4497\Resultados\2026\Lecturas Tablero Laboratorio 2026\Lote 2\LAB006\CO2_FILT_F3_LAB006_PT2.csv,67683,67683,2026-04-07 08:24:36,2026-04-15 10:39:58
LAB006,co2,repository_fallback,1,CO2_FILT_F3_LAB006_PT2.csv,2,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\raw_data\CO2_FILT_F3_LAB006_PT2.csv,67683,67683,2026-04-07 08:24:36,2026-04-15 10:39:58
LAB006,co2,repository_fallback,1,Desktop_CyT_Tablero_Proceso\CO2_FILT_F3_lab006.csv,1,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\raw_data\Desktop_CyT_Tablero_Proceso\CO2_FILT_F3_lab006.csv,5773,5773,2026-04-06 14:47:43,2026-04-07 07:13:18
LAB007,temperature,external_primary,0,Lote 3\LAB007\Temp_F1_lab007.csv,1,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Proyectos I+D\PI-4497\Resultados\2026\Lecturas Tablero Laboratorio 2026\Lote 3\LAB007\Temp_F1_lab007.csv,148435,148435,2026-04-17 11:20:36,2026-04-24 09:37:30
LAB007,temperature,repository_fallback,1,Temp_F1_lab007.csv,1,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\raw_data\Temp_F1_lab007.csv,148435,148435,2026-04-17 11:20:36,2026-04-24 09:37:30
LAB007,co2,external_primary,0,Lote 3\LAB007\CO2_FILT_F1_lab007.csv,1,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Proyectos I+D\PI-4497\Resultados\2026\Lecturas Tablero Laboratorio 2026\Lote 3\LAB007\CO2_FILT_F1_lab007.csv,50677,50677,2026-04-17 11:21:01,2026-04-24 09:37:51
LAB007,co2,repository_fallback,1,CO2_FILT_F1_lab007.csv,1,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\raw_data\CO2_FILT_F1_lab007.csv,50677,50677,2026-04-17 11:21:01,2026-04-24 09:37:51
LAB008,temperature,external_primary,0,Lote 3\LAB008\Temp_F2_lab008.csv,1,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Proyectos I+D\PI-4497\Resultados\2026\Lecturas Tablero Laboratorio 2026\Lote 3\LAB008\Temp_F2_lab008.csv,148426,148426,2026-04-17 11:21:11,2026-04-24 09:37:35
LAB008,temperature,repository_fallback,1,Temp_F2_lab008.csv,1,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\raw_data\Temp_F2_lab008.csv,148426,148426,2026-04-17 11:21:11,2026-04-24 09:37:35
LAB008,co2,external_primary,0,Lote 3\LAB008\CO2_FILT_F2_lab008.csv,1,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Proyectos I+D\PI-4497\Resultados\2026\Lecturas Tablero Laboratorio 2026\Lote 3\LAB008\CO2_FILT_F2_lab008.csv,50675,50675,2026-04-17 11:21:22,2026-04-24 09:37:51
LAB008,co2,repository_fallback,1,CO2_FILT_F2_lab008.csv,1,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\raw_data\CO2_FILT_F2_lab008.csv,50675,50675,2026-04-17 11:21:22,2026-04-24 09:37:51
LAB009,temperature,external_primary,0,Lote 3\LAB009\Temp_F3_lab009.csv,1,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Proyectos I+D\PI-4497\Resultados\2026\Lecturas Tablero Laboratorio 2026\Lote 3\LAB009\Temp_F3_lab009.csv,148421,148421,2026-04-17 11:21:32,2026-04-24 09:37:39
LAB009,temperature,repository_fallback,1,Temp_F3_lab009.csv,1,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\raw_data\Temp_F3_lab009.csv,148421,148421,2026-04-17 11:21:32,2026-04-24 09:37:39
LAB009,co2,external_primary,0,Lote 3\LAB009\CO2_FILT_F3_lab009.csv,1,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Proyectos I+D\PI-4497\Resultados\2026\Lecturas Tablero Laboratorio 2026\Lote 3\LAB009\CO2_FILT_F3_lab009.csv,50673,50673,2026-04-17 11:21:53,2026-04-24 09:38:02
LAB009,co2,repository_fallback,1,CO2_FILT_F3_lab009.csv,1,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\raw_data\CO2_FILT_F3_lab009.csv,50673,50673,2026-04-17 11:21:53,2026-04-24 09:38:02
LAB010,temperature,external_primary,0,Lote 4\LAB010\Temp_F1_lab10_PT2.csv,2,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Proyectos I+D\PI-4497\Resultados\2026\Lecturas Tablero Laboratorio 2026\Lote 4\LAB010\Temp_F1_lab10_PT2.csv,152377,152377,2026-05-13 14:38:15,2026-05-22 09:19:35
LAB010,temperature,repository_fallback,1,Temp_F1_lab010.csv,1,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\raw_data\Temp_F1_lab010.csv,20793,20792,2026-05-12 16:13:16,2026-05-13 11:58:36
LAB010,temperature,repository_fallback,1,Temp_F1_lab10_PT2.csv,2,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\raw_data\Temp_F1_lab10_PT2.csv,152377,152377,2026-05-13 14:38:15,2026-05-22 09:19:35
LAB010,co2,external_primary,0,Lote 4\LAB010\CO2_FILT_F1_lab10_PT2.csv,2,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Proyectos I+D\PI-4497\Resultados\2026\Lecturas Tablero Laboratorio 2026\Lote 4\LAB010\CO2_FILT_F1_lab10_PT2.csv,56735,56735,2026-05-13 14:39:32,2026-05-22 09:20:28
LAB010,co2,repository_fallback,1,Co2_FILT_F1_lab010.csv,1,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\raw_data\Co2_FILT_F1_lab010.csv,6925,6925,2026-05-12 16:14:47,2026-05-13 11:59:02
LAB010,co2,repository_fallback,1,CO2_FILT_F1_lab10_PT2.csv,2,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\raw_data\CO2_FILT_F1_lab10_PT2.csv,56735,56735,2026-05-13 14:39:32,2026-05-22 09:20:28
LAB011,temperature,external_primary,0,Lote 4\LAB011\Temp_F2_lab11_PT2.csv,2,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Proyectos I+D\PI-4497\Resultados\2026\Lecturas Tablero Laboratorio 2026\Lote 4\LAB011\Temp_F2_lab11_PT2.csv,152382,152382,2026-05-13 14:40:25,2026-05-22 09:22:12
LAB011,temperature,repository_fallback,1,Temp_F2_lab011.csv,1,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\raw_data\Temp_F2_lab011.csv,20773,20772,2026-05-12 16:14:49,2026-05-13 11:59:01
LAB011,temperature,repository_fallback,1,Temp_F2_lab11_PT2.csv,2,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\raw_data\Temp_F2_lab11_PT2.csv,152382,152382,2026-05-13 14:40:25,2026-05-22 09:22:12
LAB011,co2,external_primary,0,Lote 4\LAB011\CO2_FILT_F2_lab11_PT2..csv,2,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Proyectos I+D\PI-4497\Resultados\2026\Lecturas Tablero Laboratorio 2026\Lote 4\LAB011\CO2_FILT_F2_lab11_PT2..csv,56755,56755,2026-05-13 14:40:31,2026-05-22 09:24:29
LAB011,co2,repository_fallback,1,CO2_FILT_F2_lab011.csv,1,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\raw_data\CO2_FILT_F2_lab011.csv,6923,6923,2026-05-12 16:15:07,2026-05-13 11:59:02
LAB011,co2,repository_fallback,1,CO2_FILT_F2_lab11_PT2..csv,2,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\raw_data\CO2_FILT_F2_lab11_PT2..csv,56755,56755,2026-05-13 14:40:31,2026-05-22 09:24:29
LAB012,temperature,external_primary,0,Lote 4\LAB012\Temp_F3_lab12_PT2.csv,2,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Proyectos I+D\PI-4497\Resultados\2026\Lecturas Tablero Laboratorio 2026\Lote 4\LAB012\Temp_F3_lab12_PT2.csv,152414,152414,2026-05-13 14:40:26,2026-05-22 09:24:55
LAB012,temperature,repository_fallback,1,Temp_F3_lab012.csv,1,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\raw_data\Temp_F3_lab012.csv,20767,20766,2026-05-12 16:15:11,2026-05-13 11:59:02
LAB012,temperature,repository_fallback,1,Temp_F3_lab12_PT2.csv,2,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\raw_data\Temp_F3_lab12_PT2.csv,152414,152414,2026-05-13 14:40:26,2026-05-22 09:24:55
LAB012,co2,external_primary,0,Lote 4\LAB012\CO2_FILT_F3_lab12_PT2.csv,2,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Proyectos I+D\PI-4497\Resultados\2026\Lecturas Tablero Laboratorio 2026\Lote 4\LAB012\CO2_FILT_F3_lab12_PT2.csv,56763,56763,2026-05-13 14:40:31,2026-05-22 09:25:51
LAB012,co2,repository_fallback,1,CO2_FILT_F3_lab012.csv,1,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\raw_data\CO2_FILT_F3_lab012.csv,6921,6921,2026-05-12 16:15:28,2026-05-13 11:59:02
LAB012,co2,repository_fallback,1,CO2_FILT_F3_lab12_PT2.csv,2,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\raw_data\CO2_FILT_F3_lab12_PT2.csv,56763,56763,2026-05-13 14:40:31,2026-05-22 09:25:51
