activity,category,evidence_requirement,role_in_bundle,status,source_path,bundle_path,bytes,sha256
OE2-2.13,reportes,"Metricas, sensibilidad y supuestos",Reporte fuente,ok,fermentation_model/results/aroma_symbolic_unifac_trial_report.md,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/source_reports/results__aroma_symbolic_unifac_trial_report.md,2490,6aee4a9f49068a91998ed8eccde0250d4cf7fb8365757e42fb0d9fa85e72569b
OE2-2.13,tablas_fuente,"Parametros, cierre, metricas y sensibilidad",Tabla fuente,ok,fermentation_model/results/new_must_glycerol_estimability_doe/fit_summary.csv,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/source_tables/nmg_doe__fit_summary.csv,1181,ee4a2c93a9efa59d0a6475366092115afe109cecda03b1463d1b23def7018131
OE2-2.13,tablas_fuente,"Parametros, cierre, metricas y sensibilidad",Tabla fuente,ok,fermentation_model/results/new_must_glycerol_estimability_doe/theta_fit_table.csv,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/source_tables/nmg_doe__theta_fit_table.csv,1337,4252a2b38085a70cb9af53616e21573912d3d76b63b236a57af854ff1fbd3afa
OE2-2.13,tablas_fuente,"Parametros, cierre, metricas y sensibilidad",Tabla fuente,ok,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/source_tables/nmg_doe__parameter_estimability_summary.csv,8368,f950936230112693e8612477253a3ff2f75662a2c7689ef8382156003fb0258f
OE2-2.13,tablas_fuente,"Parametros, cierre, metricas y sensibilidad",Tabla fuente,ok,fermentation_model/results/new_must_glycerol_estimability_doe/profile_summary_combined.csv,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/source_tables/nmg_doe__profile_summary_combined.csv,1140,7a9878435e877cd8811ca9dd91e078c5f2bc2fce129ea8681b62eccbaa41f562
OE2-2.13,tablas_fuente,"Parametros, cierre, metricas y sensibilidad",Tabla fuente,ok,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/source_tables/sec_fit__fit_capacity_summary.csv,9456,13c8e09a0481afaa8fc7e012a868032eda3c8b60a3612118b9fdddcc2d0f85e5
OE2-2.13,tablas_fuente,"Parametros, cierre, metricas y sensibilidad",Tabla fuente,ok,fermentation_model/results/secondary_fit_capacity/fit_capacity_state_metrics.csv,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/source_tables/sec_fit__fit_capacity_state_metrics.csv,26343,e0eef81741f99fdb7a08abf7ee710bcaf8fbf57760fd3368fc89fb423d0ed210
OE2-2.13,tablas_fuente,"Parametros, cierre, metricas y sensibilidad",Tabla fuente,ok,fermentation_model/results/aroma_campaign_doe/aroma_campaign_parameter_reduction.csv,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/source_tables/aroma__aroma_campaign_parameter_reduction.csv,454,0c2de138af1c280fb75c173221b0af9da510be7117426747b61903ee94ae2a03
OE2-2.13,tablas_fuente,"Parametros, cierre, metricas y sensibilidad",Tabla fuente,ok,fermentation_model/results/aroma_campaign_doe/aroma_campaign_selected.csv,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/source_tables/aroma__aroma_campaign_selected.csv,6967,5eb81a810f0ee776d46a109739fca9a1b9f3693ec308de29b59e83b43c75b77b
OE2-2.13,tablas_fuente,"Parametros, cierre, metricas y sensibilidad",Tabla fuente,ok,fermentation_model/results/aroma_campaign_doe/aroma_candidate_ranking.csv,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/source_tables/aroma__aroma_candidate_ranking.csv,11951,7020e8661355b877d0dd2ba3b7fa604145999f2276553989564989727fa3b061
OE2-2.13,tablas_fuente,"Parametros, cierre, metricas y sensibilidad",Tabla fuente,ok,fermentation_model/results/aroma_campaign_doe/aroma_campaign_simulations.csv,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/source_tables/aroma__aroma_campaign_simulations.csv,607065,1a742ddfe406d6325910110f433b9fdbd267fce286b677c9b2f76b69935766f1
OE2-2.13,tablas_fuente,"Parametros, cierre, metricas y sensibilidad",Tabla fuente,ok,fermentation_model/results/aroma_campaign_doe/aroma_campaign_metadata.json,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/source_tables/aroma__aroma_campaign_metadata.json,3949,c43eb407318799432599db7a5bf6c0955300b5216ca4818e391ae7792c190f99
OE2-2.13,tablas_fuente,"Parametros, cierre, metricas y sensibilidad",Tabla fuente,ok,fermentation_model/results/aroma_joint_campaign_doe/aroma_campaign_parameter_reduction.csv,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/source_tables/aroma_joint__aroma_campaign_parameter_reduction.csv,1319,5083d3f6d95886d791017295bd05189df782a0dbc4ed3287ef00df0e6527485f
OE2-2.13,tablas_fuente,"Parametros, cierre, metricas y sensibilidad",Tabla fuente,ok,fermentation_model/results/aroma_joint_campaign_doe/aroma_campaign_selected.csv,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/source_tables/aroma_joint__aroma_campaign_selected.csv,15867,3f8e34af443078291ea3142574a50b34461fb30588eb07a79407a19f00b07f97
OE2-2.13,tablas_fuente,"Parametros, cierre, metricas y sensibilidad",Tabla fuente,ok,fermentation_model/results/aroma_joint_campaign_doe/aroma_candidate_ranking.csv,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/source_tables/aroma_joint__aroma_candidate_ranking.csv,24631,34c931e1ecdab8d356e34351040ee3748187223fc7480cbd13ce44a72d4f8057
OE2-2.13,tablas_fuente,"Parametros, cierre, metricas y sensibilidad",Tabla fuente,ok,fermentation_model/results/aroma_joint_campaign_doe/aroma_campaign_simulations.csv,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/source_tables/aroma_joint__aroma_campaign_simulations.csv,589163,2eb89cb6ee8835c0c277d2fd5bcf7eea5b946966c7835e24416eb98eef937961
OE2-2.13,tablas_fuente,"Parametros, cierre, metricas y sensibilidad",Tabla fuente,ok,fermentation_model/results/aroma_joint_campaign_doe/aroma_campaign_metadata.json,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/source_tables/aroma_joint__aroma_campaign_metadata.json,4163,caf8c623c293d42e9ead00b7e170f86370b13624647c5e8dc295d23c52656b3a
OE2-2.13,tablas_fuente,"Parametros, cierre, metricas y sensibilidad",Tabla fuente,ok,fermentation_model/results/aroma_joint_campaign_doe/aroma_eigen_summary.csv,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/source_tables/aroma_joint__aroma_eigen_summary.csv,264,b0827e22f68c81ec0d3ce8ef6989df7813d93229b9f24cbb837772c14aac0c8f
OE2-2.13,tablas_fuente,"Parametros, cierre, metricas y sensibilidad",Tabla fuente,ok,fermentation_model/results/aroma_joint_campaign_doe/aroma_eigen_spectrum.csv,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/source_tables/aroma_joint__aroma_eigen_spectrum.csv,5244,41832a0272295818785270f2afd9f870caa91c35009e861e4b0ced8c838d30ef
OE2-2.13,tablas_fuente,"Parametros, cierre, metricas y sensibilidad",Tabla fuente,ok,fermentation_model/results/aroma_joint_campaign_doe/aroma_weak_eigendirection_top_loadings.csv,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/source_tables/aroma_joint__aroma_weak_eigendirection_top_loadings.csv,7268,e7517ed48f1c9e3afcf971e7d872cc3df635fa5e54539ac7e5edbcc0f939f092
OE2-2.13,figuras,Analisis de sensibilidad y diseno,Figura campana aromas: aroma_campaign_inputs_cold_synthesis_hot_stripping.png,ok,fermentation_model/results/aroma_campaign_doe/aroma_campaign_inputs_cold_synthesis_hot_stripping.png,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/figures/aroma__aroma_campaign_inputs_cold_synthesis_hot_stripping.png,89469,a8aa9659e3f73973763a15ef6d22849d18cf4b2facb925ec8da4fe2ade4f03d8
OE2-2.13,figuras,Analisis de sensibilidad y diseno,Figura campana aromas: aroma_campaign_inputs_combined_stress_long_horizon.png,ok,fermentation_model/results/aroma_campaign_doe/aroma_campaign_inputs_combined_stress_long_horizon.png,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/figures/aroma__aroma_campaign_inputs_combined_stress_long_horizon.png,83347,35f63e928ba17fc3d49a39182b2d106c46986dab83381cc75d24929b0459b083
OE2-2.13,figuras,Analisis de sensibilidad y diseno,Figura campana aromas: aroma_campaign_inputs_ethanol_partition_late_pulse.png,ok,fermentation_model/results/aroma_campaign_doe/aroma_campaign_inputs_ethanol_partition_late_pulse.png,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/figures/aroma__aroma_campaign_inputs_ethanol_partition_late_pulse.png,90145,e7fbccef3e5780675923a09c6d64726609d8725f09105c540e5260976eaf4e4f
OE2-2.13,figuras,Analisis de sensibilidad y diseno,Figura campana aromas: aroma_campaign_inputs_fructose_rich_iG_probe.png,ok,fermentation_model/results/aroma_campaign_doe/aroma_campaign_inputs_fructose_rich_iG_probe.png,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/figures/aroma__aroma_campaign_inputs_fructose_rich_iG_probe.png,87183,7517ce0494194e5020b7bd75f0b55449c0c631883c935f0f75fee536450a1373
OE2-2.13,figuras,Analisis de sensibilidad y diseno,Figura campana aromas: aroma_campaign_inputs_glucose_rich_growth_yield.png,ok,fermentation_model/results/aroma_campaign_doe/aroma_campaign_inputs_glucose_rich_growth_yield.png,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/figures/aroma__aroma_campaign_inputs_glucose_rich_growth_yield.png,98174,24c02fa5fa71f01fe8ff195265f55e922593c78dd1163a876be055d9f372b1c4
OE2-2.13,figuras,Analisis de sensibilidad y diseno,Figura campana aromas: aroma_campaign_inputs_high_biomass_low_N_maintenance.png,ok,fermentation_model/results/aroma_campaign_doe/aroma_campaign_inputs_high_biomass_low_N_maintenance.png,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/figures/aroma__aroma_campaign_inputs_high_biomass_low_N___b7411214.png,97615,ec716e27467da9204e8872a54098c9d2b8005444b2eb0acbabf754edabbfa401
OE2-2.13,figuras,Analisis de sensibilidad y diseno,Figura campana aromas: aroma_campaign_inputs_hot_synthesis_cold_retention.png,ok,fermentation_model/results/aroma_campaign_doe/aroma_campaign_inputs_hot_synthesis_cold_retention.png,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/figures/aroma__aroma_campaign_inputs_hot_synthesis_cold_retention.png,86163,b02e694828e7ab26036f0475a40df935a472c5f034797ad9d84908ea18c3482f
OE2-2.13,figuras,Analisis de sensibilidad y diseno,Figura campana aromas: aroma_campaign_inputs_low_temp_growth_separation_plus_co2.png,ok,fermentation_model/results/aroma_campaign_doe/aroma_campaign_inputs_low_temp_growth_separation_plus_co2.png,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/figures/aroma__aroma_campaign_inputs_low_temp_growth_sep__8601d298.png,94623,42bff48e017f8af43566af492683117dcc60e3a162c25110fb38eb548e69e54e
OE2-2.13,figuras,Analisis de sensibilidad y diseno,Figura campana aromas: aroma_campaign_inputs_viable_biomass_step.png,ok,fermentation_model/results/aroma_campaign_doe/aroma_campaign_inputs_viable_biomass_step.png,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/figures/aroma__aroma_campaign_inputs_viable_biomass_step.png,101174,83764c27bad0769c28e61bb6c18e52d3b14b05794d7193881f209b643e2c5a47
OE2-2.13,figuras,Analisis de sensibilidad y diseno,Figura campana conjunta aromas: aroma_campaign_inputs_cold_synthesis_hot_stripping.png,ok,fermentation_model/results/aroma_joint_campaign_doe/aroma_campaign_inputs_cold_synthesis_hot_stripping.png,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/figures/aroma_joint__aroma_campaign_inputs_cold_synthesi__2a0e1b5d.png,89469,a8aa9659e3f73973763a15ef6d22849d18cf4b2facb925ec8da4fe2ade4f03d8
