policy,species,capture_interval,start_h,end_h,duration_h,capture_stage_1_c,capture_stage_2_c,maximum_capture_interval_h,maximum_capture_interval_policy,within_approved_duration,captured_mass_mean_ug,captured_mass_min_ug,captured_mass_max_ug,cumulative_mass_start_mean_ug,cumulative_mass_end_mean_ug,mass_conservation_max_abs_error_ug,maximum_trap_loading,maximum_trap_loading_policy,trap_loading_constraint_satisfied,vessel_change_required,strategy,dose_design,sampling_mode,qualification_candidate_id,canonical_policy_hash,final_verdict,qualification_coverage_gate,qualification_thermal_gate,qualification_information_gate,qualification_nutrition_gate,qualification_sampling_gate,watermark,candidate_only_not_for_physical_execution
operational_anchor_18C_N76,ethyl_octanoate,2,22.0,42.0,20.0,0.0,-40.0,,unbounded_by_hardware,True,0.9494301006948234,0.08652697044130912,13.967650078132738,0.06025144253562477,1.0096815432304482,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,ethyl_octanoate,3,42.0,50.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,1.2920346838777437,0.11221612243983191,16.721049601223307,1.0096815432304482,2.3017162271081917,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,ethyl_octanoate,4,50.0,66.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,4.333057151974328,0.8543263605807684,40.333582502908044,2.3017162271081917,6.634773379082521,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,ethyl_octanoate,5,66.0,70.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,1.251943881600384,0.6005470624804565,9.364887697705683,6.634773379082521,7.886717260682905,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,ethyl_octanoate,6,70.0,74.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,1.2915462530506,0.7489881787796255,9.093270896859039,7.886717260682905,9.178263513733505,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,ethyl_octanoate,7,74.0,90.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,5.310131035775692,2.8112346902230643,33.537502886585955,9.178263513733505,14.488394549509199,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,ethyl_octanoate,8,90.0,98.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,2.58138142835203,1.2556800126803527,14.86991971225956,14.488394549509199,17.069775977861227,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,ethyl_octanoate,9,98.0,170.0,72.0,0.0,-40.0,,unbounded_by_hardware,True,13.721977347149076,6.493221504807357,69.81557213922324,17.069775977861227,30.791753325010305,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,isoamyl_acetate,1,0.0,22.0,22.0,0.0,-40.0,,unbounded_by_hardware,True,0.09086040004070592,0.00798910900813445,1.0311876924635819,0.0,0.09086040004070592,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,isoamyl_acetate,2,22.0,42.0,20.0,0.0,-40.0,,unbounded_by_hardware,True,4.646306433737466,0.07962206310840961,58.86721660046396,0.09086040004070592,4.737166833778173,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,isoamyl_acetate,3,42.0,50.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,8.17951968323852,0.16918970076992074,61.26597829005214,4.737166833778173,12.916686517016695,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,isoamyl_acetate,4,50.0,66.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,30.83995300268545,2.267272990253109,145.41060143940373,12.916686517016695,43.75663951970214,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,isoamyl_acetate,5,66.0,70.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,9.345315901024874,2.4110148601558414,34.79441452013987,43.75663951970214,53.10195542072701,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,isoamyl_acetate,6,70.0,74.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,9.769824826870723,3.942610886403024,34.024412642120126,53.10195542072701,62.87178024759774,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,isoamyl_acetate,7,74.0,90.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,41.157222760128334,21.907266257949512,126.90079487693504,62.87178024759774,104.02900300772609,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,isoamyl_acetate,8,90.0,98.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,20.44216674919287,10.077942645888882,56.91167622644201,104.02900300772609,124.47116975691895,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
operational_anchor_18C_N76,isoamyl_acetate,9,98.0,170.0,72.0,0.0,-40.0,,unbounded_by_hardware,True,112.35506153731374,56.16058209211977,279.2222319564461,124.47116975691895,236.82623129423268,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,ethyl_acetate,1,0.0,26.0,26.0,0.0,-40.0,,unbounded_by_hardware,True,103.13015915473622,0.029601137632214503,1257.436423718401,0.0,103.13015915473622,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,ethyl_acetate,2,26.0,42.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,695.3969356247546,0.07270243391910691,9785.719356601901,103.13015915473622,798.5270947794909,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,ethyl_acetate,3,42.0,46.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,539.6940218884773,0.03515999287170857,8855.041192970915,798.5270947794909,1338.221116667968,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,ethyl_acetate,4,46.0,50.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,704.0990393396443,0.046758292056120254,10533.577321514073,1338.221116667968,2042.3201560076125,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,ethyl_acetate,5,50.0,66.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,4405.67512306777,0.9175533016132107,60676.35068008574,2042.3201560076125,6447.995279075383,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,ethyl_acetate,6,66.0,74.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,2247.1007977119634,0.7955412063161589,28829.083538764608,6447.995279075383,8695.096076787346,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,ethyl_acetate,7,74.0,90.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,4277.678194603766,1.6963618104076654,52479.27882006827,8695.096076787346,12972.774271391112,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,ethyl_acetate,8,90.0,98.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,1933.5750818619963,0.8225815954012603,24159.514328979712,12972.774271391112,14906.34935325311,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,ethyl_acetate,9,98.0,170.0,72.0,0.0,-40.0,,unbounded_by_hardware,True,9370.965326599313,4.226493492116351,121596.60034232377,14906.34935325311,24277.314679852425,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,ethyl_octanoate,1,0.0,26.0,26.0,0.0,-40.0,,unbounded_by_hardware,True,0.08164087488081252,0.01957926846570628,0.5660542394845146,0.0,0.08164087488081252,7.105427357601002e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,ethyl_octanoate,2,26.0,42.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,0.5317358001622037,0.05061713885386622,7.608206007874367,0.08164087488081252,0.6133766750430162,7.105427357601002e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,ethyl_octanoate,3,42.0,46.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,0.4144102398726505,0.02601050119752099,7.665964848337843,0.6133766750430162,1.0277869149156666,7.105427357601002e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,ethyl_octanoate,4,46.0,50.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,0.6246756185217814,0.036047046099190766,11.340582748041601,1.0277869149156666,1.6524625334374479,7.105427357601002e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,ethyl_octanoate,5,50.0,66.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,5.5867447176441125,1.0051192708655363,68.34151068772286,1.6524625334374479,7.23920725108156,7.105427357601002e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,ethyl_octanoate,6,66.0,74.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,3.3667642871363084,1.725404915705134,30.38828074301844,7.23920725108156,10.605971538217869,7.105427357601002e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,ethyl_octanoate,7,74.0,90.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,6.940990594148022,3.235938480497442,53.34086361684089,10.605971538217869,17.54696213236589,7.105427357601002e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,independent,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,PASS — READY FOR OWNER PHYSICAL RELEASE REVIEW,PASS,PASS,PASS,PASS,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
