species,start_index,success,nfev,initial_objective,final_objective,estimate__formation_growth_ug_per_g_sugar,estimate__formation_stationary_ug_per_g_sugar,estimate__effective_loss_scale,forcing_source,fit_scope,estimate__mass_transfer_kla_ref_h_inv,estimate__ethanol_kla_multiplier_per_10_g_l
isoamyl_acetate,1,True,26,679.6771855595157,223.15248373876813,0.17836981164229232,6.874726434414796,0.00699796309108211,released_co2_model,calibration_only,,
isoamyl_acetate,0,True,34,1307.6975135537707,225.0428345163669,0.1771863421240916,6.778985659109418,0.008344903716898411,released_co2_model,calibration_only,,
isoamyl_acetate,6,True,30,38889408.92170907,233.4128829621448,0.19310223748704483,6.911440303923754,8.456371613216321e-05,released_co2_model,calibration_only,,
isoamyl_acetate,3,True,30,555436.4713619604,236.27232851639087,0.23155918480827906,6.9007999585199125,2.0962782190307743e-05,released_co2_model,calibration_only,,
isoamyl_acetate,7,True,34,170289463.77991465,298.4432504813301,0.39502764704165766,5.055256951016133,0.020091991030698433,released_co2_model,calibration_only,,
isoamyl_acetate,2,True,30,337001.16052615887,407.3649500222065,0.9145597404275698,3.0346302263383826,0.03412488745827246,released_co2_model,calibration_only,,
isoamyl_acetate,5,True,18,647.3262646886684,641.9279452834348,0.6696201782540797,0.03589950376378953,0.2313706547539183,released_co2_model,calibration_only,,
ethyl_acetate,2,True,22,649.7658774734641,72.3091651951492,42.29297581790771,72.61824062522241,0.009024104806541495,released_co2_model,all_data,,
ethyl_acetate,3,True,26,335.3526673873937,72.31528112205089,42.372052851777035,72.59965554617915,0.006149667025647642,released_co2_model,all_data,,
ethyl_acetate,1,True,29,4100044.606825556,72.47134287407442,42.113205998637426,72.62840299264835,0.011077459552738707,released_co2_model,all_data,,
ethyl_acetate,6,True,16,661.2998535605636,72.47274107001766,42.156940623191524,72.62133659992912,0.011088530473471598,released_co2_model,all_data,,
ethyl_acetate,0,True,17,4370.725418003514,72.90784957626096,41.26038981724361,72.63361802257411,0.013338070077688877,released_co2_model,all_data,,
ethyl_acetate,4,True,40,263294.86304785067,73.5477215931758,42.74512314292746,72.46771764363247,0.0009228370872347919,released_co2_model,all_data,,
ethyl_acetate,7,True,20,172127.35022046836,75.0110036060145,41.29361725384627,72.3112845181395,0.017751664679808033,released_co2_model,all_data,,
ethyl_acetate,5,True,18,20752.104587438793,238.45763610007668,34.894850291246094,49.848527410312485,0.06028525477151062,released_co2_model,all_data,,
ethyl_octanoate,0,True,20,20070.45706215297,384.7162921283414,0.17892500060342972,0.5457285234922233,0.009192430544781853,released_co2_model,all_data,,
ethyl_octanoate,5,True,30,250173413.25621167,384.77877697474946,0.1452057577073821,0.5506526367920499,0.00963180037754759,released_co2_model,all_data,,
ethyl_octanoate,7,True,29,17362228093.037537,384.97543529202716,0.174308296508521,0.5450995435283286,0.009871003361671416,released_co2_model,all_data,,
ethyl_octanoate,2,True,21,758.6346469545854,385.18071386016203,0.15130147995489773,0.5479936088399575,0.010140741923807449,released_co2_model,all_data,,
ethyl_octanoate,6,True,18,839.430787225898,393.50235953870754,0.16423364294440385,0.55845419396983,0.005195507251503015,released_co2_model,all_data,,
ethyl_octanoate,3,True,36,1752877.2378887986,410.11612185727677,0.1512850678058021,0.5553977172140322,0.001898287916617111,released_co2_model,all_data,,
ethyl_octanoate,1,True,23,91220688657.58688,422.4035339181288,0.13972203773411745,0.5544241141035371,0.00016915226717337383,released_co2_model,all_data,,
ethyl_octanoate,4,True,35,6325217167.427372,426.7185082188838,0.16181862249953402,0.548922424248308,2.5284125324707064e-05,released_co2_model,all_data,,
isoamyl_acetate,6,True,18,1024.2881030368699,369.25741820049905,0.39824496505522533,7.090228718345898,0.0071514834149229356,released_co2_model,all_data,,
isoamyl_acetate,7,True,35,199587766.39975524,369.25899336673046,0.44968451344006766,7.073245401611588,0.00720461925285066,released_co2_model,all_data,,
isoamyl_acetate,1,True,30,625309746.0458403,369.43269908222726,0.42798570703900796,7.05604819265693,0.007703177403661148,released_co2_model,all_data,,
isoamyl_acetate,3,True,35,15565.183553035116,369.5074672860727,0.4361572103278966,7.050442000592311,0.00781177725003947,released_co2_model,all_data,,
isoamyl_acetate,0,True,39,1581.429226448708,374.8890316121257,0.38798927072275025,6.8676975423050575,0.010271510555651854,released_co2_model,all_data,,
isoamyl_acetate,4,True,41,73337751.70431958,391.0863037024624,0.46272399297926464,7.069885108479823,2.4379697352514362e-05,released_co2_model,all_data,,
isoamyl_acetate,2,True,25,1004.2658679457257,542.2905246700462,0.7528211333281888,4.251517397774725,0.027620327905154302,released_co2_model,all_data,,
isoamyl_acetate,5,True,33,2914193.6478268164,609.100812815388,0.48235721533309206,3.711255705714619,0.034042392094749574,released_co2_model,all_data,,
ethyl_acetate,0,True,30,252155.46829452814,47.15174340973549,15.287446860073942,77.14290237699174,,dynamic_transfer_model,calibration_only,0.004691513088095849,0.8752542670401533
ethyl_acetate,4,True,20,417.84122079776796,47.15174440482778,15.265778653662736,77.1475401035634,,dynamic_transfer_model,calibration_only,0.004691607943173463,0.8753570379484662
ethyl_acetate,7,True,30,1577.9221969751402,47.15174555982918,15.298050345114941,77.14001831998415,,dynamic_transfer_model,calibration_only,0.004694912767208744,0.8755844181464216
ethyl_acetate,2,True,36,154327.01742895768,47.15174858334113,15.316583050694707,77.13626466766607,,dynamic_transfer_model,calibration_only,0.004690765678651861,0.8755269125061669
ethyl_acetate,3,True,20,469.63753509321606,47.151749841344085,15.288712047177498,77.14186233765959,,dynamic_transfer_model,calibration_only,0.0046994848989470265,0.8748859545714838
ethyl_acetate,6,True,25,4770215.738142784,47.151751340459924,15.290120234214953,77.13990651348843,,dynamic_transfer_model,calibration_only,0.004692877369109842,0.8747114376270457
ethyl_acetate,5,True,36,2753699.612918356,47.15175308263089,15.23043537695914,77.15502889503205,,dynamic_transfer_model,calibration_only,0.0046932432938905765,0.8755503164305115
ethyl_acetate,1,True,29,409.8063087520276,47.15176277157609,15.20722947366931,77.15969239613567,,dynamic_transfer_model,calibration_only,0.004696387135775332,0.8755794504757797
ethyl_octanoate,6,True,36,104612597830.0908,237.08819835239515,0.0432475579002059,0.5688681482089539,,dynamic_transfer_model,calibration_only,0.004340653255851486,0.7688416974544865
ethyl_octanoate,0,True,25,2928837.786491068,237.0882208165208,0.04348830724072982,0.5688481892003314,,dynamic_transfer_model,calibration_only,0.004338939928558899,0.768746016798389
ethyl_octanoate,7,True,31,3005.27090586543,237.08822224455008,0.04320871871512456,0.5689144742167994,,dynamic_transfer_model,calibration_only,0.004336804621971902,0.7689199545537206
ethyl_octanoate,4,True,32,1577.8128945233598,237.08841097532493,0.04257662750087113,0.5690206828982532,,dynamic_transfer_model,calibration_only,0.004344109020508283,0.7685110410859612
ethyl_octanoate,1,True,25,4053.0857408405896,237.08845232450142,0.04263057911797308,0.5690732127293671,,dynamic_transfer_model,calibration_only,0.004338974495800474,0.7682220672187237
