ID,fecha_hora,t,temperatura,densidad,Viability,Peso Seco,GLUCOSE,FRUCTOSE,PAN,AMMONIA,YAN,GLYCEROL,PYRUVIC ACID,PYRUVIC ACID2,ACETALDEHIDO,ETANOL,pulso_nut,bencil_alcohol_total,benzaldehido_total,decanoato_de_etilo_total,hexil_acetate_total,isoamil_acetate_total,octanoate_de_etilo_total,phenylethylacetate_total,Ethyl_Acetate_total,Código ensayo,fecha_hora_original,fecha_hora_nota,base_t_origen,temperatura_fuente,temperatura_evento_activo,protocolo_inferido,pulso_nut_evento,pulso_nut_t_h,pulso_nut_tipo,Brix,pH,DO,Oculyze Concentration,Oculyze Budding,Y15 Glucosa-Fructosa,Y15 Acetico,Cf Alcolyzer (% v/v),Cf Alcolyzer Real (% v/v),Tipo muestra,Hito,Matriz,Volumen total (mL),Contenedores,Análisis planificados,Estado muestreo,Peso recipiente (g),Extracto seco (g),GC-MS/MS MEF,GC-MS/MS Cond,Freezer,Caja,Posición,Aroma Vol GC (mL),Aroma Dilución 1:X,Aroma GA muestra (% v/v),Aroma EtOH objetivo (%),Aroma Alcohol HPLC 100% (uL),Aroma Vol muestra (µL),Temporada,Proyecto,Escala,Lote,Reactor/Estanque,Condición,Réplica,Variedad,Levadura,Volumen inicial (L),Objetivo específico,Observaciones ensayo,Codigo_fuente,Cubada,Temperatura Medida,Temperatura_operacional_columna_Temperatura,Adicion,GLU-FRU-320,GLUCOSE-320,FRUCTOSE_inferida,C_total,C_viable,Budding_Index,DateTime_serial,Archivo_origen,flag_calidad,observaciones_CCD
MS008-1,2025-10-06 15:30:00,3.5,15,1097.1,53.98,,118.87,115.38999999999999,83.0,245.0,285.0,,4.0,,,,4,,,,,,,,,MS008,2025-10-06 15:30:00,Serial Excel desde columna DateTime del archivo CCD,Horas,Temperatura,15,CCD_2factores_T15_Adicion4,4,,Factor CCD Adicion,23.3,,,20.275,12.31,234.26,,,,Muestreo cinético,1,Fermentación,,,Fisicoquímico; HPLC/analitos; biomasa/viabilidad,Dato importado desde archivo CCD,,,,,,,,,,,,,,,CCD 2 factores,Laboratorio,MS008,MS008,T=15; Adición=4,,,,,Homologación de datos CCD 2 factores para calibración/modelación,temperatura homologada desde columna Temperatura; Temperatura Medida conservada como variable adicional.,MS008-1,MS008,16.1,15,4,234.26,118.87,115.38999999999999,20.275,10.945,12.31,2025-10-06 15:30:00,data_CCD_2factores.xlsx,,Dato CCD homologado; Temperatura Medida no se usa como temperatura operacional.
MS008-2,2025-10-07 10:30:00,22.5,15,1094.9,48.99,,118.47,116.72,69.0,249.0,272.0,0.79,12.0,,,,4,,,,,,,,,MS008,2025-10-07 10:30:00,Serial Excel desde columna DateTime del archivo CCD,Horas,Temperatura,15,CCD_2factores_T15_Adicion4,4,,Factor CCD Adicion,23.0,,,38.1,18.35,235.19,,,,Muestreo cinético,2,Fermentación,,,Fisicoquímico; HPLC/analitos; biomasa/viabilidad,Dato importado desde archivo CCD,,,,,,,,,,,,,,,CCD 2 factores,Laboratorio,MS008,MS008,T=15; Adición=4,,,,,Homologación de datos CCD 2 factores para calibración/modelación,temperatura homologada desde columna Temperatura; Temperatura Medida conservada como variable adicional.,MS008-2,MS008,16.5,15,4,235.19,118.47,116.72,38.1,9.33,18.35,2025-10-07 10:30:00,data_CCD_2factores.xlsx,,Dato CCD homologado; Temperatura Medida no se usa como temperatura operacional.
MS008-3,2025-10-08 10:30:00,46.5,15,1091.3,65.99,,112.06,111.07,40.0,230.0,229.0,1.77,38.0,,,,4,,,,,,,,,MS008,2025-10-08 10:30:00,Serial Excel desde columna DateTime del archivo CCD,Horas,Temperatura,15,CCD_2factores_T15_Adicion4,4,,Factor CCD Adicion,22.0,,,45.39,21.32,223.13,,,,Muestreo cinético,3,Fermentación,,,Fisicoquímico; HPLC/analitos; biomasa/viabilidad,Dato importado desde archivo CCD,,,,,,,,,,,,,,,CCD 2 factores,Laboratorio,MS008,MS008,T=15; Adición=4,,,,,Homologación de datos CCD 2 factores para calibración/modelación,temperatura homologada desde columna Temperatura; Temperatura Medida conservada como variable adicional.,MS008-3,MS008,15.6,15,4,223.13,112.06,111.07,45.39,29.95,21.32,2025-10-08 10:30:00,data_CCD_2factores.xlsx,,Dato CCD homologado; Temperatura Medida no se usa como temperatura operacional.
MS008-4,2025-10-09 10:00:00,70.0,15,1082.0,67.6,,93.06,105.19999999999999,23.0,175.0,166.0,3.09,66.0,,,,4,,,,,,,,,MS008,2025-10-09 10:00:00,Serial Excel desde columna DateTime del archivo CCD,Horas,Temperatura,15,CCD_2factores_T15_Adicion4,4,,Factor CCD Adicion,20.0,,,54.76,20.06,198.26,,,,Muestreo cinético,4,Fermentación,,,Fisicoquímico; HPLC/analitos; biomasa/viabilidad,Dato importado desde archivo CCD,,,,,,,,,,,,,,,CCD 2 factores,Laboratorio,MS008,MS008,T=15; Adición=4,,,,,Homologación de datos CCD 2 factores para calibración/modelación,temperatura homologada desde columna Temperatura; Temperatura Medida conservada como variable adicional.,MS008-4,MS008,15.8,15,4,198.26,93.06,105.19999999999999,54.76,37.02,20.06,2025-10-09 10:00:00,data_CCD_2factores.xlsx,,Dato CCD homologado; Temperatura Medida no se usa como temperatura operacional.
MS008-5,2025-10-10 10:00:00,94.0,15,1068.4,78.23,,59.38,74.02000000000001,13.0,61.0,63.0,3.5,57.0,,,3.67,4,,,,,,,,,MS008,2025-10-10 10:00:00,Serial Excel desde columna DateTime del archivo CCD,Horas,Temperatura,15,CCD_2factores_T15_Adicion4,4,,Factor CCD Adicion,17.0,,,68.43,20.2,133.4,,,,Muestreo cinético,5,Fermentación,,,Fisicoquímico; HPLC/analitos; biomasa/viabilidad,Dato importado desde archivo CCD,,,,,,,,,,,,,,,CCD 2 factores,Laboratorio,MS008,MS008,T=15; Adición=4,,,,,Homologación de datos CCD 2 factores para calibración/modelación,temperatura homologada desde columna Temperatura; Temperatura Medida conservada como variable adicional.,MS008-5,MS008,16.0,15,4,133.4,59.38,74.02000000000001,68.43,53.53,20.2,2025-10-10 10:00:00,data_CCD_2factores.xlsx,,Dato CCD homologado; Temperatura Medida no se usa como temperatura operacional.
MS008-6,2025-10-13 09:30:00,165.5,15,1030.4,72.41,,25.65,59.919999999999995,52.0,23.0,71.0,6.55,43.0,,,7.84,4,,,,,,,,,MS008,2025-10-13 09:30:00,Serial Excel desde columna DateTime del archivo CCD,Horas,Temperatura,15,CCD_2factores_T15_Adicion4,4,,Factor CCD Adicion,8.0,,,82.95,11.76,85.57,,,,Muestreo cinético,6,Fermentación,,,Fisicoquímico; HPLC/analitos; biomasa/viabilidad,Dato importado desde archivo CCD,,,,,,,,,,,,,,,CCD 2 factores,Laboratorio,MS008,MS008,T=15; Adición=4,,,,,Homologación de datos CCD 2 factores para calibración/modelación,temperatura homologada desde columna Temperatura; Temperatura Medida conservada como variable adicional.,MS008-6,MS008,17.8,15,4,85.57,25.65,59.919999999999995,82.95,60.06,11.76,2025-10-13 09:30:00,data_CCD_2factores.xlsx,,Dato CCD homologado; Temperatura Medida no se usa como temperatura operacional.
MS008-7,2025-10-14 10:00:00,190.0,15,1022.2,69.55,,15.65,50.440000000000005,53.0,15.0,65.0,6.74,45.0,,,,4,,,,,,,,,MS008,2025-10-14 10:00:00,Serial Excel desde columna DateTime del archivo CCD,Horas,Temperatura,15,CCD_2factores_T15_Adicion4,4,,Factor CCD Adicion,5.9,,,85.25,9.82,66.09,,,,Muestreo cinético,7,Fermentación,,,Fisicoquímico; HPLC/analitos; biomasa/viabilidad,Dato importado desde archivo CCD,,,,,,,,,,,,,,,CCD 2 factores,Laboratorio,MS008,MS008,T=15; Adición=4,,,,,Homologación de datos CCD 2 factores para calibración/modelación,temperatura homologada desde columna Temperatura; Temperatura Medida conservada como variable adicional.,MS008-7,MS008,16.5,15,4,66.09,15.65,50.440000000000005,85.25,59.29,9.82,2025-10-14 10:00:00,data_CCD_2factores.xlsx,,Dato CCD homologado; Temperatura Medida no se usa como temperatura operacional.
MS008-8,2025-10-15 09:00:00,213.0,15,1014.7,69.76,,9.99,42.07,51.0,10.0,60.0,6.91,26.0,,,10.64,4,,,,,,,,,MS008,2025-10-15 09:00:00,Serial Excel desde columna DateTime del archivo CCD,Horas,Temperatura,15,CCD_2factores_T15_Adicion4,4,,Factor CCD Adicion,4.1,,,78.73,8.88,52.06,,,,Muestreo cinético,8,Fermentación,,,Fisicoquímico; HPLC/analitos; biomasa/viabilidad,Dato importado desde archivo CCD,,,,,,,,,,,,,,,CCD 2 factores,Laboratorio,MS008,MS008,T=15; Adición=4,,,,,Homologación de datos CCD 2 factores para calibración/modelación,temperatura homologada desde columna Temperatura; Temperatura Medida conservada como variable adicional.,MS008-8,MS008,16.7,15,4,52.06,9.99,42.07,78.73,54.92,8.88,2025-10-15 09:00:00,data_CCD_2factores.xlsx,,Dato CCD homologado; Temperatura Medida no se usa como temperatura operacional.
MS009-0,2025-10-06 12:00:00,0.0,23,1095.4,,,120.89,114.19000000000001,21.0,263.0,236.0,0.38,1.0,,,0.0,1,,,,,,,,,MS009,2025-10-06 12:00:00,Serial Excel desde columna DateTime del archivo CCD,Horas,Temperatura,23,CCD_2factores_T23_Adicion1,1,,Factor CCD Adicion,23.1,,,15.0,,235.08,,,,Muestreo cinético,0,Fermentación,,,Fisicoquímico; HPLC/analitos; biomasa/viabilidad,Dato importado desde archivo CCD,,,,,,,,,,,,,,,CCD 2 factores,Laboratorio,MS009,MS009,T=23; Adición=1,,,,,Homologación de datos CCD 2 factores para calibración/modelación,temperatura homologada desde columna Temperatura; Temperatura Medida conservada como variable adicional.,MS009-0,MS009,18.8,23,1,235.08,120.89,114.19000000000001,15.0,,,2025-10-06 12:00:00,data_CCD_2factores.xlsx,,Dato CCD homologado; Temperatura Medida no se usa como temperatura operacional.
MS009-1,2025-10-06 15:30:00,3.5,23,1093.5,51.57,,117.57,115.11000000000001,91.0,244.0,291.0,0.54,5.0,,,,1,,,,,,,,,MS009,2025-10-06 15:30:00,Serial Excel desde columna DateTime del archivo CCD,Horas,Temperatura,23,CCD_2factores_T23_Adicion1,1,,Factor CCD Adicion,23.0,,,21.815,13.2,232.68,,,,Muestreo cinético,1,Fermentación,,,Fisicoquímico; HPLC/analitos; biomasa/viabilidad,Dato importado desde archivo CCD,,,,,,,,,,,,,,,CCD 2 factores,Laboratorio,MS009,MS009,T=23; Adición=1,,,,,Homologación de datos CCD 2 factores para calibración/modelación,temperatura homologada desde columna Temperatura; Temperatura Medida conservada como variable adicional.,MS009-1,MS009,23.0,23,1,232.68,117.57,115.11000000000001,21.815,11.25,13.2,2025-10-06 15:30:00,data_CCD_2factores.xlsx,,Dato CCD homologado; Temperatura Medida no se usa como temperatura operacional.
