timestamp,flow_filt_sccm,reactor_volume_ml,reactor_volume_l,co2_volume_correction_factor,flow_filt_sccm_per_l,flow_filt_sccm_v0_corrected,process,t_h
2026-06-23 04:50:00,0.632,1425.0,1.425,1.4035087719298245,0.4435087719298245,0.887017543859649,F1,181.33333333333334
2026-06-23 05:00:00,0.62005,1425.0,1.425,1.4035087719298245,0.4351228070175438,0.8702456140350876,F1,181.5
2026-06-23 05:10:00,0.6234,1425.0,1.425,1.4035087719298245,0.4374736842105263,0.8749473684210525,F1,181.66666666666666
2026-06-23 05:20:00,0.6288,1425.0,1.425,1.4035087719298245,0.44126315789473686,0.8825263157894736,F1,181.83333333333334
2026-06-23 05:30:00,0.6366,1425.0,1.425,1.4035087719298245,0.4467368421052632,0.8934736842105263,F1,182.0
2026-06-23 05:40:00,0.645,1425.0,1.425,1.4035087719298245,0.45263157894736844,0.9052631578947368,F1,182.16666666666666
2026-06-23 05:50:00,0.64735,1425.0,1.425,1.4035087719298245,0.45428070175438595,0.9085614035087719,F1,182.33333333333334
2026-06-23 06:00:00,0.6509,1425.0,1.425,1.4035087719298245,0.45677192982456144,0.9135438596491228,F1,182.5
2026-06-23 06:10:00,0.65505,1425.0,1.425,1.4035087719298245,0.4596842105263158,0.9193684210526316,F1,182.66666666666666
2026-06-23 06:20:00,0.6637,1425.0,1.425,1.4035087719298245,0.46575438596491225,0.9315087719298244,F1,182.83333333333334
2026-06-23 06:30:00,0.68245,1425.0,1.425,1.4035087719298245,0.4789122807017544,0.9578245614035087,F1,183.0
2026-06-23 06:40:00,0.7078,1425.0,1.425,1.4035087719298245,0.49670175438596487,0.9934035087719297,F1,183.16666666666666
2026-06-23 06:50:00,0.7357,1425.0,1.425,1.4035087719298245,0.516280701754386,1.0325614035087718,F1,183.33333333333334
2026-06-23 07:00:00,0.74085,1425.0,1.425,1.4035087719298245,0.5198947368421052,1.0397894736842104,F1,183.5
2026-06-23 07:10:00,0.73045,1425.0,1.425,1.4035087719298245,0.5125964912280702,1.0251929824561403,F1,183.66666666666666
2026-06-23 07:20:00,0.7115,1425.0,1.425,1.4035087719298245,0.4992982456140351,0.9985964912280701,F1,183.83333333333334
2026-06-23 07:30:00,0.68695,1425.0,1.425,1.4035087719298245,0.4820701754385965,0.964140350877193,F1,184.0
2026-06-23 07:40:00,0.68115,1425.0,1.425,1.4035087719298245,0.478,0.956,F1,184.16666666666666
2026-06-23 07:50:00,0.681,1425.0,1.425,1.4035087719298245,0.47789473684210526,0.9557894736842105,F1,184.33333333333334
