lot_id,process,design_name,sample_id,sample_datetime,t_h,time_source,Density,sugar_total_g_l,glucose_g_l,fructose_g_l,yan_calc_mg_l_censored,x_viable_g_l,ethanol_percent_vv_rep1,ethanol_percent_vv_rep2,ethanol_percent_vv_final,ethanol_g_l_manual,ethanol_g_l_for_model,ethanol_measurement_datetime,ethanol_method,operator,qc_flag,notes
DOE_Lote_1,F1,synthetic_lit_SM410_18C_highN_ester,DOE-LAB001-11,2026-06-18 16:00,72.5,oculyze_sample_id,1049.4,130.04,43.2,86.83999999999999,45.0,1.81100976,,,,,,,,,,
DOE_Lote_1,F1,synthetic_lit_SM410_18C_highN_ester,DOE-LAB001-12,2026-06-19 10:00,90.5,oculyze_sample_id,1037.7,104.47,31.06,73.41,1.0,1.6705242,,,,,,,,,,
DOE_Lote_1,F1,synthetic_lit_SM410_18C_highN_ester,DOE-LAB001-13,2026-06-19 12:00,92.5,oculyze_sample_id,1037.4,101.78,30.64,71.14,1.0,1.92636378,,,,,,,,,,
DOE_Lote_1,F1,synthetic_lit_SM410_18C_highN_ester,DOE-LAB001-14,2026-06-19 16:00,96.5,oculyze_sample_id,1035.9,102.2,29.85,72.35,2.0,1.74881106,,,,,,,,,,
DOE_Lote_1,F1,synthetic_lit_SM410_18C_highN_ester,DOE-LAB001-15,2026-06-22 10:00,162.5,oculyze_sample_id,1005.3,37.84,4.43,33.410000000000004,14.0,1.73735424,,,,,,,,,,
DOE_Lote_1,F1,synthetic_lit_SM410_18C_highN_ester,DOE-LAB001-16,2026-06-22 16:00,168.5,oculyze_sample_id,1003.9,33.97,3.33,30.64,13.0,1.6381429799999998,,,,,,,,,,
DOE_Lote_1,F1,synthetic_lit_SM410_18C_highN_ester,DOE-LAB001-17,2026-06-23 10:00,186.5,oculyze_sample_id,998.8,21.1,3.41,17.69,12.0,1.53677754,,,,,,,,,,
DOE_Lote_1,F1,synthetic_lit_SM410_18C_highN_ester,DOE-LAB001-18,2026-06-23 16:00,192.5,oculyze_sample_id,997.8,16.26,2.71,13.55,,1.5373360799999995,,,,,,,,,,
DOE_Lote_1,F1,synthetic_lit_SM410_18C_highN_ester,DOE-LAB001-19,2026-06-24 11:00,211.5,oculyze_sample_id,993.9,13.73,1.41,12.32,28.0,1.1703248699999995,,,,,,,,,,
DOE_Lote_1,F2,synthetic_high_biomass_low_N_maintenance,DOE-LAB002-1,2026-06-15 15:30,0.0,oculyze_sample_id,1059.1,143.94,62.17,81.77,37.0,1.0946511,,,,,,,,,,
DOE_Lote_1,F2,synthetic_high_biomass_low_N_maintenance,DOE-LAB002-2,2026-06-16 08:30,17.0,oculyze_sample_id,1051.4,131.24,55.23,76.01000000000002,10.0,1.4608011,,,,,,,,,,
DOE_Lote_1,F2,synthetic_high_biomass_low_N_maintenance,DOE-LAB002-3,2026-06-16 12:00,20.5,oculyze_sample_id,1051.7,129.17,52.25,76.91999999999999,15.0,1.7120063999999997,,,,,,,,,,
DOE_Lote_1,F2,synthetic_high_biomass_low_N_maintenance,DOE-LAB002-4,2026-06-16 14:30,23.0,oculyze_sample_id,1052.8,113.05,52.35,60.7,16.0,1.62897306,,,,,,,,,,
DOE_Lote_1,F2,synthetic_high_biomass_low_N_maintenance,DOE-LAB002-5,2026-06-16 16:30,25.0,oculyze_sample_id,1049.6,126.83,53.77,73.06,10.0,1.47227556,,,,,,,,,,
DOE_Lote_1,F2,synthetic_high_biomass_low_N_maintenance,DOE-LAB002-6,2026-06-17 10:00,42.5,oculyze_sample_id,1046.2,117.04,47.87,69.17000000000002,0.0,1.8547515,,,,,,,,,,
DOE_Lote_1,F2,synthetic_high_biomass_low_N_maintenance,DOE-LAB002-7,2026-06-17 12:30,45.0,oculyze_sample_id,1046.2,118.5,47.35,71.15,0.0,1.93798125,,,,,,,,,,
DOE_Lote_1,F2,synthetic_high_biomass_low_N_maintenance,DOE-LAB002-8,2026-06-17 16:00,48.5,oculyze_sample_id,1054.7,140.1,67.08,73.02,2.0,1.88935464,,,,,,,,,,
DOE_Lote_1,F2,synthetic_high_biomass_low_N_maintenance,DOE-LAB002-9,2026-06-18 10:00,66.5,oculyze_sample_id,1049.6,127.93,59.49,68.44,10.0,2.51370864,,,,,,,,,,
DOE_Lote_1,F2,synthetic_high_biomass_low_N_maintenance,DOE-LAB002-10,2026-06-18 12:30,69.0,oculyze_sample_id,1049.5,126.47,60.44,66.03,8.0,1.825029,,,,,,,,,,
DOE_Lote_1,F2,synthetic_high_biomass_low_N_maintenance,DOE-LAB002-11,2026-06-18 16:00,72.5,oculyze_sample_id,1048.3,123.45,55.31,68.14,14.0,2.02560111,,,,,,,,,,
DOE_Lote_1,F2,synthetic_high_biomass_low_N_maintenance,DOE-LAB002-12,2026-06-19 10:00,90.5,oculyze_sample_id,1042.4,111.2,48.98,62.220000000000006,0.0,1.80413982,,,,,,,,,,
DOE_Lote_1,F2,synthetic_high_biomass_low_N_maintenance,DOE-LAB002-13,2026-06-19 12:00,92.5,oculyze_sample_id,1041.9,110.57,49.71,60.85999999999999,0.0,1.77198084,,,,,,,,,,
DOE_Lote_1,F2,synthetic_high_biomass_low_N_maintenance,DOE-LAB002-14,2026-06-19 16:00,96.5,oculyze_sample_id,1046.9,125.65,48.11,77.54,0.0,1.75113015,,,,,,,,,,
DOE_Lote_1,F2,synthetic_high_biomass_low_N_maintenance,DOE-LAB002-15,2026-06-22 10:00,162.5,oculyze_sample_id,1031.9,92.8,27.22,65.58,0.0,1.86863139,,,,,,,,,,
DOE_Lote_1,F2,synthetic_high_biomass_low_N_maintenance,DOE-LAB002-16,2026-06-22 16:00,168.5,oculyze_sample_id,1030.2,87.72,25.11,62.61,0.0,2.86400136,,,,,,,,,,
DOE_Lote_1,F2,synthetic_high_biomass_low_N_maintenance,DOE-LAB002-17,2026-06-23 10:00,186.5,oculyze_sample_id,1026.0,77.49,,,0.0,1.7651299500000002,,,,,,,,,,
DOE_Lote_1,F2,synthetic_high_biomass_low_N_maintenance,DOE-LAB002-18,2026-06-23 16:00,192.5,oculyze_sample_id,1024.9,71.77,19.77,52.0,,1.7648870400000003,,,,,,,,,,
DOE_Lote_1,F2,synthetic_high_biomass_low_N_maintenance,DOE-LAB002-19,2026-06-24 11:00,211.5,oculyze_sample_id,1022.0,70.19,16.91,53.28,2.0,1.82697375,,,,,,,,,,
DOE_Lote_1,F2,synthetic_high_biomass_low_N_maintenance,DOE-LAB002-20,2026-06-25 16:00,240.5,oculyze_sample_id,1017.7,68.03,13.69,54.34,8.0,1.6106917499999998,,,,,,,,,,
DOE_Lote_1,F2,synthetic_high_biomass_low_N_maintenance,DOE-LAB002-21,2026-06-26 12:00,260.5,oculyze_sample_id,1014.6,55.13,10.66,44.47,8.0,1.6612516799999997,,,,,,,,,,
DOE_Lote_1,F2,synthetic_high_biomass_low_N_maintenance,DOE-LAB002-22,2026-07-01 15:18,383.8,y15_session_filename,,26.8,1.97,24.83,6.0,,,,,,,,,,,
DOE_Lote_1,F3,synthetic_fructose_rich_glucose,DOE-LAB003-1,2026-06-15 15:30,0.0,oculyze_sample_id,1075.1,162.42,30.13,132.29,189.0,0.13253346,,,,,,,,,,
DOE_Lote_1,F3,synthetic_fructose_rich_glucose,DOE-LAB003-2,2026-06-16 08:30,17.0,oculyze_sample_id,1072.5,148.94,27.86,121.08,162.0,0.2107723199999999,,,,,,,,,,
DOE_Lote_1,F3,synthetic_fructose_rich_glucose,DOE-LAB003-3,2026-06-16 12:00,20.5,oculyze_sample_id,1071.3,169.43,27.99,141.44,147.0,0.24196575,,,,,,,,,,
DOE_Lote_1,F3,synthetic_fructose_rich_glucose,DOE-LAB003-4,2026-06-16 14:30,23.0,oculyze_sample_id,1069.5,168.36,26.01,142.35000000000002,132.0,0.22009365,,,,,,,,,,
DOE_Lote_1,F3,synthetic_fructose_rich_glucose,DOE-LAB003-5,2026-06-16 16:30,25.0,inferred_lot_sample_sequence,,169.38,26.96,142.42,124.0,,,,,,,,,,,
DOE_Lote_1,F3,synthetic_fructose_rich_glucose,DOE-LAB003-6,2026-06-17 10:00,42.5,oculyze_sample_id,1060.4,144.38,19.87,124.51,55.0,0.7719439499999999,,,,,,,,,,
DOE_Lote_1,F3,synthetic_fructose_rich_glucose,DOE-LAB003-7,2026-06-17 12:30,45.0,oculyze_sample_id,1059.2,,20.11,,43.0,0.9860475600000002,,,,,,,,,,
DOE_Lote_1,F3,synthetic_fructose_rich_glucose,DOE-LAB003-8,2026-06-17 16:00,48.5,oculyze_sample_id,1056.1,138.58,20.97,117.61,35.0,1.26723468,,,,,,,,,,
DOE_Lote_1,F3,synthetic_fructose_rich_glucose,DOE-LAB003-9,2026-06-18 10:00,66.5,oculyze_sample_id,1041.3,100.45,11.13,89.32000000000001,14.0,1.61297217,,,,,,,,,,
DOE_Lote_1,F3,synthetic_fructose_rich_glucose,DOE-LAB003-10,2026-06-18 12:30,69.0,oculyze_sample_id,1039.6,103.95,10.36,93.59,17.0,1.529775,,,,,,,,,,
DOE_Lote_1,F3,synthetic_fructose_rich_glucose,DOE-LAB003-11,2026-06-18 16:00,72.5,oculyze_sample_id,1049.1,125.47,34.1,91.37,15.0,1.4308865999999998,,,,,,,,,,
DOE_Lote_1,F3,synthetic_fructose_rich_glucose,DOE-LAB003-12,2026-06-19 10:00,90.5,oculyze_sample_id,1037.2,105.78,27.41,78.37,0.0,1.51378425,,,,,,,,,,
DOE_Lote_1,F3,synthetic_fructose_rich_glucose,DOE-LAB003-13,2026-06-19 12:00,92.5,oculyze_sample_id,1036.5,104.06,26.69,77.37,1.0,1.4171256,,,,,,,,,,
DOE_Lote_1,F3,synthetic_fructose_rich_glucose,DOE-LAB003-14,2026-06-19 16:00,96.5,oculyze_sample_id,1034.5,97.81,24.41,73.4,0.0,1.4446323,,,,,,,,,,
DOE_Lote_1,F3,synthetic_fructose_rich_glucose,DOE-LAB003-15,2026-06-22 10:00,162.5,oculyze_sample_id,1002.7,30.96,1.83,29.130000000000003,0.0,1.2578982,,,,,,,,,,
DOE_Lote_1,F3,synthetic_fructose_rich_glucose,DOE-LAB003-16,2026-06-22 16:00,168.5,oculyze_sample_id,1001.0,27.52,1.1,26.42,0.0,1.168245,,,,,,,,,,
DOE_Lote_1,F3,synthetic_fructose_rich_glucose,DOE-LAB003-17,2026-06-23 10:00,186.5,oculyze_sample_id,998.3,,2.64,,1.0,0.94012092,,,,,,,,,,
DOE_Lote_1,F3,synthetic_fructose_rich_glucose,DOE-LAB003-18,2026-06-23 16:00,192.5,oculyze_sample_id,998.7,18.26,3.98,14.28,,1.0208196,,,,,,,,,,
DOE_Lote_1,F3,synthetic_fructose_rich_glucose,DOE-LAB003-19,2026-06-24 11:00,211.5,oculyze_sample_id,993.7,13.71,1.3,12.41,4.0,0.75345159,,,,,,,,,,
