scenario,order,candidate,kind,time_h,datetime,date,score_gain,score
late_16_near_nominal,38,synthetic_lit_SM410_18C_highN_ester,full,192.5,2026-06-23 16:00:00,2026-06-23,0.3743741070928195,172.74272489896254
late_16_near_nominal,39,synthetic_high_biomass_low_N_maintenance,full,94.5,2026-06-19 14:00:00,2026-06-19,0.35211829506121717,173.09484319402375
late_16_near_nominal,40,synthetic_lit_SM410_18C_highN_ester,full,190.5,2026-06-23 14:00:00,2026-06-23,0.3492335956613033,173.44407678968506
late_16_near_nominal,41,synthetic_lit_SM410_18C_highN_ester,full,90.5,2026-06-19 10:00:00,2026-06-19,0.33961887691697257,173.78369566660203
late_16_near_nominal,42,synthetic_high_biomass_low_N_maintenance,full,186.5,2026-06-23 10:00:00,2026-06-23,0.33057573511806027,174.1142714017201
late_16_near_nominal,43,synthetic_fructose_rich_glucose_pulse,small,44.5,2026-06-17 12:00:00,2026-06-17,0.20996703052685461,174.32423843224694
late_16_near_nominal,44,synthetic_lit_SM410_18C_highN_ester,small,188.5,2026-06-23 12:00:00,2026-06-23,0.19155501998477575,174.51579345223172
late_16_near_nominal,45,synthetic_lit_SM410_18C_highN_ester,small,186.5,2026-06-23 10:00:00,2026-06-23,0.1801456121412457,174.69593906437296
late_16_near_nominal,46,synthetic_fructose_rich_glucose_pulse,small,42.5,2026-06-17 10:00:00,2026-06-17,0.17882995678843372,174.8747690211614
late_16_near_nominal,47,synthetic_high_biomass_low_N_maintenance,small,96.5,2026-06-19 16:00:00,2026-06-19,0.16362614034110834,175.0383951615025
late_16_near_nominal,48,synthetic_lit_SM410_18C_highN_ester,small,168.5,2026-06-22 16:00:00,2026-06-22,0.15144566513751556,175.18984082664002
late_16_near_nominal,49,synthetic_lit_SM410_18C_highN_ester,small,166.5,2026-06-22 14:00:00,2026-06-22,0.14369689238714045,175.33353771902716
late_16_near_nominal,50,synthetic_fructose_rich_glucose_pulse,small,66.5,2026-06-18 10:00:00,2026-06-18,0.13872468834256324,175.47226240736973
late_16_near_nominal,51,synthetic_lit_SM410_18C_highN_ester,small,164.5,2026-06-22 12:00:00,2026-06-22,0.13648127230644036,175.60874367967617
late_16_near_nominal,52,synthetic_lit_SM410_18C_highN_ester,small,162.5,2026-06-22 10:00:00,2026-06-22,0.13026605626984633,175.739009735946
late_16_near_nominal,53,synthetic_fructose_rich_glucose_pulse,small,96.5,2026-06-19 16:00:00,2026-06-19,0.12777779399030464,175.86678752993632
late_16_near_nominal,54,synthetic_fructose_rich_glucose_pulse,small,90.5,2026-06-19 10:00:00,2026-06-19,0.12347737505677969,175.9902649049931
late_16_near_nominal,55,synthetic_fructose_rich_glucose_pulse,small,68.5,2026-06-18 12:00:00,2026-06-18,0.11938411325891707,176.10964901825201
late_16_near_nominal,56,synthetic_high_biomass_low_N_maintenance,small,48.5,2026-06-17 16:00:00,2026-06-17,0.11784089978465317,176.22748991803667
late_16_near_nominal,57,synthetic_high_biomass_low_N_maintenance,small,46.5,2026-06-17 14:00:00,2026-06-17,0.10533929915385443,176.33282921719052
late_16_near_nominal,58,synthetic_high_biomass_low_N_maintenance,small,44.5,2026-06-17 12:00:00,2026-06-17,0.09483828031125086,176.42766749750177
late_16_near_nominal,59,synthetic_high_biomass_low_N_maintenance,small,42.5,2026-06-17 10:00:00,2026-06-17,0.08568473331567361,176.51335223081745
late_16_near_nominal,60,synthetic_high_biomass_low_N_maintenance,small,168.5,2026-06-22 16:00:00,2026-06-22,0.07979915522500391,176.59315138604245
